""	CD3D	CD3G	CD247	CD8A	CD44	CD8B	CD2	KLRD1	KLRK1	CXCR4	F2R	PTPRC	ITGAL	CD69	ADGRE5	ERBB3	CANX	ITGB1	HLA.DPA1	TNFRSF14	S1PR4	TSPAN5	LPP	GPR171	ITGA4	SMAP1	PTGER4	SORL1	PTPRA	THY1	CD81	HAVCR2	ITGAV	CD74	NCL	PTPRZ1	NOTCH1	LRP1	ROBO1	C1QBP
F2R	0.884691142559396	0.865910558476417	0.87602117092968	0.855533106985535	0.88511337475607	0.857815117078738	0.86250038456401	0.849560414815728	0.834586529663568	0.848243773231745	1	0.844887083887086	0.848403370672739	0.858475137906743	0.887905774532516	0.381366678501821	0.0661392967694448	0.730608302115296	0.0993422830384729	0.913886018595678	0.858341411289173	0.70464013514737	0.0148426074956733	0.864184109945691	0.821759855287176	0.541380573808436	0.822943989952868	-0.167690219223799	0.327160572326409	0.0290626987573043	0.107654975317028	-0.106379440007965	0.114305017891385	-0.0766144130542574	0.345107565039303	0.113576828558008	-0.108344013412025	-0.0725734666962828	0.131274175818158	0.434099930378512
PTPRC	0.975164609370554	0.979059123198656	0.961644498885003	0.951154024419846	0.982362597744967	0.948516863998028	0.977429520628539	0.923627761866737	0.887720184572534	0.990476509581926	0.844887083887086	1	0.960854069926648	0.991196772267201	0.967641015076447	0.0560638726408026	-0.238950777693718	0.703573565420859	0.286003424850258	0.947619032976366	0.971754022993797	0.455264345046888	-0.106203189766086	0.979794233009176	0.988703172654253	0.164918016299816	0.939892564786633	0.00853179274118135	0.0129122367811554	-0.333037182667345	-0.0774211077863191	0.147460768602449	-0.23715930778824	0.116887504512737	0.0250945540077291	-0.311965651317479	-0.39243801877855	-0.376823050905626	-0.283886782946387	0.162033018743339
ITGAL	0.971661612968113	0.980868854628265	0.966678122455722	0.972935301636756	0.969139343514813	0.976599106913508	0.975338506968141	0.963204707747736	0.962768624079353	0.941993090043608	0.848403370672739	0.960854069926648	1	0.961485575715446	0.985741912007365	0.0987044162489126	-0.337730301668288	0.604564536146873	0.172877677833235	0.929101366443131	0.960898444146273	0.359370211611178	-0.239059278497344	0.976590288350493	0.943584139895405	0.105542093408851	0.93634247721421	-0.144165816087298	-0.0925237289213807	-0.392248573417593	-0.202303331720255	-0.0388166240560209	-0.326087747731445	-0.0047591042010009	-0.079916984744036	-0.380734943190017	-0.482891574805826	-0.459518569310957	-0.345495522254799	0.0602323666504349
CD69	0.983909870897563	0.985406815199394	0.981913103359796	0.971381024891948	0.986705835102689	0.965789480446757	0.989484725505533	0.951166912335133	0.911238884359081	0.978326359180381	0.858475137906743	0.991196772267201	0.961485575715446	1	0.976891128679737	0.0205328421457929	-0.286409208761216	0.646517086823202	0.193116149020442	0.931647312750758	0.989363733335941	0.418491640399572	-0.184048570308909	0.988449958749197	0.98968416995756	0.154856328242109	0.919198302425244	-0.0912982876177455	-0.0247333801547621	-0.371658408118024	-0.14352311561829	0.0754288107366457	-0.277454992461577	0.0217793861800648	-0.00761426701595435	-0.327383007339439	-0.440943730119829	-0.423019901751833	-0.301386676982463	0.111156875172944
ADGRE5	0.992097343132938	0.99451110501973	0.984199364802264	0.985338388362544	0.9887623582381	0.991985983869246	0.987376528357055	0.971762564596642	0.964902558893554	0.944868033960459	0.887905774532516	0.967641015076447	0.985741912007365	0.976891128679737	1	0.0797711857367248	-0.321498609537433	0.611029447402873	0.101111576541053	0.940181680710415	0.984403247743082	0.406112414296703	-0.254604059109411	0.993609863625911	0.954442597062675	0.159459974856129	0.925319405500307	-0.201210828583899	-0.0576584601339974	-0.38183049295591	-0.20379052307204	-0.0699280992806105	-0.29198544616469	-0.0786441352538069	-0.0372734688226835	-0.330273014699477	-0.470876301460994	-0.456837001280643	-0.306373048106568	0.0799089224797725
ERBB3	0.0363677584891219	0.0357036958602715	0.017802436753095	0.0105075774366199	0.0753618086000469	0.0191517564113378	0.0169176109045912	-0.00249011951535906	0.0706943090033687	0.0887564422475549	0.381366678501821	0.0560638726408026	0.0987044162489126	0.0205328421457929	0.0797711857367248	1	0.607144087817512	0.487495950051849	0.181202330726619	0.20076348708672	-0.00429790578620313	0.598112197439344	0.591438969600058	0.0416955998966713	0.0361890131175291	0.590880497380439	0.13633448408463	0.132987694593286	0.613075507673088	0.657380400911366	0.505594762513301	-0.0769767932080439	0.675904095094238	0.113220137066724	0.568130509817268	0.659418289502461	0.70192457942965	0.643757761127685	0.678313257240323	0.661562192078661
CANX	-0.314855237669672	-0.342703348779646	-0.339450509697095	-0.393282571820713	-0.29172557153378	-0.40812994424062	-0.3473881187429	-0.413109703223255	-0.448517556944311	-0.154526410685151	0.0661392967694448	-0.238950777693718	-0.337730301668288	-0.286409208761216	-0.321498609537433	0.607144087817512	1	0.473939992046332	0.461064060985387	-0.0515565128405353	-0.359668579309354	0.698183644837794	0.870243227767917	-0.342480217468868	-0.27825439157255	0.813892846810187	-0.16847542893387	0.574788224703284	0.933574242382142	0.980205381384224	0.956156903809826	0.446489026380917	0.965765624148449	0.514395410602017	0.932930268429465	0.933448700217953	0.874721450270612	0.968299331036502	0.937593575978117	0.902855577695074
ITGB1	0.6164896966137	0.600309867547923	0.585411228768789	0.528723445343844	0.640470648508341	0.524766150572804	0.586086409074828	0.493416099933061	0.451689084308851	0.759303342146838	0.730608302115296	0.703573565420859	0.604564536146873	0.646517086823202	0.611029447402873	0.487495950051849	0.473939992046332	1	0.609977135120461	0.785772955475259	0.579156461202959	0.880500809846897	0.578927805974207	0.605835810249995	0.658383535832974	0.683234500812024	0.751372744792628	0.466114955954784	0.6593413601279	0.368837118399434	0.598718757369887	0.516777681246908	0.474772233855387	0.514741311143214	0.658719521440024	0.342746319900607	0.285437948647764	0.32708866192728	0.383970554526001	0.748194351703093
HLA-DPA1	0.114106680541921	0.125587917317632	0.0742729218783361	0.0423319485084191	0.135082047334246	0.0212124289983362	0.120772476057349	0.0096216013520302	-0.0714364536293878	0.351713825425781	0.0993422830384729	0.286003424850258	0.172877677833235	0.193116149020442	0.101111576541053	0.181202330726619	0.461064060985387	0.609977135120461	1	0.349224921031535	0.0821542004056286	0.420641386702737	0.590660352259968	0.116724007920919	0.255885295767861	0.271970920819042	0.282172738695994	0.833601447192118	0.398037623245156	0.368667030725207	0.687456889772628	0.840925952915739	0.296285452663218	0.971292262147259	0.416233362621802	0.139759078342106	0.266434351589745	0.405906646950759	0.16566881455582	0.58316247513138
TNFRSF14	0.940545691630135	0.933432470035329	0.920303483889377	0.894440609486786	0.938361993871861	0.900921480738291	0.922099357710546	0.888049744811075	0.850064287066104	0.955096609523291	0.913886018595678	0.947619032976366	0.929101366443131	0.931647312750758	0.940181680710415	0.20076348708672	-0.0515565128405353	0.785772955475259	0.349224921031535	1	0.910709469559927	0.61801400885427	0.00261334421261486	0.925742066951151	0.921654976723073	0.375174578680108	0.925737486928211	0.00811719281613416	0.194026446301213	-0.125336940190252	0.096104870912277	0.132468669644014	-0.0512928873642303	0.171799809999506	0.223522997387949	-0.115421374520389	-0.259765562460292	-0.203347318614705	-0.09121741000485	0.360642647857081
S1PR4	0.990925811840991	0.987057928175284	0.992582028730691	0.982808468046096	0.987215669621648	0.983503804060965	0.988646645542801	0.973544585649603	0.940303148255194	0.945630547683541	0.858341411289173	0.971754022993797	0.960898444146273	0.989363733335941	0.984403247743082	-0.00429790578620313	-0.359668579309354	0.579156461202959	0.0821542004056286	0.910709469559927	1	0.364320185431072	-0.276747194517599	0.993976768041076	0.97321899744732	0.112383873696575	0.896666070159388	-0.195611835427075	-0.0907710389096903	-0.434124512964624	-0.239819795705713	-0.037126523885955	-0.330988202891684	-0.0969661285968112	-0.0758444291272892	-0.363752428430383	-0.487940095516922	-0.489577288676587	-0.343844553290356	0.0336875664268791
TSPAN5	0.419199324117003	0.384865868795978	0.384505894430038	0.323393288329741	0.438214902851456	0.324454454423196	0.37398291908267	0.29252351919759	0.272706748463003	0.523031123143904	0.70464013514737	0.455264345046888	0.359370211611178	0.418491640399572	0.406112414296703	0.598112197439344	0.698183644837794	0.880500809846897	0.420641386702737	0.61801400885427	0.364320185431072	1	0.660383998062193	0.383387230051558	0.400364227918802	0.918099311242815	0.529494462737172	0.338489849561726	0.870248051218045	0.637922212900337	0.723732237277767	0.338042474138371	0.721697224613573	0.353321435792155	0.877102491162656	0.661301859811367	0.496443079686022	0.556784365392602	0.685504772668482	0.899060126916753
LPP	-0.234654809975369	-0.253940209288539	-0.264337141313677	-0.326923474276026	-0.193119610698726	-0.339943954535823	-0.254646531314962	-0.362695304783333	-0.381772987126162	-0.010616918796952	0.0148426074956733	-0.106203189766086	-0.239059278497344	-0.184048570308909	-0.254604059109411	0.591438969600058	0.870243227767917	0.578927805974207	0.590660352259968	0.00261334421261486	-0.276747194517599	0.660383998062193	1	-0.250869171905481	-0.148741239904122	0.643849400408713	0.0123278277017856	0.729318830691435	0.858198585285629	0.818778466856729	0.882276361375668	0.620132192837738	0.859756829923651	0.650298529844174	0.804107129317685	0.742769700971906	0.86199906280916	0.859092582460009	0.78332775064295	0.81000406414379
GPR171	0.993583078946807	0.996539510498494	0.984342245284676	0.986586485638103	0.993994285063238	0.989781682449494	0.992204715469057	0.964052058536047	0.949858685597968	0.953853416958751	0.864184109945691	0.979794233009176	0.976590288350493	0.988449958749197	0.993609863625911	0.0416955998966713	-0.342480217468868	0.605835810249995	0.116724007920919	0.925742066951151	0.993976768041076	0.383387230051558	-0.250869171905481	1	0.97281289240957	0.119769388816153	0.91728995154094	-0.164750016603253	-0.080157812239567	-0.413515111697127	-0.216726609574802	-0.0289482582852383	-0.317850114002252	-0.0633331643605498	-0.0659334546992274	-0.360062412265286	-0.473902982206083	-0.473240405178166	-0.337623258212231	0.0581167622653652
ITGA4	0.961927461796304	0.967415709139759	0.959188442298623	0.9446912405053	0.971469117254103	0.938518369302401	0.969752718821096	0.922958424003126	0.87088142297304	0.975274078216148	0.821759855287176	0.988703172654253	0.943584139895405	0.98968416995756	0.954442597062675	0.0361890131175291	-0.27825439157255	0.658383535832974	0.255885295767861	0.921654976723073	0.97321899744732	0.400364227918802	-0.148741239904122	0.97281289240957	1	0.115151627216306	0.898972904131506	-0.0390236404311143	-0.0378726022532278	-0.372478398931444	-0.121621621413332	0.130592243579046	-0.273721452789017	0.0817581501802129	-0.0209938816599328	-0.338526583682352	-0.410984913261781	-0.406154795847235	-0.317489546144929	0.117511232462792
SMAP1	0.163985071487122	0.119124203051313	0.149608697605916	0.0883369399538751	0.167668024750715	0.0816128058151144	0.115639808201315	0.0794118500740114	0.057486999123669	0.243624529686809	0.541380573808436	0.164918016299816	0.105542093408851	0.154856328242109	0.159459974856129	0.590880497380439	0.813892846810187	0.683234500812024	0.271970920819042	0.375174578680108	0.112383873696575	0.918099311242815	0.643849400408713	0.119769388816153	0.115151627216306	1	0.260463061047835	0.242170423133354	0.933290518784477	0.793434048585666	0.769515741279267	0.240900100150011	0.833864729462812	0.249499303678161	0.952350241720671	0.829845976418354	0.589845569324758	0.695725259924171	0.850925918050828	0.901698396499902
PTGER4	0.921715635088746	0.922084606519257	0.912009974369201	0.887589984557773	0.925791424823657	0.896065430485847	0.914930924076571	0.872250144554545	0.879529604763955	0.952833293023004	0.822943989952868	0.939892564786633	0.93634247721421	0.919198302425244	0.925319405500307	0.13633448408463	-0.16847542893387	0.751372744792628	0.282172738695994	0.925737486928211	0.896666070159388	0.529494462737172	0.0123278277017856	0.91728995154094	0.898972904131506	0.260463061047835	1	0.0399027781347582	0.117723104435604	-0.248302074621622	-0.0206589947154855	0.158483331115716	-0.143107346755782	0.147684737178678	0.113688698723211	-0.24759003532769	-0.3341584987614	-0.320061163964343	-0.190253690565208	0.209941451372022
SORL1	-0.177929340744652	-0.168502936001737	-0.21503363660396	-0.253053458458773	-0.146533118313821	-0.270978093201092	-0.177672133573724	-0.303799113743197	-0.355712777498542	0.0641344105506114	-0.167690219223799	0.00853179274118135	-0.144165816087298	-0.0912982876177455	-0.201210828583899	0.132987694593286	0.574788224703284	0.466114955954784	0.833601447192118	0.00811719281613416	-0.195611835427075	0.338489849561726	0.729318830691435	-0.164750016603253	-0.0390236404311143	0.242170423133354	0.0399027781347582	1	0.480273185716141	0.463437622156002	0.727593096276519	0.867757072276388	0.438167866445623	0.895136790253517	0.451706635369044	0.284131130949646	0.462418200158022	0.546757099759888	0.308148070009339	0.531695664139663
PTPRA	-0.0396992985155431	-0.0819725250860045	-0.0600025892719473	-0.130596060571923	-0.021173742906884	-0.142458455549798	-0.0812177705084764	-0.147576385443692	-0.181988674925335	0.104436267255532	0.327160572326409	0.0129122367811554	-0.0925237289213807	-0.0247333801547621	-0.0576584601339974	0.613075507673088	0.933574242382142	0.6593413601279	0.398037623245156	0.194026446301213	-0.0907710389096903	0.870248051218045	0.858198585285629	-0.080157812239567	-0.0378726022532278	0.933290518784477	0.117723104435604	0.480273185716141	1	0.89362598433752	0.895662365145704	0.41081939058398	0.941829483310385	0.421446672408059	0.98446581850092	0.898181185405015	0.783810543655434	0.85463042228644	0.924591981382704	0.933656634836993
THY1	-0.384524138152441	-0.409726354116812	-0.407184783110767	-0.446517504853458	-0.363819716354671	-0.459773123302104	-0.414582903544915	-0.462018426488049	-0.471778741740595	-0.25055549516279	0.0290626987573043	-0.333037182667345	-0.392248573417593	-0.371658408118024	-0.38183049295591	0.657380400911366	0.980205381384224	0.368837118399434	0.368667030725207	-0.125336940190252	-0.434124512964624	0.637922212900337	0.818778466856729	-0.413515111697127	-0.372478398931444	0.793434048585666	-0.248302074621622	0.463437622156002	0.89362598433752	1	0.9031117907416	0.312096290232144	0.956087926949267	0.421860574934553	0.892511742918093	0.950876263103811	0.886666667741197	0.974262599053387	0.955222461054849	0.865495638395318
CD81	-0.192199642167329	-0.212138249967182	-0.226011776064214	-0.282002163213009	-0.16829540683035	-0.30106236290046	-0.218045449476055	-0.311621541859711	-0.371338936650925	0.0140782634757301	0.107654975317028	-0.0774211077863191	-0.202303331720255	-0.14352311561829	-0.20379052307204	0.505594762513301	0.956156903809826	0.598718757369887	0.687456889772628	0.096104870912277	-0.239819795705713	0.723732237277767	0.882276361375668	-0.216726609574802	-0.121621621413332	0.769515741279267	-0.0206589947154855	0.727593096276519	0.895662365145704	0.9031117907416	1	0.650178660648918	0.876740523362388	0.726337254169635	0.909513079969907	0.799218292125219	0.76415193421479	0.894854765762217	0.810028884090063	0.924153702220607
HAVCR2	-0.0407899703336882	-0.0371943335143828	-0.0564850258058214	-0.117981006610846	-0.0183290381584682	-0.145790399519747	-0.0328567754548255	-0.159039569660676	-0.26039653051924	0.223097604884725	-0.106379440007965	0.147460768602449	-0.0388166240560209	0.0754288107366457	-0.0699280992806105	-0.0769767932080439	0.446489026380917	0.516777681246908	0.840925952915739	0.132468669644014	-0.037126523885955	0.338042474138371	0.620132192837738	-0.0289482582852383	0.130592243579046	0.240900100150011	0.158483331115716	0.867757072276388	0.41081939058398	0.312096290232144	0.650178660648918	1	0.314519424765747	0.898850233795253	0.427232296708476	0.152105072303551	0.263919831817824	0.368130785333152	0.182535127289475	0.461837478465198
ITGAV	-0.286572735786407	-0.322282222881589	-0.308656302969999	-0.367900281847877	-0.2602318489153	-0.375728818161131	-0.329822453828572	-0.383337378961294	-0.402158076181884	-0.158090244584457	0.114305017891385	-0.23715930778824	-0.326087747731445	-0.277454992461577	-0.29198544616469	0.675904095094238	0.965765624148449	0.474772233855387	0.296285452663218	-0.0512928873642303	-0.330988202891684	0.721697224613573	0.859756829923651	-0.317850114002252	-0.273721452789017	0.833864729462812	-0.143107346755782	0.438167866445623	0.941829483310385	0.956087926949267	0.876740523362388	0.314519424765747	1	0.348380869096669	0.928056302451428	0.967937954678913	0.910196304672655	0.937746287187045	0.974544917494504	0.868547905518187
CD74	-0.0657028805178235	-0.0519685464372423	-0.101835330521062	-0.135347060029108	-0.0425526504948533	-0.158898562534438	-0.0549573531572887	-0.173081650939045	-0.246364243213278	0.194305088513225	-0.0766144130542574	0.116887504512737	-0.0047591042010009	0.0217793861800648	-0.0786441352538069	0.113220137066724	0.514395410602017	0.514741311143214	0.971292262147259	0.171799809999506	-0.0969661285968112	0.353321435792155	0.650298529844174	-0.0633331643605498	0.0817581501802129	0.249499303678161	0.147684737178678	0.895136790253517	0.421446672408059	0.421860574934553	0.726337254169635	0.898850233795253	0.348380869096669	1	0.437160343144817	0.184027139093322	0.318429408798457	0.463654917108235	0.214556875956936	0.550447756280209
NCL	-0.0258957646550907	-0.0644057856917324	-0.0463520791689001	-0.116239819167208	-0.0102750184517833	-0.128008470850381	-0.0673902473027752	-0.133147901509878	-0.176815668462287	0.116057598729069	0.345107565039303	0.0250945540077291	-0.079916984744036	-0.00761426701595435	-0.0372734688226835	0.568130509817268	0.932930268429465	0.658719521440024	0.416233362621802	0.223522997387949	-0.0758444291272892	0.877102491162656	0.804107129317685	-0.0659334546992274	-0.0209938816599328	0.952350241720671	0.113688698723211	0.451706635369044	0.98446581850092	0.892511742918093	0.909513079969907	0.427232296708476	0.928056302451428	0.437160343144817	1	0.891030982771834	0.727062058353469	0.832361646825591	0.906429808025105	0.946095813026763
PTPRZ1	-0.328188658849888	-0.365621923980494	-0.337409496260474	-0.394254298899442	-0.310624120037412	-0.399893021895279	-0.370600982934447	-0.393446304890276	-0.410254664894208	-0.244950833029798	0.113576828558008	-0.311965651317479	-0.380734943190017	-0.327383007339439	-0.330273014699477	0.659418289502461	0.933448700217953	0.342746319900607	0.139759078342106	-0.115421374520389	-0.363752428430383	0.661301859811367	0.742769700971906	-0.360062412265286	-0.338526583682352	0.829845976418354	-0.24759003532769	0.284131130949646	0.898181185405015	0.950876263103811	0.799218292125219	0.152105072303551	0.967937954678913	0.184027139093322	0.891030982771834	1	0.888099889845628	0.925471199846132	0.991231296712508	0.819588575130426
NOTCH1	-0.45949601695877	-0.486503506256468	-0.48125081071351	-0.528578248051034	-0.423845000414082	-0.53532741390686	-0.49070285947786	-0.541208929356833	-0.548214566344733	-0.330901567692153	-0.108344013412025	-0.39243801877855	-0.482891574805826	-0.440943730119829	-0.470876301460994	0.70192457942965	0.874721450270612	0.285437948647764	0.266434351589745	-0.259765562460292	-0.487940095516922	0.496443079686022	0.86199906280916	-0.473902982206083	-0.410984913261781	0.589845569324758	-0.3341584987614	0.462418200158022	0.783810543655434	0.886666667741197	0.76415193421479	0.263919831817824	0.910196304672655	0.318429408798457	0.727062058353469	0.888099889845628	1	0.942536485372918	0.88977230100419	0.719979289296459
LRP1	-0.45235943544692	-0.476527544700155	-0.470771318357012	-0.518353369002403	-0.427620695337778	-0.533188346528694	-0.477961407294363	-0.526395713872622	-0.553895582152674	-0.300445189260178	-0.0725734666962828	-0.376823050905626	-0.459518569310957	-0.423019901751833	-0.456837001280643	0.643757761127685	0.968299331036502	0.32708866192728	0.405906646950759	-0.203347318614705	-0.489577288676587	0.556784365392602	0.859092582460009	-0.473240405178166	-0.406154795847235	0.695725259924171	-0.320061163964343	0.546757099759888	0.85463042228644	0.974262599053387	0.894854765762217	0.368130785333152	0.937746287187045	0.463654917108235	0.832361646825591	0.925471199846132	0.942536485372918	1	0.926470068873021	0.822087800138837
ROBO1	-0.303527822000459	-0.341912960832258	-0.311647558778253	-0.366279566944613	-0.285257895038278	-0.37652129996884	-0.342194947461105	-0.370171269631707	-0.379339945951382	-0.206175240607255	0.131274175818158	-0.283886782946387	-0.345495522254799	-0.301386676982463	-0.306373048106568	0.678313257240323	0.937593575978117	0.383970554526001	0.16566881455582	-0.09121741000485	-0.343844553290356	0.685504772668482	0.78332775064295	-0.337623258212231	-0.317489546144929	0.850925918050828	-0.190253690565208	0.308148070009339	0.924591981382704	0.955222461054849	0.810028884090063	0.182535127289475	0.974544917494504	0.214556875956936	0.906429808025105	0.991231296712508	0.88977230100419	0.926470068873021	1	0.830904906738697
C1QBP	0.0867715914912784	0.0616922591378496	0.0519199622549938	-0.0036774082276822	0.110480323467108	-0.0148032196981904	0.051060897882519	-0.030976637533806	-0.0721295836060201	0.242019993644726	0.434099930378512	0.162033018743339	0.0602323666504349	0.111156875172944	0.0799089224797725	0.661562192078661	0.902855577695074	0.748194351703093	0.58316247513138	0.360642647857081	0.0336875664268791	0.899060126916753	0.81000406414379	0.0581167622653652	0.117511232462792	0.901698396499902	0.209941451372022	0.531695664139663	0.933656634836993	0.865495638395318	0.924153702220607	0.461837478465198	0.868547905518187	0.550447756280209	0.946095813026763	0.819588575130426	0.719979289296459	0.822087800138837	0.830904906738697	1
