""	KLRD1	C3AR1	PLXDC2	CXCR4	TREM2	PTPRC	ITGB1	LRP1	CD81	CD2	CD3D	HLA.DPB1	ITGB2	CD69	FPR1	CD68	CD63	LAIR1	VSIR	SORL1	C1QBP	PTPRZ1
CD3D	0.377331031617193	0.593499399449503	0.558483479357193	0.703456708114808	0.648721590437602	0.42083198504012	0.597549477532347	0.5003942121594	0.727139144891592	0.6396267901449	1	0.703468296770153	0.647471322287886	0.625950082913171	0.572419980393565	0.590587404453671	0.642753478097591	0.500754262617719	0.643273191985431	0.664219682865516	0.652085818187715	0.663468965846028
HLA-DPB1	0.677011271490441	0.676108609998566	0.67655523841512	0.832390884495473	0.920707988403452	0.487481461835305	0.738847740419062	0.570735705955725	0.950604942790424	0.761587481562849	0.703468296770153	1	0.889851287291162	0.841803961030267	0.696174235156951	0.864784432244677	0.961215896793685	0.746877224182553	0.832037571830837	0.888116659349369	0.889928313736899	0.756934030387836
ITGB2	0.625432936647638	0.601415327700693	0.701142068033319	0.79705600183577	0.817541244958713	0.56010423465891	0.767067290936315	0.670111735267714	0.862400017783866	0.704110607893354	0.647471322287886	0.889851287291162	1	0.706222557738932	0.708987107235015	0.790247605851197	0.885227561751749	0.683462932564758	0.746145701111898	0.852341604380266	0.81339329473159	0.773708277260834
CD69	0.582224229350477	0.70634073928877	0.678260805895532	0.716762964604427	0.799345837521551	0.421600361068708	0.706486131497341	0.411279645532896	0.811795845351715	0.687750114229358	0.625950082913171	0.841803961030267	0.706222557738932	1	0.610783062655584	0.679250027064724	0.804801002983149	0.614983731193452	0.728136846410702	0.769553290223712	0.809005061215437	0.689184228603794
FPR1	0.436947758805821	0.461941737215682	0.623132657361245	0.613625979490435	0.643644376030073	0.450904920811704	0.662496023774379	0.460454099619498	0.688476058934978	0.555052718781784	0.572419980393565	0.696174235156951	0.708987107235015	0.610783062655584	1	0.610219413893226	0.662361694577467	0.509483999008108	0.606057681255178	0.687300532037673	0.665727959059639	0.690000859280055
CD68	0.57127412054654	0.572468524443452	0.614813921296754	0.78716233950849	0.854955234165321	0.524992726104546	0.670218292107245	0.621310833345435	0.853372823324388	0.679756940507577	0.590587404453671	0.864784432244677	0.790247605851197	0.679250027064724	0.610219413893226	1	0.865874623858277	0.681664353721595	0.757669729418334	0.796415930589356	0.81597656652926	0.727910362651182
CD63	0.63795400596704	0.697766530144693	0.638689504935633	0.822640771222486	0.901595107632126	0.438794194621691	0.728934537001337	0.538725927925723	0.93925059053353	0.726115000076783	0.642753478097591	0.961215896793685	0.885227561751749	0.804801002983149	0.662361694577467	0.865874623858277	1	0.731492610848473	0.840249736481928	0.875530887276337	0.8825646453018	0.698362297990224
LAIR1	0.556160173847494	0.443780421718448	0.533029559601811	0.643874221669126	0.663944560984278	0.330613910421824	0.573159198291071	0.509273571099015	0.742095545111743	0.572225866816327	0.500754262617719	0.746877224182553	0.683462932564758	0.614983731193452	0.509483999008108	0.681664353721595	0.731492610848473	1	0.687162753806941	0.672981301848332	0.702331707068663	0.552778803787331
VSIR	0.508745506876242	0.618087269171869	0.644260560105263	0.770632042150356	0.759406292306029	0.452155851175213	0.664319739572013	0.559972529954568	0.815368871872346	0.601172482695738	0.643273191985431	0.832037571830837	0.746145701111898	0.728136846410702	0.606057681255178	0.757669729418334	0.840249736481928	0.687162753806941	1	0.780649391650719	0.807295526833948	0.652618568083524
SORL1	0.556248274159681	0.649046940978465	0.727448777718834	0.848535941378466	0.83661762587163	0.54152739906805	0.767342037349239	0.649963235087219	0.881577780517056	0.726273214989484	0.664219682865516	0.888116659349369	0.852341604380266	0.769553290223712	0.687300532037673	0.796415930589356	0.875530887276337	0.672981301848332	0.780649391650719	1	0.814341760814119	0.751891582556319
C1QBP	0.582513589983059	0.703401594708822	0.666276980725746	0.819057785378701	0.847761170331792	0.482554591184408	0.681727605946961	0.56782102298699	0.883112174763443	0.738720639087858	0.652085818187715	0.889928313736899	0.81339329473159	0.809005061215437	0.665727959059639	0.81597656652926	0.8825646453018	0.702331707068663	0.807295526833948	0.814341760814119	1	0.70696427078298
PTPRZ1	0.486997875201605	0.576610144597173	0.805733175587881	0.74117046416152	0.761990658172707	0.70296403380025	0.717963015989198	0.677073803180215	0.75320155747199	0.67410442398475	0.663468965846028	0.756934030387836	0.773708277260834	0.689184228603794	0.690000859280055	0.727910362651182	0.698362297990224	0.552778803787331	0.652618568083524	0.751891582556319	0.70696427078298	1
