""	TREM2	C3AR1	SORL1	CD74	LRP1	ITGAX	ABCA1	CD4	CD81	CD33	ITGB2	ITGAV	ITGAM	TNFRSF1B	AXL	RHBDF2	ADCY7	LAIR1	HAVCR2	TMIGD3	PLXDC2	SLC1A5	ADORA3	KCNQ3	MERTK	SORT1	GPNMB	LPP	TLR2	P2RY12	TNFRSF1A	PTPRC	C1QBP	TLR4	C5AR1	LILRB1	CD46	ITGB1	ADRB2	INSR	PLAUR	PILRA	PLXNB2	IL6R	TLR7	FPR1	TLR1	CXCR4	LILRA4	ENG	CD47	CD9	TSPAN14	NCSTN	CD69	PTPRA	CANX	SIRPA	APLP2	SMAP1
ITGB2	0.877949727900802	0.618074838740664	0.917437591353478	0.95414291235355	0.719304360396521	0.550851146835234	0.53543185640999	0.863505664102379	0.920341688420672	0.733438996708011	1	0.475483017743931	0.716439292066309	0.726011625947983	0.841178001790888	0.73962002821175	0.724068096371851	0.811844700078374	0.820353565546344	0.725063433865448	0.840712996973711	0.808855859556317	0.791417850219186	0.696832674657973	0.701641991063641	0.760104226222433	0.856886238052631	0.690292712828619	0.776035388392877	0.758767658790127	0.672915263399289	0.827462110233697	0.823041951986477	0.530704254306325	0.289278988407658	0.732758600852209	0.550846513912714	0.796049909084063	0.397243475733702	0.597815634882217	0.402523080417324	0.797798189029998	0.607837691727193	0.839946208375321	0.828421811038965	0.507894507236686	0.427564485722169	0.447011630542259	0.857329507006983	0.856186933562402	0.548296720385968	0.821064750345723	0.735712535015749	0.704888140069769	0.403826027728512	0.677679844897033	0.916664944451534	0.629417720956027	0.841479087023909	0.589770205938906
ITGAV	0.329873076023428	0.596364568928899	0.517500676649688	0.575976008483743	0.829123320762927	0.886347767683979	0.774751507532532	0.650484882222041	0.604642294308715	0.572493879673719	0.475483017743931	1	0.672497160247153	0.835235210654851	0.714330704180721	0.550919000587894	0.58283696956141	0.726535777400918	0.595583160225027	0.591369174942303	0.564865506214515	0.648835554853642	0.765487381301092	0.217361686151948	0.539019469220179	0.369580014788374	0.582387393543156	0.555278005014396	0.387444326397301	0.250698761656526	0.253611902785466	0.639809372034819	0.244497297627038	0.772854241144061	0.766671225341933	0.438735012305645	0.158971786678255	0.587513662352538	0.63977058288334	0.644917973557585	0.915975296435823	0.422831455215401	0.663157556272298	0.651381905479676	0.612805271964473	0.695845880391766	0.0686948271108734	0.7884521683371	0.335456348483602	0.445758313258821	0.629302869740698	0.500628983368577	0.686909856941412	0.456533495623764	0.844775803231393	0.610126814680726	0.431051877890889	0.0952993679061682	0.757580404315111	0.697581637309334
ITGAM	0.606099124196149	0.457414456848221	0.671020705808105	0.797098921559655	0.823909075035336	0.754584495332377	0.728196309472939	0.794648603872845	0.821299558216908	0.659348930791484	0.716439292066309	0.672497160247153	1	0.760570309560122	0.782732711126692	0.558083746399768	0.56846974314948	0.704805371552112	0.645075141093866	0.74623662350859	0.668793947425669	0.726553058832236	0.791971625997859	0.558493126636384	0.529745651371102	0.5788218731694	0.725575371162031	0.541483544472907	0.560123490138341	0.46058024369	0.382197878393466	0.700419207729963	0.482018180611398	0.685559996191137	0.629646102385485	0.44402039420369	0.182866993911848	0.544970611969013	0.460038510711669	0.590421563327927	0.662687805310204	0.611921266548691	0.669844916977433	0.725160865782069	0.652877039823386	0.635716324884208	0.152078661155237	0.693195732914416	0.555888807230969	0.632202167776233	0.403821425529751	0.716780531835731	0.660734862146615	0.515451973726599	0.659056890056364	0.562857314495674	0.674282545345721	0.19901875954221	0.761341559069506	0.576026844106467
TNFRSF1B	0.600651059602524	0.613795860593639	0.77446462982379	0.834176104553824	0.92629643880471	0.892834472998292	0.865006915685548	0.895002218878141	0.84584399985111	0.55212596331903	0.726011625947983	0.835235210654851	0.760570309560122	1	0.851460784498357	0.750418119687507	0.758814306997417	0.804637992745949	0.832471301126928	0.776026162458241	0.814144943576785	0.843119790869538	0.897255309653323	0.496585836057186	0.686675674177594	0.611461523571294	0.787368112799833	0.679072156778437	0.598353526678033	0.400724682518	0.6306342701972	0.824860030521474	0.523534733355449	0.880219652124697	0.684375057331891	0.585736912797381	0.243714079189554	0.746912907587185	0.681290423254237	0.665049415121103	0.787862145828963	0.726839968631777	0.739848669992367	0.798305262064357	0.751003844612682	0.803189765783172	0.159852171344991	0.823754386893923	0.683442082583963	0.650340198420834	0.712006688903619	0.693921252674502	0.78502836003575	0.6774308653991	0.816029571351678	0.678307379302222	0.649674842803593	0.303392904934189	0.877349540289316	0.826795542129363
AXL	0.68388955238085	0.776600848283279	0.902127184950339	0.917019421508267	0.85602263042443	0.767689628865151	0.737700294164234	0.903144266311838	0.901557409043692	0.756520889910744	0.841178001790888	0.714330704180721	0.782732711126692	0.851460784498357	1	0.887269547888877	0.818782437500848	0.947039410502522	0.890367417446037	0.845914703378195	0.88775636002591	0.779583473231259	0.863604845409396	0.708832669603316	0.822418968597923	0.771526100221104	0.770158945446816	0.820624242954495	0.744224924611357	0.629692923264826	0.664597813209884	0.927851758012562	0.590110304603603	0.77933252807221	0.582197488772725	0.79602132409394	0.4795878244811	0.875244896506468	0.665719309892615	0.846853678868428	0.602229534585148	0.812882360865478	0.668155188220716	0.884791047610087	0.833252115186068	0.693033266799295	0.398220369441323	0.700098197288971	0.72279969799284	0.728785632511378	0.791207544649175	0.661310798651841	0.874912679288306	0.737879439834659	0.649690201377801	0.795684701354684	0.798065507571381	0.545905520870178	0.93656758911382	0.657459141910553
RHBDF2	0.607626860915134	0.773623423867957	0.903108888839029	0.826076059649558	0.67760266750402	0.650434648132672	0.662410723105307	0.803498542603858	0.801357192572926	0.675513481868426	0.73962002821175	0.550919000587894	0.558083746399768	0.750418119687507	0.887269547888877	1	0.835392860754383	0.883264447346581	0.874599260828194	0.710250461345329	0.921053619475334	0.721109158416263	0.682202588850623	0.69412578126376	0.781691585114732	0.833003508980996	0.679865009502084	0.858812516318696	0.816955082040204	0.544747926929387	0.69028657055483	0.914379653266225	0.61796366967743	0.709391127537034	0.447589256396493	0.857499532736351	0.569258948112251	0.859251397746549	0.691625304611169	0.790959352745982	0.395554239724851	0.807186358098751	0.549395042363566	0.808092467572774	0.674413113557858	0.548796512933971	0.448282742280023	0.538049105871105	0.731679382649246	0.655108667812512	0.820869965946628	0.488409680163354	0.834096930791814	0.74161555377515	0.481215168553391	0.682032387848288	0.778180577579565	0.689837214229983	0.838744797164474	0.541384972532881
ADCY7	0.57141194454132	0.612781854849519	0.780815903908937	0.803085536443607	0.744906883318716	0.755421712131865	0.66524445943627	0.724212459374836	0.782238777516904	0.504219436914868	0.724068096371851	0.58283696956141	0.56846974314948	0.758814306997417	0.818782437500848	0.835392860754383	1	0.865463593666368	0.898118516889421	0.750045360742249	0.895671089294387	0.63942539470944	0.790640474855116	0.495187625164074	0.854759061384434	0.77970886174239	0.624342586637363	0.886597239748747	0.706868500521753	0.454233696197916	0.756642440113914	0.828106827433632	0.636427446683747	0.763699239384724	0.565490205085923	0.654760030001072	0.39317348393773	0.946208559460412	0.592157839155729	0.628936183624328	0.543097366152433	0.851551966170958	0.724487816165277	0.79445027647888	0.840918987916977	0.69115299520746	0.255949924096693	0.624359246541352	0.690720460794339	0.756437432818504	0.757066648903795	0.620124324371175	0.833548592603338	0.704516956767901	0.590576060443677	0.652207616243691	0.641285502878159	0.439075784975272	0.848158569991834	0.800870970005206
LAIR1	0.679528403698007	0.775342907476766	0.877778420154426	0.879142485589179	0.819685364393527	0.7472729406135	0.676277522147988	0.835578089890715	0.851280207257512	0.764697481043556	0.811844700078374	0.726535777400918	0.704805371552112	0.804637992745949	0.947039410502522	0.883264447346581	0.865463593666368	1	0.847505435454654	0.774279370210855	0.874196555665952	0.73476351919457	0.792719431470832	0.631397859313067	0.801527863706192	0.740859959371462	0.736501294795389	0.831673964017987	0.73923002849868	0.659029359588995	0.625555124800514	0.92474323712528	0.634812394720831	0.718658508708448	0.544705054814155	0.799214896702487	0.531561099213918	0.908170480504862	0.614406424240735	0.813275484386959	0.599408702897224	0.781218195656148	0.638692820336385	0.857379195021403	0.822655798836774	0.625606485663701	0.432490148722962	0.605364376432583	0.711411059281796	0.70221028411251	0.758740105256288	0.645235887023577	0.859663452693255	0.676016633330802	0.591502583743762	0.768495127509783	0.779208384709794	0.571965398113459	0.939154332363082	0.650658076550379
HAVCR2	0.630019088380313	0.624191304101001	0.867028270378615	0.876258654191474	0.816153710810645	0.757820005887531	0.745196058515941	0.840829132801168	0.875412747690171	0.571857920987617	0.820353565546344	0.595583160225027	0.645075141093866	0.832471301126928	0.890367417446037	0.874599260828194	0.898118516889421	0.847505435454654	1	0.832710563617726	0.924088231638827	0.726569155717002	0.854131634036724	0.602685196915984	0.903245285915231	0.763479474965894	0.708816899788394	0.87554357188626	0.711241067436041	0.474106918037865	0.793525240268214	0.83453842633639	0.646881482582	0.800838684931516	0.585854352366853	0.721904951485351	0.415977081738594	0.89752093926273	0.653280926774579	0.686526775017581	0.564391716684609	0.882802449244137	0.767150696123279	0.841501631204037	0.859131712166052	0.733506017793586	0.299518639015613	0.705601122749749	0.731992610827648	0.813348081936789	0.832434747433154	0.660358228682762	0.828254555602164	0.769467773801351	0.644958479685791	0.675937855851117	0.707785373959848	0.457741863017068	0.892331830929076	0.751760389056793
TMIGD3	0.631898052421368	0.475586217812013	0.741988521297942	0.825134104250732	0.8827591235986	0.738310597058739	0.766628410481199	0.814943677132431	0.847968115355851	0.481089462049688	0.725063433865448	0.591369174942303	0.74623662350859	0.776026162458241	0.845914703378195	0.710250461345329	0.750045360742249	0.774279370210855	0.832710563617726	1	0.80378524335026	0.651002867054082	0.769295681572279	0.555026690995853	0.758263384291778	0.59756462351233	0.575930718918684	0.727450812882939	0.524226351766548	0.449663175498569	0.732128001446364	0.772622284260521	0.629056107578133	0.775545607079279	0.649894052676125	0.558608431273359	0.194297041961455	0.734221356862819	0.577866467178186	0.545621690313524	0.567049170391942	0.852047411736066	0.697535114299272	0.625848022419841	0.716395118534043	0.687127313092943	0.236649435871811	0.731656516667476	0.645710271589848	0.624673589974589	0.640238399490271	0.758616571739215	0.662048845676061	0.780973469678752	0.626926477477559	0.52464367393966	0.589300561063704	0.251061561079159	0.822673744019327	0.667400118673949
PLXDC2	0.748048739936633	0.679353340744252	0.931303937820139	0.92021495664815	0.768445423654809	0.725328653734057	0.680288074987768	0.893802825702982	0.901187504801706	0.637192860702013	0.840712996973711	0.564865506214515	0.668793947425669	0.814144943576785	0.88775636002591	0.921053619475334	0.895671089294387	0.874196555665952	0.924088231638827	0.80378524335026	1	0.820157120161906	0.802856598498613	0.719493477624314	0.852331592777006	0.877028309762764	0.784748368574744	0.895414402716924	0.792962571802822	0.581284261413614	0.769387175461895	0.910232011848528	0.729804374956871	0.76781635942011	0.483689305729497	0.754698820450021	0.527638595840422	0.897475311428905	0.687206198714955	0.665720420681861	0.462428594626337	0.903358487668245	0.678099616548628	0.843665221342135	0.778674189288845	0.578623630145518	0.449789116922461	0.578400666981265	0.805527428178731	0.798871488335304	0.731318712328348	0.713669681369362	0.869954497354041	0.780740561835485	0.511250880754866	0.648313026402147	0.807806357516486	0.566405688526844	0.901459801283715	0.713157123457635
SLC1A5	0.817989203177881	0.643221866655809	0.843211270478843	0.882396728270689	0.753000518995526	0.696711487123104	0.598607997577823	0.897581415292556	0.869889333476987	0.728072227522756	0.808855859556317	0.648835554853642	0.726553058832236	0.843119790869538	0.779583473231259	0.721109158416263	0.63942539470944	0.73476351919457	0.726569155717002	0.651002867054082	0.820157120161906	1	0.787201545369461	0.64878068028897	0.556770743406373	0.728575899482366	0.912566087269687	0.6309555581409	0.697032889262784	0.616687773867709	0.566239184188375	0.849251558548566	0.669861903113714	0.680066418195759	0.374089271868578	0.591493962992841	0.476746977465628	0.692467291247178	0.600271039888213	0.536227239013583	0.561540030464308	0.717322543013358	0.560008302704743	0.769406702133089	0.64952216515493	0.485824451159467	0.367120972579875	0.499693294633585	0.813066706233075	0.671244307832199	0.509443668581554	0.777082406192479	0.783565002115468	0.599118890242884	0.477339820080863	0.567209844462657	0.790500764538453	0.482962214489288	0.824138928421405	0.684743130694249
ADORA3	0.623503673637844	0.639521847503594	0.763308468608749	0.856342047768293	0.867341470149319	0.837575656234325	0.733459980089639	0.862059682079575	0.846047628532788	0.597883216476336	0.791417850219186	0.765487381301092	0.791971625997859	0.897255309653323	0.863604845409396	0.682202588850623	0.790640474855116	0.792719431470832	0.854131634036724	0.769295681572279	0.802856598498613	0.787201545369461	1	0.5451612988364	0.781265913003619	0.675779641905934	0.798789192350278	0.701610539221426	0.579289939343987	0.500568279582895	0.651378540635147	0.793020742906379	0.504377785504115	0.816459278760425	0.642564294724061	0.572035070339966	0.300459912437759	0.803129711305841	0.613899349199946	0.692395658967938	0.741442140570554	0.752064342226033	0.748867154947963	0.860418032841249	0.895928718592271	0.808274055118939	0.205248876156532	0.775983380880269	0.640173148626805	0.752013487164558	0.712684843514914	0.733295573689604	0.851317145458233	0.674899355708137	0.778921186009244	0.783641682757232	0.669193905060106	0.302631647937409	0.870822601542754	0.865446185941857
KCNQ3	0.700183078176477	0.653719689202465	0.758200418318106	0.75616864369208	0.448498726320985	0.303276315025324	0.259031347588356	0.745951852410347	0.681229802328895	0.620106529112349	0.696832674657973	0.217361686151948	0.558493126636384	0.496585836057186	0.708832669603316	0.69412578126376	0.495187625164074	0.631397859313067	0.602685196915984	0.555026690995853	0.719493477624314	0.64878068028897	0.5451612988364	1	0.545256044594931	0.770018887947756	0.677856940625998	0.535886202001475	0.571949896973093	0.743685357481887	0.585400539347092	0.739194132850268	0.501088013683772	0.413821040794167	0.0612921124312273	0.630089944630463	0.580500109443162	0.589090327571242	0.492622712626557	0.626231431758295	0.0809156435517847	0.675578816506782	0.267463078824868	0.683840606171726	0.528561504723918	0.244561158731936	0.62584692482167	0.1861388614706	0.670296927595576	0.488945530936928	0.455823170536499	0.50356667011785	0.681761343086575	0.512266938639939	0.140754638281175	0.628722292862707	0.719612016593087	0.629836048788512	0.618567590438451	0.306105663311614
MERTK	0.525160609247818	0.599659647133602	0.75736939170068	0.750501056524442	0.699606061908878	0.670714118446196	0.595118039017729	0.721191776492419	0.723821570897977	0.476477717337568	0.701641991063641	0.539019469220179	0.529745651371102	0.686675674177594	0.822418968597923	0.781691585114732	0.854759061384434	0.801527863706192	0.903245285915231	0.758263384291778	0.852331592777006	0.556770743406373	0.781265913003619	0.545256044594931	1	0.66511321400594	0.563641383753709	0.846889286503706	0.562463547908913	0.435005788279508	0.729685713032187	0.734756978955658	0.511972078179016	0.693905837135035	0.527701193099971	0.667080328560918	0.467329108958379	0.870079867150213	0.662641540446802	0.671650646785694	0.471240375703534	0.771420411811942	0.692171692950585	0.755548324137354	0.8353019663629	0.61360485029948	0.405713747328869	0.613073009545382	0.540056102554655	0.748621825552144	0.802732185464253	0.557153993463986	0.785705891545762	0.713525886635659	0.569893389999589	0.691337446729735	0.597174628309129	0.386328593532547	0.809148596309133	0.682283475387818
SORT1	0.657556898864186	0.692309261208672	0.85348711505849	0.821730807374371	0.535850250681298	0.510363362197312	0.455534612904457	0.753387254162112	0.787073619845116	0.651985436755319	0.760104226222433	0.369580014788374	0.5788218731694	0.611461523571294	0.771526100221104	0.833003508980996	0.77970886174239	0.740859959371462	0.763479474965894	0.59756462351233	0.877028309762764	0.728575899482366	0.675779641905934	0.770018887947756	0.66511321400594	1	0.739656217477623	0.795853867297535	0.793618990271733	0.637584444697573	0.647915563042504	0.826592028458546	0.641817485650513	0.594961707477508	0.290417615635211	0.712163750907689	0.534849054884651	0.80334424146668	0.559418461918241	0.653663317869371	0.265169831181387	0.816123845861983	0.477662237589175	0.796675328734435	0.673804951024636	0.423824325248731	0.423061333070246	0.365837883201226	0.776108092842335	0.697613891509553	0.606196257614881	0.551258612525583	0.851788788414373	0.633413684619193	0.305098646272845	0.607738005080238	0.788696060241548	0.665267189090605	0.745571619084864	0.550325828599362
GPNMB	0.846480485552009	0.628276946051516	0.863866475520143	0.887485781755036	0.697770705929284	0.623871230632034	0.554192872400282	0.880619902640323	0.871823027240098	0.732068541236193	0.856886238052631	0.582387393543156	0.725575371162031	0.787368112799833	0.770158945446816	0.679865009502084	0.624342586637363	0.736501294795389	0.708816899788394	0.575930718918684	0.784748368574744	0.912566087269687	0.798789192350278	0.677856940625998	0.563641383753709	0.739656217477623	1	0.607831896340349	0.708462162464602	0.732954506307476	0.553195821996171	0.833769824373404	0.679789604698627	0.559484463248047	0.265828915969813	0.661708481122543	0.575991206709441	0.687569621309245	0.438517550456499	0.581289942198503	0.493072181859726	0.677045171570508	0.493152965092606	0.836300425697546	0.698362940450127	0.439675708323079	0.442022235583617	0.429220039204576	0.833848411621927	0.770888601439088	0.47410532927536	0.769269443824592	0.769025452622917	0.503458676418908	0.433209477916448	0.651243861557399	0.837372956633798	0.573736319371141	0.800709607101711	0.646000786092656
