""	F2R	ERAP1	CD69	NCL	CXCR4	ITGAV	CD44	PTPRA	FGFR1	CAV1	TFRC	GPC1	PTPRC	RPSA	SMAP1	PTPRZ1	ITGB1	NCSTN	CD81	CANX	CD63	ABCA1	APLP2	LAMP1	CD74
TFRC	0.86808584434604	0.634725904290201	0.5150486135972	0.866981703481008	0.614008916329323	0.832767249268897	0.651593123412598	0.879296101662508	0.837839317545332	0.505403550858699	1	0.562809093148541	0.484836098760898	0.794585582439894	0.875202544999816	0.832535305491348	0.89816441428985	0.875042926639234	0.759580157214459	0.923211630169897	0.772549665092743	0.765136813185567	0.922214878167082	0.790485880249417	0.448191944086492
GPC1	0.527543987629887	0.36375762079544	0.563636528690667	0.736074500672846	0.576200472860448	0.800089604293956	0.898433728919806	0.664282579041335	0.626082541081382	0.788995872407111	0.562809093148541	1	0.638866869407931	0.78706565181625	0.596613302068363	0.610650587724316	0.743688411783379	0.629438576582976	0.883932929055043	0.615573705066648	0.894790241939953	0.552899779062213	0.696454764884886	0.776929641666688	0.205690112653539
PTPRC	0.454508140066579	0.293475483177299	0.872415235004992	0.640066721876484	0.902383170520739	0.633228616227561	0.73594382582354	0.573006732764244	0.408758167109371	0.323306786510337	0.484836098760898	0.638866869407931	1	0.488085546818772	0.41161484276754	0.584841379886025	0.675857817255068	0.489185341880355	0.674781829362837	0.376927544329739	0.652407018529627	0.66240753997212	0.548275174443109	0.777111741454346	0.741836364707039
RPSA	0.675581364624406	0.369554698648978	0.473505491797024	0.923736513369832	0.547600421005645	0.831131008332594	0.776427457487083	0.83972208245262	0.786733964328184	0.745236487000191	0.794585582439894	0.78706565181625	0.488085546818772	1	0.873562977527934	0.77061824837592	0.826653397870956	0.791190684175022	0.918541266659857	0.848630451433385	0.943419310634351	0.603142390742994	0.87227018027184	0.829035666939898	0.245781078415043
SMAP1	0.775583536221163	0.443753624119725	0.41233986889083	0.923023755559103	0.581547549068112	0.857041303459891	0.61006024171895	0.916891406667281	0.888586641671507	0.561274636199892	0.875202544999816	0.596613302068363	0.41161484276754	0.873562977527934	1	0.857201716493893	0.884742886893755	0.860586448961089	0.783239687730607	0.932894316049955	0.803829745312223	0.750136562047616	0.948382188868829	0.783737091977569	0.276951138019652
PTPRZ1	0.827894000988922	0.423024467601476	0.636128498036729	0.911220079027825	0.725125825214324	0.895233382669976	0.593353750370734	0.962906406635178	0.918633576503997	0.359449054318916	0.832535305491348	0.610650587724316	0.584841379886025	0.77061824837592	0.857201716493893	1	0.891765826713434	0.769858423542808	0.739178550280145	0.830650049982219	0.755115824323988	0.814769289931004	0.8952138910585	0.80783207389396	0.405016276316876
ITGB1	0.861491602263024	0.595606600849693	0.710622541670027	0.943427322117836	0.788069654253411	0.949153501972786	0.804649154621773	0.953963017169078	0.864941084141033	0.621815494098136	0.89816441428985	0.743688411783379	0.675857817255068	0.826653397870956	0.884742886893755	0.891765826713434	1	0.85569808913511	0.878472283367269	0.8923424909126	0.889604528616298	0.857337456638178	0.964088588832878	0.909860531823299	0.517726375920059
NCSTN	0.727017094922284	0.399767784353257	0.414377285681216	0.81899993767648	0.551718443113858	0.839004774486429	0.705381172879759	0.830691025793636	0.819374473464939	0.581822743259517	0.875042926639234	0.629438576582976	0.489185341880355	0.791190684175022	0.860586448961089	0.769858423542808	0.85569808913511	1	0.809947525983219	0.854321301889921	0.782055190360788	0.787865828989023	0.908791768085545	0.791683916339378	0.492506020371674
CD81	0.631228676095025	0.460583342298256	0.638451718622171	0.892855099924956	0.68241173668263	0.87568706690134	0.928839697864255	0.821681880059026	0.730186712211684	0.823515016596841	0.759580157214459	0.883932929055043	0.674781829362837	0.918541266659857	0.783239687730607	0.739178550280145	0.878472283367269	0.809947525983219	1	0.774341116530196	0.98876327063687	0.692640875978356	0.857736714386785	0.916827667843256	0.453578407549762
CANX	0.836892392354626	0.559296525850343	0.380804639567147	0.886974336488879	0.517237283376678	0.876687721074502	0.667992939738176	0.896632835193896	0.928300207850819	0.602255916096486	0.923211630169897	0.615573705066648	0.376927544329739	0.848630451433385	0.932894316049955	0.830650049982219	0.8923424909126	0.854321301889921	0.774341116530196	1	0.805242034330509	0.777101358318115	0.942729905709352	0.787602935404539	0.259535766968975
CD63	0.677176456591622	0.484071081738552	0.640185171409891	0.912542880403995	0.680201965711834	0.878733072817115	0.918791987799112	0.839258828201723	0.750565887430311	0.828902343314632	0.772549665092743	0.894790241939953	0.652407018529627	0.943419310634351	0.803829745312223	0.755115824323988	0.889604528616298	0.782055190360788	0.98876327063687	0.805242034330509	1	0.675611340199636	0.870023226728449	0.912559386706747	0.386653878760566
ABCA1	0.727898627200063	0.508242497457147	0.564230420754267	0.773444819088048	0.764434594137117	0.837809881425549	0.681676499131997	0.844341916650594	0.807988730810421	0.392340268878713	0.765136813185567	0.552899779062213	0.66240753997212	0.603142390742994	0.750136562047616	0.814769289931004	0.857337456638178	0.787865828989023	0.692640875978356	0.777101358318115	0.675611340199636	1	0.859409703482651	0.830114149478871	0.622713902150547
APLP2	0.851222024724101	0.537308441151529	0.546602042762738	0.945890966512249	0.688720467356441	0.928872680631189	0.739144337729032	0.959965016339572	0.904956226707468	0.622096522213383	0.922214878167082	0.696454764884886	0.548275174443109	0.87227018027184	0.948382188868829	0.8952138910585	0.964088588832878	0.908791768085545	0.857736714386785	0.942729905709352	0.870023226728449	0.859409703482651	1	0.876621466608159	0.430315167672092
LAMP1	0.69137142707119	0.53417685769996	0.691178553675777	0.894340867214163	0.800535710910993	0.897608824291594	0.893415911140231	0.860371943386646	0.749585022336853	0.653810231288249	0.790485880249417	0.776929641666688	0.777111741454346	0.829035666939898	0.783737091977569	0.80783207389396	0.909860531823299	0.791683916339378	0.916827667843256	0.787602935404539	0.912559386706747	0.830114149478871	0.876621466608159	1	0.601369019037749
CD74	0.350335632940393	0.294543842462445	0.685969115240066	0.424856626710447	0.718984851314344	0.428967203944525	0.483265638915017	0.429825761228755	0.22438896223955	0.114631788631113	0.448191944086492	0.205690112653539	0.741836364707039	0.245781078415043	0.276951138019652	0.405016276316876	0.517726375920059	0.492506020371674	0.453578407549762	0.259535766968975	0.386653878760566	0.622713902150547	0.430315167672092	0.601369019037749	1
