""	LRP1	SORL1	CD74	CXCR4	KCNQ3	CMKLR1	ENG	NCL	TLR2	PLXNB2	NRP2	ITGB1	INSR	APLP2	PLXND1	PILRA	ITGAV	RPSA	LRP10	PTPRA	FPR1	UNC5B	HAVCR2	TLR4	LAMP1	PTPRC	ACTR2	RXRA	ADORA3	ADCY7	CD81	TREM1	ADRB2	ABCA1	TLR7	CD44	C5AR1	CD69	BMPR2	C5AR2	ITGAM	SIRPA	LILRA4	SORT1	P2RY12	PLXDC2	IL6R	LILRB1	RHBDF2	CD63	CLEC2D	CD47	CD4	TFRC	ITGAX	C3AR1	TREM2	PTGER4	C1QBP	CD46	CANX
NRP2	0.714111639601708	0.699040578761468	0.781156892126476	0.547592310767412	0.415393681582173	0.418437322110373	0.251816136266555	0.646153540419718	0.410607237516312	0.457381133523816	1	0.748984793673177	0.370145462311141	0.698387767393258	0.625365628087752	0.703402352287529	0.528774460369369	0.653814012018622	0.678317085402566	0.5560070863884	0.640885959346299	0.606833602619779	0.519005956863926	0.746759639684858	0.617505588893077	0.693025614196215	0.638594680210955	0.549436238672992	0.0836094480003501	0.291415031715244	0.798650066879654	0.345105192023831	0.577425623626592	0.749510944542424	0.686532043977839	0.659251837910124	0.67145766901541	0.383402340878116	0.567924090390256	0.210553576315338	0.44040558154504	0.549051954434052	0.782023039109491	0.602758694452174	0.520583881789041	0.688498851086816	0.636501475365829	0.615889076069698	0.507909340370188	0.762039577976977	0.0327251008346967	0.652698879509901	0.689290436272099	0.485945737617996	0.643771616807115	0.674389330254042	0.790014392254888	0.582110907505823	0.710441345129942	0.401226598566084	0.742367820514111
ITGB1	0.816577149275704	0.820121152850319	0.881063892596688	0.787367038878304	0.644774164370122	0.65813491158798	0.379323660722823	0.823534389940539	0.512129445596567	0.521245035813697	0.748984793673177	1	0.52276166893601	0.821539883533708	0.584207990448322	0.746077478946252	0.694363854313792	0.740362571758541	0.770985129166916	0.678880407038391	0.747023308652073	0.712403816097996	0.696344137978204	0.523737434995592	0.745904604853279	0.771920579766109	0.790467465583993	0.652902028042543	0.389024890379229	0.481308558683666	0.858830525170854	0.524627852505394	0.48944361406448	0.726063380626546	0.723570391267137	0.682171144572613	0.785847104235266	0.567797722051491	0.692458828609024	0.439876755867718	0.475257754630261	0.608104868177733	0.779969354631617	0.7168552884225	0.623512252023904	0.812569398610198	0.704122924762209	0.710572697683265	0.690536915814509	0.860107205320674	0.208702211102649	0.728446552115666	0.704809907474588	0.616053770707515	0.745378535220721	0.761685818883177	0.834752390624922	0.680148637014808	0.746142462552899	0.529238547254903	0.834281213451554
INSR	0.525567273832141	0.620203075428672	0.587267912468954	0.642193636421769	0.443821627314331	0.414504940763417	0.40678998857045	0.598106096548469	0.500632792062963	0.419747846797979	0.370145462311141	0.52276166893601	1	0.626741402365189	0.395814221238549	0.419116594047147	0.550953857678236	0.351505492328847	0.423688327927339	0.393478889762164	0.494953650056118	0.548076640017519	0.526633080334978	0.255626310357766	0.504296741034615	0.64492563334985	0.588490265507604	0.40652648637294	0.424581093157851	0.513169655781966	0.554214929226326	0.445905346966043	0.279555702050081	0.47404338754114	0.537618100670327	0.481588622750103	0.689405466286084	0.453498706388616	0.502860673504684	0.465415497952683	0.349760688196631	0.38136839999333	0.409017181426174	0.494278546229921	0.423246501327689	0.703144275210592	0.422733206728266	0.519578670507968	0.558126574798935	0.53477339113818	0.171695230198529	0.540268467359719	0.465372592735015	0.56031451839061	0.5823456744315	0.599969504994722	0.476173459043721	0.571211181684301	0.375683836233429	0.554575382345567	0.477662529891841
APLP2	0.824185559565567	0.848186106248438	0.877467317596356	0.82796773934649	0.563369403345921	0.58936672426386	0.448705928694111	0.869890842673941	0.616640529324139	0.577698020082877	0.698387767393258	0.821539883533708	0.626741402365189	1	0.662233960168496	0.726537605683384	0.748662571746129	0.70489515194818	0.778916210453216	0.695360162752106	0.744438384602626	0.803914653301	0.697973370536429	0.535226369368987	0.69654231274945	0.7836945928949	0.799081385325449	0.654261549557275	0.507105453256089	0.527217765737537	0.847349546602136	0.601080319721048	0.46311425699244	0.74595094512061	0.760803291273956	0.724862825581325	0.87245161519999	0.668716646976472	0.700978525379439	0.460482479682386	0.527972208685205	0.650931297019641	0.714631298352626	0.715183289503991	0.676942280080444	0.883623612420011	0.731852741589782	0.642005893032676	0.72587003518294	0.825029853775533	0.288321200161076	0.725683949067347	0.613344910792659	0.685383517805611	0.74516794416968	0.747837155263204	0.773157794463616	0.773802805623327	0.712149350523886	0.546340972958627	0.739841319670291
PLXND1	0.587784755893613	0.694433989029548	0.716708674102647	0.596175836185716	0.407731933103924	0.358943785581854	0.241138294202502	0.594296114545208	0.421083335284109	0.493698034788105	0.625365628087752	0.584207990448322	0.395814221238549	0.662233960168496	1	0.700596498912142	0.445070406410202	0.71360396166553	0.621205820899049	0.612309224890098	0.5741000745586	0.597221299439983	0.481227295176784	0.456991016709996	0.596840841831963	0.556490745275648	0.614829202647849	0.516722566811117	0.362952692398781	0.366437112009261	0.742688667643916	0.362789636108132	0.573546195499061	0.66572256088187	0.545962764699667	0.500144941233852	0.604773743074512	0.480156374361432	0.616772899081018	0.291264391932458	0.389385517855776	0.521311827681072	0.657562543839429	0.624632570175696	0.569818059239678	0.611518562508763	0.467533767585243	0.636572138368759	0.451927413542233	0.685865414403968	0.28206135830145	0.5767985784249	0.588338085193387	0.443915251715393	0.526283369235313	0.530711822411662	0.660081770587567	0.620435487851347	0.62202822754312	0.362712391860561	0.679215838975446
PILRA	0.711089963086181	0.783339402261648	0.847030422619602	0.683488548686594	0.439370460874115	0.570140783226275	0.379542124797949	0.736552548881408	0.480641920498812	0.480809244220753	0.703402352287529	0.746077478946252	0.419116594047147	0.726537605683384	0.700596498912142	1	0.570404015968665	0.853541497447245	0.766218764694311	0.62033137625748	0.768598280805289	0.638650194324946	0.49645492124444	0.537582658937162	0.764690643294448	0.66925888146259	0.670694834719966	0.618448458940268	0.378762470906716	0.359284834087356	0.847259053657225	0.395522434276149	0.560713526941266	0.698490822248459	0.631710039487462	0.609785215621405	0.730371158652828	0.475822937247325	0.644659788032982	0.338497762364867	0.503695860141694	0.662878043486781	0.807359971411299	0.774448586145959	0.673598267680196	0.708710846956732	0.632369466870263	0.731847048107671	0.600590311813935	0.834297107614125	0.282796937365677	0.669456489338972	0.679036431274841	0.479335933054826	0.619041693792247	0.637363822099738	0.813047643484421	0.581530142480396	0.71384311531286	0.441256905864317	0.824260215012706
ITGAV	0.760009305594761	0.728745152950173	0.752067188713578	0.786326824840537	0.596856832843527	0.543030848590931	0.420983279671097	0.776446656624456	0.477844288700174	0.522405814622362	0.528774460369369	0.694363854313792	0.550953857678236	0.748662571746129	0.445070406410202	0.570404015968665	1	0.557221899712927	0.666168698881255	0.538803077751387	0.655027085797953	0.759241528291166	0.703833333210572	0.373198848708508	0.625091137758807	0.618835412613433	0.737789916660451	0.51662484440084	0.467652112975752	0.474979784242816	0.718065042390688	0.688844815375697	0.304151786216226	0.650570871955777	0.685930018704253	0.67378966714353	0.758979469313605	0.53573928550069	0.59826121441319	0.540100267051573	0.296680413082632	0.535974941926572	0.571193651771479	0.540307879119127	0.602429307444811	0.820887166719795	0.594185894046904	0.537991139149098	0.671623465042963	0.724976446886092	0.215183782108543	0.621809885294403	0.459104658632018	0.658214636898393	0.741796989553589	0.590225388996151	0.658821678278498	0.696072677722735	0.54535137087456	0.501514011966554	0.593192757089599
RPSA	0.686671813363205	0.763487338337467	0.855305998175149	0.692154120517696	0.417733804542719	0.478778255841043	0.329157201672942	0.704394442265345	0.338208825009767	0.484821135545338	0.653814012018622	0.740362571758541	0.351505492328847	0.70489515194818	0.71360396166553	0.853541497447245	0.557221899712927	1	0.765589066744985	0.686436569728019	0.694003326709021	0.594030161362601	0.482580865982396	0.5418557847312	0.82371002802574	0.579972993826462	0.698497194774454	0.61519610957628	0.316130277819677	0.300092883611085	0.890407856616958	0.393546696202964	0.490331593753813	0.698122762850141	0.595996828562589	0.505268175345239	0.681580361796264	0.377460546329218	0.639961322523367	0.329533944079275	0.453727121165509	0.666828235484141	0.846549571476021	0.760196517575698	0.708468403891729	0.671105754995644	0.559458517405446	0.668194660003344	0.499479023924835	0.86659303966565	0.269158657856414	0.653265556725731	0.651820112176876	0.498284595428687	0.620651149715345	0.55582663551492	0.860898669210577	0.645714881430915	0.832511059151677	0.327746304359835	0.900014235206074
LRP10	0.779094153856047	0.786611667850661	0.8320963463113	0.719671772537257	0.527587551971653	0.548068334382363	0.388582504039477	0.779323610533176	0.473665007600247	0.440445941846581	0.678317085402566	0.770985129166916	0.423688327927339	0.778916210453216	0.621205820899049	0.766218764694311	0.666168698881255	0.765589066744985	1	0.533544513830875	0.724712427708499	0.682778842775817	0.571582062457689	0.538322005383614	0.710553222570853	0.717797493439703	0.698331288995098	0.599543623380367	0.39232170154155	0.436649265611666	0.809279277041788	0.523403639069914	0.564373497143635	0.68446863552034	0.690269050534773	0.667626633675313	0.748323924000828	0.502321028769443	0.596393500002416	0.430518064202006	0.547277492746474	0.668837061929446	0.762342253622801	0.691835352210876	0.636409700566435	0.751582794010307	0.668910236698849	0.67924326895229	0.609117752164984	0.815681641606178	0.27475347778	0.656934543356197	0.611276694649285	0.5277997397282	0.665609387688326	0.645049840705917	0.784674716358173	0.627778231619548	0.658192421877067	0.471537103566373	0.768063178835268
PTPRA	0.59494152534794	0.630601871212038	0.704800806134594	0.694582644011034	0.518044004295313	0.50066894242807	0.329123110993939	0.687732975224659	0.42291806928421	0.502034585165438	0.5560070863884	0.678880407038391	0.393478889762164	0.695360162752106	0.612309224890098	0.62033137625748	0.538803077751387	0.686436569728019	0.533544513830875	1	0.588667572317194	0.59465164181986	0.624061712177683	0.479951748996892	0.608187584325214	0.555337312769575	0.6860424044999	0.504458422385989	0.445344978742462	0.33010941912834	0.729690731031787	0.317269355194089	0.369414576478907	0.620090394396323	0.60106481061515	0.434952429742669	0.666963435212798	0.541867103791495	0.60447018569669	0.356198932538777	0.289238045663072	0.453296137113744	0.607509532244578	0.563688294009817	0.552178666992004	0.683030885992237	0.506490537922066	0.595521878403539	0.542607086684511	0.734600366450633	0.274322097476863	0.592616388470357	0.5060408206947	0.538980436181324	0.588298803450001	0.593082075427589	0.660862780111673	0.715340012021341	0.674734213967854	0.270296218252121	0.680689035751889
FPR1	0.763988757413613	0.812621710279905	0.83252612853709	0.803413668246531	0.550458134622725	0.678389971952555	0.52998264226364	0.718837501482907	0.460745654312556	0.466314750814857	0.640885959346299	0.747023308652073	0.494953650056118	0.744438384602626	0.5741000745586	0.768598280805289	0.655027085797953	0.694003326709021	0.724712427708499	0.588667572317194	1	0.629138020777515	0.552858317245288	0.532633149308303	0.717601056971545	0.696226629830601	0.724770617546044	0.60672812933051	0.409489778080921	0.465713867176026	0.775012559050458	0.492243325817577	0.509019808957318	0.636373777965978	0.638460032693267	0.538409159832583	0.752566015746234	0.484642645723157	0.643995074395438	0.508019375243572	0.482723333195085	0.558623893457532	0.699044137964876	0.726239133759822	0.623195577692296	0.743985324885468	0.62108862493846	0.714894991819748	0.727124025596392	0.766369650775012	0.214394793928261	0.63637546137081	0.659298638081289	0.571932601016992	0.623618484065407	0.672594747208754	0.698622863755213	0.547425459517087	0.64027022109092	0.489165286512351	0.737300935575492
UNC5B	0.724174478085879	0.747438601885827	0.777374616745551	0.73755038529394	0.551174431989117	0.530958733302978	0.315861599977903	0.795297148770251	0.575606198924661	0.514769801437403	0.606833602619779	0.712403816097996	0.548076640017519	0.803914653301	0.597221299439983	0.638650194324946	0.759241528291166	0.594030161362601	0.682778842775817	0.59465164181986	0.629138020777515	1	0.736957809238894	0.421900204633036	0.624549804153036	0.644350778110095	0.748192964606436	0.464737700619657	0.511777801125649	0.502904647634003	0.746229325302401	0.592418850574274	0.364718734095346	0.700327949257722	0.636035518225834	0.698747166600639	0.782927791994043	0.634554601396958	0.651662498841048	0.47257308139521	0.410553505134521	0.599972543605314	0.616600776267956	0.603746972476317	0.658923448878973	0.808658529013844	0.648555199475872	0.597797823541695	0.644874660207265	0.739093104842977	0.191285048535149	0.673008063672036	0.538121555658353	0.633092787934271	0.714815411738383	0.649349081777228	0.729727301158806	0.747428634515449	0.592577222032994	0.463779645431429	0.636936373348895
HAVCR2	0.644351835341821	0.69359401974409	0.722304018265853	0.731869836671573	0.624573883315465	0.540409104789416	0.362366458488857	0.728864016919959	0.635296508393384	0.524780275971338	0.519005956863926	0.696344137978204	0.526633080334978	0.697973370536429	0.481227295176784	0.49645492124444	0.703833333210572	0.482580865982396	0.571582062457689	0.624061712177683	0.552858317245288	0.736957809238894	1	0.346197113187108	0.45531424486791	0.666732840324647	0.727619293533986	0.473513063767934	0.66860622239949	0.632899949460927	0.658337041585255	0.582165377947488	0.309216517545573	0.610017602566758	0.711114256790405	0.557693279549526	0.689860549244071	0.693361426748161	0.574727785142939	0.535597577982803	0.428397338919882	0.479007211598078	0.527883079982742	0.545237859165759	0.595476209716712	0.788558882282523	0.58662360559987	0.519882210711487	0.686199229716479	0.675639417994341	0.231905647573056	0.594448715233277	0.528200863581129	0.57992122713483	0.694816809248814	0.663976294878543	0.60649576794115	0.763924360716074	0.520216427793438	0.426787076142272	0.570145226299413
TLR4	0.519664252454843	0.555835614800983	0.615121055246413	0.470731177345513	0.334604347248525	0.38758008374414	0.376864685853326	0.471557976740247	0.270897259423153	0.383880860530259	0.746759639684858	0.523737434995592	0.255626310357766	0.535226369368987	0.456991016709996	0.537582658937162	0.373198848708508	0.5418557847312	0.538322005383614	0.479951748996892	0.532633149308303	0.421900204633036	0.346197113187108	1	0.519958607417177	0.523645500794808	0.520275820885623	0.430866327312505	0.066422922354504	0.148995210449461	0.589414678634322	0.238853347042069	0.540581684444637	0.612031854672222	0.550485333127068	0.388841904864715	0.517490773631007	0.312281633176884	0.376538553842823	0.15199097842658	0.41436711238393	0.497310203391827	0.624378214031717	0.488886761835963	0.39727833315492	0.511170334074509	0.504716798497752	0.436002008063072	0.44705732580133	0.580382153903803	0.122129308266981	0.436409114832347	0.501124823763233	0.319889453685573	0.41615097461845	0.524038691086615	0.611633345994679	0.449502508214255	0.556135127052802	0.228367336482151	0.555138802432299
LAMP1	0.680450174863267	0.787783013744901	0.831980019581909	0.724046304967169	0.506578181617254	0.594475240751682	0.452386127719032	0.697179553129273	0.338444432620809	0.465113506375843	0.617505588893077	0.745904604853279	0.504296741034615	0.69654231274945	0.596840841831963	0.764690643294448	0.625091137758807	0.82371002802574	0.710553222570853	0.608187584325214	0.717601056971545	0.624549804153036	0.45531424486791	0.519958607417177	1	0.630255945236322	0.707113773919294	0.651978669232096	0.291079680369592	0.294895896533781	0.828477609575177	0.419062908415876	0.466561512115052	0.692920722163323	0.565435903963319	0.569236398740934	0.752394758359762	0.338754459778186	0.642166441079557	0.41900619963953	0.434147985275941	0.704656864358427	0.771488885439352	0.746311578481851	0.656924464694065	0.716668555456538	0.497406148741158	0.662089040819079	0.599872296640369	0.837345976925709	0.19123868649709	0.646631361502381	0.627342363072351	0.529155598407268	0.664281126607717	0.594448499278464	0.817931786194014	0.614028218676324	0.692184267675278	0.413242100880848	0.843649251349693
PTPRC	0.721457709695092	0.824089031425063	0.820694016161102	0.781848263102436	0.619410832500717	0.587227506049353	0.495955690871567	0.771006660466021	0.642095978379018	0.510866338568483	0.693025614196215	0.771920579766109	0.64492563334985	0.7836945928949	0.556490745275648	0.66925888146259	0.618835412613433	0.579972993826462	0.717797493439703	0.555337312769575	0.696226629830601	0.644350778110095	0.666732840324647	0.523645500794808	0.630255945236322	1	0.737397909879072	0.645532665923544	0.49143973959534	0.602232701687408	0.754567586669992	0.458548190629162	0.64475076002038	0.744668687008067	0.801389753739113	0.627448210011127	0.759816857546209	0.680244348585623	0.610831487560709	0.42159273452167	0.593369714916156	0.584982565426765	0.663388287052621	0.625633107781253	0.545722949664968	0.832314241736913	0.680295847187091	0.69225926953668	0.759546106743216	0.766015506016333	0.267363144193719	0.69596030848453	0.653299471385515	0.559537295042538	0.684162673391531	0.771606093000619	0.679880015793371	0.615949022167477	0.581775973679901	0.534584610204559	0.694593528278356
ACTR2	0.799191361691581	0.833263392115774	0.867243818630376	0.83761913430269	0.663115352985213	0.674166513184043	0.543062033651605	0.792134541847899	0.520918476239609	0.613078979753547	0.638594680210955	0.790467465583993	0.588490265507604	0.799081385325449	0.614829202647849	0.670694834719966	0.737789916660451	0.698497194774454	0.698331288995098	0.6860424044999	0.724770617546044	0.748192964606436	0.727619293533986	0.520275820885623	0.707113773919294	0.737397909879072	1	0.562987351752982	0.516310938860962	0.552889052835277	0.828179594571563	0.588072166734012	0.475699532108797	0.736733084695332	0.728793457504182	0.620690144389055	0.760051798669313	0.626353402905421	0.694086901882688	0.496664088150447	0.461750003353231	0.63127138878375	0.673762055153955	0.686344404313372	0.694953805891273	0.843897111355408	0.620941762460823	0.64978037461428	0.75060448741005	0.791393535431752	0.335651203432687	0.636325970281771	0.649530071125162	0.720215459207107	0.733697141149219	0.723965813359517	0.738233343384457	0.753346934367672	0.6637310365063	0.557106367579093	0.742272006988367
