""	CD44	CD8A	KLRK1	IFITM1	CD8B	CD3D	CXCR4	CD2	CD28	PTGER4	ITGA4	CD3G	KLRD1	PTPRC	C1QBP	ICOS	CD247	CLEC2D	ITGB1	ITGAX	CD47	TNFRSF1B	CD46	CD4	FGFR1	S1PR4	F2R	ITGB2	IL6R	ADRB2	SLC1A5	PILRB	SORL1	ADCY7	LAMP1	KLRB1	LPP	ADGRE5	PTPRA	CD74	APLP2	VSIR
ITGA4	0.471510591022464	0.412292531492253	0.0115222909927754	0.588459704300745	0.224055919703971	0.299562181140571	0.495993826764536	0.820735012152506	0.649611678362907	0.668119155439044	1	0.153047754124154	0.416699354500019	0.498939615960321	0.283438642489691	0.694115571389773	0.275260563399728	0.338824849256955	0.513749016894056	0.498838480503492	0.629225564738044	0.588042497787759	0.561281010638193	0.520924604028066	0.229444130880821	0.332188441226649	0.115798400721888	0.632854201501421	0.424858477932976	0.335694133684015	0.50556647371054	0.262657107997117	0.507730391664648	0.575397108315578	0.334487857494333	0.322009621579222	0.306572876176363	0.233531941232481	0.196770045795148	0.581324055642897	0.519434443745877	0.492773437502802
CD3G	0.909430790407286	0.249816277697179	0.926765418635275	0.759554669219496	0.970894808612671	0.774879242210869	0.824524036637101	0.594140085137506	0.764291754626998	0.7549385374938	0.153047754124154	1	0.81956941413569	0.726440983903054	0.944390835035599	0.711615260929091	0.849253277469259	0.668045074327562	0.897660292363365	0.396061268170215	0.767725338026946	0.752478770762123	0.859645960271993	0.737584976280738	0.502354172641597	0.831296904865685	0.782647403593821	0.820578600384266	0.662109357425848	0.887203900393878	0.733332022978065	0.487929897270659	0.824966551349448	0.584734459103094	0.40052329265067	0.981994513497824	0.434367052484613	0.887306890798534	0.381191049316677	0.840910656162053	0.792023066601729	0.742358122803012
KLRD1	0.91983544043012	0.519229582529563	0.823180824650754	0.978782344437045	0.710588320427218	0.966020665286172	0.96525662905878	0.830156837430751	0.791408712990494	0.934619923687984	0.416699354500019	0.81956941413569	1	0.911666397827303	0.680898953123365	0.593217008267342	0.946639322628578	0.94738070874232	0.939840135165849	0.378362903802333	0.955369609180519	0.848316409517109	0.916304707598148	0.745071785138249	0.847384906792269	0.906794368743134	0.941067984158475	0.86254450983533	0.520094784354717	0.725910050394445	0.923621489303395	0.81290931157823	0.839834648420676	0.921152710053208	0.804352559866235	0.834826540565802	0.673322145353172	0.970859805954177	0.754590095869333	0.856438822244918	0.928448306105615	0.697485058627134
PTPRC	0.866470315005963	0.585315240787644	0.759200902551911	0.924354394594418	0.652234170836674	0.851169342828419	0.945314864389743	0.859563197311718	0.71987091003071	0.929366859441122	0.498939615960321	0.726440983903054	0.911666397827303	1	0.636373381267024	0.631481338179837	0.866790097517207	0.886652604418078	0.877228536458464	0.646109940992858	0.939276039408517	0.949610602302277	0.903035693960758	0.870274462107732	0.790376050722905	0.776768973967726	0.818162454725525	0.842742697590448	0.707791776466796	0.79921678513012	0.937085661957125	0.894869495027939	0.911953084429166	0.936005535698286	0.794126632540555	0.776184777815148	0.800030040278719	0.848774417132237	0.796323198026123	0.860478585097887	0.94850744069749	0.797655712239113
C1QBP	0.869119383553296	0.149435815781996	0.794691279941875	0.666808399826426	0.990923240582494	0.601315150549537	0.73603026026038	0.590218629345699	0.798764596856752	0.712034657073908	0.283438642489691	0.944390835035599	0.680898953123365	0.636373381267024	1	0.849599108315762	0.698914919148968	0.485448514072802	0.859535947918013	0.484293360392253	0.70505604769529	0.737151623972743	0.828609836627757	0.750420166655859	0.280845972878864	0.734260541898625	0.565649268347364	0.837036599888604	0.742843394057103	0.908549937395405	0.642449640859716	0.289707132268887	0.815411380684526	0.468610643114898	0.208556335991638	0.961411111463702	0.30514638641989	0.727858100985257	0.167245036844608	0.8591934719818	0.728053239516921	0.777923476152703
ICOS	0.820076801696287	0.162593187976413	0.493045353872238	0.678809343254316	0.813288993014627	0.475595489023683	0.702401595395163	0.769520237749926	0.897716365147089	0.786681252365686	0.694115571389773	0.711615260929091	0.593217008267342	0.631481338179837	0.849599108315762	1	0.517172177488527	0.404378488023619	0.814704855201694	0.570411973925384	0.733221342043928	0.756239914917622	0.801671921739166	0.749889966450271	0.187628646383955	0.638319786005925	0.335547910739131	0.87205673638246	0.746254219251104	0.77451443468488	0.659574601467651	0.225721876280222	0.78011642281066	0.523871661572123	0.190862440754061	0.815232286131281	0.235209653121288	0.533880452030424	0.116087682649431	0.849232545033066	0.717158530393463	0.731418050790606
CD247	0.843048218731059	0.602459389531282	0.886085068580079	0.897791361711502	0.74563180023077	0.883942732914138	0.882584860498454	0.722884721283768	0.638583405029492	0.828966098407599	0.275260563399728	0.849253277469259	0.946639322628578	0.866790097517207	0.698914919148968	0.517172177488527	1	0.859023419055405	0.872646496145642	0.482768642914122	0.875729404557917	0.831877201160368	0.900935938492317	0.797606919665152	0.766090262742101	0.781501644044163	0.947737844646764	0.795534305967273	0.597994749257251	0.793954097425314	0.809096617527401	0.793933085188947	0.85693677299635	0.817108173573677	0.7051953750832	0.854279747326386	0.730710820359391	0.950403799609875	0.6576728039151	0.839469941665709	0.850053316373301	0.791034821380213
CLEC2D	0.817485470100137	0.497294721577715	0.76317050390909	0.917178034055087	0.519421709079053	0.957705107828918	0.904097949460009	0.752606823058039	0.674815373497803	0.856005770658111	0.338824849256955	0.668045074327562	0.94738070874232	0.886652604418078	0.485448514072802	0.404378488023619	0.859023419055405	1	0.825149921357346	0.25184897415726	0.890362659677615	0.746024985918142	0.774836870087507	0.614314633170457	0.908959315025648	0.8822182370059	0.918312405354963	0.756458682123695	0.331043067612688	0.581562475489608	0.926302052573793	0.886072749599494	0.691159364110091	0.940762218766172	0.940092375326959	0.664811324654092	0.686222797572661	0.907480986990149	0.908514460814023	0.712310599814849	0.904287299132144	0.544751831573448
ITGB1	0.988781636086128	0.376320654625195	0.805896374494424	0.949162770916914	0.861227992226553	0.878785658498324	0.960845274074503	0.857053397582337	0.922971439503605	0.957774608581833	0.513749016894056	0.897660292363365	0.939840135165849	0.877228536458464	0.859535947918013	0.814704855201694	0.872646496145642	0.825149921357346	1	0.456261928706294	0.954314286367403	0.885307445699519	0.963123989446465	0.806356058442925	0.662638362245818	0.920920674661645	0.804982880806191	0.958768814730675	0.651448230072473	0.835671667917875	0.90776177761924	0.635286458670036	0.89920758542048	0.837286825563465	0.629192978068882	0.935809368339114	0.538253674826956	0.91210816578742	0.56411301415131	0.94858880972888	0.940328824925392	0.774454793355906
ITGAX	0.419582391668503	0.618696423605948	0.382026714583047	0.446772508631855	0.467285017471708	0.226958447592714	0.479832030987996	0.588137359270691	0.31345855059254	0.521048752840434	0.498838480503492	0.396061268170215	0.378362903802333	0.646109940992858	0.484293360392253	0.570411973925384	0.482768642914122	0.25184897415726	0.456261928706294	1	0.528807157464092	0.781722395048182	0.63560318713554	0.830536370533934	0.210389957325791	0.129706946231502	0.254479523447084	0.512000942741761	0.916774366803942	0.74244983313462	0.402725083320348	0.476648114715471	0.770009058671481	0.436070993934141	0.188489081476755	0.509150627739841	0.689445494216865	0.306467744513339	0.206150586800166	0.626035573562472	0.495696797043964	0.8469960570469
CD47	0.928324538594547	0.580939924624895	0.740369110962925	0.986808285886456	0.706136156117328	0.902667973653779	0.977662442216504	0.948639276667441	0.864485489156514	0.986143135246211	0.629225564738044	0.767725338026946	0.955369609180519	0.939276039408517	0.70505604769529	0.733221342043928	0.875729404557917	0.890362659677615	0.954314286367403	0.528807157464092	1	0.928196977137981	0.957244009522529	0.808146951035375	0.773982901935496	0.862044617311	0.812985257466194	0.923682819544253	0.625293898281384	0.777951565277099	0.930940232440699	0.767154044270612	0.890168609625211	0.931717381250765	0.762791740178701	0.828803964095983	0.703970886550544	0.889225607330866	0.69367571414295	0.904462528613185	0.953093003321006	0.771642350604621
TNFRSF1B	0.852913458498318	0.634692109093456	0.72097534860546	0.88541985700433	0.732858006381978	0.764083763460566	0.919369934515487	0.896594155662578	0.751574546370209	0.921789509545087	0.588042497787759	0.752478770762123	0.848316409517109	0.949610602302277	0.737151623972743	0.756239914917622	0.831877201160368	0.746024985918142	0.885307445699519	0.781722395048182	0.928196977137981	1	0.956254573062118	0.90969769817736	0.670453343745107	0.691431450935631	0.709878292827323	0.856476613378541	0.851333064062455	0.880866621509017	0.834295082838548	0.757517671112344	0.973794658960463	0.837524598445326	0.612169822438459	0.828055159041382	0.794820033284207	0.786270256984067	0.595932770216243	0.901697592794314	0.885693748385634	0.883732392257497
CD46	0.929037156881927	0.563814217907603	0.783911233626198	0.936696107668271	0.83225933890615	0.835242684274058	0.948524162162859	0.896525190686918	0.84438908151356	0.94799274105657	0.561281010638193	0.859645960271993	0.916304707598148	0.903035693960758	0.828609836627757	0.801671921739166	0.900935938492317	0.774836870087507	0.963123989446465	0.63560318713554	0.957244009522529	0.956254573062118	1	0.873422686570264	0.668679642819959	0.797232553363888	0.785309818022079	0.918185634676343	0.773289158514357	0.880150102433731	0.844165574421629	0.67846993244218	0.963444370821119	0.825806583523223	0.591521216357832	0.920148674193453	0.685332060730899	0.878389991277299	0.531954922037201	0.948345543737461	0.898352092071404	0.863870607275579
CD4	0.797026881036717	0.501652024756524	0.687914549639394	0.781017985680182	0.752104192786154	0.583790572731198	0.775348193663972	0.753576076798552	0.644761391708982	0.806325200722745	0.520924604028066	0.737584976280738	0.745071785138249	0.870274462107732	0.750420166655859	0.749889966450271	0.797606919665152	0.614314633170457	0.806356058442925	0.830536370533934	0.808146951035375	0.90969769817736	0.873422686570264	1	0.436124525378679	0.582685755299623	0.628332160767323	0.84741687746058	0.884363622626039	0.898081988920103	0.771224607033488	0.657923968440711	0.944773039986708	0.732661125027379	0.477230187340207	0.818814664091101	0.647545121902739	0.692104794778897	0.448409174657595	0.921830575328024	0.83263910317998	0.970103516068415
FGFR1	0.624798290242602	0.606316672694556	0.619699104815042	0.803874189284528	0.321036017756019	0.910786539148727	0.817396087870174	0.666375899759725	0.488295439988217	0.735579850484457	0.229444130880821	0.502354172641597	0.847384906792269	0.790376050722905	0.280845972878864	0.187628646383955	0.766090262742101	0.908959315025648	0.662638362245818	0.210389957325791	0.773982901935496	0.670453343745107	0.668679642819959	0.436124525378679	1	0.700002939627772	0.873254113823968	0.50989931715098	0.262511923006416	0.405488328125325	0.748154300890752	0.896924736541261	0.59656143727902	0.851795935560673	0.880764615087212	0.484742524597698	0.776841495090504	0.816116508223745	0.90092721864722	0.508331967274022	0.70818819906834	0.368627770074273
S1PR4	0.937617385892424	0.180940917779705	0.794065512008641	0.879717818320979	0.748079881223643	0.913027363546086	0.896227152649435	0.710820548900755	0.876252281768949	0.862080238188419	0.332188441226649	0.831296904865685	0.906794368743134	0.776768973967726	0.734260541898625	0.638319786005925	0.781501644044163	0.8822182370059	0.920920674661645	0.129706946231502	0.862044617311	0.691431450935631	0.797232553363888	0.582685755299623	0.700002939627772	1	0.817949756819509	0.864197562605211	0.353712285647357	0.655358555085922	0.90871914637933	0.606976768768848	0.686423405377107	0.801608513625199	0.715818982947113	0.819702933165551	0.384169947523839	0.902452052429078	0.662433891607763	0.789601970182209	0.902259467544069	0.526046625877663
F2R	0.789904653434441	0.507495076410412	0.857605841778322	0.86069854209109	0.623415823660246	0.93929291283413	0.858045952466907	0.620843387849103	0.572369788454805	0.767243790393933	0.115798400721888	0.782647403593821	0.941067984158475	0.818162454725525	0.565649268347364	0.335547910739131	0.947737844646764	0.918312405354963	0.804982880806191	0.254479523447084	0.812985257466194	0.709878292827323	0.785309818022079	0.628332160767323	0.873254113823968	0.817949756819509	1	0.677402675759832	0.397726954398069	0.631253688421023	0.808222502436592	0.836491877539601	0.725020452318089	0.818807230261294	0.787389553473073	0.745010852445197	0.680495178464613	0.966573695914739	0.776862108342558	0.701199742209672	0.802346966739937	0.586434323516236
ITGB2	0.954890920816851	0.332684606593603	0.724650931602615	0.906170474135817	0.824467504931504	0.758132483639253	0.884791505335384	0.86040594181145	0.918124374965885	0.929663554580995	0.632854201501421	0.820578600384266	0.86254450983533	0.842742697590448	0.837036599888604	0.87205673638246	0.795534305967273	0.756458682123695	0.958768814730675	0.512000942741761	0.923682819544253	0.856476613378541	0.918185634676343	0.84741687746058	0.50989931715098	0.864197562605211	0.677402675759832	1	0.649610540478346	0.834208210788768	0.895911972480037	0.558709162738569	0.862017232097461	0.811334736124744	0.593733141580784	0.889898317283987	0.460321036038718	0.801117166102866	0.491366579485834	0.96795556720817	0.943175753319265	0.822938412831893
IL6R	0.634371401173423	0.457073732580289	0.561946052810146	0.55830632980232	0.733013933804079	0.383429136109117	0.630865059481899	0.625219478881028	0.528940741629358	0.644429116368026	0.424858477932976	0.662109357425848	0.520094784354717	0.707791776466796	0.742843394057103	0.746254219251104	0.597994749257251	0.331043067612688	0.651448230072473	0.916774366803942	0.625293898281384	0.851333064062455	0.773289158514357	0.884363622626039	0.262511923006416	0.353712285647357	0.397726954398069	0.649610540478346	1	0.873483748360358	0.520096925235011	0.450927266707873	0.88996489628205	0.466937434049647	0.151394570681709	0.744475559837056	0.594907553303458	0.49661002691319	0.18849703475099	0.763058856832901	0.602485075476845	0.880849628052372
ADRB2	0.833148207275047	0.448248233409477	0.853156966795694	0.717944756332769	0.910085619339904	0.630193193254629	0.785930738553221	0.678450635541235	0.683562075398265	0.752471950209785	0.335694133684015	0.887203900393878	0.725910050394445	0.79921678513012	0.908549937395405	0.77451443468488	0.793954097425314	0.581562475489608	0.835671667917875	0.74244983313462	0.777951565277099	0.880866621509017	0.880150102433731	0.898081988920103	0.405488328125325	0.655358555085922	0.631253688421023	0.834208210788768	0.873483748360358	1	0.704257184835656	0.534135605671875	0.912251863804863	0.593150876457368	0.375224818455696	0.925068424895471	0.613987441220903	0.744407199457858	0.35745649753678	0.879691508924685	0.804089263704551	0.929027568480087
SLC1A5	0.923962417656806	0.361785869144919	0.732947103350124	0.938008268996456	0.653992660779131	0.879164486955657	0.936447693326295	0.830742441229317	0.826757878614293	0.936934421994134	0.50556647371054	0.733332022978065	0.923621489303395	0.937085661957125	0.642449640859716	0.659574601467651	0.809096617527401	0.926302052573793	0.90776177761924	0.402725083320348	0.930940232440699	0.834295082838548	0.844165574421629	0.771224607033488	0.748154300890752	0.90871914637933	0.808222502436592	0.895911972480037	0.520096925235011	0.704257184835656	1	0.802638846567438	0.803792128742797	0.942419158534816	0.826853822499923	0.769154333087881	0.581271769751864	0.862121646265897	0.797710173011778	0.851823986832591	0.981600411643341	0.672586976014301
PILRB	0.616615626209628	0.651352714671227	0.646381020686481	0.784950806112139	0.334830462328714	0.801030677225301	0.787827709659585	0.658798621935832	0.400835384772886	0.729850662598435	0.262657107997117	0.487929897270659	0.81290931157823	0.894869495027939	0.289707132268887	0.225721876280222	0.793933085188947	0.886072749599494	0.635286458670036	0.476648114715471	0.767154044270612	0.757517671112344	0.67846993244218	0.657923968440711	0.896924736541261	0.606976768768848	0.836491877539601	0.558709162738569	0.450927266707873	0.534135605671875	0.802638846567438	1	0.694591516761007	0.888435577174198	0.894461639319439	0.498075598490717	0.864921526499416	0.757867058972169	0.936307806848384	0.590688080455004	0.776986781000868	0.568531424214421
SORL1	0.872668857935054	0.543383694033526	0.748102771658092	0.862434000338547	0.815467807106947	0.731617428180996	0.893964424821087	0.828459996181065	0.746196117098184	0.890914360954465	0.507730391664648	0.824966551349448	0.839834648420676	0.911953084429166	0.815411380684526	0.78011642281066	0.85693677299635	0.691159364110091	0.89920758542048	0.770009058671481	0.890168609625211	0.973794658960463	0.963444370821119	0.944773039986708	0.59656143727902	0.686423405377107	0.725020452318089	0.862017232097461	0.88996489628205	0.912251863804863	0.803792128742797	0.694591516761007	1	0.781142783574413	0.51660963550407	0.889495933416946	0.712322856762338	0.804583603197903	0.501681099974606	0.938630843100144	0.859109112340262	0.918620287780076
ADCY7	0.812499615354942	0.543027952351242	0.617154935991163	0.951006138817955	0.478140338656987	0.873104805424058	0.90918870803324	0.865741051982783	0.715149261749747	0.922740130816381	0.575397108315578	0.584734459103094	0.921152710053208	0.936005535698286	0.468610643114898	0.523871661572123	0.817108173573677	0.940762218766172	0.837286825563465	0.436070993934141	0.931717381250765	0.837524598445326	0.825806583523223	0.732661125027379	0.851795935560673	0.801608513625199	0.818807230261294	0.811334736124744	0.466937434049647	0.593150876457368	0.942419158534816	0.888435577174198	0.781142783574413	1	0.909297814305235	0.636681906492027	0.712214148776987	0.820552356810424	0.862345083112635	0.797778937107577	0.922092047302058	0.64541239995086
LAMP1	0.611243114307405	0.507007633460496	0.563129658635624	0.793497982837841	0.235982200405967	0.826191339050453	0.750789362714536	0.654831501585092	0.476577318007192	0.716508098657651	0.334487857494333	0.40052329265067	0.804352559866235	0.794126632540555	0.208556335991638	0.190862440754061	0.7051953750832	0.940092375326959	0.629192978068882	0.188489081476755	0.762791740178701	0.612169822438459	0.591521216357832	0.477230187340207	0.880764615087212	0.715818982947113	0.787389553473073	0.593733141580784	0.151394570681709	0.375224818455696	0.826853822499923	0.894461639319439	0.51660963550407	0.909297814305235	1	0.405549323533903	0.682966319122867	0.725617750640243	0.962369831971307	0.540897670466167	0.791025470269454	0.400260553516005
KLRB1	0.939649676263098	0.315072364339426	0.882165151637811	0.809673328014317	0.977333802675704	0.760413163201441	0.857750695847362	0.701974551714391	0.82778237965727	0.824796512563242	0.322009621579222	0.981994513497824	0.834826540565802	0.776184777815148	0.961411111463702	0.815232286131281	0.854279747326386	0.664811324654092	0.935809368339114	0.509150627739841	0.828803964095983	0.828055159041382	0.920148674193453	0.818814664091101	0.484742524597698	0.819702933165551	0.745010852445197	0.889898317283987	0.744475559837056	0.925068424895471	0.769154333087881	0.498075598490717	0.889495933416946	0.636681906492027	0.405549323533903	1	0.47019230788416	0.867357848298424	0.365791269064984	0.909523833913783	0.834421126211154	0.820926207313552
LPP	0.48193086212241	0.896878493559436	0.599995575555555	0.664305602359557	0.329052119496304	0.663523938047302	0.697657248551074	0.668008813330666	0.291197604556751	0.629784900304525	0.306572876176363	0.434367052484613	0.673322145353172	0.800030040278719	0.30514638641989	0.235209653121288	0.730710820359391	0.686222797572661	0.538253674826956	0.689445494216865	0.703970886550544	0.794820033284207	0.685332060730899	0.647545121902739	0.776841495090504	0.384169947523839	0.680495178464613	0.460321036038718	0.594907553303458	0.613987441220903	0.581271769751864	0.864921526499416	0.712322856762338	0.712214148776987	0.682966319122867	0.47019230788416	1	0.636080545158902	0.708946278741692	0.527607717342504	0.622789041566216	0.655528668389569
ADGRE5	0.905352075994664	0.470455986673699	0.901133040455329	0.912913570712783	0.767070715268174	0.964090963774634	0.930698204004995	0.720821995109134	0.73957422130857	0.854288964282407	0.233531941232481	0.887306890798534	0.970859805954177	0.848774417132237	0.727858100985257	0.533880452030424	0.950403799609875	0.907480986990149	0.91210816578742	0.306467744513339	0.889225607330866	0.786270256984067	0.878389991277299	0.692104794778897	0.816116508223745	0.902452052429078	0.966573695914739	0.801117166102866	0.49661002691319	0.744407199457858	0.862121646265897	0.757867058972169	0.804583603197903	0.820552356810424	0.725617750640243	0.867357848298424	0.636080545158902	1	0.696287240492082	0.803151406420646	0.871496052133394	0.661445009205958
PTPRA	0.561950362966494	0.464843198977161	0.565100227653064	0.720507456914797	0.206064559078366	0.79992420267286	0.725606896608933	0.568838956575456	0.392852103097929	0.659982064094913	0.196770045795148	0.381191049316677	0.754590095869333	0.796323198026123	0.167245036844608	0.116087682649431	0.6576728039151	0.908514460814023	0.56411301415131	0.206150586800166	0.69367571414295	0.595932770216243	0.531954922037201	0.448409174657595	0.90092721864722	0.662433891607763	0.776862108342558	0.491366579485834	0.18849703475099	0.35745649753678	0.797710173011778	0.936307806848384	0.501681099974606	0.862345083112635	0.962369831971307	0.365791269064984	0.708946278741692	0.696287240492082	1	0.458010746665889	0.742655742785057	0.34059060845792
CD74	0.929144719424911	0.381755477284949	0.729673688146178	0.893128478536265	0.847508659710147	0.724981623934146	0.874965641855867	0.828849305596717	0.846214538673691	0.910405290488929	0.581324055642897	0.840910656162053	0.856438822244918	0.860478585097887	0.8591934719818	0.849232545033066	0.839469941665709	0.712310599814849	0.94858880972888	0.626035573562472	0.904462528613185	0.901697592794314	0.948345543737461	0.921830575328024	0.508331967274022	0.789601970182209	0.701199742209672	0.96795556720817	0.763058856832901	0.879691508924685	0.851823986832591	0.590688080455004	0.938630843100144	0.797778937107577	0.540897670466167	0.909523833913783	0.527607717342504	0.803151406420646	0.458010746665889	1	0.910504338817225	0.902646101354767
