""	GPR171	CD2	CD3D	CXCR4	PTPRC	CD69	PTGER2	CD44	ITGA4	CD8A	CD8B	CD74	CD3G	TNFRSF1B	SORL1	CLEC2D	KLRD1	CD247	KLRB1	CD6	RPSA	TNFRSF14	NCL	KLRC1	JAML	F2R	ACTR2	LY96	SLC16A7	CD63	S1PR4	ERAP1	CD96	CXCR3	NOTCH2	CD4	CD163	TRADD	TSPAN14	FAS	RXRA	PLXNA3	DIP2A	CD47	NOTCH1	ITGB1	LAMP1	TNFRSF25	TIGIT	CD46	TSPAN17	PTPRA	CD226	SDC3	PTPRZ1	VSIR	ATP5F1B	TREM2	RACK1	PDGFRA	CD81	CANX	APLP2	PTGER4	HLA.DPB1	SMAP1	TNFRSF1A
CD8B	0.637610666449151	0.493971598274637	0.328514110296583	0.338443587363333	0.650807919830842	0.200127415730305	0.0795514222647025	0.364476134498968	0.763776250552933	0.316986650197418	1	0.104049713218679	0.53430931267758	0.75546758316935	0.25920218067364	0.49055924805886	0.403255915565734	0.794537225735947	0.358414368591047	0.236294210752035	0.369091919233772	0.397916164808154	-0.258033748810339	0.274354842073764	0.407400574965243	0.647473310137704	0.452198542128009	-0.122309415992078	0.135424864565377	-0.323903384641636	0.203720365664327	-0.39800583086646	-0.120274463593076	0.0801782332414969	-0.34173960597168	0.361241398383054	0.078773440810134	-0.0691377299134705	-0.605024929148657	0.264741457052936	-0.44171263681167	-0.55440446603134	-0.059126635909718	-0.484436349596764	-0.448003004991358	-0.132863442521287	-0.373018525639719	0.362746867261643	0.791453221610558	-0.398036947540494	-0.560311489502543	-0.213064271481256	-0.15427516682518	-0.313688645682888	-0.218786619425675	-0.15822049709788	-0.321961499419175	0.0406726676282031	-0.234673586137657	-0.326870803982105	-0.220763977693115	-0.38793196254087	-0.397474012362168	0.389410142342543	0.083266924491126	-0.178828466849542	-0.29195339496482
CD74	-0.143422645457136	-0.109951769241427	-0.105856947252686	0.258863806071781	0.0123288463560366	0.206207657186657	-0.0231158652673783	0.1326630501992	0.18466438554462	0.415655685396727	0.104049713218679	1	-0.053340299931595	0.558585652354086	0.85743113294781	-0.205598341123912	-0.184140451448718	0.351273258882995	0.00677880808878523	-0.0566469929219519	-0.25651719953738	-0.243444960389033	-0.383725930272094	-0.184648941361497	0.428809109435727	-0.233291294517376	0.393015579280269	0.843469610312435	-0.267777585778637	-0.0400731753789184	-0.153538336057731	0.236128003785716	-0.0591113854400998	0.123876713620385	-0.47575061227309	0.952797995083181	0.960399154833752	0.102708857936214	-0.0701236338381456	0.691379589982525	-0.280310504292958	-0.341966964563092	-0.0509027203532438	-0.444739101756781	-0.258929656950353	-0.266024323561767	0.286049169185852	-0.419170793167567	0.326710993239298	-0.018447686679055	-0.557318718540193	-0.368802410223444	0.760767165316365	-0.248992450197001	-0.29698203656334	0.877412386413385	-0.0804948473819011	0.985669176807115	-0.350784750881391	-0.322562439548302	0.272337543073142	-0.277159359062305	-0.0645122553791248	0.0873345278346367	0.977485319941953	-0.274668791230571	0.0886423525336264
CD3G	0.969197098251012	0.988399239452434	0.966379334216396	0.890436375120078	0.960355039975214	0.884021733107861	0.868088558732601	0.909332240839847	0.847854025491831	0.792815027787888	0.53430931267758	-0.053340299931595	1	0.557076637728041	0.284402959299628	0.934822834955914	0.91377519776642	0.801180368977821	0.937701949405313	0.916136026572681	0.546741955889801	0.89536719092567	-0.616389581507426	0.828057556578747	0.708845955662066	0.0753930478978349	0.111426310388387	-0.24171987112732	0.00591382640735841	-0.861001429268825	0.898563648696684	-0.104395821886257	0.749884235330617	0.723073564968399	-0.653243700173267	0.14507033439254	-0.211696705768253	0.655558031707328	0.179041642975063	0.00195629646745522	-0.857223043587808	-0.81996194897003	-0.649751818660074	-0.724966755473843	-0.715278002476556	-0.667757974230149	-0.778979763610777	0.631472506840846	0.626412185085338	-0.866551818109824	-0.110242515724926	-0.728995134183437	0.251712626582801	-0.794124189459143	-0.701811260306019	-0.0110540674453558	-0.71322532654227	-0.0694025980166139	-0.561949980261373	-0.784255498724596	-0.828144198139058	-0.756888962921621	-0.866581644031997	0.951877877361634	-0.091178475610276	-0.734653593429088	-0.923227847639536
TNFRSF1B	0.605043093219974	0.516754277954533	0.431406807240046	0.580009602747807	0.633014902069223	0.459578338418828	0.290232979460106	0.57071366693293	0.721221786374166	0.593232457647837	0.75546758316935	0.558585652354086	0.557076637728041	1	0.641559877045644	0.357386300255507	0.434453205906396	0.829711832547019	0.48276233534862	0.354566322330114	0.17487521329266	0.327692571886477	-0.553649287684477	0.33557931422126	0.738038793531746	0.19821592049451	0.479241883407588	0.30830372992285	-0.130181203390341	-0.465385954641075	0.354587208737236	-0.143906343325098	0.151478785708327	0.39056995229056	-0.668920962859346	0.753575605543262	0.49144081625635	0.137047073542219	-0.274524384444915	0.445913602086094	-0.69064357118035	-0.746995247863073	-0.280948144873138	-0.75766971920734	-0.636108060500355	-0.445506907218221	-0.282761965284781	0.0912250280752303	0.756699448785339	-0.480776260030499	-0.642285690896491	-0.60408209311035	0.409982971322268	-0.588592346344305	-0.536348786502749	0.427682262307194	-0.460502765226305	0.504055097805768	-0.515905884635498	-0.618202692366215	-0.264377974526939	-0.620620507758928	-0.545509176267536	0.565798659014432	0.524387236893491	-0.488315493965029	-0.391301032230066
SORL1	0.174976622381985	0.268393361210185	0.220598917964853	0.589220478572146	0.393404686456574	0.500201489523791	0.310289096927491	0.464727051024236	0.531801540587225	0.627840438932731	0.25920218067364	0.85743113294781	0.284402959299628	0.641559877045644	1	0.201691244698148	0.101602419828844	0.616272424426319	0.403559009925098	0.333065056633189	0.0857371150331578	0.184099737605254	-0.544609835757094	0.123894948330836	0.570154657492798	-0.0164742068458158	0.407556640438746	0.734199968476041	-0.0841947997971577	-0.344379094714652	0.13241732564152	0.231998525937876	0.180941179017345	0.169958695188874	-0.686417612778527	0.866894305692216	0.700740637485909	0.453397066939611	-0.00611965639093906	0.769324516751347	-0.475881369709989	-0.542033252156725	-0.222618413223435	-0.66379747073125	-0.530662895924931	-0.422393049860178	-0.0918044345451085	0.0537832958071654	0.654500793162734	-0.346588178808628	-0.54930396044432	-0.527801323617137	0.726195889610699	-0.475266297424616	-0.510648732238576	0.679630593674928	-0.331276722036309	0.858184613255925	-0.420588586737771	-0.57454427580161	-0.0613273117493821	-0.474245993362625	-0.366513069853476	0.429616740492354	0.872333531727538	-0.513217454526237	-0.277005703828226
CLEC2D	0.888511157256456	0.943808251674639	0.902385640599176	0.801914244975943	0.912892874422759	0.805555340680995	0.820264488744795	0.811625742538012	0.802001970965789	0.686745515183993	0.49055924805886	-0.205598341123912	0.934822834955914	0.357386300255507	0.201691244698148	1	0.846061997108082	0.723746068981563	0.882014561444412	0.900792416300883	0.581632466816219	0.906558880052275	-0.517300711930605	0.782967638813875	0.520880453418542	0.178608652871742	0.0252342910493724	-0.36326481607274	0.100514347710227	-0.81915708947466	0.821141937822927	-0.138738033318623	0.692607479864645	0.561335963511263	-0.520751725109999	-0.0250479118025566	-0.370443895591684	0.651665921563922	0.138299680517902	-0.0328956819614592	-0.723535588660387	-0.700624613632929	-0.567617783951383	-0.608361922900861	-0.626076736717394	-0.573327076559671	-0.786225302734309	0.761929457835921	0.612228462855859	-0.823862372571178	-0.00307760908528957	-0.582296395835207	0.0961183138739704	-0.681947477015704	-0.589806224592827	-0.199978356658483	-0.667751918639796	-0.205082101147193	-0.467443960441509	-0.685138007721041	-0.811274760186943	-0.662230201270201	-0.79553359268941	0.873659057270949	-0.226421329457379	-0.656851978103607	-0.88887964870407
KLRD1	0.889979786993149	0.912662298674601	0.939820176376454	0.754355649994685	0.829234856443518	0.798772068512385	0.827467880895863	0.79408895431951	0.653916238292259	0.703152177271575	0.403255915565734	-0.184140451448718	0.91377519776642	0.434453205906396	0.101602419828844	0.846061997108082	1	0.636679820537257	0.82185272991097	0.85112680995608	0.453605791757301	0.787201926590275	-0.508482589160304	0.954496022247128	0.608022320145223	-0.0739369523574019	0.0339157280108853	-0.384690210324704	-0.0160934560381395	-0.786084260730615	0.917049824520453	-0.0744737315606716	0.798749851540084	0.783314140140023	-0.486049813603087	-0.000103920040739477	-0.291221516253169	0.536998934217462	0.304229227339946	-0.235870316291643	-0.782887539654932	-0.691884536498641	-0.581252654054148	-0.567614171394002	-0.574091342390601	-0.608536848861122	-0.677003897324818	0.502889406682026	0.410556386240704	-0.725394798758184	0.167144538874336	-0.667058672516588	0.228014227696872	-0.707799139680587	-0.622484099380382	-0.0188322153822278	-0.651435645922739	-0.204581029876223	-0.510095754176752	-0.68939630060546	-0.79777126974704	-0.674638308401083	-0.780761431460714	0.888700211285636	-0.241362472198674	-0.65839748961574	-0.852302649141738
CD247	0.784264450700245	0.763638295673575	0.660754421657989	0.803252351014122	0.878776915853968	0.694379282742972	0.55639314021845	0.779033661313238	0.950281784168528	0.783649575517802	0.794537225735947	0.351273258882995	0.801180368977821	0.829711832547019	0.616272424426319	0.723746068981563	0.636679820537257	1	0.733647144901575	0.656557042919526	0.446273074945286	0.6255048520697	-0.613593714056401	0.567123559191737	0.734281470727996	0.31695498095074	0.440705411540441	0.139248588803785	0.0464670174852605	-0.667996136650744	0.539856104353373	-0.11236570342851	0.3615883154902	0.411347018061221	-0.732590416139705	0.5560820404558	0.202969414571339	0.464918474669945	-0.237031428054579	0.464531634744799	-0.785097991871041	-0.847722248873641	-0.414352679945909	-0.810694368809506	-0.727282949805829	-0.537405109668135	-0.556595676549126	0.445393637535011	0.904516594062971	-0.749603786712829	-0.533904751678338	-0.634679869807577	0.338548532550015	-0.691555190528808	-0.613871655200423	0.17992020207119	-0.592598284874482	0.32967223431805	-0.53170604343185	-0.718613139678747	-0.501082172127442	-0.698729816186318	-0.705069852548692	0.758007868458337	0.337930688082589	-0.602849030595757	-0.673488414588015
KLRB1	0.868095132762249	0.958659686809079	0.93759953237727	0.94311665364872	0.930923281036346	0.921390121522427	0.931703981405143	0.945286501331838	0.796755296938544	0.774115370024559	0.358414368591047	0.00677880808878523	0.937701949405313	0.48276233534862	0.403559009925098	0.882014561444412	0.82185272991097	0.733647144901575	1	0.966466585672837	0.597566380595171	0.923143132613755	-0.630070946953565	0.794008480774338	0.681294099552075	0.0489971195392817	0.0840377191829568	-0.0657243130823107	0.060801540949865	-0.834541628457594	0.884752483838545	0.0658390800215029	0.798817040745838	0.648737446021532	-0.711329037861394	0.161847281075039	-0.203788748960746	0.833142840493888	0.335499007622914	0.126139752173281	-0.802930257887655	-0.760939572646089	-0.66051989872045	-0.73420666888304	-0.750470881854854	-0.64490511785537	-0.778440580112598	0.715865614701556	0.620666006037488	-0.86080620502303	-0.0846382346390209	-0.737283722522324	0.346402435122076	-0.802221317222602	-0.742798050141693	0.0236751309904386	-0.697911591206442	0.0221970787480126	-0.499283625597214	-0.801717600097104	-0.820096944236531	-0.710968266572817	-0.851518382923279	0.964641367490039	-0.00342522952958988	-0.769395002845964	-0.930322212399532
CD6	0.823671975298449	0.938407479145776	0.950029921086787	0.923534653055747	0.874442709105183	0.944351219654483	0.974563636379719	0.920840300880006	0.712046381158577	0.778661186228061	0.236294210752035	-0.0566469929219519	0.916136026572681	0.354566322330114	0.333065056633189	0.900792416300883	0.85112680995608	0.656557042919526	0.966466585672837	1	0.516769779331154	0.885375149966422	-0.640817535819576	0.849300436108293	0.620800625964168	-0.0988449081104716	-0.0312118706526111	-0.146390224110637	0.00599693909628814	-0.876153046641205	0.928505874717112	0.0470257537650063	0.890958135605833	0.696391067060089	-0.66794548850691	0.0630121082549518	-0.25951486287878	0.844882563393485	0.389272292930603	0.0244788687570168	-0.80412689397795	-0.722470444019173	-0.687190023962139	-0.701181449013315	-0.716247416690143	-0.705953859492149	-0.786811330601692	0.685908179628111	0.497387675362336	-0.865480885762642	0.0514833313751577	-0.760639942274866	0.358202942307057	-0.815275285111196	-0.757416547227797	0.0350273894626896	-0.730962558070154	-0.0363583853863888	-0.545944918218242	-0.810646243139789	-0.870994729712891	-0.725558902392634	-0.862074586160243	0.959795146237701	-0.078760327380978	-0.803794320582508	-0.960900433025209
RPSA	0.534510684481696	0.57336042704409	0.488636639851624	0.412734231981706	0.597286699119543	0.355602978897284	0.442134810170699	0.549530346801227	0.566289254250804	0.224777905285842	0.369091919233772	-0.25651719953738	0.546741955889801	0.17487521329266	0.0857371150331578	0.581632466816219	0.453605791757301	0.446273074945286	0.597566380595171	0.516769779331154	1	0.651875381845516	0.190804465665389	0.392083246506791	0.296009750780849	0.569439038543325	0.56698214845356	-0.158120379980679	0.452330902727521	-0.158769936683203	0.417942724017559	0.413282158036772	0.250498828486679	0.095714819086561	-0.0102604154944901	-0.119272454845356	-0.398346712372671	0.520997198125618	0.182415063788735	0.0838430483196825	-0.169608166635582	-0.269794021094996	-0.00558786164562682	-0.044596217309296	-0.0714530759801894	0.143752367315736	-0.271427364307307	0.717164619294801	0.506231063121048	-0.308500653116672	0.200129166214816	0.0443177103657879	-0.123525361466244	-0.037652012337	0.0450335278310766	-0.433992968333439	0.0774765976500624	-0.269918918593232	0.280285575408483	-0.0486178006652653	-0.210954655581378	-0.0391194247508101	-0.176196040278653	0.486550978824849	-0.172269037333618	0.026989648939691	-0.383213630340701
TNFRSF14	0.863388511876526	0.932842804903838	0.891195039288977	0.787819507515269	0.909380242991197	0.774566404903815	0.830325863702169	0.81337666290385	0.739635759274205	0.574919856237699	0.397916164808154	-0.243444960389033	0.89536719092567	0.327692571886477	0.184099737605254	0.906558880052275	0.787201926590275	0.6255048520697	0.923143132613755	0.885375149966422	0.651875381845516	1	-0.497604190196311	0.740494435705221	0.494749183493035	0.226538665584557	-0.0199674273798003	-0.270708392879148	0.21245184223027	-0.748455560686904	0.813697143125837	-0.0553259265017564	0.684137926513747	0.534733436621161	-0.547615021632989	-0.0648951496925504	-0.42854325948404	0.719742201426558	0.253977344697981	-0.101344447962676	-0.659067142773485	-0.623436982139272	-0.570250128705574	-0.573171174997987	-0.661455145188277	-0.490502594060951	-0.817472161204416	0.825687314327853	0.580853796840029	-0.792964998037447	-0.00588985241455595	-0.544490562166661	0.0747429300606974	-0.658080390828161	-0.610418985381245	-0.253877202263852	-0.638665956609036	-0.23462142042643	-0.32960895012325	-0.658174537069544	-0.812456438912976	-0.565378952847046	-0.771101706027924	0.863790879787695	-0.25996865149964	-0.622379152263998	-0.872551432080388
NCL	-0.547114479384404	-0.60391808700557	-0.617233792865238	-0.771410246237979	-0.617701551396267	-0.756444365641678	-0.638243792785097	-0.640743020254654	-0.533249050802083	-0.747435216648714	-0.258033748810339	-0.383725930272094	-0.616389581507426	-0.553649287684477	-0.544609835757094	-0.517300711930605	-0.508482589160304	-0.613593714056401	-0.630070946953565	-0.640817535819576	0.190804465665389	-0.497604190196311	1	-0.532750138540583	-0.58612716397112	0.311478659649804	0.294250019886823	-0.230169714326571	0.200501018726528	0.820297828656628	-0.580545702574679	0.323474496280438	-0.605688356591086	-0.605125412455875	0.942876821999931	-0.473394100885038	-0.256324809865795	-0.504610928707224	-0.0531370200878328	-0.210850417960287	0.815549760541636	0.696514801787752	0.684353867444773	0.927716964611925	0.928321365750713	0.873817352757548	0.674251065218025	-0.189459181203026	-0.451707469356746	0.780789337747823	0.504141581262076	0.916638714248046	-0.574150313573628	0.943003474858913	0.973203751485187	-0.471101580561671	0.931209972556833	-0.41307077520966	0.825039602440086	0.945430109008411	0.721989285209985	0.790345332595313	0.84084017303324	-0.689285815548454	-0.294377149588856	0.926423147723752	0.725351941694907
