""	CD3D	CXCR3	CD3G	CCR5	CD2	CD8A	CD8B	CD247	KLRB1	KLRD1	ITGA4	F2R	CXCR4	PTPRC	ITGAL	TNFRSF14	ADGRE5	PILRB	SIRPG	CD47	ITGB2	ITGB1	CD44	ERAP1	S1PR4	CD69	PTGER4	RACK1	TSPAN5	SMAP1	PTPRA	CANX	CD81	TSPAN14	CD74	NCL	APLP2	PTPRZ1	CD63	C1QBP
ITGA4	0.480153132003782	0.593068508724609	0.544720054550206	0.377579135067019	0.710474195311312	0.537576052082484	0.5406074225339	0.59979717648726	0.12859176895043	0.752490497071558	1	0.313548059759459	0.4969083364507	0.769252919786707	0.320797547609905	0.405339586883836	0.469433301319347	0.0798017822651749	0.861512934629291	0.590513348100629	0.346076430240231	0.764466991995716	0.61463824322676	0.201822991014854	0.275886702327666	0.399791376708907	0.491583577996752	0.158272129053083	0.650605226306858	0.413915472282259	0.280012604321112	-0.135945650486756	-0.130888801708428	0.506541116417569	0.175447695565259	0.292225801078365	-0.21306688819483	-0.376891778955784	-0.167500269615905	-0.125730332514812
F2R	0.104795708857677	0.312357911165822	0.203217773210001	0.637030814928412	0.120363392126051	0.524841639881057	0.401583692285678	0.08148399868917	-0.356717246379568	0.0543435489786763	0.313548059759459	1	-0.184474833786502	0.230064101953101	0.46798662022499	-0.10280275800787	0.116901994873664	0.444704810600848	0.100534154365993	0.295528816134694	-0.0535349237868354	0.259560826900699	0.221207597122225	0.575777850284784	-0.111254809573712	-0.196481921727937	-0.250470821278994	-0.210891946048074	-0.0064867858709239	0.11599416328796	0.180710220321852	-0.16148931289173	-0.216991419868316	0.0905618346271835	-0.200701511085507	-0.114864276349687	-0.371451032587422	-0.105052271137185	-0.150461620561641	-0.148824644122285
CXCR4	0.802366792238994	0.634780161964087	0.762756278568932	0.0205047048101271	0.884271411635677	0.251752119475723	0.381884335426839	0.856920501761838	0.817230449387612	0.588771358430772	0.4969083364507	-0.184474833786502	1	0.735158623091811	0.349004329726733	0.858924102097793	0.646574115053605	-0.47923842194064	0.680162385154588	0.565520767972201	0.698878803566136	0.435343000544618	0.782482587093037	0.279679775242072	0.791439766507804	0.964016564402907	0.898226582124703	0.836333435079	0.74125233571588	0.601604721374098	-0.0166139745896817	0.249035779717844	0.477622497070944	0.774728693044268	0.678341262925817	0.537953291765418	0.129383438378331	-0.401242115036767	0.0295094398909769	0.368843013657454
PTPRC	0.834347161818796	0.688484424640874	0.877525532431422	0.603427209025374	0.922741818468265	0.70520665336326	0.738435494962758	0.862549310557643	0.350719221296883	0.757333195644985	0.769252919786707	0.230064101953101	0.735158623091811	1	0.553298822434136	0.574137128500599	0.753339985741712	-0.00791993667027872	0.757532540868424	0.479860891858858	0.573289829449848	0.813168401030998	0.879160076174811	0.404984176471466	0.431949734461336	0.680377418565695	0.610346783245287	0.39418932488486	0.633094811940194	0.360859627384702	-0.0259975372240509	-0.132292666415859	0.0459874208481847	0.679724703345168	0.284241724730148	0.245588111813792	-0.319685208199649	-0.605262589146684	-0.390250491769764	-0.113443508149945
ITGAL	0.738247659739261	0.48350872932226	0.685612540944684	0.591756949750149	0.517221125422811	0.644764422059714	0.678875515468095	0.56917824966626	0.134677312705757	0.0600959964526728	0.320797547609905	0.46798662022499	0.349004329726733	0.553298822434136	1	0.342697423261826	0.602222526696702	0.242622899697037	0.261196554279781	0.24336767668829	0.56955788003759	0.331323033085153	0.681309445442879	0.527412492890643	0.304327926083706	0.359762995380272	0.0762091924796065	0.266259956132249	0.203254206666384	0.165377438925947	-0.38203832682574	-0.349012929592433	0.149040185710092	0.287722514773681	0.120490625992987	-0.272131589362017	-0.51851629491227	-0.537812644661639	-0.399159156535979	-0.176160127957594
TNFRSF14	0.667536311781969	0.488228938527181	0.612706619437505	-0.0229086690743648	0.738282148041163	0.144256639249857	0.237535375573679	0.621708397451651	0.793168402041228	0.348186077778824	0.405339586883836	-0.10280275800787	0.858924102097793	0.574137128500599	0.342697423261826	1	0.432044972451038	-0.385015092996969	0.493525124274044	0.571498793277893	0.730952436004704	0.263665351700126	0.650980062441797	0.336177571907384	0.832619171380568	0.847260751810713	0.755719698745692	0.872817389072314	0.520748534221295	0.478500569890442	-0.152684698949471	0.296587343568044	0.562031749321106	0.6589520061667	0.832597070563	0.45918298889871	0.218273165424896	-0.385044694890694	0.079563455417356	0.434573674837144
ADGRE5	0.840968177661587	0.600796796924221	0.795890785872474	0.432603765366052	0.721973645507044	0.629446869708748	0.72388139043646	0.819343330606325	0.284378409251976	0.532808852637055	0.469433301319347	0.116901994873664	0.646574115053605	0.753339985741712	0.602222526696702	0.432044972451038	1	-0.136546903191737	0.510541857867118	0.242068895048051	0.535201076442502	0.469839448814425	0.856732233950907	0.171711531649342	0.409020625753081	0.577740253369715	0.456618238174352	0.346750474935954	0.62408760170014	0.315716815518062	-0.148653847761756	-0.233148699334844	0.16093184369811	0.408553922187798	0.0900809157016437	0.0237037018070968	-0.322651094031699	-0.528474621206553	-0.334137515612651	-0.160916746498286
PILRB	-0.184916179375353	-0.13785648655441	-0.161861361208192	0.528424315542798	-0.226616691151485	0.220744029061067	0.0786110659375761	-0.279895633620322	-0.547300544088146	-0.145946152418266	0.0798017822651749	0.444704810600848	-0.47923842194064	-0.00791993667027872	0.242622899697037	-0.385015092996969	-0.136546903191737	1	-0.191292455653133	-0.0578089680245595	-0.17007256501763	0.0977469278835378	-0.213983679886415	0.172508195746814	-0.484589897299781	-0.496769459131519	-0.435587081877128	-0.567537627938739	-0.367904120894727	-0.48489939619929	-0.0892237645376138	-0.254117053552357	-0.409558546113359	-0.164824607781432	-0.378028404163396	-0.364410456789798	-0.315102353361584	0.00271276853709686	-0.362047040072473	-0.512550637654896
SIRPG	0.5724155508256	0.66772522022265	0.605537530759506	0.196007257351057	0.792828096909097	0.522363102744872	0.578087594213924	0.688020849180575	0.299757675938562	0.768435156748742	0.861512934629291	0.100534154365993	0.680162385154588	0.757532540868424	0.261196554279781	0.493525124274044	0.510541857867118	-0.191292455653133	1	0.537621426736851	0.435981909713525	0.687314540662421	0.668001740057399	0.120921284825424	0.446017682340932	0.602406874198145	0.632819773304489	0.334485179300178	0.778389063789414	0.48619364625083	0.247529552406133	-0.0913157396986141	0.037284676505632	0.492611557793724	0.249120615158108	0.402655573115109	-0.0852908724744524	-0.359117460977292	-0.095733835140862	0.00761531889014556
CD47	0.345948006031735	0.550835035067572	0.46650261129674	0.124092964263806	0.590942441582169	0.122337803090749	0.12007497442529	0.505552581039132	0.548388731030467	0.38494184047291	0.590513348100629	0.295528816134694	0.565520767972201	0.479860891858858	0.24336767668829	0.571498793277893	0.242068895048051	-0.0578089680245595	0.537621426736851	1	0.464105523875331	0.456904917475615	0.472179118009174	0.552248074791596	0.602683791945097	0.538956653350525	0.555645948735077	0.550909355520091	0.450200523935824	0.598215185003887	0.303940226155403	0.374759262695287	0.222615648296455	0.709546697565517	0.59867603182086	0.503900958528366	0.10363711425851	-0.0938396729933877	0.168499809548303	0.343219485672918
ITGB2	0.688213604308577	0.624926744448531	0.682032544085013	0.153505955516896	0.652087618421162	0.350211965021236	0.423875013022301	0.650171673260668	0.590046530245942	0.233865358651776	0.346076430240231	-0.0535349237868354	0.698878803566136	0.573289829449848	0.56955788003759	0.730952436004704	0.535201076442502	-0.17007256501763	0.435981909713525	0.464105523875331	1	0.402238778703881	0.675731372399516	0.398282151392133	0.757678651626487	0.678813950573547	0.446948021960983	0.681036459228088	0.42244959855592	0.205803042098312	-0.318053097744951	0.0300821377814017	0.556982033184958	0.485339523547096	0.651614081020233	0.116398395059494	-0.0953766689474084	-0.486344229263411	-0.129769307188196	0.174597913361698
ITGB1	0.522827657876108	0.522952631563608	0.665564392918714	0.561514802219094	0.665751451661312	0.595724968851565	0.595614601051255	0.630921699215686	0.146157145514802	0.618117266202724	0.764466991995716	0.259560826900699	0.435343000544618	0.813168401030998	0.331323033085153	0.263665351700126	0.469839448814425	0.0977469278835378	0.687314540662421	0.456904917475615	0.402238778703881	1	0.6660078337738	0.397784093975013	0.197218798456761	0.447019547171182	0.300055839186602	0.152231899015733	0.38281372414296	0.314720706745187	0.205084255294001	-0.124285408630274	-0.0810557154785383	0.482406788613846	0.161752230814809	0.189780044731852	-0.3408975936264	-0.363763536362015	-0.30570517233305	-0.172687299663672
CD44	0.928313394027558	0.708652119953416	0.940627307252823	0.468696096312318	0.882760797353064	0.682766868185668	0.765699639501268	0.896374953484409	0.462056915706119	0.540139350364986	0.61463824322676	0.221207597122225	0.782482587093037	0.879160076174811	0.681309445442879	0.650980062441797	0.856732233950907	-0.213983679886415	0.668001740057399	0.472179118009174	0.675731372399516	0.6660078337738	1	0.428107403703548	0.568270561096874	0.773036480327877	0.534058112412637	0.556006633407821	0.605815185111801	0.494252184056735	-0.107219766512699	-0.136581331615272	0.229240341335933	0.58786769664384	0.361730179601325	0.129823352945967	-0.326866194959042	-0.597321818857209	-0.307268332740815	-0.0103717908575491
ERAP1	0.369926250649217	0.378188842334724	0.488467552484842	0.474256036096257	0.405710371986407	0.271385016727156	0.232775922369663	0.358068112975737	0.369427294273502	0.00482579868335339	0.201822991014854	0.575777850284784	0.279679775242072	0.404984176471466	0.527412492890643	0.336177571907384	0.171711531649342	0.172508195746814	0.120921284825424	0.552248074791596	0.398282151392133	0.397784093975013	0.428107403703548	1	0.366509722673949	0.367602683819673	0.116314959040321	0.408185041382843	-0.0459357620785975	0.238943290640818	-0.115935464672528	0.140367076786232	0.195991753708417	0.517072416037043	0.442749319533436	0.0579957122307777	-0.220112933890343	-0.28566720150909	-0.137376848452211	0.177065598683798
S1PR4	0.571524880409222	0.633766076419833	0.608822595563611	-0.0603591413236814	0.677039743955948	0.121072079906784	0.200178997560784	0.631165223266209	0.811807888670495	0.30096848839758	0.275886702327666	-0.111254809573712	0.791439766507804	0.431949734461336	0.304327926083706	0.832619171380568	0.409020625753081	-0.484589897299781	0.446017682340932	0.602683791945097	0.757678651626487	0.197218798456761	0.568270561096874	0.366509722673949	1	0.780940370783038	0.674287825402461	0.866612374179042	0.519139459170157	0.451700752720061	-0.203730894401904	0.21331940998458	0.590976297867226	0.508577078266573	0.762034281413517	0.376311631716954	0.134115223193011	-0.352574746248705	0.0943773603413826	0.474739048763836
CD69	0.786194858673984	0.548104680921412	0.759001485013131	0.00583369310063861	0.835647163017338	0.20012659529054	0.345279948140733	0.80988380553942	0.866568873296498	0.445557302423707	0.399791376708907	-0.196481921727937	0.964016564402907	0.680377418565695	0.359762995380272	0.847260751810713	0.577740253369715	-0.496769459131519	0.602406874198145	0.538956653350525	0.678813950573547	0.447019547171182	0.773036480327877	0.367602683819673	0.780940370783038	1	0.813356666361343	0.873366696499017	0.600493598712891	0.608957619317829	-0.0607498912644775	0.25160999928599	0.502618932935424	0.737039924476697	0.720878526329097	0.484303936847704	0.113562167065531	-0.377186664131356	0.0258976436333812	0.39567195851634
PTGER4	0.560537697707716	0.506399821689662	0.520052019496184	-0.0952905304311292	0.779086338981639	0.0378022577262894	0.131719700891464	0.693173566864715	0.744503495549706	0.692741269441871	0.491583577996752	-0.250470821278994	0.898226582124703	0.610346783245287	0.0762091924796065	0.755719698745692	0.456618238174352	-0.435587081877128	0.632819773304489	0.555645948735077	0.446948021960983	0.300055839186602	0.534058112412637	0.116314959040321	0.674287825402461	0.813356666361343	1	0.699382341469515	0.740656014196616	0.579620409985733	0.147656042140366	0.384613189509488	0.344853225055934	0.791913906306019	0.602407840398034	0.707756489763925	0.319631646520539	-0.2356159998709	0.161564330738909	0.397055557706503
RACK1	0.580717730110776	0.404183380874199	0.551179146089531	-0.196560049884006	0.614697680241898	-0.0658873890699237	0.0636901548240824	0.579275503904682	0.93791391719526	0.160110548164532	0.158272129053083	-0.210891946048074	0.836333435079	0.39418932488486	0.266259956132249	0.872817389072314	0.346750474935954	-0.567537627938739	0.334485179300178	0.550909355520091	0.681036459228088	0.152231899015733	0.556006633407821	0.408185041382843	0.866612374179042	0.873366696499017	0.699382341469515	1	0.421187870974312	0.583444921668746	-0.111108186759675	0.447497987594157	0.748094268975847	0.644263984541399	0.896077320793481	0.516432140623692	0.306616733046964	-0.238797952626834	0.299550563917731	0.692552826588411
TSPAN5	0.587029704885695	0.692251601538903	0.55929456555229	0.0307420917182079	0.746716543815234	0.416842206570519	0.508240185719448	0.733636977153211	0.365086702188773	0.761930750834947	0.650605226306858	-0.0064867858709239	0.74125233571588	0.633094811940194	0.203254206666384	0.520748534221295	0.62408760170014	-0.367904120894727	0.778389063789414	0.450200523935824	0.42244959855592	0.38281372414296	0.605815185111801	-0.0459357620785975	0.519139459170157	0.600493598712891	0.740656014196616	0.421187870974312	1	0.521084866502527	0.276406844748085	0.122313095528784	0.226110657329383	0.521197361310541	0.224355991624929	0.486100335835613	0.097094747511116	-0.226794352089843	0.0543307762494724	0.149083985594188
SMAP1	0.421150531510606	0.366759964960325	0.417592060715132	-0.113870950206096	0.509794459025815	0.0201984072381876	0.113752269867013	0.539402464287834	0.536961493555084	0.333881248955365	0.413915472282259	0.11599416328796	0.601604721374098	0.360859627384702	0.165377438925947	0.478500569890442	0.315716815518062	-0.48489939619929	0.48619364625083	0.598215185003887	0.205803042098312	0.314720706745187	0.494252184056735	0.238943290640818	0.451700752720061	0.608957619317829	0.579620409985733	0.583444921668746	0.521084866502527	1	0.492486552131828	0.430943582597172	0.38964761996818	0.58528095279419	0.445288341606942	0.637047599357677	0.289262207256509	0.130427722375288	0.451167495526254	0.530647471082916
PTPRA	-0.255588191329708	-0.00100725070800415	-0.206802131134076	-0.199520139859381	-0.0425680417672057	-0.142400139760738	-0.14152854895993	-0.0290754104831948	-0.118156587713779	0.282637702484179	0.280012604321112	0.180710220321852	-0.0166139745896817	-0.0259975372240509	-0.38203832682574	-0.152684698949471	-0.148653847761756	-0.0892237645376138	0.247529552406133	0.303940226155403	-0.318053097744951	0.205084255294001	-0.107219766512699	-0.115935464672528	-0.203730894401904	-0.0607498912644775	0.147656042140366	-0.111108186759675	0.276406844748085	0.492486552131828	1	0.542994954039792	0.0108177127552922	0.208215397957458	-0.0597789212254518	0.599013332738232	0.461184317000481	0.674070499157855	0.554002849900167	0.25290289793524
CANX	-0.148513201291497	-0.103857893556016	-0.165433409672786	-0.413559396705372	-0.00412442989532591	-0.502970168095978	-0.460047984518796	-0.029759139076855	0.451309669467249	-0.0179885651541009	-0.135945650486756	-0.16148931289173	0.249035779717844	-0.132292666415859	-0.349012929592433	0.296587343568044	-0.233148699334844	-0.254117053552357	-0.0913157396986141	0.374759262695287	0.0300821377814017	-0.124285408630274	-0.136581331615272	0.140367076786232	0.21331940998458	0.25160999928599	0.384613189509488	0.447497987594157	0.122313095528784	0.430943582597172	0.542994954039792	1	0.549177030018503	0.459305177606216	0.545582191520696	0.704999772879949	0.793950724787978	0.565582080262976	0.686359142504928	0.651677016096128
CD81	0.303557060813492	0.134424563801314	0.206896476668814	-0.345338337734791	0.215515868422292	-0.179152976161015	-0.0588358672305036	0.239710443819921	0.604116358773139	-0.11361451531706	-0.130888801708428	-0.216991419868316	0.477622497070944	0.0459874208481847	0.149040185710092	0.562031749321106	0.16093184369811	-0.409558546113359	0.037284676505632	0.222615648296455	0.556982033184958	-0.0810557154785383	0.229240341335933	0.195991753708417	0.590976297867226	0.502618932935424	0.344853225055934	0.748094268975847	0.226110657329383	0.38964761996818	0.0108177127552922	0.549177030018503	1	0.277107568270432	0.683939959001479	0.456017838689941	0.558135355790205	0.126993683133624	0.578764086799553	0.733729799273107
TSPAN14	0.559926290952614	0.523875810369105	0.590423246077894	0.180640318421656	0.748353159146825	0.131223212244525	0.186114818043729	0.698086357386297	0.666065782445376	0.541017559390674	0.506541116417569	0.0905618346271835	0.774728693044268	0.679724703345168	0.287722514773681	0.6589520061667	0.408553922187798	-0.164824607781432	0.492611557793724	0.709546697565517	0.485339523547096	0.482406788613846	0.58786769664384	0.517072416037043	0.508577078266573	0.737039924476697	0.791913906306019	0.644263984541399	0.521197361310541	0.58528095279419	0.208215397957458	0.459305177606216	0.277107568270432	1	0.639892551459998	0.62737608536287	0.11592731946918	-0.248812826621934	0.0769717950368024	0.366383071537086
CD74	0.342419436657383	0.274920703451046	0.348491759168612	-0.247974610758371	0.466134689185395	-0.22738095836369	-0.14565399603073	0.35393305677006	0.863719382293258	0.0741374922084847	0.175447695565259	-0.200701511085507	0.678341262925817	0.284241724730148	0.120490625992987	0.832597070563	0.0900809157016437	-0.378028404163396	0.249120615158108	0.59867603182086	0.651614081020233	0.161752230814809	0.361730179601325	0.442749319533436	0.762034281413517	0.720878526329097	0.602407840398034	0.896077320793481	0.224355991624929	0.445288341606942	-0.0597789212254518	0.545582191520696	0.683939959001479	0.639892551459998	1	0.515984497127277	0.391879170298163	-0.150037541730833	0.327005247930223	0.656953218189062
NCL	0.121521796931007	0.238928307963233	0.113911142671082	-0.282943021250604	0.379640611285734	-0.226740130842166	-0.174337879332323	0.296484844480715	0.4936476619168	0.440266849736311	0.292225801078365	-0.114864276349687	0.537953291765418	0.245588111813792	-0.272131589362017	0.45918298889871	0.0237037018070968	-0.364410456789798	0.402655573115109	0.503900958528366	0.116398395059494	0.189780044731852	0.129823352945967	0.0579957122307777	0.376311631716954	0.484303936847704	0.707756489763925	0.516432140623692	0.486100335835613	0.637047599357677	0.599013332738232	0.704999772879949	0.456017838689941	0.62737608536287	0.515984497127277	1	0.637457256024743	0.274884101842953	0.634187473203608	0.722207950816398
APLP2	-0.285633378783119	-0.334862855517605	-0.412845772435769	-0.672723882137179	-0.181221796596521	-0.633343519490825	-0.571298890731496	-0.250910858339141	0.31939557504339	-0.0803029329021721	-0.21306688819483	-0.371451032587422	0.129383438378331	-0.319685208199649	-0.51851629491227	0.218273165424896	-0.322651094031699	-0.315102353361584	-0.0852908724744524	0.10363711425851	-0.0953766689474084	-0.3408975936264	-0.326866194959042	-0.220112933890343	0.134115223193011	0.113562167065531	0.319631646520539	0.306616733046964	0.097094747511116	0.289262207256509	0.461184317000481	0.793950724787978	0.558135355790205	0.11592731946918	0.391879170298163	0.637457256024743	1	0.655179242384397	0.788373013233349	0.591081590989959
PTPRZ1	-0.602250216293368	-0.504238029127579	-0.645510785387155	-0.513692661157652	-0.580711186444709	-0.57036016314597	-0.567063978666986	-0.514194932695173	-0.202414225758857	-0.332707881545057	-0.376891778955784	-0.105052271137185	-0.401242115036767	-0.605262589146684	-0.537812644661639	-0.385044694890694	-0.528474621206553	0.00271276853709686	-0.359117460977292	-0.0938396729933877	-0.486344229263411	-0.363763536362015	-0.597321818857209	-0.28566720150909	-0.352574746248705	-0.377186664131356	-0.2356159998709	-0.238797952626834	-0.226794352089843	0.130427722375288	0.674070499157855	0.565582080262976	0.126993683133624	-0.248812826621934	-0.150037541730833	0.274884101842953	0.655179242384397	1	0.624628483851314	0.240330323224991
CD63	-0.318175807614726	-0.268610027932055	-0.402414760715064	-0.635042390117407	-0.252577033487736	-0.599036539865768	-0.538104709986138	-0.245412855383176	0.226203291765762	-0.179017280678403	-0.167500269615905	-0.150461620561641	0.0295094398909769	-0.390250491769764	-0.399159156535979	0.079563455417356	-0.334137515612651	-0.362047040072473	-0.095733835140862	0.168499809548303	-0.129769307188196	-0.30570517233305	-0.307268332740815	-0.137376848452211	0.0943773603413826	0.0258976436333812	0.161564330738909	0.299550563917731	0.0543307762494724	0.451167495526254	0.554002849900167	0.686359142504928	0.578764086799553	0.0769717950368024	0.327005247930223	0.634187473203608	0.788373013233349	0.624628483851314	1	0.783694524737582
C1QBP	0.021128126503194	0.0641110943794282	-0.0012525508003205	-0.475219087497833	0.100054813065019	-0.427880678739223	-0.357388527210531	0.0747791472828912	0.588212735702303	-0.0915626175167313	-0.125730332514812	-0.148824644122285	0.368843013657454	-0.113443508149945	-0.176160127957594	0.434573674837144	-0.160916746498286	-0.512550637654896	0.00761531889014556	0.343219485672918	0.174597913361698	-0.172687299663672	-0.0103717908575491	0.177065598683798	0.474739048763836	0.39567195851634	0.397055557706503	0.692552826588411	0.149083985594188	0.530647471082916	0.25290289793524	0.651677016096128	0.733729799273107	0.366383071537086	0.656953218189062	0.722207950816398	0.591081590989959	0.240330323224991	0.783694524737582	1
