""	CD3D	CXCR3	CD2	CD3G	CD8B	CD8A	KLRB1	DPP4	CD247	CCR5	CXCR4	KLRD1	CD53	TNFRSF1A	ITGAL	F2R	TNFRSF14	ADGRE5	SIRPG	CD47	TNFRSF25	CD4	TRADD	SMAP1	FAS	CD44	S1PR4	CD226	CD69	PILRB	LAG3	PTPRC	RIPK1	TRAF3	PTGDR	SLC16A7	SELL	RACK1	ITGB2	TFRC	ITGB1	ERAP1	ADCY7	TSPAN5	PTPRA	TSPAN14	CD81	LPP	CANX	PTGER4	CD63	SLC1A5	CD74	MCFD2	TNFRSF1B	APLP2	SORL1
CXCR4	0.631311873172582	0.416908793243364	0.688090340371096	0.697618204092148	0.245069777861906	0.0178113050196496	0.748627959955644	0.725079179705798	0.558689787655281	-0.314583939492547	1	0.235117428136859	0.715932009436643	0.287841029773234	0.337648540914129	-0.328527140431916	0.548826737574719	0.636591084551982	0.5087890146086	0.590038312593479	0.618230189007721	0.856998154021776	0.862112483761549	0.577479978384097	0.297444012146769	0.483619452175353	0.535614719469339	0.69827484140356	0.897295305196826	-0.272581054424923	0.173982074034612	0.553493253829028	-0.00579198417157716	0.325094616462635	0.532608350245704	0.671109671191415	0.534805463519192	0.720513585428794	0.431810812861495	0.448089363484192	0.497367617503191	0.362185754904773	0.136362641934935	0.299361734102633	0.207185212856039	0.424717963105845	0.255994046992615	0.190536237498423	0.14489927111125	0.876858354373983	0.359280934501148	0.196756414491829	0.32981858359557	0.335982709946772	0.574722948312321	0.225504812078875	0.0524096460417242
KLRD1	0.187522778236032	-0.153397274765575	0.369942971625332	0.282109707248428	0.397164175534266	0.53805454716308	0.0336388670204123	0.0290920570502265	0.260921159459849	0.461833090452182	0.235117428136859	1	0.233886359820676	0.0247775673239658	0.225730211762694	0.0268106790190712	0.0826493512079627	0.302852016281535	-0.0235080288733257	0.0795196490391281	0.133123999687097	0.204305115998273	0.0934081377232736	-0.0403713576000906	0.548260456536937	0.300284035421298	0.102475285948893	0.188087333749348	0.24303227609936	0.101574728328295	-0.083544288638809	0.587174310835375	0.118791018107996	0.445503531065451	0.742505938265979	0.239630574393948	-0.127374645226047	-0.0361396441631578	-0.0147294587253482	0.0859662703126827	0.210518222724646	0.340751191241337	0.313494981670888	0.0809991823109449	0.0200204345929581	0.363033319553668	-0.0634141817322293	-0.0295096661447678	-0.0722768505312336	0.147912350821052	-0.05888233417637	0.403491505674928	0.0393882024966064	-0.030529490080992	0.13352812908696	-0.110744168894917	-0.0618355076881585
CD53	0.647680647464705	0.466419140742974	0.625130678754131	0.621973760474592	0.470275030953037	0.263558097452729	0.425181329196475	0.522029920987903	0.579218077900244	-0.135428846394123	0.715932009436643	0.233886359820676	1	0.556449084208866	0.611651295479397	-0.0109791675541476	0.675174892193562	0.793001023648854	0.577095370843632	0.834011867371114	0.490288841644045	0.736691560262929	0.638068571037133	0.905372395782248	0.468071410422507	0.746012308301816	0.611098945133502	0.710901913128958	0.625250102525561	0.140172470268636	0.283190852225301	0.681126521790626	0.478009427546532	0.313812982060837	0.316574749841426	0.453512696249993	0.726694823652876	0.901786407669337	0.757617664495854	0.775254876317853	0.835948955048713	0.60596288240391	0.397162493640581	0.69011002687228	0.518687146594236	0.516570389282474	0.664715074390762	0.559350649565711	0.54053948696568	0.61379340236506	0.773683890416968	0.515421669533755	0.696231007225238	0.698322499673062	0.794965208653636	0.596059445190103	0.468662246380337
TNFRSF1A	-0.170885458198382	-0.22249233681683	-0.145231582415802	-0.145968628869959	-0.205122005007065	-0.0681046565112898	0.00318842038691778	0.0401058444040304	-0.243458926339675	-0.0859292291733574	0.287841029773234	0.0247775673239658	0.556449084208866	1	0.426340471739479	0.473178019659733	0.271452894963234	0.320147208484777	-0.0437636526111657	0.350513043354833	0.138354573509065	0.541238726942547	0.0495830487591048	0.497317874885174	0.214190983870579	0.546938703794459	0.0201425258733133	0.241012623965412	0.282592167730142	0.45406529639165	-0.27823560766515	0.405967087967451	0.626432083271638	0.521227606082739	-0.114394161816825	-0.0415490681541846	0.222466394077432	0.391367715701398	0.768375799395551	0.826198346294395	0.776061350782433	0.768076333763243	0.84068954550236	0.67439468530868	0.873254398711997	0.801443195520544	0.894073738745987	0.872228419063443	0.883071786619105	0.384457278146093	0.770600976124588	0.502216177610062	0.886432539555904	0.856174528193933	0.764850878294455	0.888494739163963	0.850476684145177
ITGAL	0.2747657382136	0.418300057848076	0.227868763970441	0.256377081657557	0.291954646536411	0.361084988271681	-0.0837998562361462	0.158801020488131	0.201359112992383	0.13684070828993	0.337648540914129	0.225730211762694	0.611651295479397	0.426340471739479	1	0.408793617184209	0.404262213930634	0.335111139986313	0.235187072176265	0.413381769206632	0.167319139107854	0.520966047540848	0.141501989081196	0.551875075098445	0.401395324435531	0.720717746779108	0.158051828422594	0.260461986273233	0.359628881957738	0.143862012852596	-0.00529811586587458	0.523141589900749	0.50038991942275	0.518670630560782	0.272666540559103	0.0810242273335334	0.369203234831299	0.431198634311756	0.664978818325811	0.480555101503496	0.645260800259808	0.384086912017355	0.373330689744684	0.623296658902318	0.374516427167907	0.38575451179186	0.521054954237667	0.493671271057058	0.432654103047468	0.428854258665806	0.504402336850478	0.588362510973016	0.552056946879871	0.430956691473241	0.595513896175788	0.471027492140161	0.465314351915065
F2R	-0.512560722636902	-0.288727099855195	-0.398822838108665	-0.456224259403522	-0.162484078632214	0.202286520049755	-0.64837836957479	-0.565746055113379	-0.441653661141259	0.511789448411599	-0.328527140431916	0.0268106790190712	-0.0109791675541476	0.473178019659733	0.408793617184209	1	-0.174582713772528	-0.155798906040175	-0.409593074267019	-0.0804543488214328	-0.553184711684235	-0.114616093099498	-0.511773282333127	-0.103547900897718	0.139294378500907	0.470697703742441	-0.469364742560935	-0.498743070148956	-0.369827099299365	0.654780143638156	-0.0884746941852693	0.0972603671169452	0.630057692370463	0.378157876501531	-0.0860637357080058	-0.424304044907092	-0.108477193750082	-0.219130199091486	0.479111630323159	0.263709197094735	0.400433740881754	0.371670806576426	0.460281240797884	0.329895830380928	0.540491462870652	0.439713171289313	0.544808570579356	0.483252521565795	0.509043398240311	-0.236695844279691	0.337634759441704	0.415897811772264	0.48602066337535	0.363337937955641	0.180366913917463	0.492722122213457	0.471396005748642
TNFRSF14	0.735827257603485	0.558497468741921	0.688780739644312	0.689516579015307	0.479921336900643	0.459637734286881	0.570526758116405	0.715002025668557	0.474763918384495	-0.202958029292748	0.548826737574719	0.0826493512079627	0.675174892193562	0.271452894963234	0.404262213930634	-0.174582713772528	1	0.848809444968875	0.522186280719331	0.586228129212014	0.707063927176693	0.566507106828678	0.608911348716082	0.686684228698606	0.186711541545732	0.597722579403033	0.548791339697173	0.729958233333099	0.409181813643107	-0.0578042387035828	0.382038924207672	0.626772321820297	0.226504710570802	0.447979915003651	0.266123820797584	0.603658742707472	0.551372830104719	0.657661993850528	0.311179136144757	0.509559804501765	0.411979225412427	0.526235476212651	0.204298114155034	0.574501022453015	0.214095658125276	0.188499510546242	0.280976423089597	0.286556720649899	0.239181133024857	0.514988049842484	0.423958591633512	0.506909957956593	0.364022757193474	0.378645972704472	0.720287619434766	0.239570581741766	0.125990906405303
ADGRE5	0.768092531475852	0.374694878898794	0.800501857366323	0.793068240584414	0.492487190080383	0.404095133629558	0.576847883168913	0.73230297106384	0.607170155569658	-0.125998953463563	0.636591084551982	0.302852016281535	0.793001023648854	0.320147208484777	0.335111139986313	-0.155798906040175	0.848809444968875	1	0.425421630965008	0.804884591152912	0.674965096741346	0.639960954798282	0.627247335591698	0.708099458690012	0.529610953840364	0.703250686215031	0.553279380558334	0.808097176846984	0.510877403935052	0.122236316601503	0.462621973862641	0.82096497218525	0.321048703600625	0.36067013593359	0.444595244682401	0.690411678038399	0.698168299887939	0.745528314924125	0.405194194571754	0.6141813877494	0.614081988238489	0.627403420224141	0.35211243777841	0.546593409811345	0.375833670801994	0.417373395583174	0.384238643626963	0.370504231556272	0.352145605103819	0.560687000187131	0.560764346821193	0.572326302675077	0.424249333935319	0.52273948779048	0.693843583992892	0.346592515854496	0.201867286425571
SIRPG	0.756726541155477	0.829990007646343	0.645128733505404	0.625046970083789	0.71585631247555	0.312736481759568	0.452259930684009	0.387368829890038	0.774574762668455	-0.118564351207822	0.5087890146086	-0.0235080288733257	0.577095370843632	-0.0437636526111657	0.235187072176265	-0.409593074267019	0.522186280719331	0.425421630965008	1	0.477297066791147	0.320412216564172	0.289700512821047	0.693815071193096	0.64487232738182	-0.00686717492711498	0.23924830319028	0.832240036540912	0.414137537182639	0.355027084768413	-0.297508670476608	0.428964694355768	0.0798561049339711	-0.0966606729673617	-0.16803685910218	0.12914308382051	0.412289666152773	0.521999935985536	0.686541589250972	0.252681878658105	0.215434674403112	0.146724845714747	-0.0795650724895579	-0.290265177487085	0.31407942201615	-0.17349522129966	-0.227167247946732	0.0473684692877542	-0.0633817714077316	-0.100589020421742	0.310983124311083	0.209215976911984	-0.00671725167383718	0.0557910737165863	0.0725990554485842	0.343754794192696	-0.0370695569487921	-0.162111686619629
CD47	0.703574128659521	0.458422620192132	0.662804929859302	0.712821190265931	0.407083899443767	0.151006205075138	0.422200210262972	0.560701551718249	0.674946345882711	-0.229519786287695	0.590038312593479	0.0795196490391281	0.834011867371114	0.350513043354833	0.413381769206632	-0.0804543488214328	0.586228129212014	0.804884591152912	0.477297066791147	1	0.495867286973371	0.584145797040952	0.570205657555892	0.835627388899321	0.543422589465564	0.674142491457547	0.632414906643405	0.671944641324847	0.509842984706779	0.156869108721026	0.473015824144482	0.643201155997212	0.423437772906808	0.0846632783403892	0.249365568847614	0.522746923843633	0.886367484532366	0.882310792400512	0.60173766127811	0.670784866909107	0.730795808977876	0.420508426478255	0.291917016131978	0.531572633733409	0.444769330416629	0.401575686098858	0.508221653087619	0.463657723649763	0.468177380571385	0.49187091742432	0.692299022839002	0.438712851168705	0.485389828616472	0.650196893036742	0.594996593809151	0.48355557968187	0.346606989436971
TNFRSF25	0.642005868778151	0.345564046596493	0.607915988282109	0.688065370433659	0.144261294040643	0.0569711433511239	0.815767432156477	0.885181132645391	0.405358980488004	-0.473533358681037	0.618230189007721	0.133123999687097	0.490288841644045	0.138354573509065	0.167319139107854	-0.553184711684235	0.707063927176693	0.674965096741346	0.320412216564172	0.495867286973371	1	0.570557018685206	0.637545878287984	0.518439579517977	0.257754284257676	0.272746563428191	0.495533925990719	0.882918836823348	0.571144586408778	-0.429124898362115	0.12564192649757	0.511935306159187	-0.175376676719434	0.397767763202037	0.35013949565354	0.597327094326799	0.387946485199846	0.52969525158458	-0.0201524850858505	0.305222808737581	0.202943735805036	0.351521470476187	0.179219000492708	0.224233143618397	0.0203170380370659	0.112229377792706	-0.0147779802416506	0.05500169105526	0.0446490565298772	0.636097763447623	0.153478757342827	0.166126714473732	0.0611864330841127	0.219495023783784	0.469097894524238	0.0368357972990171	-0.0302396633087476
CD4	0.461847187742715	0.217118196670877	0.464971953248448	0.464324110392111	0.110372548497946	-0.00527431616192389	0.482973674965153	0.659138972229993	0.320982242056805	-0.354278111320052	0.856998154021776	0.204305115998273	0.736691560262929	0.541238726942547	0.520966047540848	-0.114616093099498	0.566507106828678	0.639960954798282	0.289700512821047	0.584145797040952	0.570557018685206	1	0.565472536604503	0.64568084888646	0.34006118487467	0.579737188839317	0.318565346408138	0.675139699373668	0.900412791551626	-0.0321121431947675	-0.0967550877801463	0.698034884447211	0.28577432322615	0.486700882351562	0.345023566152108	0.573606560664788	0.510267377768157	0.684827151088033	0.621544543119977	0.686294132648208	0.683435798824748	0.555123319159443	0.437070847525526	0.579538129445632	0.522769598191548	0.653213862219786	0.527793712535904	0.566618432313563	0.497227827453416	0.925773674026861	0.607902200603137	0.507478618068763	0.615310771744673	0.590826912744951	0.76768230442767	0.543955723379551	0.435039597708068
TRADD	0.767693608292174	0.605721921259137	0.776350873590025	0.812517110650577	0.403685492617546	0.103505851630146	0.866173010288403	0.734572925365245	0.673817424114732	-0.3085892979154	0.862112483761549	0.0934081377232736	0.638068571037133	0.0495830487591048	0.141501989081196	-0.511773282333127	0.608911348716082	0.627247335591698	0.693815071193096	0.570205657555892	0.637545878287984	0.565472536604503	1	0.559915348562442	0.122949715448607	0.305368216786106	0.749502178792907	0.693900725494676	0.655763722028643	-0.381166968324442	0.447230031131611	0.333007325023329	-0.218887898785759	0.0810961406613047	0.474701227256144	0.603499460553701	0.536199692099717	0.719421447544291	0.191616694970559	0.264060238617889	0.250205222453412	0.174086039135259	-0.149329992250994	0.152683262955915	-0.068991272066636	0.0866974898648101	0.0283030803602441	-0.0783677681465254	-0.106700761999759	0.605134349584267	0.175490678975214	-0.0465321559872696	0.0637391082595443	0.125241090870535	0.397168980448528	-0.0267880683867783	-0.217579148728708
SMAP1	0.667725432358759	0.575590078976593	0.508786581817539	0.556385128123272	0.420850729737268	0.153077306072018	0.377913516576293	0.530640876187749	0.542964951275545	-0.356850567668233	0.577479978384097	-0.0403713576000906	0.905372395782248	0.497317874885174	0.551875075098445	-0.103547900897718	0.686684228698606	0.708099458690012	0.64487232738182	0.835627388899321	0.518439579517977	0.64568084888646	0.559915348562442	1	0.332167398953693	0.61256903901322	0.669929215815292	0.690639555032352	0.550933927848932	0.0516925797055547	0.25192254922874	0.501580939403766	0.396253935639521	0.149605780810043	0.0261093600558385	0.354070400687814	0.753930118546207	0.943695940636291	0.689820054444158	0.76577333180626	0.715460903829355	0.434267177377629	0.280583238362827	0.724774456679931	0.475329568638073	0.324836620534742	0.622310171500841	0.5605238164591	0.560483577191773	0.542902413331971	0.784960053058166	0.447532640155129	0.632111372372531	0.708859853032751	0.759023507401313	0.605000199233746	0.483231924269772
FAS	0.317890805860068	-0.0104803470356774	0.399167887913076	0.440726425036128	0.244234427718558	0.301997451414771	0.0520338463207612	0.254852169425823	0.311208416018538	0.199546172116993	0.297444012146769	0.548260456536937	0.468071410422507	0.214190983870579	0.401395324435531	0.139294378500907	0.186711541545732	0.529610953840364	-0.00686717492711498	0.543422589465564	0.257754284257676	0.34006118487467	0.122949715448607	0.332167398953693	1	0.611206753560776	0.133875315163766	0.365664436441913	0.349401035474634	0.264463392023023	0.224025993150599	0.675365687187988	0.264566723926352	0.24487929408231	0.433930888059314	0.239716769288505	0.391227049017172	0.340122483201932	0.304626991253512	0.318815687464362	0.575866425706804	0.369420433924085	0.431713730553424	0.241647696577794	0.28636398724044	0.407261265949869	0.263792367122371	0.237385269138942	0.258069700035587	0.322175615183295	0.316301364773629	0.478790376607978	0.259421995740056	0.330331240450327	0.245948851645217	0.243826195565886	0.219641644197377
CD44	0.403852924405365	0.295565088073062	0.508279651237808	0.46934531846694	0.392400679481033	0.487221682980974	0.107256201050512	0.305250290588295	0.333819229788642	0.245205953841492	0.483619452175353	0.300284035421298	0.746012308301816	0.546938703794459	0.720717746779108	0.470697703742441	0.597722579403033	0.703250686215031	0.23924830319028	0.674142491457547	0.272746563428191	0.579737188839317	0.305368216786106	0.61256903901322	0.611206753560776	1	0.228262663106271	0.392159038639796	0.367844702265314	0.34791965386631	0.308222976867209	0.758069664672479	0.618493120548952	0.593432600608767	0.401745920912444	0.374423252616647	0.562907028806766	0.566027906813498	0.705527687464448	0.663071402077839	0.820830951685614	0.686557859890848	0.507325989562269	0.679954981139817	0.583015815530406	0.587913950862723	0.643786657914315	0.571629576105068	0.560205684432833	0.486560662559378	0.661913153935046	0.708735411860942	0.646633501244679	0.630435225822121	0.702818298932145	0.573884557461475	0.412806299959688
S1PR4	0.811991723015292	0.687250797972505	0.674320075884965	0.748482851671427	0.631294641189535	0.320985370942402	0.54943932575281	0.480245642233615	0.790410269469933	-0.225340001376726	0.535614719469339	0.102475285948893	0.611098945133502	0.0201425258733133	0.158051828422594	-0.469364742560935	0.548791339697173	0.553279380558334	0.832240036540912	0.632414906643405	0.495533925990719	0.318565346408138	0.749502178792907	0.669929215815292	0.133875315163766	0.228262663106271	1	0.517882443290907	0.41074543484265	-0.248934283686848	0.451943087601917	0.280145542410464	-0.0950990694727781	-0.0783112579298823	0.23478754872016	0.369960855248226	0.503661466880962	0.74349581741826	0.202136338152928	0.35538431306997	0.211667309390947	-0.0108418306493789	-0.0726394630980713	0.344391555132326	-0.0990444310379514	-0.0664990071457677	0.0266662466803555	-0.00692014341398076	-0.0427430388935682	0.267303930825753	0.20624068617272	0.131242574509545	0.0647220043460633	0.173424108766903	0.403503435805152	-0.0305683845485154	-0.0897009495411277
CD226	0.709299489520886	0.352119028742938	0.66947891423826	0.720578057739668	0.220137059957489	0.010857929478279	0.784444528592294	0.869498240123484	0.507191279892546	-0.49377899670515	0.69827484140356	0.188087333749348	0.710901913128958	0.241012623965412	0.260461986273233	-0.498743070148956	0.729958233333099	0.808097176846984	0.414137537182639	0.671944641324847	0.882918836823348	0.675139699373668	0.693900725494676	0.690639555032352	0.365664436441913	0.392159038639796	0.517882443290907	1	0.661141772645562	-0.241285192339128	0.178315182926638	0.605132674905779	0.0458506459868862	0.261030174078912	0.322278795697551	0.66117522507276	0.598191361740217	0.725645546973107	0.217473818624617	0.470606978482727	0.43996285606585	0.487731089473355	0.219857533558236	0.317380174735578	0.227288221434174	0.273478627663658	0.224978868252982	0.222753559771873	0.23394920518652	0.709073336163434	0.428282933197375	0.216939971027105	0.265250226793893	0.416730026742773	0.580929769561699	0.258647814474222	0.15143352749869
