""	EGFR	ITGB8	GPR37L1	SDC3	GRM7	NRCAM	GPR37	ADCY1	C1QBP	CD9	FZD3	NOTCH1	CHL1	S1PR2	THY1	CD47	MCAM	CD82	KCNJ10	CD46	CADM1	TNFRSF19	SCARB1	RYK	TSPAN5	TYRO3	ITGAV	CELSR2	LRP1	ANTXR1	NOTCH2	TNFRSF12A	CD81	PLXNB1	TFRC	MTTP	MCFD2	ITGB1	TNFRSF1A	PLXNB2	TREM2	ABCA1	ITGA6	LPP	ADCYAP1R1	ERBB3	CANX	APLP2	GPNMB	PLXDC2	HLA.DPB1	SMAP1	PTPRA	PTPRC	PILRB	SORL1	RHBDF2	RXRA	CD74
FZD3	0.947182470587808	0.990057099487194	0.964405725896926	0.98726899648299	0.870668712718308	0.964315306048128	0.980638694393845	0.990920314973817	0.918544587875738	0.905543424654138	1	0.968523563312765	0.955270047758039	0.826338041524538	0.0208060196998804	0.961287789985619	0.963326797702264	0.55016587132699	0.965407583842157	0.899052911924912	0.983369276237981	0.957557706211457	0.422268175933723	0.908067728813262	0.86030705479007	0.416277103938942	0.970961437262374	0.782841455735165	0.974101523267762	0.994851432560116	0.970403611389542	0.982937298253298	0.978941754930782	0.967784566068826	0.985496955059743	0.987309449611867	0.936126596115738	0.984957816627035	0.976422702406726	0.489253781313272	0.511518474236973	0.77728233059809	0.973006155033914	0.940825219620038	0.936603945542026	0.195831852410092	0.964580520915335	0.980648837612754	0.667236306940242	0.562346506192392	0.519989708874827	0.967077931618745	0.978328482988574	0.484580916546172	0.978960356171253	0.70404016853848	0.71859725848064	0.972072234019162	0.514454928139268
NOTCH1	0.990763171322541	0.992296070702634	0.99106632305917	0.988367342899405	0.783168754066749	0.996866400690789	0.996246854225816	0.947141956640059	0.983048373938304	0.96621336797301	0.968523563312765	1	0.969995514371637	0.925164082509168	0.010073790165654	0.972716564188674	0.938572945991584	0.605921462747081	0.990274743828929	0.941874613182331	0.985524601510543	0.987559582255228	0.291773632373692	0.871875232493017	0.955021523924521	0.4120075081908	0.972321363097985	0.865053974513674	0.971715725735807	0.972067079378302	0.992453058213218	0.945571406858416	0.929612230849188	0.997155325863692	0.95150043919966	0.983379210927258	0.972530758465768	0.968484018605297	0.942163467668035	0.356667770660921	0.348788422210145	0.656724535659418	0.943107488172578	0.905878577827415	0.982972428328241	0.116829444584468	0.991573609136119	0.988880014740857	0.542513219962753	0.429590379099382	0.361124622025495	0.986280857142422	0.991156245834087	0.352532957974011	0.983601093823207	0.581307678655623	0.611941233361422	0.925193397476295	0.364916042770582
CHL1	0.969214316699253	0.970376422585708	0.986940770897511	0.982226558176254	0.865115287205368	0.976528727832588	0.970298433698791	0.920773480265977	0.951230308340435	0.957994774141212	0.955270047758039	0.969995514371637	1	0.904647871620136	0.225719070107411	0.988313604973737	0.982444325784299	0.75460875019715	0.989345694684127	0.974658893912627	0.981873623768876	0.969029144612137	0.367072434868536	0.794779842188957	0.909210576418203	0.609512200280214	0.989436293178987	0.764470219122484	0.983695557397525	0.955213530657144	0.979642713797152	0.911576981075532	0.913161700553136	0.968752123949212	0.937355860744005	0.975959223231012	0.973245928048715	0.97099339640727	0.946115131383393	0.415548009520061	0.353784116087155	0.659464098131352	0.90011464352745	0.926778370047042	0.92759712308139	0.321273413922046	0.973792953020472	0.986671058117903	0.529827917410746	0.46146523100039	0.344149395458325	0.981110573750629	0.983328575199801	0.369618959383381	0.986841914279296	0.610815439709638	0.643983466429913	0.911118745696833	0.390686097837189
S1PR2	0.961391249229567	0.89508572942409	0.941403172116356	0.90189440349592	0.57870216138577	0.940679138557116	0.903617254838094	0.762615857737747	0.976628858482458	0.982098790806191	0.826338041524538	0.925164082509168	0.904647871620136	1	0.0318622546290463	0.918941404315026	0.825139079005935	0.641920973880434	0.926233155843245	0.943786152441296	0.903944086891769	0.940413763745022	-0.0248398307113999	0.652007635240351	0.977985162557298	0.41227667439908	0.885682930344138	0.821484953613589	0.850522221735269	0.839136412988484	0.930354048096486	0.762429594288527	0.736270882266336	0.928192209146639	0.780301849490687	0.899207641243765	0.953470565861917	0.845005706664894	0.776786163446322	0.0489931455780432	0.0193345532183828	0.337013725965401	0.781625333359851	0.734435876358869	0.928560258392287	0.00160762546072314	0.940904415856451	0.89304817005212	0.210577920564797	0.0995010583280436	0.0363601186542039	0.931019028106	0.921592442918392	0.022578087707337	0.906908082364335	0.274821481393539	0.326413438851068	0.716972215636527	0.0294418089483815
THY1	0.0162379157540421	0.00411563015820735	0.081281954594803	0.0617241470827009	0.392092630117097	0.0260403108278288	0.00443310544488967	-0.0161507861642122	-0.0121255217838953	0.0580611128591159	0.0208060196998804	0.010073790165654	0.225719070107411	0.0318622546290463	1	0.139871335111395	0.282371049724036	0.752332769106043	0.111590484344321	0.204543699848128	0.0622123500093568	0.0130911740578379	0.380172358301764	-0.19483432895994	-0.038610691240494	0.881771355160771	0.148721102322773	-0.212465320958184	0.171543793384872	0.00257180649155314	0.039852336719833	-0.0478379210770195	0.0104849419291275	0.0110713049646547	0.0315454732474964	0.0435196777156172	0.082162249892449	0.0839640718076632	0.106398958809013	0.384248389802563	-0.00810672299570117	0.0899907502516189	-0.0963761257560719	0.181046531123234	-0.0862599633532	0.833477609176223	0.0155003331472616	0.0977838555628174	0.0166839314899888	0.187222211805485	-0.110616911914072	0.0594763200224586	0.0598292366202277	0.158444469281048	0.095264926225654	0.190351221237342	0.215740815346439	0.0621906504115122	0.123289748679115
CD47	0.980724217984734	0.978693521730937	0.991903300924207	0.989085496517538	0.817018267029516	0.98003611613187	0.972120884722471	0.922255951383089	0.96248061894841	0.974826148346147	0.961287789985619	0.972716564188674	0.988313604973737	0.918941404315026	0.139871335111395	1	0.970029655004464	0.680379550963848	0.981428797083707	0.98086106394423	0.993733431012215	0.986267831450063	0.309050646918582	0.783332819796309	0.908997621751864	0.533749415588757	0.989038171314037	0.740413213346056	0.972056242259969	0.966723196953194	0.990614605013682	0.918434551101587	0.919071793271372	0.968337182059792	0.939061194438531	0.988042234775149	0.992075585755843	0.978977239578188	0.947578900267196	0.387317080600356	0.366532754621372	0.640201162593479	0.902342610042418	0.918514362860595	0.928031954181987	0.219621964799862	0.987866724774989	0.986644957024359	0.525175296693004	0.432701737996807	0.372969293342448	0.992356180211453	0.99185153983904	0.342643447861612	0.996175806393337	0.586729351536878	0.626522251471513	0.89539812159973	0.377178075081108
MCAM	0.925650239642079	0.955285050727709	0.956428024837373	0.969114762909144	0.921692750063565	0.940410447673355	0.94616188948054	0.939254552640796	0.893041485331347	0.902747561243755	0.963326797702264	0.938572945991584	0.982444325784299	0.825139079005935	0.282371049724036	0.970029655004464	1	0.7333688118619	0.961910853136567	0.933252779938737	0.967214335722158	0.934429577320612	0.472718075331004	0.804421522353665	0.831018415627756	0.632735051221051	0.976647157235515	0.695541831063554	0.980439132275225	0.955977466866999	0.950819843702098	0.924599069704179	0.935679335610632	0.937355954387348	0.949530125937126	0.964971116501113	0.935106028712453	0.970101083498606	0.962620531381088	0.545392370678797	0.460700285073635	0.743589194113732	0.901908706989569	0.946545721867431	0.88234895729138	0.388019941411426	0.940422262475181	0.971459333980552	0.618303696640309	0.560089051745077	0.445074013052554	0.953186419973583	0.962550850882935	0.476019510107751	0.972349347244091	0.700757708205651	0.726840869055497	0.937801160315469	0.497100102336243
CD82	0.621521873824234	0.57777167712149	0.660846116647698	0.620356281752898	0.707707994694902	0.626201936396822	0.594090786640203	0.493885249571743	0.613010578078378	0.655878834065394	0.55016587132699	0.605921462747081	0.75460875019715	0.641920973880434	0.752332769106043	0.680379550963848	0.7333688118619	1	0.683502671912645	0.747424873686243	0.620591597352363	0.605447812947194	0.340409195614203	0.319791637324869	0.605131428854486	0.942751599527072	0.683031641186933	0.406188629792397	0.687800631289242	0.543280288054767	0.62285069681325	0.469592506156997	0.497713430847187	0.608417555987989	0.540419294060752	0.59956565217856	0.657039324293586	0.611634128340453	0.589897245309797	0.318908182789353	0.0504252122177431	0.330153667135263	0.447121104406883	0.624210022708451	0.538796459841141	0.701549327231855	0.608784821263257	0.652086199199118	0.196336183491153	0.262577462279719	-0.0221362241854941	0.635725964434354	0.629425725727625	0.172875390559858	0.645090426890747	0.357219659933966	0.398351457953143	0.536661942007248	0.162355354950539
KCNJ10	0.987339919412818	0.986576263118057	0.99525447879073	0.990602783413952	0.824514762722725	0.994960869482614	0.988182405888796	0.934537683192537	0.975088388160252	0.968524041538434	0.965407583842157	0.990274743828929	0.989345694684127	0.926233155843245	0.111590484344321	0.981428797083707	0.961910853136567	0.683502671912645	1	0.962731210570753	0.986039706250534	0.980582037487117	0.314004911725623	0.843243057783922	0.94497543918734	0.506982114407809	0.985453960114882	0.838194982608943	0.979678015641746	0.96711834220597	0.990932377612621	0.929791731076998	0.918103239414928	0.991779245232966	0.945476877083356	0.984908587660499	0.974952134243667	0.967359766731667	0.939449532451926	0.362060363345546	0.320848212710318	0.64677175900547	0.935101071027841	0.913822051961354	0.968489124309536	0.211987627885097	0.98851186509965	0.990653049670437	0.513068174174684	0.427837746860046	0.319298485407603	0.99013543647638	0.992347576299335	0.349306154574521	0.988015598869087	0.587952149687223	0.616043515810175	0.918304924092363	0.356963682604024
CD46	0.966266828892336	0.934432141861022	0.97261327438995	0.951726008696786	0.757507905693667	0.958269048733275	0.933774665243664	0.843593236055883	0.956757347938691	0.981063720323088	0.899052911924912	0.941874613182331	0.974658893912627	0.943786152441296	0.204543699848128	0.98086106394423	0.933252779938737	0.747424873686243	0.962731210570753	1	0.959702893236684	0.963900231017306	0.253323736191035	0.695171048749001	0.915493723992249	0.591160235016109	0.970688257290216	0.708430812684217	0.941288876073139	0.915244480828	0.968104764725693	0.84900513817056	0.849479107051844	0.935300808313827	0.881879856657798	0.947316457935333	0.986162789849659	0.938624189723162	0.896333840708275	0.301298560274894	0.249129846289943	0.541233141050244	0.840279596561752	0.883194083357833	0.893685612380545	0.245846967730067	0.966563520713801	0.957436599877116	0.419089177906243	0.35539268606722	0.250554328159002	0.973409863017602	0.961680525007247	0.26528918417007	0.967867479335577	0.51226198790207	0.562682032675268	0.81879319269998	0.290961050136095
CADM1	0.983550187465521	0.994669374244227	0.993357439801353	0.998230060033324	0.82588189694844	0.988196500977627	0.988467678036108	0.955059961567922	0.964264092410505	0.96448866980235	0.983369276237981	0.985524601510543	0.981873623768876	0.903944086891769	0.0622123500093568	0.993733431012215	0.967214335722158	0.620591597352363	0.986039706250534	0.959702893236684	1	0.990310033270045	0.331504970289847	0.842506166042941	0.91248552929184	0.466798200939698	0.989829360087989	0.78018261276112	0.978608586604417	0.986543436940709	0.995673849356303	0.951473714297699	0.947528540308507	0.982017159879232	0.963493337142052	0.997590274647501	0.983605618377817	0.989035582584761	0.963413034842278	0.403197041307451	0.408408802026133	0.68531450726351	0.939816974646859	0.929069256285944	0.949639931196979	0.180450638037857	0.993235881209898	0.993971023767362	0.57226277388874	0.468904148528032	0.420140369825262	0.9946094001176	0.998043512739533	0.382013933008257	0.999063835413919	0.620061320208916	0.651907452800963	0.928538007483352	0.415416603373903
TNFRSF19	0.994164361712867	0.985304165109864	0.992808335304547	0.987138202939286	0.75721026276253	0.990766265883257	0.982424021745682	0.923569019313142	0.98505329259419	0.983141446817474	0.957557706211457	0.987559582255228	0.969029144612137	0.940413763745022	0.0130911740578379	0.986267831450063	0.934429577320612	0.605447812947194	0.980582037487117	0.963900231017306	0.990310033270045	1	0.240279054273273	0.81038247132894	0.944410820263335	0.421080326379082	0.974143132953398	0.805150461286926	0.95666956870768	0.965603888085068	0.994381985427561	0.923935335565504	0.912062024580826	0.982387585418343	0.933622029476082	0.986068472170027	0.989669311451954	0.968000148319361	0.930595080386063	0.311073861697065	0.318029955902343	0.610889870910616	0.915660614270407	0.891981296948368	0.962117144791416	0.0998299804673038	0.995369790632778	0.981937407596091	0.496635762582416	0.383557716921424	0.340603482873454	0.992271958175041	0.99339621886563	0.293336043633884	0.988669484624655	0.537055080232808	0.577923398170979	0.89070428433144	0.326130620312106
SCARB1	0.20041129170903	0.327678209335249	0.268545891505627	0.330916397485469	0.679828689298894	0.262225930398506	0.324202714928836	0.492583558121548	0.139828143239526	0.130678146906145	0.422268175933723	0.291773632373692	0.367072434868536	-0.0248398307113999	0.380172358301764	0.309050646918582	0.472718075331004	0.340409195614203	0.314004911725623	0.253323736191035	0.331504970289847	0.240279054273273	1	0.498703211126716	0.0525321466955205	0.448465514606404	0.412232782665857	0.0523809693572089	0.484738008535681	0.42664768630391	0.29319195846805	0.51241974659219	0.566087619352161	0.260422192599122	0.534530869495966	0.311244529259278	0.221737801788516	0.455208251215148	0.560829058387113	0.925176741599915	0.808360856690028	0.864826278302419	0.437901948266527	0.640465576146671	0.172509255512582	0.656003491484719	0.255454998887513	0.394350436390802	0.865614028461039	0.965068272813067	0.76071211806429	0.287086283840884	0.298447470574997	0.947325762081164	0.341503487712698	0.918589573967854	0.904363119621085	0.585016719635189	0.942983730101363
RYK	0.810521881932689	0.885105441366898	0.820128786199384	0.857710621114899	0.771340144945863	0.849354723713056	0.888576348039109	0.943571561120018	0.788801827085418	0.729140040195772	0.908067728813262	0.871875232493017	0.794779842188957	0.652007635240351	-0.19483432895994	0.783332819796309	0.804421522353665	0.319791637324869	0.843243057783922	0.695171048749001	0.842506166042941	0.81038247132894	0.498703211126716	1	0.76077305653033	0.161910715602741	0.83039652226103	0.834519331695522	0.867233871341888	0.903006814345369	0.838300154543291	0.947046550165581	0.927020920905388	0.870378696870054	0.925039883242094	0.851325192181274	0.756738587242488	0.865414355706998	0.887806204510064	0.517742259237551	0.585028005724612	0.834396358323885	0.954899556296182	0.85876517176869	0.87102737632302	0.0758674625975932	0.831934423100622	0.863443587226191	0.752556051810836	0.646758022136159	0.594068637710717	0.821338695415833	0.840492675736659	0.606142577373767	0.831540606503926	0.752137115837428	0.738810286094477	0.944756689252496	0.602653076186915
TSPAN5	0.967644943178644	0.921281218192029	0.94823608139719	0.916597739786398	0.620989893863093	0.960315081559877	0.938340015657059	0.81873417508596	0.984351587531593	0.965338992503012	0.86030705479007	0.955021523924521	0.909210576418203	0.977985162557298	-0.038610691240494	0.908997621751864	0.831018415627756	0.605131428854486	0.94497543918734	0.915493723992249	0.91248552929184	0.944410820263335	0.0525321466955205	0.76077305653033	1	0.35721131356322	0.892769184792187	0.9131079060794	0.877864813900365	0.86744526565043	0.94008277919183	0.816888065206895	0.78462928483453	0.958763899052843	0.824343356484523	0.90984382016202	0.938201329404075	0.864414707584136	0.810339941436419	0.099303287154779	0.0877772007193938	0.42536419792962	0.83919871511183	0.764954216825992	0.970553467331067	0.00209413380526754	0.948487999951096	0.91402313760778	0.300756803730293	0.182943510286375	0.104808295636618	0.933622744258149	0.931815434576784	0.106714925381675	0.911751509677454	0.345308033549943	0.383567874151555	0.785265613229458	0.105412212613696
TYRO3	0.423119247367909	0.409911754933004	0.484331098901462	0.462054111513073	0.692110730183358	0.434101401073823	0.417688012185557	0.366970723527366	0.395050919120266	0.457892293423705	0.416277103938942	0.4120075081908	0.609512200280214	0.41227667439908	0.881771355160771	0.533749415588757	0.632735051221051	0.942751599527072	0.506982114407809	0.591160235016109	0.466798200939698	0.421080326379082	0.448465514606404	0.161910715602741	0.35721131356322	1	0.542743349845342	0.141875798329808	0.549302677842624	0.400703837709197	0.447996762698761	0.333745694049078	0.388280406728748	0.413579078058075	0.413904939265561	0.444822503906616	0.486788613474674	0.483987040708456	0.482293359868297	0.419724617478977	0.15498143093429	0.331004382453518	0.289340019329957	0.529580567132787	0.315016765368288	0.863189293008669	0.426005939065809	0.49543785850521	0.22811100046951	0.33287128201691	0.0668430957374556	0.467535727580125	0.461998005043803	0.245003115752346	0.494390589494889	0.389822063115035	0.418008188400982	0.422190896745794	0.254758696233001
ITGAV	0.969039108573691	0.979465890722754	0.984733337158824	0.987739630195637	0.854650617639388	0.977707870358864	0.975234307771022	0.942114593285936	0.9468711463797	0.952591517271746	0.970961437262374	0.972321363097985	0.989436293178987	0.885682930344138	0.148721102322773	0.989038171314037	0.976647157235515	0.683031641186933	0.985453960114882	0.970688257290216	0.989829360087989	0.974143132953398	0.412232782665857	0.83039652226103	0.892769184792187	0.542743349845342	1	0.74740949499886	0.990555962348399	0.979894547308628	0.987482915614013	0.945743700930717	0.947293329346288	0.965673939502734	0.967171170622383	0.982924879485659	0.974764969562323	0.989334367622026	0.971273846892718	0.454915002223485	0.422816519283712	0.713464492314649	0.934121450440315	0.958264578025038	0.923664032675041	0.273340107076136	0.981102772647697	0.99451411584305	0.595206040270084	0.526269200265545	0.422576386362159	0.988834309060814	0.986871943751448	0.443561628143352	0.993703051415308	0.67315314276186	0.705919908505717	0.929262203297018	0.466292649891468
CELSR2	0.841775756049006	0.829061626666088	0.817931254806292	0.80292668918283	0.555212953156504	0.855051349426796	0.856170121660115	0.779102998283426	0.863310656641869	0.797030161498385	0.782841455735165	0.865053974513674	0.764470219122484	0.821484953613589	-0.212465320958184	0.740413213346056	0.695541831063554	0.406188629792397	0.838194982608943	0.708430812684217	0.78018261276112	0.805150461286926	0.0523809693572089	0.834519331695522	0.9131079060794	0.141875798329808	0.74740949499886	1	0.765100338356014	0.771132221722804	0.810484055426585	0.766059590536542	0.712658838121256	0.88125890924445	0.746744379539161	0.793274876774375	0.7623649355879	0.734373001275642	0.699944711090684	0.0709740394241038	0.0868890186036177	0.433613854944725	0.817549302063139	0.643362713854714	0.931236230559097	-0.0977551628815138	0.818562954486304	0.795063455654189	0.310770772599218	0.178985826433521	0.0976845510283648	0.794358362088336	0.80855826200464	0.133805929424709	0.771444592003186	0.324199715891632	0.323884193314165	0.760375701851334	0.0978786218031969
