""	CD2	GPR171	PTGER2	CD44	CXCR4	CD3G	CD3D	CD69	PTPRC	CLEC2D	ITGA4	RPSA	PDCD1	SORL1	CD8A	CD74	TNFRSF14	CD8B	CD247	S1PR4	ITGB2	NCR3	CD6	KLRC1	KLRD1	VSIR	NCL	TNFRSF1B	SLC16A7	ACTR2	DPP4	CXCR3	CD63	HAVCR2	TRADD	FGFR1	CD47	ITGB1	PTPRA	CD46	S1PR1	TNFRSF25	LAMP1	KLRF1	CAV1	TSPAN14	LY96	PDGFRA	APLP2	MCFD2	STX4	RACK1	PTPRZ1	CD81	RHBDF2	TREM2	CANX	RAMP1	PTGER4	SMAP1	HLA.DPB1	TNFRSF1A
ITGA4	0.882466482546552	0.880608115193055	0.800508448648853	0.834428187137929	0.877615518772197	0.744402538724429	0.895869466371589	0.886832780635249	0.853867234980297	0.794200254261338	1	0.427704689597795	0.732053501144419	0.034092316163308	0.598098834901519	0.389415401495179	0.77263425808367	0.588172038745076	0.593416538471967	0.825068313884338	0.674178644092939	0.638695231212722	0.699904056700951	0.172768205778828	0.365849224520681	0.603478169904788	-0.55819349444045	0.438356913728365	0.410419326100574	0.0198050940446598	0.671311251764197	0.662437263289303	-0.689601011406652	-0.0452390934150964	0.737440119501796	-0.784370160588145	-0.63517393624013	-0.566330567804005	-0.560248957060377	-0.421088362427164	0.911452393186395	0.778820743176456	-0.644450888180242	0.127837328120662	-0.723015954522648	0.694303675289882	0.20117965437544	-0.73716851498418	-0.852779343377923	-0.613563249380618	-0.656200292065719	-0.404886142971394	-0.783324620728766	-0.746596263296356	0.519926120240417	0.0377169419004694	-0.808293566988509	-0.725618819285702	0.906760864297007	-0.608900100307548	0.373572466496675	-0.729764002074434
RPSA	0.535199192483393	0.623378501176056	0.517309901449006	0.530092518840805	0.504012624544588	0.463440206148077	0.486581818541388	0.559389642735859	0.445345508997597	0.346108538512244	0.427704689597795	1	0.332429738434806	0.0357531934473399	0.0502236295774365	0.195524135729036	0.604415421752282	0.037593482628135	0.499591577737497	0.355942118877421	0.317910776906666	0.562903537754269	0.617678710149636	0.587200614656407	0.20425761644081	0.358932174415739	0.315305694877841	0.0489440443953733	0.696759383919018	0.496865627812532	0.656843898651779	0.239455752395931	0.116456252874257	-0.0926644900813318	0.667055068623069	-0.080416393731782	0.28375506205416	0.318426438201354	0.242194637901248	0.357097285047603	0.566550955902434	0.671097057383525	0.0753096467940963	0.376116320360042	0.0657486039870977	0.407558786329085	0.328921716648644	0.0733226825020663	-0.17863216042412	0.168174192152802	0.095223715655964	0.492359363363615	-0.0540605227225517	-0.0382021101274799	0.333399336910493	-0.108368767981662	-0.0110670865650716	0.0450724525793364	0.468138767990055	0.282770205789339	0.259751646155414	-0.0536026434197525
PDCD1	0.914679497847468	0.748737691077214	0.916054861090841	0.906653534523058	0.863119605162195	0.921795360376288	0.804737811054712	0.709723347234544	0.90735918595622	0.438385510544809	0.732053501144419	0.332429738434806	1	0.402180946687352	0.796610537626884	0.426134941694212	0.762514276639752	0.847809048157196	0.933313169010678	0.846314626890552	0.614648381984264	0.418875823029648	0.667035114689443	0.304434126834794	0.770861980668371	0.701022640294307	-0.349911241639638	0.397636631938296	0.562358371656254	0.130367475852141	0.689545964676889	0.849461426506476	-0.54345031413712	0.12096587799859	0.657894523530757	-0.352460459040487	-0.461948792174438	-0.278361365662064	-0.24676109118753	-0.311668423406848	0.669628258540766	0.574432558628458	-0.457752942495435	0.38623499911463	-0.601502889875546	0.763476424376024	0.335059215599072	-0.579261777121935	-0.647349271009538	-0.574167250991219	-0.26553202860366	-0.277542052664409	-0.614517832826798	-0.56257943008762	0.384270742949703	0.144659330954958	-0.624217232288226	-0.5917932014398	0.675940364758419	-0.384654429587206	0.554619437590066	-0.456851628704427
SORL1	0.209727447354135	0.116535963796497	0.29046302616143	0.253792131130709	0.319171661824043	0.235153981116369	0.0350480278047244	-0.066365193969952	0.292978204499921	-0.110987269195002	0.034092316163308	0.0357531934473399	0.402180946687352	1	0.475105696973252	0.719341095413055	0.278507322890402	0.50385428296947	0.510702579726452	0.0513678103233176	0.529552190109898	0.324509668266016	-0.0645841664263919	0.307246740414741	0.698416352987313	0.653640932751546	0.13117495282355	0.35736083609005	0.23991771762974	0.504978159983312	0.00786315719748209	0.155191818278907	0.209305984687125	0.716797782139975	-0.0858760562303226	0.122263848952801	0.00849102376983572	0.301875006286187	0.291516497102992	0.172587893943861	-0.0602538333382651	-0.0595191621033159	0.359601927828924	0.41374760449728	-0.0103405123365567	0.551036284806273	0.740577968690958	-0.0446654365365607	0.227039578554504	0.160956204136184	0.506342946686718	0.210105330454477	-0.0548625141307648	0.23844592624819	0.439363942390609	0.675252449985673	0.126052401178117	-0.0109132388510937	-0.0520891610775484	0.130758443853407	0.877894128253529	0.349677446800472
CD8A	0.700600216204721	0.500825743615237	0.754989291041083	0.661533334067866	0.720763435659675	0.690163435252243	0.621102582061892	0.451986221378771	0.683660405837772	0.533893645351331	0.598098834901519	0.0502236295774365	0.796610537626884	0.475105696973252	1	0.249151498469873	0.575676596876203	0.955348113324107	0.736575098548564	0.653061944387768	0.383317738697282	0.437341660667836	0.252405666697475	0.294760726369081	0.777654944338316	0.439590542334726	-0.22363374847031	0.310128221953897	0.398114380217764	0.0595362461971146	0.244427179030783	0.762556891462333	-0.407483839206104	0.134730432528963	0.28709584899889	-0.281203752011626	-0.384494264561564	-0.233855463702281	-0.14508478707352	-0.351806601393705	0.414627353357459	0.327570494969714	-0.311019083441395	0.263608902271964	-0.402401440870654	0.714270556035805	0.092052964185432	-0.422123008876974	-0.476374599676102	-0.400271707573722	-0.155961995278214	-0.249988214231256	-0.439774030796823	-0.454113194166667	0.119944790179339	0.0326209905310214	-0.467248979212174	-0.423334212283446	0.536858543368837	-0.264716013306078	0.453119959411928	-0.267008127381191
CD74	0.366342789821387	0.370473774553451	0.308915271980685	0.388680241983121	0.43469973921333	0.260676820841037	0.223820914335801	0.232895621982522	0.477929477683405	0.0432842738627527	0.389415401495179	0.195524135729036	0.426134941694212	0.719341095413055	0.249151498469873	1	0.353270796826179	0.326880085104602	0.426184449562562	0.241286784750407	0.904792241716778	0.47317426639177	0.200464604025654	0.239010322590818	0.495977433192386	0.905676556457355	-0.211002585658259	0.573955741810529	0.114713424888877	0.560298564394754	0.300657663913071	0.126581557382252	-0.0449263011503429	0.800177689838256	0.205057562659899	-0.364523179120568	-0.293567988015106	-0.0124808885959898	-0.207710641033044	-0.081949275957778	0.295766637525373	0.180629717694894	0.0958080413251805	0.462408945305809	-0.367760696265934	0.667220271684046	0.895698528140066	-0.366122446832431	-0.0999904188335648	-0.0946865736239214	0.0294948231767448	-0.0643904061367384	-0.405510107683391	0.0107793201965011	0.859702995125364	0.889019305746031	-0.247983838039814	-0.345877825500131	0.23310462131756	-0.254548351863192	0.928705599593254	-0.034104683862435
TNFRSF14	0.895797801759577	0.90716306733005	0.902838295407829	0.916624024981742	0.937519496009464	0.878195251944842	0.906342268102615	0.883367745501836	0.859103617736515	0.674066665231121	0.77263425808367	0.604415421752282	0.762514276639752	0.278507322890402	0.575676596876203	0.353270796826179	1	0.580294664214774	0.769969618532363	0.796888791925507	0.557551316853912	0.588029882002022	0.815785099700066	0.240541256102158	0.453549298721318	0.625991322668372	-0.347081125716272	0.444251302986315	0.795454234625188	0.0282649134274713	0.776588395035956	0.693319500252797	-0.536016643975636	-0.14041884449475	0.818122944267799	-0.419404240343092	-0.422824534630184	-0.290051389182035	-0.154714285566521	-0.0257606378823327	0.859292553883152	0.853763780663927	-0.462687417850032	0.0817697835862533	-0.551458456721529	0.621071677515598	0.33427392466023	-0.586778330053309	-0.66487539061284	-0.432997399851401	-0.266334941266808	-0.0955660415327505	-0.617559712227937	-0.622204353471978	0.452694674570298	-0.0505868765520492	-0.544895808263433	-0.556190859884652	0.831331521997464	-0.363587580661402	0.500612965413827	-0.543336245506346
CD8B	0.720718601246256	0.494591021795396	0.74703754662837	0.715957491606769	0.720217610692396	0.743446179716012	0.632960620201548	0.460334946575105	0.742631617647161	0.410922176619962	0.588172038745076	0.037593482628135	0.847809048157196	0.50385428296947	0.955348113324107	0.326880085104602	0.580294664214774	1	0.78269303163947	0.702229504864647	0.45860649052611	0.329011681255401	0.327440286203323	0.21356983810285	0.821695666883425	0.496711164954592	-0.283030013288909	0.429294876566475	0.408184063193802	0.0533042916499532	0.353010077237414	0.793210727816161	-0.432084056629436	0.210467502928565	0.348386346392281	-0.275927416471401	-0.422086150359124	-0.24145353625101	-0.222030375994398	-0.411290605743826	0.40959391399977	0.303503753926656	-0.317730063842494	0.33892681125885	-0.46656046505513	0.687247515952471	0.195307160486951	-0.475138589149268	-0.496656643265882	-0.469974916723429	-0.155466727843865	-0.293199843838604	-0.493200068911314	-0.450422120401897	0.1887096732347	0.144914210744948	-0.513030440670929	-0.479991050107918	0.503350381648735	-0.321049036453858	0.499140987251735	-0.284659271955539
CD247	0.866867837033177	0.702969702008932	0.866522931991092	0.851724684375167	0.813593383609037	0.891919487487747	0.710108749082106	0.615108004526173	0.842873459352385	0.305237071491904	0.593416538471967	0.499591577737497	0.933313169010678	0.510702579726452	0.736575098548564	0.426184449562562	0.769969618532363	0.78269303163947	1	0.725331503956059	0.563513135893876	0.467867587309946	0.65213449890347	0.50189829229657	0.84101106939167	0.688990905589935	-0.0901762946162054	0.297807097330737	0.704379488458869	0.328171825512124	0.701229062941491	0.747768009228008	-0.308596654789193	0.173140243930249	0.60534855711334	-0.15525551464144	-0.199464548424729	0.0074545524954191	0.0235918540737388	-0.0762711613753681	0.572274978187108	0.53273092180289	-0.237985758966919	0.496471255795938	-0.401110665625717	0.774560276224266	0.429353893563086	-0.348867866332472	-0.45453061800359	-0.36071639820536	0.0057230344819446	-0.0406126458754431	-0.400746046775412	-0.363860360627715	0.360237700765611	0.142656140538096	-0.412366838587787	-0.363243045822342	0.561964233279922	-0.141078887684344	0.611937110756991	-0.249906393569357
S1PR4	0.916586293486091	0.818365754491126	0.851637511021677	0.928392733708535	0.86553122194514	0.915131842579088	0.941818349835246	0.893421644646057	0.935321388879227	0.639685560992454	0.825068313884338	0.355942118877421	0.846314626890552	0.0513678103233176	0.653061944387768	0.241286784750407	0.796888791925507	0.702229504864647	0.725331503956059	1	0.530689753764401	0.346034249325889	0.796956200363241	0.0645200295967673	0.41207196526986	0.54729819016024	-0.540703225576053	0.578352835075664	0.607718093126424	-0.155027839926259	0.780141058700283	0.898027220113764	-0.719145003961978	-0.137617092626619	0.842822055718437	-0.544326347803954	-0.628164630121263	-0.506399147282349	-0.520137398040657	-0.495598114314128	0.802726895460963	0.72858130504889	-0.647836578134819	0.109263275295325	-0.75192336162082	0.5685110306681	0.0957251292715316	-0.717145489322257	-0.84760878611128	-0.739948894275503	-0.553516737050218	-0.437502103363747	-0.749274162798718	-0.773710194792718	0.403262872577178	-0.0621920434297089	-0.792458156824053	-0.734997336302755	0.89465575366493	-0.566264444078536	0.290108830059234	-0.720322717749551
ITGB2	0.635099595151706	0.631245480884288	0.532189168255586	0.639095846566279	0.67096480830917	0.500580572914406	0.521523730580772	0.533219540580736	0.734466930255113	0.264253089086638	0.674178644092939	0.317910776906666	0.614648381984264	0.529552190109898	0.383317738697282	0.904792241716778	0.557551316853912	0.45860649052611	0.563513135893876	0.530689753764401	1	0.546737505740023	0.46239489430516	0.234744742397891	0.518797887975501	0.935369729466508	-0.401533932563946	0.634321623828802	0.236402497679066	0.448855226638127	0.555330795194258	0.325759993091407	-0.314058396386987	0.598824978607843	0.463046699184539	-0.591578150606132	-0.502794681733626	-0.250614378183468	-0.426892973834137	-0.244121078486917	0.567481002517195	0.411757122466648	-0.202711210431538	0.440290212829789	-0.600232756214827	0.754419467015466	0.777243642980192	-0.585203617712764	-0.415509960452692	-0.341981297786513	-0.231734236581735	-0.231755891850901	-0.636742233336895	-0.300454094862304	0.865803870840127	0.696765510077997	-0.520856275588115	-0.579304121704957	0.514013098057814	-0.461655159311337	0.838273991425153	-0.335890446920207
NCR3	0.562365795352372	0.607783994960764	0.54873134545444	0.477380720532838	0.61682666326829	0.395498062968531	0.497685507501864	0.495300355049646	0.468844059161336	0.618468264737504	0.638695231212722	0.562903537754269	0.418875823029648	0.324509668266016	0.437341660667836	0.47317426639177	0.588029882002022	0.329011681255401	0.467867587309946	0.346034249325889	0.546737505740023	1	0.310478225213799	0.593759682341033	0.373073832956836	0.571962127281159	0.022431190118349	0.202945710056412	0.397724135803552	0.471556762953439	0.313818629195541	0.288742509288667	-0.078054764974603	0.2370859648079	0.372519365296748	-0.353163177120437	-0.107068059478402	0.0404496298776065	-0.033252267056052	0.0999772062694881	0.578891239274412	0.58985611665858	-0.0516330782952039	0.264142108905942	-0.218386732006518	0.723868231820062	0.367750065225515	-0.209892215127858	-0.283468869658129	0.0276018518075662	-0.078871104748538	0.0727938613385953	-0.3080290992343	-0.202114433644712	0.50204607323906	0.16672830255486	-0.248436912407665	-0.231209722565946	0.569585277726059	-0.0834654849596312	0.520080075846854	-0.214350084865151
CD6	0.836539059829016	0.86519192138974	0.736842211938589	0.853211490090091	0.767148587899723	0.849847266293978	0.865249393508098	0.898099928253426	0.809360297659652	0.480220827325317	0.699904056700951	0.617678710149636	0.667035114689443	-0.0645841664263919	0.252405666697475	0.200464604025654	0.815785099700066	0.327440286203323	0.65213449890347	0.796956200363241	0.46239489430516	0.310478225213799	1	0.0736499220195213	0.19855109080108	0.501553764649234	-0.445157233699343	0.385933455805313	0.723907194300525	-0.107084167484973	0.955599772647239	0.644576788150401	-0.617914118860295	-0.300426496450075	0.92786784376435	-0.414927602896503	-0.432489021256945	-0.378687719963657	-0.307934691385374	-0.106669499827764	0.834240735293998	0.842172859874019	-0.617636186787763	0.0327051941310098	-0.640774806404184	0.366862326326296	0.21738191499387	-0.595679691280174	-0.745275337904044	-0.611200176815462	-0.421006279305663	-0.237405677317976	-0.628895929730895	-0.676867517670216	0.448410086303707	-0.13512076974709	-0.62161133180628	-0.599057449910335	0.792329910455279	-0.44890098330767	0.224220306719636	-0.69280803338431
KLRC1	0.326888995411932	0.202042643127634	0.339038277564654	0.203650643370998	0.227925725604733	0.209387553672648	0.105399437261973	0.0691213299621338	0.191349531438272	0.0726616083122011	0.172768205778828	0.587200614656407	0.304434126834794	0.307246740414741	0.294760726369081	0.239010322590818	0.240541256102158	0.21356983810285	0.50189829229657	0.0645200295967673	0.234744742397891	0.593759682341033	0.0736499220195213	1	0.576975626144408	0.311517752179578	0.571928251468257	-0.191994195342044	0.28304648070875	0.76493555027431	0.180490194210111	0.129024215584146	0.399466844188642	0.29864759039267	0.0772952205704092	0.135173337382973	0.414631718108555	0.53563236746029	0.34559016310393	0.351881855006474	0.1570902421644	0.14416707625743	0.368441402181839	0.737926724803209	0.293942718377341	0.656608002166222	0.267590914805478	0.337044983366556	0.161431505777024	0.333628046136836	0.375054723380224	0.456569840616157	0.203958246940473	0.277835470224984	0.133744390905109	0.0868053924046002	0.193975012099589	0.272344017645379	0.108208438468201	0.439652284446227	0.340093864715363	0.31202218169113
KLRD1	0.587603075558865	0.361667175650138	0.626064271418425	0.556473631628788	0.564789715510771	0.578947444451633	0.361545345807063	0.219372952249664	0.585524121869474	0.0697540925143746	0.365849224520681	0.20425761644081	0.770861980668371	0.698416352987313	0.777654944338316	0.495977433192386	0.453549298721318	0.821695666883425	0.84101106939167	0.41207196526986	0.518797887975501	0.373073832956836	0.19855109080108	0.576975626144408	1	0.589178485602903	0.087249339798363	0.163194402847125	0.331779561226927	0.507532982478202	0.296255509702228	0.500750089749069	-0.0472089956528571	0.463277431089929	0.164090125064881	-0.0391466695694201	-0.0641355776947269	0.155141031126005	0.0959712412329491	-0.0712327476993858	0.22701319770427	0.102559262774447	0.0345634575978494	0.696685741985564	-0.166616779119182	0.787789751550242	0.467011072831878	-0.147647410072688	-0.148074465012326	-0.134386002570568	0.214440605142771	0.0352491192126138	-0.200246745701596	-0.0667679017998488	0.220416194539314	0.34290416238018	-0.190474178412103	-0.168710236577363	0.200550017028994	0.00706320959187823	0.681776880868527	0.0742130411252888
