""	IL6R	TREM2	PLAUR	LRP1	SORL1	ITGAX	PTPRC	CD74	C3AR1	CD4	CD81	ABCA1	TMIGD3	PLXDC2	VSIR	ITGAM	C5AR2	HAVCR2	ITGAV	RHBDF2	GPNMB	AXL	TLR4	ADRB2	SLC1A5	C5AR1	TNFRSF1A	ITGB2	PTGER4	ADORA3	LAIR1	CXCR4	TNFRSF1B	LILRB1	HLA.DPB1	ALOX5	SORT1	ADCY7	SPN	FPR1	CD46	TSPAN14	INSR	ITGB1	LPP	TNFRSF13C	LILRA4	UNC5B	P2RY12	CD44	TLR2	TLR7	TREM1	ENG	MERTK	TFRC	KCNQ3	PLXNB2	PILRA	CANX	CD47	SIRPA	APLP2	CD9	C1QBP	CD69	PTPRA	RXRA
CD81	0.669875949729407	0.927171700972862	0.814056766145801	0.843282408042473	0.867036647384769	0.802991511162981	0.754567586669992	0.941021273338714	0.734674959970081	0.730750215964676	1	0.809723777018903	0.756164100647426	0.860003966557336	0.752734489092971	0.495509937299499	0.433604601084705	0.658337041585255	0.718065042390688	0.624393962298093	0.87611709498719	0.920276120482561	0.589414678634322	0.532530281604587	0.845853286115639	0.840996163862221	0.736667096596939	0.907162729358957	0.763333757395693	0.379528603006024	0.80921838496161	0.786800272496847	0.71920749444117	0.753428332409427	0.939925789613092	0.54380038786775	0.784732346353903	0.43440740619835	0.750185409862072	0.775012559050458	0.49701490555329	0.829926589201786	0.554214929226326	0.858830525170854	0.642678342771168	0.477581203437599	0.8714707138842	0.746229325302401	0.741654523688316	0.708529831428409	0.48878115368167	0.751586551603289	0.498845651771879	0.379412163531268	0.648311995985203	0.684100492285585	0.547862048601369	0.614113845060945	0.847259053657225	0.91559601772491	0.755407950020746	0.702117708037761	0.847349546602136	0.664472223105307	0.849680308122356	0.519975475509573	0.729690731031787	0.695963635777346
ABCA1	0.608923041247138	0.77844520132301	0.726693453762255	0.724030417814328	0.782662076728199	0.6773349598268	0.744668687008067	0.815551176083661	0.646820836963481	0.596175006733043	0.809723777018903	1	0.583995693866793	0.779476254435971	0.65082819791635	0.507812107969842	0.406431062671523	0.610017602566758	0.650570871955777	0.638569736792081	0.783620932002947	0.76554195280919	0.612031854672222	0.572516618735816	0.765713350963935	0.700958321091882	0.625900849014133	0.751497979263148	0.625662266949701	0.333865191878651	0.680867173904357	0.718016666015862	0.603721054125569	0.620897393379181	0.760158057896651	0.489170405198979	0.639753054101211	0.419138456437513	0.664004153782037	0.636373777965978	0.435868808778595	0.723367937718901	0.47404338754114	0.726063380626546	0.630708293785923	0.351386010562169	0.761981262498577	0.700327949257722	0.606668705502674	0.634756931318539	0.496639005868027	0.73783797505583	0.404747323371203	0.363896009972296	0.637165554231888	0.544739907154034	0.531065123610054	0.57523176421531	0.698490822248459	0.760513154630788	0.658414654988748	0.659101409953095	0.74595094512061	0.634475722852081	0.684388055780748	0.532284797202962	0.620090394396323	0.677507998530329
TMIGD3	0.51995289419339	0.659953246129027	0.574354144143634	0.653557768201704	0.801225036504195	0.58036037993696	0.554771183321287	0.807460024084683	0.501719060726229	0.604309768152157	0.756164100647426	0.583995693866793	1	0.678790733098389	0.744649776848262	0.396779460475506	0.503207262811693	0.594587111732044	0.662592787364507	0.674506524072986	0.584961138871892	0.771798164873841	0.341385493300124	0.437646722325601	0.643233430673559	0.666110361972721	0.717051246187102	0.704054928701472	0.606647799987332	0.574631293838008	0.732085594992999	0.771802988772268	0.728606941407316	0.671152175777488	0.831286161371783	0.368640518647281	0.698301559409577	0.513397818580297	0.595329697882731	0.747228121999187	0.313373609813589	0.731777574758997	0.392836071745092	0.672028132287756	0.568465308299407	0.534606427170288	0.655084900031142	0.654671802477862	0.751072843771421	0.407518052538237	0.5202324603096	0.554536613680173	0.540203532072779	0.432545865500169	0.589632177317302	0.512260360846788	0.487579102718072	0.485278694196649	0.756248927149672	0.701569021759427	0.552317680695921	0.568696143001704	0.688561575049846	0.377661094027348	0.606257613675524	0.50605282095414	0.608894750856963	0.541179630993059
PLXDC2	0.696271778190984	0.793081262191158	0.818731543202502	0.841339186803039	0.863039773696771	0.847474360610436	0.832314241736913	0.893548333413947	0.763900657506421	0.61983323076314	0.860003966557336	0.779476254435971	0.678790733098389	1	0.723079799407187	0.511702928067948	0.525989565308654	0.788558882282523	0.820887166719795	0.764419982282539	0.753689574154777	0.843053648599735	0.511170334074509	0.493503025344278	0.807801519113787	0.890524673104796	0.664626920952448	0.809628639954575	0.8172674501918	0.579688702943732	0.833656381742486	0.876648036336931	0.773030090952442	0.683614157028707	0.78855771128552	0.658683923394158	0.703036145009468	0.605746506935076	0.733695253573829	0.743985324885468	0.583408852745526	0.863214449882305	0.703144275210592	0.812569398610198	0.802994649281984	0.437675474017833	0.712040508331965	0.808658529013844	0.700519587967197	0.729517624082756	0.625590377744318	0.830564416574544	0.640348125231608	0.489543794152487	0.615239333453015	0.700723056772534	0.676928899609414	0.616046574809043	0.708710846956732	0.741960374729458	0.748203759691322	0.656728352420398	0.883623612420011	0.620452802092636	0.664920002069977	0.705080009756895	0.683030885992237	0.589813529300556
VSIR	0.626896938280594	0.67440134464134	0.62942816354693	0.691690076470213	0.836182027228484	0.540278153882677	0.755625853170743	0.855040350301266	0.705696460892158	0.718936432731781	0.752734489092971	0.65082819791635	0.744649776848262	0.723079799407187	1	0.549916654228821	0.401343364864308	0.608545671062845	0.585180130091718	0.779768040353832	0.600074736264975	0.785132986306313	0.583779519565468	0.599492678347288	0.78173552189384	0.739877078897336	0.756908920332191	0.699266564796543	0.572800479554179	0.511051040185943	0.748661168951465	0.806197930156156	0.613742401023599	0.707239881087416	0.7896379301771	0.449898757370222	0.715965187132005	0.52441182598984	0.537933487533514	0.808674986128095	0.387906487202551	0.776265434999559	0.473423058292867	0.75945697928397	0.588143000697711	0.620325477708186	0.659014927869876	0.609348099132488	0.619042412089199	0.44755505180061	0.554730411877844	0.65760391075037	0.425482465440629	0.551194890991512	0.674067344708036	0.47292043092305	0.595493064950473	0.473706239799281	0.74272917612162	0.728105496803425	0.643464148947801	0.583416112189508	0.714326057655785	0.41779458462929	0.619720590204966	0.630293655877076	0.670628359401552	0.592016839654364
ITGAM	0.48379769777519	0.455207793354049	0.38447545883033	0.470536379834212	0.599759885890689	0.35311374253242	0.593369714916156	0.602836930213004	0.512200722556511	0.479262638964163	0.495509937299499	0.507812107969842	0.396779460475506	0.511702928067948	0.549916654228821	1	0.288483523194254	0.428397338919882	0.296680413082632	0.533413918709393	0.455421241543989	0.515432470709016	0.41436711238393	0.492053490805259	0.586107852597896	0.46293186439531	0.477420496268637	0.526812004253146	0.310107629259368	0.386369995726354	0.547909987245867	0.528924897960407	0.481001240635874	0.394864132448671	0.515885986814458	0.371698245820317	0.606441259762518	0.456252948060645	0.49237023147874	0.482723333195085	0.336939761181588	0.484543587592393	0.349760688196631	0.475257754630261	0.519027499570353	0.324522312230289	0.502202399438797	0.410553505134521	0.47285680919575	0.36052583582501	0.505804791155412	0.52118313682836	0.316763830364753	0.47385101442923	0.521874016941291	0.246899804753996	0.339869401884263	0.436818950326905	0.503695860141694	0.52382939245334	0.380938680200665	0.517352645838361	0.527972208685205	0.315337479758324	0.376414835506167	0.52137942861625	0.289238045663072	0.399400924321226
C5AR2	0.298746474253587	0.375575162804624	0.451651257435725	0.412692281551127	0.511890904106874	0.487955931550957	0.42159273452167	0.478596662915094	0.386064510146714	0.325226959282819	0.433604601084705	0.406431062671523	0.503207262811693	0.525989565308654	0.401343364864308	0.288483523194254	1	0.535597577982803	0.540100267051573	0.517166733524927	0.397245217513137	0.437129021608583	0.15199097842658	0.151330436972822	0.416811866668889	0.531216367733521	0.440996283688821	0.392244275724096	0.46693335749598	0.411445732080175	0.461696860318214	0.602775559228204	0.483227355240223	0.345780641265486	0.377919276650344	0.37841888233498	0.477874305509041	0.386468220909694	0.334731327612763	0.508019375243572	0.387271232411938	0.512929346659807	0.465415497952683	0.439876755867718	0.472964711105671	0.315920037261268	0.372235793502002	0.47257308139521	0.35407380002347	0.282193017362948	0.298508087667435	0.401276236153829	0.45668216955737	0.387833970276932	0.393197561213349	0.44709183815492	0.409040030578514	0.407698966401011	0.338497762364867	0.404927360044583	0.372708937428584	0.297404922179755	0.460482479682386	0.35255852104992	0.25489917567915	0.329919187967692	0.356198932538777	0.387995831401463
HAVCR2	0.58662360559987	0.60649576794115	0.666168226174398	0.644351835341821	0.69359401974409	0.694816809248814	0.666732840324647	0.722304018265853	0.663976294878543	0.528200863581129	0.658337041585255	0.610017602566758	0.594587111732044	0.788558882282523	0.608545671062845	0.428397338919882	0.535597577982803	1	0.703833333210572	0.686199229716479	0.556050627285962	0.627008062418369	0.346197113187108	0.309216517545573	0.583766042218931	0.689860549244071	0.520609253530774	0.56100603951813	0.763924360716074	0.66860622239949	0.72827242210635	0.731869836671573	0.623672505309176	0.519882210711487	0.587104132725165	0.468673652175151	0.545237859165759	0.632899949460927	0.508991841615022	0.552858317245288	0.426787076142272	0.772530489696493	0.526633080334978	0.696344137978204	0.694415304751529	0.330025612354368	0.527883079982742	0.736957809238894	0.595476209716712	0.557693279549526	0.635296508393384	0.711114256790405	0.582165377947488	0.362366458488857	0.493491902363826	0.57992122713483	0.624573883315465	0.524780275971338	0.49645492124444	0.570145226299413	0.594448715233277	0.479007211598078	0.697973370536429	0.532840768561805	0.520216427793438	0.693361426748161	0.624061712177683	0.473513063767934
ITGAV	0.594185894046904	0.658821678278498	0.762103631630393	0.760009305594761	0.728745152950173	0.741796989553589	0.618835412613433	0.752067188713578	0.590225388996151	0.459104658632018	0.718065042390688	0.650570871955777	0.662592787364507	0.820887166719795	0.585180130091718	0.296680413082632	0.540100267051573	0.703833333210572	1	0.671623465042963	0.609865799048323	0.705352378005021	0.373198848708508	0.304151786216226	0.622824145989207	0.758979469313605	0.558997156181906	0.658578442103945	0.696072677722735	0.467652112975752	0.670392246557079	0.786326824840537	0.717508162603572	0.537991139149098	0.670856422533694	0.619562493098638	0.540307879119127	0.474979784242816	0.606254296250558	0.655027085797953	0.501514011966554	0.730651394450971	0.550953857678236	0.694363854313792	0.608650815627507	0.346391856963523	0.571193651771479	0.759241528291166	0.602429307444811	0.67378966714353	0.477844288700174	0.685930018704253	0.688844815375697	0.420983279671097	0.528302614074407	0.658214636898393	0.596856832843527	0.522405814622362	0.570404015968665	0.593192757089599	0.621809885294403	0.535974941926572	0.748662571746129	0.579872021320675	0.54535137087456	0.53573928550069	0.538803077751387	0.51662484440084
RHBDF2	0.619831398818789	0.51979869665742	0.645629148333078	0.647224855515263	0.805173713596549	0.535048930277129	0.759546106743216	0.772385182439814	0.679942955845796	0.593901007355389	0.624393962298093	0.638569736792081	0.674506524072986	0.764419982282539	0.779768040353832	0.533413918709393	0.517166733524927	0.686199229716479	0.671623465042963	1	0.488163606263175	0.663289817167236	0.44705732580133	0.486585903196159	0.684478873258077	0.72629095992535	0.644881567666886	0.579759015416927	0.561752951040341	0.620586675157272	0.695259150756466	0.827008390391676	0.670815723256597	0.590588640321589	0.625612793577794	0.571150712052487	0.625636510278413	0.648158999315199	0.525061241904808	0.727124025596392	0.481896102515598	0.74689865838705	0.558126574798935	0.690536915814509	0.673830698131012	0.452479206700811	0.488301232134174	0.644874660207265	0.578776331625812	0.5052840902908	0.613785562472941	0.685710060952171	0.55909864049061	0.663876444219578	0.697580921432246	0.505738077936863	0.637863015934429	0.514990233433221	0.600590311813935	0.575417577600218	0.567584943164566	0.570665274521506	0.72587003518294	0.43957488353866	0.440713212868021	0.71256163293705	0.542607086684511	0.555297985971765
GPNMB	0.590442763176856	0.893204111299002	0.676585902248733	0.733301625488418	0.757246933561472	0.742224169660373	0.699295483528401	0.826664950703113	0.689543736533489	0.642240678682873	0.87611709498719	0.783620932002947	0.584961138871892	0.753689574154777	0.600074736264975	0.455421241543989	0.397245217513137	0.556050627285962	0.609865799048323	0.488163606263175	1	0.814891091860105	0.53404290781463	0.471116556076703	0.78912272935113	0.711952754101394	0.610719948072281	0.850093793655459	0.626515938544177	0.203432419372979	0.682608437433518	0.689209268056832	0.579003123706959	0.647543639508494	0.813632575536221	0.509518377051595	0.716329668521436	0.339313157866399	0.681763345573061	0.67214526699579	0.524115028722122	0.694505891306671	0.504684041971109	0.814941485468426	0.577541281268667	0.29960216836306	0.874845230149056	0.662388647994196	0.599509483098338	0.672270197322903	0.388577099695495	0.639475897038914	0.430797322343108	0.275767200850055	0.53265499458458	0.608868948974733	0.506347920854279	0.502624927032568	0.761169957243384	0.858926319241503	0.685981945799984	0.640374984771541	0.739168171908674	0.675629236958457	0.73801135696002	0.380544261077176	0.616406440166358	0.624535830236781
AXL	0.66364199734767	0.863509270012692	0.718205325489383	0.792687237854931	0.860337115447726	0.754881323136502	0.783392862014489	0.910220550356877	0.700261837855989	0.715224736467589	0.920276120482561	0.76554195280919	0.771798164873841	0.843053648599735	0.785132986306313	0.515432470709016	0.437129021608583	0.627008062418369	0.705352378005021	0.663289817167236	0.814891091860105	1	0.526570882086025	0.534357637234792	0.83373934126642	0.81796816729702	0.755371842096622	0.898524824359024	0.706439675938273	0.418335962944017	0.780747460605765	0.797940646742887	0.715930375615221	0.735655472302863	0.905064456348881	0.523524844368643	0.766394303262424	0.483141152603135	0.709579742044342	0.801939014433011	0.504158106119962	0.787515880989151	0.549195696836042	0.838061374259893	0.638054716980868	0.549911797679764	0.827253978303582	0.719237866267836	0.740967018404095	0.668753569321132	0.507133159652035	0.711147936988022	0.452666520139474	0.4284471458559	0.626468075006184	0.648855942861224	0.524984814743448	0.584674513729018	0.844761952477833	0.878515683944564	0.75525407453387	0.738596572238801	0.829929125192109	0.602556625000108	0.797965145262754	0.517355540583933	0.686079646956425	0.713226157022618
TLR4	0.504716798497752	0.611633345994679	0.572185390421532	0.519664252454843	0.555835614800983	0.41615097461845	0.523645500794808	0.615121055246413	0.524038691086615	0.501124823763233	0.589414678634322	0.612031854672222	0.341385493300124	0.511170334074509	0.583779519565468	0.41436711238393	0.15199097842658	0.346197113187108	0.373198848708508	0.44705732580133	0.53404290781463	0.526570882086025	1	0.540581684444637	0.625736605853783	0.517490773631007	0.436896071904501	0.528618459178322	0.449502508214255	0.066422922354504	0.455127338467038	0.470731177345513	0.270942799881647	0.436002008063072	0.588574933206005	0.362552885921419	0.488886761835963	0.148995210449461	0.399199049731223	0.532633149308303	0.228367336482151	0.52708333532629	0.255626310357766	0.523737434995592	0.388584923007858	0.436355190590545	0.624378214031717	0.421900204633036	0.39727833315492	0.388841904864715	0.270897259423153	0.550485333127068	0.238853347042069	0.376864685853326	0.489273679864903	0.319889453685573	0.334604347248525	0.383880860530259	0.537582658937162	0.555138802432299	0.436409114832347	0.497310203391827	0.535226369368987	0.341736475938655	0.556135127052802	0.312281633176884	0.479951748996892	0.430866327312505
ADRB2	0.401741545229027	0.475189920204814	0.399870081465196	0.500171424276794	0.607759321157316	0.324395079318163	0.64475076002038	0.595231693735533	0.428371210334824	0.448151442480836	0.532530281604587	0.572516618735816	0.437646722325601	0.493503025344278	0.599492678347288	0.492053490805259	0.151330436972822	0.309216517545573	0.304151786216226	0.486585903196159	0.471116556076703	0.534357637234792	0.540581684444637	1	0.597331075629075	0.438912357827019	0.502877630638002	0.525560096884941	0.296255971419602	0.285224049826629	0.476835136777299	0.515508000733331	0.445484357848163	0.577632479187964	0.559917595805432	0.230271054719701	0.455572938856654	0.402233876205671	0.57658061970309	0.509019808957318	0.28119278867313	0.495961254337714	0.279555702050081	0.48944361406448	0.440412235576827	0.353552671649771	0.508253134840946	0.364718734095346	0.423828513430624	0.36119423470229	0.408577803800295	0.56494068809235	0.270316383982955	0.36426704784636	0.443915834114815	0.251599547917932	0.416234050702942	0.367369760680533	0.560713526941266	0.495535921739009	0.452593539280998	0.432007575588203	0.46311425699244	0.212236234389302	0.364630252057517	0.448804405846265	0.369414576478907	0.495117439480225
