""	CCRL2	CCR1	FPR1	SIGLEC10	SORL1	TNFRSF1A	TNFRSF1B	VSIR	PLXNB2	ADORA3	TMIGD3	CD4	TREM2	CXCR4	IL18BP	TFRC	C3AR1	LAIR1	LILRB1	HAVCR2	CD81	ITGB2	ENG	TLR4	ITGB5	ITGB1	ITGAX	ADRB2	ITGAM	PILRA	SLC1A5	APLP2	C5AR2	LPP	C5AR1	SIRPA	PTPRC	PTGER4	CD33	TREM1	TRPM2	KCNQ1	UNC5B	RIPK1	TLR6	CD180	LRP1	TLR2	KCNQ3	P2RY12	TLR7	CANX	CD9	TLR1	CD47	TNFRSF21	CD46	ABCA1	SMAP1	ITGAV	SORT1	CD69	MRC2	MCFD2	SCARB1	ADCY7	C1QBP	TNFRSF14	PTPRA	NOTCH2
ITGAM	0.497008651199286	0.645222598163093	0.626090134029184	0.689187846872691	0.784386025574696	0.654542282524191	0.679876586381192	0.663747997755503	0.639759975556066	0.728423677814251	0.678362387206166	0.72997043940834	0.503554657225847	0.370142165372074	0.566836884902976	0.416798320471481	0.599704184314353	0.665100169930393	0.638134781374192	0.656909435538581	0.569913139795088	0.606580990447584	0.564055953295233	0.695541309349788	0.580449339881703	0.59775394494405	0.474463421829566	0.324388678545159	1	0.662952144645214	0.625831867273986	0.621541558217254	0.422712994491937	0.673355637740567	0.46807194691667	0.561582072627294	0.761319250682966	0.430165455082193	0.648349665787785	0.376552342429656	0.616256373684339	0.666978521342377	0.638853810109783	0.629619685082723	0.626425234806185	0.494657404130307	0.719573282412541	0.620902064089096	0.69006598805093	0.784463881213497	0.599559900876476	0.595746443269252	0.20738704256467	0.69542794330443	0.584774321962413	0.375115256325853	0.612166803460056	0.530168160939373	0.596425079201045	0.524003650447786	0.624996421272136	0.399816222011231	0.524753901212738	0.525607462412714	0.528624053180906	0.586121679930327	0.618738434618306	0.612384202787368	0.546682489554862	0.414238080094239
PILRA	0.694162794211748	0.819764637345056	0.817876059275834	0.688465377420001	0.70473143172382	0.846612701002793	0.757293201223972	0.888153175393363	0.734386545922203	0.855527570610498	0.894196185658513	0.835370123884725	0.828719599644675	0.614620204541897	0.776053848711488	0.544503327266961	0.845942684956244	0.861756725114303	0.686091014402073	0.831919556654651	0.889901058312716	0.82096691976245	0.697136123796713	0.512298000213063	0.584329262358339	0.770895089979966	0.585278858344314	0.259721352156377	0.662952144645214	1	0.833347285335666	0.74508265909146	0.486689518240674	0.67560067106562	0.623677724349282	0.753718849087638	0.731964270159175	0.576065080629989	0.89425496533318	0.508849894442933	0.62670579486956	0.841619298415626	0.716051595554789	0.658447069685085	0.401455837270833	0.695366109782105	0.775131325306106	0.668334125771049	0.551390033130705	0.717270487407659	0.660838338538188	0.736689965661428	0.434751007781155	0.640312403167979	0.734497558819421	0.410952430086261	0.651334972337967	0.706001732213357	0.81714685860342	0.584794535203683	0.688278335133377	0.526576430644202	0.483730557269682	0.788263637749779	0.605898312356813	0.513458169467561	0.883066883245317	0.830789901460359	0.575097330130949	0.467416230181866
SLC1A5	0.800884023944528	0.872202533453567	0.888754663657698	0.731537598004175	0.739162642702305	0.82828962232957	0.855695397131176	0.785990435150205	0.747733179794833	0.836000833483442	0.841600792295934	0.80430332116441	0.860367834676237	0.73163058210797	0.76981270325454	0.747322388134719	0.894948183932739	0.837178763019903	0.769281570685179	0.873670803890607	0.871254351791253	0.873034088823697	0.74309836775262	0.529857856038955	0.654807668770839	0.835571397329328	0.758661976848929	0.226852520775389	0.625831867273986	0.833347285335666	1	0.836502452552464	0.671737103527383	0.74239210623021	0.805646368951821	0.846089756033381	0.773758965938187	0.69275245110455	0.794035425354666	0.65992627574435	0.727524168902848	0.748740713838003	0.775478554126641	0.710786937368819	0.429288006762122	0.65946806332436	0.834340566913874	0.761436015691338	0.605629562429728	0.684563589656051	0.666842353233874	0.826430775997672	0.588932825063625	0.635460210705418	0.712908300850975	0.442177166759967	0.728037831253292	0.797047982570926	0.819146015278811	0.711874228945977	0.761101860089421	0.681773362785679	0.569931501369719	0.829558428522021	0.665813483772984	0.507166565528196	0.827283357464077	0.804512547567076	0.624405285316334	0.57751522014247
APLP2	0.776787966432674	0.831144084116158	0.873900699655988	0.716938964603452	0.818083711750379	0.749241405274619	0.87603414369415	0.665410716737889	0.699361411431991	0.812857879060839	0.787511771612484	0.800275832850191	0.85839627114849	0.647535378777173	0.804602211966197	0.775966107897406	0.838586458133771	0.834926268837816	0.828450449445758	0.908551758737487	0.858119081711333	0.902874790397919	0.795992325908402	0.614008164107775	0.693205049565261	0.933672908957311	0.891337162380634	0.248340907547909	0.621541558217254	0.74508265909146	0.836502452552464	1	0.775222208713673	0.874515505062047	0.79416761511298	0.914293751613046	0.878380310466126	0.742554252414433	0.724424574574124	0.666669148557335	0.804877703803725	0.663073615143867	0.831581231887459	0.795092456184695	0.557139117005337	0.65926666776608	0.888290838331537	0.835521079754362	0.733051471370075	0.651046672981568	0.71764823138368	0.949124860969912	0.71395097376053	0.6752607546328	0.784777914501866	0.539890716248257	0.850919140764483	0.845860792314346	0.879682065392226	0.894045227097901	0.901034729002411	0.650900299609519	0.762928835139339	0.823218746907037	0.765441504203105	0.645907555383992	0.788505477240878	0.79146973532642	0.78540835335286	0.68074120552166
C5AR2	0.798766454881149	0.680549074950892	0.796018699877642	0.677199780262124	0.642194926569061	0.580720201877156	0.833270768577436	0.502518109889256	0.50769765257375	0.605937163416602	0.579982118025341	0.633675807305322	0.566113936013564	0.764426838400028	0.646965516803441	0.84435964004297	0.745145569631636	0.60994537975396	0.747424723940116	0.752691451873101	0.560125457414839	0.632437068068815	0.632472260144833	0.53115581155472	0.59744835225097	0.649168717576801	0.784307589190654	0.155783098833872	0.422712994491937	0.486689518240674	0.671737103527383	0.775222208713673	1	0.730290916964729	0.887218395242586	0.688479024410545	0.744977366535347	0.813592114059416	0.42000896561781	0.829089411307359	0.77662581723018	0.528329938926103	0.771631745705006	0.736834359818113	0.447308981252586	0.387751726839418	0.689200192622084	0.81056920938085	0.65848952764382	0.464806869904099	0.588054431071858	0.704009994958966	0.446319637905699	0.495401532228059	0.58580666435187	0.458192814626899	0.665417914755521	0.787345335875497	0.666866265524677	0.734236622529165	0.732958190344996	0.819184858266111	0.61574254291715	0.538677301331548	0.637986447126672	0.583377212234075	0.486094497599965	0.511384741993594	0.573277122466384	0.58736725261585
LPP	0.689068189072131	0.746910398612836	0.804534721347501	0.773490466213483	0.862477600285788	0.711994877586295	0.849688987488431	0.643149004073527	0.641768325508911	0.81643320244379	0.734401478966884	0.802312287878609	0.720567217119117	0.550370527754752	0.763009830328968	0.714108922899906	0.762855393468554	0.767823733192457	0.826401285140653	0.866882570714027	0.738357340414703	0.8025562236436	0.760951692201374	0.700929067538998	0.701721005783715	0.815333427751224	0.789297758478986	0.345304748607843	0.673355637740567	0.67560067106562	0.74239210623021	0.874515505062047	0.730290916964729	1	0.711611143809335	0.80522525810526	0.902151665549959	0.699555755422996	0.66471057713511	0.606374020938416	0.813497490776625	0.645674089271424	0.836894215890389	0.753926107642073	0.658002721242537	0.52727242746045	0.866089624854805	0.816738075174072	0.802054847533425	0.706108694893284	0.732457017424489	0.856249629810068	0.508850099489801	0.696227447826471	0.730843409484585	0.502826810050808	0.846978099124932	0.79488930632599	0.779027216816391	0.814809615553638	0.872957558328347	0.600487463329218	0.748668265642515	0.711382886191879	0.811157388947216	0.697701763011861	0.693726485895403	0.715542881695254	0.730802486311766	0.618831006862948
C5AR1	0.915098484070203	0.771913508824899	0.87922387646868	0.71247683514822	0.640906808701663	0.664500798498387	0.886450626286766	0.618153561220415	0.561329947304474	0.663667048187241	0.672045225057136	0.699142776112196	0.657290083162652	0.871626012502521	0.661710208580688	0.927074335916451	0.857334740290793	0.691263653597894	0.78665138324467	0.80589808292218	0.657751832090134	0.707614949821244	0.632138503231945	0.463572431237369	0.62984170442157	0.689310896788534	0.796521281810466	0.162594639704612	0.46807194691667	0.623677724349282	0.805646368951821	0.79416761511298	0.887218395242586	0.711611143809335	1	0.715282932288141	0.751465095766421	0.890831841118289	0.520062658555358	0.90823148590013	0.770212825667614	0.612252323700668	0.81715590683071	0.735262502741624	0.365798851585522	0.433119559995221	0.737855201515267	0.834264048121464	0.650233098683961	0.510943459721349	0.606029034934744	0.740761423725935	0.483854311664393	0.516025494145271	0.607389338435808	0.468903253223959	0.674130601731802	0.845604324150859	0.716520565597401	0.722969582955571	0.733617254941509	0.900007928099445	0.580862907851445	0.63093973124513	0.613738472811141	0.525814557658076	0.586752109448186	0.602774288961555	0.581569750533373	0.582020996466528
SIRPA	0.705871872631958	0.816757841078835	0.830097801986478	0.647298580665994	0.74582832487534	0.737265020086662	0.790670457057686	0.648495985061255	0.709000547001849	0.792634267978184	0.78040141640426	0.720853398518144	0.917779242811788	0.633566481717352	0.792607368942955	0.708911267692468	0.819268211500683	0.819488385915729	0.738977790469007	0.876489997004303	0.888544823957571	0.920085814133597	0.782420458632649	0.532117395588491	0.646928985898832	0.923592191288271	0.86042887302109	0.241523853733798	0.561582072627294	0.753718849087638	0.846089756033381	0.914293751613046	0.688479024410545	0.80522525810526	0.715282932288141	1	0.793072415965879	0.658145607878491	0.74635074174767	0.56506097707655	0.71112036549271	0.620327086237768	0.746869300659692	0.702155206465792	0.479436722451049	0.734181934844974	0.837690168478639	0.726206999576032	0.628362553899212	0.59170000402264	0.683505079180109	0.912899967698033	0.781338821893005	0.617408002703278	0.703988840224007	0.4187161029549	0.786061887061679	0.792819143892058	0.812435383818332	0.804882854381196	0.831480638644686	0.567575095251833	0.705887231614938	0.84478976920944	0.700783744694312	0.529393963051424	0.785570716602334	0.794478954440586	0.678500685771892	0.593007077278263
PTPRC	0.715043587028364	0.80002179452252	0.85091809171968	0.837374333825245	0.911121208133376	0.750741858146199	0.906559023102466	0.708651490901315	0.704568670720515	0.847163818320213	0.775331108887291	0.859431923677077	0.711779811588079	0.582974756662635	0.764041713081686	0.711074086203076	0.809128469297203	0.829026685128364	0.862451682302789	0.895468117220944	0.741831669504491	0.806938408163332	0.731763408620135	0.761089802319374	0.682057947793956	0.816672601461545	0.797302882079289	0.333055337510155	0.761319250682966	0.731964270159175	0.773758965938187	0.878380310466126	0.744977366535347	0.902151665549959	0.751465095766421	0.793072415965879	1	0.733508225332573	0.694359059717179	0.663601568162173	0.850601901934018	0.70585377050056	0.849405140643358	0.805473979398951	0.697298900653285	0.55865613544088	0.866318523059752	0.880206534781615	0.846662880299127	0.790101467033038	0.789371632903383	0.838302206361837	0.442894003656685	0.786182029045884	0.72801461021676	0.473907045202949	0.838148293311756	0.804072865565962	0.784711580219626	0.809905622505596	0.859414372817487	0.658611740424634	0.790994663151129	0.687065527863294	0.739668461411741	0.763190693401955	0.692745098644117	0.735878588198782	0.699880183170468	0.592839340964972
PTGER4	0.843961844989744	0.713100638477624	0.82907384796766	0.657881618097442	0.571798206647756	0.581538815818396	0.830163863828681	0.556232067062092	0.515408088121201	0.641630570037938	0.615077035355546	0.657623863450048	0.611393763456975	0.827025582321718	0.601784264318154	0.861716067646607	0.781360104328669	0.669059887438358	0.744869999455772	0.777803860814318	0.607949797392544	0.667362715235252	0.592097785773803	0.455142739844198	0.53363763594341	0.655352847075632	0.744536301059188	0.160296943951756	0.430165455082193	0.576065080629989	0.69275245110455	0.742554252414433	0.813592114059416	0.699555755422996	0.890831841118289	0.658145607878491	0.733508225332573	1	0.492242785963798	0.867082487286933	0.724179656920541	0.57184242275126	0.768220693450171	0.688598909559162	0.337522434073353	0.397634104929337	0.677237356093984	0.787143215318031	0.67050950950576	0.441573204314054	0.566097561093463	0.719292791757559	0.460876566490576	0.517833292669069	0.579994509652089	0.467554792425907	0.67382974495474	0.809994687498041	0.664243161379264	0.69348217774071	0.684950407477509	0.86520744440654	0.610046242635112	0.579197449345921	0.62400189715208	0.497625648398589	0.54626574853073	0.574373185814627	0.576093844274006	0.518265976625705
CD33	0.605567689716646	0.796643419298063	0.781215496348119	0.626286658023379	0.676342760491447	0.842296802540106	0.70044450600032	0.865922379135113	0.722433759608188	0.866693863595601	0.881539969541068	0.822181049337189	0.829227381443049	0.505795737440239	0.747288782321735	0.441761838928769	0.78264798292143	0.861244507375879	0.697001031915912	0.810632406951321	0.895809147571955	0.838944193117617	0.756159610369023	0.505890054621936	0.575180060324006	0.78396422687142	0.546166835460682	0.253858197519653	0.648349665787785	0.89425496533318	0.794035425354666	0.724424574574124	0.42000896561781	0.66471057713511	0.520062658555358	0.74635074174767	0.694359059717179	0.492242785963798	1	0.389403151571309	0.58247198190014	0.785595952770282	0.687209228823051	0.608673140367152	0.412253541910458	0.728035137417857	0.729775084695926	0.639027562075166	0.540113276350431	0.710928039281736	0.611270843987356	0.752994439286582	0.457619162943223	0.643778883309592	0.777488816433022	0.404458618982367	0.677623236199421	0.630925114761543	0.814402083369609	0.593481251308809	0.657069161040172	0.421147444598909	0.496799358381791	0.822295389366073	0.628471933930281	0.485087116414635	0.905044133401167	0.856944262380778	0.574718238325251	0.449655208804005
TREM1	0.836208093424775	0.639664273276452	0.792016220693776	0.634314263421573	0.5080478641498	0.539702776553545	0.807580964447929	0.526144616748002	0.463161202723638	0.551874411928647	0.559485920856476	0.59341245861886	0.527099507721329	0.835487435557723	0.556548593480641	0.861653256294459	0.749219013193486	0.581291068679588	0.71502320092676	0.692724239701745	0.53306314232963	0.59231328748943	0.510039613527878	0.379996929793562	0.531903668427294	0.557529659458869	0.697651201187462	0.125461667311829	0.376552342429656	0.508849894442933	0.65992627574435	0.666669148557335	0.829089411307359	0.606374020938416	0.90823148590013	0.56506097707655	0.663601568162173	0.867082487286933	0.389403151571309	1	0.714292506932154	0.505670978503318	0.729024760308028	0.625733502768274	0.272632124553101	0.302529902220851	0.58751522621414	0.770209096635568	0.579594238925788	0.377366044979424	0.551085601223826	0.617953843903444	0.377581803342405	0.448548865145181	0.522684584232041	0.422711956009715	0.583637639519305	0.75004080632199	0.603323959340121	0.624646526170393	0.603779450981102	0.880601421001681	0.507698572236771	0.47357011515984	0.538212671915307	0.456646536023804	0.460454838651297	0.478541265931012	0.499342585347458	0.46608970437438
TRPM2	0.758600103584236	0.72278525419719	0.797533988813551	0.745659054433943	0.761334683697191	0.67656072497259	0.84168634896869	0.642446966643127	0.609718065201761	0.748344982192551	0.658041902964478	0.773279868996315	0.641801510689114	0.646638643327195	0.6863786299725	0.726880781703613	0.754743845769268	0.722496976307117	0.797541905853083	0.820233515001192	0.670163685499125	0.74075558800827	0.652989046233373	0.656816848423121	0.672223377147279	0.719867627063536	0.744521935755357	0.277405057162337	0.616256373684339	0.62670579486956	0.727524168902848	0.804877703803725	0.77662581723018	0.813497490776625	0.770212825667614	0.71112036549271	0.850601901934018	0.724179656920541	0.58247198190014	0.714292506932154	1	0.611914289165713	0.786236897330346	0.679879553359262	0.548563100812371	0.48194572936563	0.783866652123546	0.819112794072025	0.743654783502653	0.626417572943024	0.697340353125337	0.761215720949843	0.417238381996523	0.6349397148512	0.661287956465063	0.483477190395256	0.768012206119477	0.767292822998757	0.706434013768095	0.741063725083998	0.767090888491534	0.685366651610244	0.650319440794155	0.601948641359905	0.731419459094663	0.64743656041654	0.599781405655234	0.66450317397964	0.633174279343378	0.569926410618897
