""	EGFR	ERBB3	NECTIN1	KLRC2	PARD3	CANX	APLP2	THY1	CXADR	ITGB8	F2R	SMAP1	TFRC	KCNJ10	LDLR	NOTCH1	LRP6	PLXNB1	CD99L2	NOTCH4	ITGB1	TNFRSF21	IGF2R	KCND2	PTPRS	TRPC3	ADCYAP1R1	IGF1R	TSHR	CELSR2	PLXNB2	PTPRA	NRCAM	LRP4	SEMA4C	VLDLR	CHRNA4	LRP8	INSR	GPR37L1	SLC16A7	LRP1	ITGAV	CD81	RTN4R	PILRB	SCARB1	GFRA1	NLGN3	NCAM2	GPC1	NLGN2	NLGN1	LINGO1	ROBO1	SLC16A1	APLP1	MCFD2	PTPRZ1	SIRPA	CD9	CDH10	TSPAN15	FGFR1	NOTCH2	LPP	NCSTN	SDC3	C1QBP	RPSA	NCL	SORT1	ABCA1	SORL1	CD74
PILRB	0.792895047012455	0.875755939767848	0.880130463677994	0.837027960116771	0.895612878643478	0.919484075872066	0.922268468836308	0.801877612954701	0.832155501941662	0.90655399649327	0.896261437245484	0.898160902874427	0.868982313596193	0.904328139738282	0.839807865692355	0.900146296704244	0.902305641162686	0.895817296914953	0.889063839791394	0.695633576824014	0.899047548135456	0.829327148660902	0.905228877506319	0.827233400975564	0.874373405086988	0.888560044856401	0.836241656738791	0.930160114288015	0.704020168746541	0.874707932642878	0.87350827288893	0.923077622177756	0.913927839052859	0.900065934225344	0.855727336439703	0.854016479715799	0.85078143509302	0.913298233837552	0.9333474127319	0.827262070772868	0.877751254220438	0.906978727141676	0.920307796574858	0.879983690759385	0.833455546805203	1	0.826362275128774	0.922555391489042	0.869143225441057	0.899771974525875	0.847255223915326	0.847915508715016	0.921059314519488	0.872345085352204	0.913884326312726	0.887671444560738	0.816597794664028	0.912571562844515	0.892591023104009	0.841767802566327	0.791218181887209	0.804882181907805	0.818087216124538	0.900324885357088	0.827985669319685	0.877716204194508	0.90050791445103	0.906379898912901	0.830253434060342	0.853214984711747	0.901031982856789	0.765696613032775	0.681671013619417	0.374731006461044	0.193666583538064
SCARB1	0.51989876619231	0.946058389256881	0.908961075348244	0.812919469467286	0.835728752873988	0.905765576420691	0.893237642158629	0.93922594244162	0.912177292791966	0.808808802552053	0.895705658564543	0.896453002969753	0.7999527435317	0.931152150622081	0.944141589149614	0.916812101557022	0.895274365619224	0.941944696194747	0.873143315155042	0.684005794547686	0.920211882037285	0.949969593095469	0.871946343943909	0.66774551585502	0.777584975806047	0.860106920394453	0.685023947222801	0.871409318035313	0.562605228641004	0.874772813501465	0.828226352649601	0.867484428464301	0.861228881358039	0.789190511472195	0.867358426675477	0.900149645205577	0.921672999853524	0.859160441530406	0.883063236971062	0.928845270608829	0.777008232235122	0.895762509324025	0.828669048417599	0.890470716243269	0.935450172065281	0.826362275128774	1	0.866143813069901	0.943332805033602	0.740159962909662	0.916225659121529	0.943407472973336	0.851867135655379	0.8338719479262	0.913322970777372	0.923006503205358	0.935687982749965	0.875241135560404	0.877527421242034	0.771932590157432	0.754144758139144	0.638466594380492	0.885223145543602	0.831428823034338	0.698489023565652	0.713348158092078	0.828357380221018	0.865468000760485	0.919233069048032	0.912203295525198	0.860663905854657	0.628423638588517	0.420231789760863	0.131117871663668	0.125644314492105
GFRA1	0.792634267147156	0.908693705590528	0.933700652665611	0.919681966612722	0.931183659261167	0.975968123652265	0.969687036782073	0.883919349736112	0.920516721027849	0.959808677939007	0.9559538913322	0.957925156110681	0.911244005333441	0.957386805509015	0.898148120258785	0.953607296619338	0.956712642849758	0.919539581510041	0.916543816448862	0.735175011266409	0.943272137764903	0.894868424391768	0.927952624072341	0.866446185926502	0.908996889943171	0.929764456452053	0.871417815513484	0.956731696171908	0.692474845252737	0.922582784387487	0.926042475974523	0.971126354181122	0.959080776200322	0.93740266554165	0.900719723001386	0.867777963142429	0.895516947903167	0.934665960748685	0.940959196473352	0.877054531163051	0.910394450724053	0.959129401449525	0.962815962495014	0.938320832044829	0.873228085282884	0.922555391489042	0.866143813069901	1	0.939564159567835	0.931482910329074	0.924285913600987	0.918564017228735	0.970055862248775	0.938933093155132	0.969056834293014	0.929870704818181	0.867534945022248	0.952750491553419	0.969918026225116	0.860423186820098	0.8257557046573	0.842881299679796	0.879745388400529	0.951668918387309	0.871992882016497	0.875418565631822	0.93046651103413	0.956740155134533	0.893682815308584	0.915489809915918	0.961782075295209	0.756036102657869	0.640565821831271	0.282381810221978	0.141217132749417
NLGN3	0.655063894050845	0.959244514598931	0.955433347102795	0.917188190207646	0.91030005256202	0.966942361852979	0.949267701693075	0.971260379752538	0.971694304790344	0.896063557173722	0.945290817306145	0.964407340701489	0.867259290961566	0.978899483396617	0.952833269244521	0.972155931235769	0.939822956128955	0.963088445318909	0.928780377991399	0.7471314124381	0.950028386538282	0.973682248324307	0.922253843821414	0.78747202624141	0.844466030972876	0.904340330470234	0.800581940163753	0.921540126815932	0.626941503517719	0.919853284249331	0.911635240823619	0.94138593556073	0.93435070264793	0.886812124099465	0.906407423157632	0.917642834217991	0.953238932592372	0.911696257561269	0.9237011807294	0.964325909813127	0.848664772182948	0.968850875650771	0.90789175571089	0.964022467954046	0.95480709215887	0.869143225441057	0.943332805033602	0.939564159567835	1	0.841683992499216	0.973066862846512	0.980909043950328	0.929250320096024	0.936089875873365	0.972095123352368	0.957372663148622	0.946047719743447	0.939651088308544	0.952386225799284	0.840040774005984	0.816401110203956	0.773963834005223	0.925456124810193	0.919331991096399	0.816103148754353	0.779476688506646	0.917201093234909	0.945992602171254	0.963257634909419	0.969926980965183	0.921698161313938	0.675223463274836	0.492551025789085	0.1485522220425	0.103510184215518
NCAM2	0.927941600656648	0.816462347747545	0.856831014547846	0.872644271393476	0.913744055326298	0.931399428033798	0.939809257380957	0.74326534803032	0.80362051593179	0.968376367329248	0.901152093555658	0.888692464715977	0.894739712054507	0.89542866917719	0.800601611256077	0.87843595952003	0.913414569207907	0.831326604418846	0.886230902991356	0.708472690524116	0.888447298229512	0.753124233140733	0.891113183185273	0.926129494129174	0.926772370667736	0.886051051859927	0.904343154578538	0.943659596162002	0.77898295506633	0.867051703066598	0.872834121503105	0.954935397052955	0.943378212406372	0.95269801143176	0.854300630605642	0.797770786113907	0.794397696146377	0.928513408887596	0.910296656387821	0.766433057599996	0.940953434663447	0.904868751157624	0.939131034196201	0.880567502423431	0.761047250685475	0.899771974525875	0.740159962909662	0.931482910329074	0.841683992499216	1	0.808538438274589	0.805825936790331	0.956769098809376	0.892190308033548	0.909119825964754	0.853836692014228	0.759450901153957	0.919286009681276	0.922958306460365	0.883123353957088	0.836853623853149	0.882234516973668	0.814044436516457	0.925668511374764	0.907315525173252	0.929980483845759	0.901618211645352	0.909026995705337	0.780649604889711	0.815214351808042	0.943113202002822	0.821629106123206	0.775722618385999	0.426094631587863	0.180319972574324
GPC1	0.616857019223475	0.933413446333638	0.945672059369442	0.904378111707277	0.887349030964377	0.940063983245216	0.919831065870107	0.969226977854267	0.961202160161763	0.856936561474979	0.923601004663168	0.952549730688679	0.839763784015431	0.948776488908602	0.925842838852027	0.955857143481873	0.90541334824261	0.944971069241596	0.89247923212091	0.749819786184949	0.918715990102839	0.961204081978005	0.881638417320395	0.767711464059592	0.813691267047159	0.886624656197396	0.786202028004012	0.886941822518635	0.597322704799445	0.899315629263598	0.916919596647369	0.911539722910291	0.905335030375619	0.860304361974527	0.892973621052591	0.890256577830548	0.944749718595956	0.875008968081601	0.892534440825036	0.947268160403457	0.808792323408491	0.953010785627261	0.882478375448441	0.964519812028432	0.948166805059911	0.847255223915326	0.916225659121529	0.924285913600987	0.973066862846512	0.808538438274589	1	0.97180799391861	0.900687949416352	0.931938047743368	0.943739389979046	0.936471886579566	0.936347948048902	0.913909657703692	0.922473472626478	0.842739200809598	0.799977499214963	0.738297562668778	0.90661045767536	0.890917278437619	0.783281566274474	0.745189011154848	0.905949085426682	0.929793263037156	0.968121210651707	0.971775712295193	0.888226899034108	0.644823711510685	0.455953993595488	0.12715408872185	0.0953051774826331
NLGN2	0.601446553004219	0.951759775803648	0.955125666872899	0.911162273353152	0.89202196593575	0.949700413348096	0.929903055340077	0.975603809295696	0.966186950433912	0.861748716579569	0.937576978138323	0.952948102682004	0.850387384353461	0.962351466113935	0.936008983385264	0.963038660112366	0.922346003657038	0.956268768892652	0.916422704257195	0.738323642411274	0.938432467134719	0.973622648857755	0.903030789557368	0.748450513363308	0.831388062125925	0.886187409462775	0.755942695826169	0.897166327256964	0.574448065068121	0.909746252555587	0.901511176950685	0.918145584005986	0.923603877287617	0.853245671790914	0.897251861688888	0.89415024840186	0.94511799961997	0.893463095634794	0.901366773763963	0.959092791403642	0.812061221764609	0.9489972230629	0.891611226278234	0.950259088102036	0.948972724041365	0.847915508715016	0.943407472973336	0.918564017228735	0.980909043950328	0.805825936790331	0.97180799391861	1	0.909363544042263	0.922515567261135	0.958782787338384	0.944206569776016	0.945782499843786	0.918619652788012	0.937619430911324	0.825749389525511	0.780516356422295	0.743640702244207	0.907310710214259	0.893244858058568	0.783786633937644	0.744432826204689	0.902036627438711	0.92104357206937	0.970343045561213	0.970406604808778	0.905750209206524	0.652988037980485	0.451403544576444	0.115541294849738	0.0958835738863331
NLGN1	0.833343334751628	0.905369597255105	0.921815199600506	0.912358216364002	0.945747412355312	0.977799544224222	0.979820414709953	0.857802040604278	0.903054969985296	0.976242221966298	0.963776199905286	0.946501647653121	0.92938086628976	0.960504674273958	0.890559251448677	0.954573495181118	0.970659288771357	0.916903280738316	0.924131534704437	0.736512920296564	0.957442394526261	0.872552906762407	0.942768176994713	0.882087749842406	0.944125255939758	0.929461080786015	0.858395333051605	0.966458806145309	0.703605533857098	0.920974436695455	0.918087182006204	0.98382650480631	0.984778273753766	0.954042155929902	0.907248785229668	0.860624446467726	0.873134309810188	0.954175181510483	0.949650399289632	0.865259295845094	0.942098568916984	0.957008969850105	0.970020328942683	0.929584695241643	0.861187438782859	0.921059314519488	0.851867135655379	0.970055862248775	0.929250320096024	0.956769098809376	0.900687949416352	0.909363544042263	1	0.934568809325383	0.974109276732634	0.930533856916112	0.856781610144233	0.950839269599988	0.977535267808337	0.882719941141685	0.820454377335094	0.866174795844873	0.874252312360451	0.956081449622423	0.902840721282314	0.913131365322671	0.927999883363818	0.945554797605914	0.876777240475779	0.8959149173748	0.975436306514198	0.7952237439751	0.690088224557159	0.331873354141238	0.172596269359986
LINGO1	0.763541972145375	0.887309965555959	0.923449214851789	0.940355654690857	0.921076419813016	0.949960843958839	0.932295422522967	0.902800308001777	0.920490025720928	0.914296177346689	0.923314301727112	0.957264813874223	0.877500687554723	0.935550190335336	0.86850218604849	0.93987402004699	0.902724661678255	0.901586715383077	0.911937593670699	0.75307152598224	0.901233254957178	0.893795412581543	0.891140807031082	0.851212410848423	0.862163402946725	0.889079878396337	0.87162330787753	0.912120728613614	0.661626544201348	0.909265449080887	0.922639260259175	0.944186483130006	0.933908386257707	0.9084137737953	0.886489607158484	0.844711904786028	0.908066476383432	0.901859771560814	0.902430234992532	0.895081866826148	0.862485468069508	0.956003584472698	0.917523112644055	0.9570322494898	0.881820221094883	0.872345085352204	0.8338719479262	0.938933093155132	0.936089875873365	0.892190308033548	0.931938047743368	0.922515567261135	0.934568809325383	1	0.941952488035481	0.909083780444933	0.866963359717588	0.934663071005101	0.93850015537188	0.871055763145406	0.820641279818954	0.821607648779651	0.880294626259346	0.924376019595933	0.863739456622931	0.814843256238828	0.93172115199651	0.944159846018753	0.922294208087532	0.944221188131965	0.923063790598448	0.713454716573136	0.585069051166371	0.234878724422698	0.133200428808661
ROBO1	0.74516888161624	0.945932034901548	0.95590266483704	0.933625537944116	0.934464562100872	0.987139633919258	0.981721146871064	0.921445215811618	0.954647977730746	0.952926062953784	0.968296539929551	0.969301751434461	0.912328925060712	0.985533491650742	0.931036494592316	0.982738860913962	0.974078788414429	0.955438791220909	0.939053297486779	0.748577961002826	0.970417225074997	0.932731101830309	0.953210738404186	0.843203306935975	0.913112958349082	0.936792144122121	0.827651916425671	0.966378559565848	0.661594670315986	0.944429151884823	0.929477583212489	0.976793121182096	0.97825182043429	0.926999994696127	0.919337086175852	0.903041914222168	0.92142315264169	0.950660750965168	0.955949088553392	0.924086253701432	0.908931037544031	0.973648031321339	0.962033925796501	0.947800794060594	0.911042117838793	0.913884326312726	0.913322970777372	0.969056834293014	0.972095123352368	0.909119825964754	0.943739389979046	0.958782787338384	0.974109276732634	0.941952488035481	1	0.963262946137936	0.906178656157439	0.962034246131094	0.987886371345312	0.868402932103286	0.81340234587317	0.843300315424721	0.897283468601774	0.957392481249265	0.871989532231359	0.860208055383324	0.934307807296233	0.953404608236637	0.92736189518721	0.942503928961185	0.967623584146709	0.750719513038339	0.597151611066858	0.236317644218974	0.136767793464
SLC16A1	0.676231168276929	0.936296494145422	0.924723614993031	0.88268002274129	0.904323206034134	0.954386356681839	0.94943100395852	0.930333052793499	0.938535576624321	0.901662775540954	0.942373905915028	0.953670641060163	0.8790587640798	0.959789019625443	0.930265717878201	0.960120204251263	0.942550149568538	0.946953551151388	0.915641782160831	0.756261720809059	0.957889152714079	0.93371561160321	0.937261443608193	0.78543716754771	0.874166263289846	0.902706456915721	0.788391435822426	0.931405403550541	0.632377373093046	0.924626065757687	0.911372632250722	0.94280524732231	0.937881594989828	0.875695614039207	0.908993331944778	0.907174680928239	0.922533795207659	0.924687297679409	0.939437434343643	0.913133343480362	0.864611602754814	0.941450833388775	0.917470719920036	0.938260190008807	0.919159910955725	0.887671444560738	0.923006503205358	0.929870704818181	0.957372663148622	0.853836692014228	0.936471886579566	0.944206569776016	0.930533856916112	0.909083780444933	0.963262946137936	1	0.918711394476392	0.932893753622383	0.943319242006268	0.856570843679178	0.786910646434661	0.7776094055191	0.891645910965181	0.907252542487453	0.8074043439391	0.825983483792439	0.911048287678313	0.917640936531029	0.931034366192863	0.937049705462986	0.921623615054556	0.721933341083718	0.581637978447672	0.243815997061188	0.172169427320172
