""	EGFR	PARD3	KLRC2	CANX	NECTIN1	APLP2	TFRC	ERBB3	THY1	PLXNB1	ITGB8	F2R	KCNJ10	CADM1	NRCAM	NOTCH1	NOTCH4	SMAP1	LDLR	TSPAN5	PTPRZ1	CD99L2	TSHR	KCND2	TRPC3	ADCYAP1R1	LRP8	UNC5A	INSR	PLXNB2	ADCY9	IGF1R	PTPRA	ASGR1	LINGO1	GFRA1	LRP6	TSPAN15	NCAM2	S1PR2	VLDLR	ROBO1	AMFR	TSPAN17	SLC16A7	LRP1	PILRB	ITGAV	DCC	RTN4R	PTPRS	CHRNA4	CD9	SDC3	CDH10	GPR37L1	FGFR1	MCFD2	CD81	KCNQ3	NOTCH2	LRP4	ITGB1	SLC16A1	ERAP1	LPP	SIRPA	NCL	SCARB1	SORT1	C1QBP	ABCA1	TSPAN14
ITGB8	0.948369346924483	0.948691491700357	0.912278587240865	0.981646865211134	0.938454429036141	0.98220596837356	0.884221874481165	0.920366380038301	0.89357456073539	0.925467285040503	1	0.942224082685026	0.966878716221296	0.942142023304054	0.98736326392788	0.956178406067531	0.825561538403783	0.924483700490885	0.953514699913239	0.939797482152805	0.990260863468956	0.917779118083435	0.930971572986501	0.904528463814141	0.913820631749261	0.886983870432699	0.970707817443643	0.839988832892533	0.965675342172888	0.891463085958172	0.904558515241036	0.978781847831339	0.965546843078724	0.82216628173933	0.909153280826296	0.983123606298831	0.983262086159703	0.853329431056224	0.978138733309736	0.888412779755124	0.928919209858925	0.986879265011127	0.932129889649408	0.829612530145899	0.954740042335417	0.957486627105638	0.931345352640381	0.977748572631836	0.894653339730723	0.822926998144922	0.945869715451544	0.87298014237356	0.711725249575291	0.939824257115262	0.864113934937794	0.865078697829872	0.947417113205175	0.950584423704493	0.881420712457152	0.926403168823993	0.899226578067058	0.975749334005254	0.962903839213736	0.931134105660032	0.931577853444238	0.95196715398768	0.885256159194549	0.971253569077529	0.9109746963616	0.868422204090716	0.855358798235165	0.637700487188169	0.764246769244882
F2R	0.888495797474774	0.937425542072077	0.903018860281674	0.962807596849584	0.951112433957078	0.950528763612897	0.83010833927627	0.918559263404093	0.954191548709032	0.943421867681165	0.942224082685026	1	0.965968918345859	0.959404377515733	0.949065447574989	0.963972594185381	0.841419317963217	0.96099654219489	0.944955711877958	0.958488921590219	0.941575208238957	0.942621554233333	0.883366096224347	0.859053419781068	0.897742219822007	0.861147006002251	0.934081659036452	0.873817807896278	0.945602026832116	0.896880496193009	0.890998576061204	0.938130315518956	0.968589010419242	0.838424315954241	0.930688990794804	0.949519537014099	0.949345664438783	0.889527295078174	0.91472369125522	0.890441469870524	0.921656232074284	0.957051121936977	0.926441591259059	0.887159315176585	0.901404038390082	0.963076612061198	0.929230958221232	0.944896517215549	0.836042677236758	0.910397914609759	0.878728981976886	0.922143935689163	0.715497396855067	0.956977853651511	0.788315542596986	0.920600931352044	0.924115556265584	0.949976454402031	0.936884757188753	0.878443491608767	0.849522206622818	0.947883414581753	0.948273664709654	0.921698107687388	0.890507246621435	0.895459300622746	0.891942535330135	0.92305145468415	0.942074257413038	0.807044481346546	0.934384720013427	0.575100759615908	0.759152856775757
KCNJ10	0.904415925164868	0.955028016375333	0.909825893296866	0.983325965836122	0.966770798105708	0.974163411003416	0.850601126088095	0.933631210014815	0.955001152454685	0.957968321236959	0.966878716221296	0.965968918345859	1	0.966931397612713	0.969842131987234	0.977989899031376	0.850350727163755	0.963956398686877	0.952669076523297	0.969405807662954	0.966201691863348	0.952765090133954	0.902667305259867	0.885605819358437	0.913324190308565	0.881953086067725	0.952083052731082	0.866975673614451	0.955275144706333	0.903711297308897	0.898474222925835	0.960398764148268	0.983731860415464	0.841565847473914	0.938020493678613	0.975664279523048	0.967366747401289	0.893069656837513	0.936631067055172	0.909864260965747	0.943550128377671	0.976203970182465	0.950767964839726	0.888438272982773	0.929538220870823	0.973272982408657	0.938186283257511	0.968413103279229	0.847659686449339	0.903843063386642	0.909350642143867	0.930626277528057	0.74043593243452	0.966863101884536	0.811880600766925	0.926409491237882	0.933541875955148	0.969800665458351	0.945752454355338	0.901734463031772	0.874600896297617	0.964273361230999	0.968928309357563	0.941271488487011	0.914410078426967	0.912980629136108	0.912484732296512	0.953710415931335	0.951532481524357	0.838908968953823	0.930144840505061	0.602227724323659	0.778518906243971
CADM1	0.881191944880482	0.93424155620665	0.886463139272983	0.969197002292557	0.96721546998878	0.951447978452357	0.836317846975502	0.957467490260713	0.962212544086652	0.965487704431929	0.942142023304054	0.959404377515733	0.966931397612713	1	0.94720815300552	0.964010376981917	0.811820275868772	0.958887929521409	0.957756426697634	0.965483431381083	0.931272043531582	0.944252497449134	0.869347484409373	0.841713369981428	0.891885619951047	0.873934862735003	0.937734049791013	0.887377596039884	0.944629807631154	0.901576661405988	0.898311228136916	0.951258367289945	0.971377927895272	0.822755729468463	0.929471630669615	0.960396095749032	0.948952192639781	0.93187089119958	0.905279871689729	0.90361103344174	0.942044299162152	0.954396361859491	0.935586186317651	0.907878439790883	0.907165636972675	0.962104046560431	0.912341723449014	0.944931091627359	0.824644696611535	0.924241898651482	0.860811962106822	0.940833542735093	0.743266801213989	0.972032161583215	0.760063522613499	0.939565018000838	0.910608620386622	0.944924054947899	0.946824717483391	0.863140651621543	0.860681464069356	0.942089349138696	0.948134768933011	0.929606491053717	0.906381137955652	0.884238525745479	0.890683378464819	0.9190406929734	0.972709297084417	0.817570174353772	0.941213183058402	0.563468384221993	0.756875816055423
NRCAM	0.951926806762959	0.959159870644739	0.930068450585645	0.982519880910628	0.951811581285394	0.981020489119999	0.891664201381594	0.925571858060522	0.913215615021003	0.94075932976849	0.98736326392788	0.949065447574989	0.969842131987234	0.94720815300552	1	0.966572724519544	0.835238977378315	0.939952202620263	0.955630825583004	0.955439706723734	0.984119642380857	0.929600769668019	0.928754607327491	0.905156009977477	0.9232286516725	0.897541990781878	0.975944878416872	0.866092605135824	0.968335599709641	0.907423177521233	0.903987181842197	0.982405897314063	0.974021788697053	0.838606869850204	0.925816429297071	0.981225774061544	0.98268332909972	0.86007595645782	0.972036129276398	0.913623668057191	0.923426130768811	0.988767273262866	0.937860417888955	0.849293460366743	0.953242766943405	0.966650705436725	0.942102478251708	0.975467593310407	0.879422970594948	0.845472202587705	0.941094336216252	0.889690321215617	0.704421161564496	0.947347109784931	0.865639937579755	0.879890124164649	0.952604758155467	0.962075969846541	0.900008431626185	0.920066024653809	0.909323804396635	0.979492937469177	0.967777560015294	0.942863490472887	0.92317330835031	0.945407850220766	0.889705372017654	0.964630103922021	0.922571238715227	0.863437146073498	0.880506052730332	0.644799061790767	0.776202419491599
NOTCH1	0.91550279995038	0.950384585089115	0.915281019691223	0.970247876171402	0.974894801166363	0.957349369140879	0.851437712398379	0.942717184397024	0.957429425636906	0.973038397583771	0.956178406067531	0.963972594185381	0.977989899031376	0.964010376981917	0.966572724519544	1	0.854771021776211	0.970488535441086	0.958135597737001	0.968946551441172	0.951111547079753	0.949460743575487	0.883595907972531	0.879836831287309	0.910337444325326	0.892275231121076	0.954811569289512	0.89590227900119	0.96029076224637	0.91577859138738	0.899823487402249	0.962537678090903	0.979359135066507	0.851263845119634	0.956288723018875	0.96620013061453	0.963001718411698	0.877786552825237	0.923608830654783	0.935406447164819	0.930511512229868	0.969744021305657	0.939819008623501	0.912871095097244	0.911538490300924	0.986923632268075	0.945349015255326	0.958627625399131	0.836238242284528	0.916831879904406	0.888607258177285	0.933923242404073	0.722891958322615	0.971209551135322	0.819813372109138	0.926385197895808	0.951927335864927	0.963432285344338	0.952277244166068	0.893629982660578	0.889944382449061	0.96196564997464	0.958623628584063	0.942846503470897	0.906920599569343	0.907789741692163	0.90320079240944	0.921769531652038	0.953851861357731	0.819730546677412	0.935206738214832	0.604685620539202	0.78344108976044
NOTCH4	0.8029773446607	0.825266413897457	0.808151251179367	0.838202297792718	0.838790150670066	0.843687388271903	0.801289053075737	0.796219751099862	0.83417343315714	0.821765333790903	0.825561538403783	0.841419317963217	0.850350727163755	0.811820275868772	0.835238977378315	0.854771021776211	1	0.859439958637096	0.816223184809034	0.842246148607617	0.837614382052348	0.804995301335233	0.767025364692151	0.759157988635448	0.78287342980805	0.775598984914112	0.804877949108566	0.764087635017288	0.834089006044184	0.791185824427917	0.783809782948302	0.820706354118401	0.856615296457467	0.760671738101006	0.832215434973499	0.827440540179447	0.828987354781848	0.729305894802842	0.823166833806229	0.808194007712463	0.765441191683257	0.841320098896949	0.838564833769588	0.79141057566221	0.802602572233464	0.857151919077628	0.814270607171198	0.843263471871534	0.712090571645167	0.778529066393285	0.770857869353249	0.798598432304456	0.68059893026173	0.828411620413473	0.727559258941044	0.783737495777475	0.831961619637838	0.865387836889407	0.843104739599529	0.799507998079562	0.799000281665362	0.821619455440188	0.860923803102118	0.817742146375271	0.793125141393614	0.776848552200669	0.817234980858263	0.827622890547593	0.802784931051187	0.726130831316092	0.80759620120952	0.612006630708264	0.762534124206622
SMAP1	0.889015002331179	0.939493760128688	0.927782887308376	0.952256794611765	0.963767729333127	0.939034462619588	0.81930370437876	0.919534233146637	0.982228094377256	0.955254521406488	0.924483700490885	0.96099654219489	0.963956398686877	0.958887929521409	0.939952202620263	0.970488535441086	0.859439958637096	1	0.937823967730197	0.966426800339032	0.926672706867901	0.946279630525422	0.859946367572908	0.867037177977094	0.89109969863427	0.869492042858101	0.913128772621405	0.882799822812491	0.931127311509169	0.891034640509776	0.882190851329155	0.925881489794917	0.973360142520198	0.867942695117445	0.95548339894011	0.944102450183019	0.931352047331884	0.889545422864706	0.88971487451116	0.917537003418561	0.904408131298377	0.946316094609528	0.921382266238814	0.920375600674514	0.890346991494648	0.971444930345444	0.919497645261151	0.93693182851546	0.818232353193556	0.944561186322249	0.846788156594178	0.943806220096197	0.712658327668228	0.965428005480271	0.804234892752225	0.941078653733552	0.933117130925462	0.956738934525916	0.971257570531503	0.869947942837187	0.863119628425609	0.937195162291901	0.944777680086112	0.928975561206139	0.878274697903619	0.868107992088388	0.886904777532435	0.898573875903862	0.949029645280115	0.776930424753654	0.965941562048266	0.565013579901445	0.773655948274228
LDLR	0.91178796348348	0.928724433804715	0.898700277277741	0.958201162682922	0.943218170286062	0.946371272920689	0.869524935718028	0.932664756579278	0.92956104865764	0.94878579836722	0.953514699913239	0.944955711877958	0.952669076523297	0.957756426697634	0.955630825583004	0.958135597737001	0.816223184809034	0.937823967730197	1	0.942946164457413	0.944495572732835	0.91988318502602	0.892590662595887	0.855978316670037	0.89511300763801	0.872957055251067	0.945796012293426	0.872215006237912	0.944872599105468	0.894279001041365	0.897701544582669	0.952593410030994	0.955873498833532	0.837506024883963	0.934970537883689	0.958904571605883	0.960680857507561	0.876969428754028	0.925170428203723	0.902616509190886	0.916175980495979	0.959720655433758	0.917499787619639	0.870947645461465	0.907354363766071	0.959241805460422	0.923253359858269	0.951135823482331	0.860560217313983	0.872875804581794	0.871002004996111	0.905382776458692	0.70015706347484	0.952205142906706	0.802882536324897	0.889560641229668	0.948884620491141	0.945923070805921	0.906589369785398	0.88198436887549	0.882892183108995	0.950945361632853	0.940183916314132	0.927431270205186	0.894241981333382	0.909946474210268	0.871160812340133	0.916407663346112	0.933851410169469	0.820327597535846	0.897876094753771	0.590246215205274	0.753141523993651
TSPAN5	0.915087361452451	0.947522796172888	0.927132209307724	0.96246383042617	0.964620939803137	0.945942153699206	0.847434233123056	0.937778256230945	0.956599666573836	0.956902099156798	0.939797482152805	0.958488921590219	0.969405807662954	0.965483431381083	0.955439706723734	0.968946551441172	0.842246148607617	0.966426800339032	0.942946164457413	1	0.936294505622575	0.943892670151625	0.871083404562077	0.872986048982822	0.898268453974145	0.898680290473001	0.935422754302837	0.899776796396519	0.947993628745048	0.914462494939925	0.892461351033011	0.948370471415843	0.974406071999582	0.867713990397731	0.947648359509425	0.9547052610327	0.946474657928366	0.891631676766868	0.919740363362294	0.92401042609359	0.923583571178778	0.956884671370481	0.937614435200958	0.900904641831868	0.91620370873914	0.973154447218428	0.928917032672403	0.9527960301552	0.84199743986245	0.927175103431584	0.878919450715241	0.932873366389768	0.749855796313434	0.967452272592752	0.818430991570825	0.92448539828484	0.926689973765335	0.959750302964751	0.961013364081216	0.883992501800797	0.881737975453247	0.954255793083657	0.950601860232062	0.929832801482967	0.908005952966132	0.892951005481546	0.912328538333247	0.918968121205818	0.947036265725473	0.833348835425619	0.940118667975268	0.615427787680416	0.786901499057751
PTPRZ1	0.939351153842652	0.953237340494767	0.916435454387558	0.980779864109121	0.930889834045592	0.98480437078704	0.87755414421964	0.904837742848235	0.897303217250317	0.91438137281246	0.990260863468956	0.941575208238957	0.966201691863348	0.931272043531582	0.984119642380857	0.951111547079753	0.837614382052348	0.926672706867901	0.944495572732835	0.936294505622575	1	0.920632791157321	0.938885146865586	0.907028173683862	0.91838438849788	0.868631655258057	0.965159951835972	0.830320864452686	0.960557075286028	0.877925992558109	0.907599442322865	0.972352405305035	0.963694300401059	0.811565265223944	0.902933729649637	0.97852565139846	0.978905962102505	0.845019785057352	0.97821176839058	0.883589495673044	0.919092729130105	0.988944764058627	0.926737576683169	0.818230788247179	0.956383196347697	0.953120101056446	0.930928149232292	0.980306332343904	0.877880485614122	0.822091503966935	0.955441249994981	0.873007476230674	0.69241059386857	0.930295270430388	0.860701127502777	0.864762327189858	0.946508707606124	0.951121436473317	0.877873777613413	0.924110983772515	0.898033901619107	0.973698497005747	0.963460908881686	0.933746243764804	0.921880901057673	0.941854284911085	0.872043120511874	0.980781577088189	0.905111811945453	0.848039839685593	0.859865817725045	0.625141036569211	0.759580418510143
CD99L2	0.86373041451193	0.923172886301131	0.884757935222909	0.947106442988222	0.939380783254152	0.931407319700802	0.804026259684939	0.903074393886653	0.938854176256442	0.926304569909664	0.917779118083435	0.942621554233333	0.952765090133954	0.944252497449134	0.929600769668019	0.949460743575487	0.804995301335233	0.946279630525422	0.91988318502602	0.943892670151625	0.920632791157321	1	0.858484097209549	0.863329794780792	0.876263714756948	0.849364815153223	0.903436315571579	0.856275772364116	0.920838594257282	0.887802020669747	0.883041014321717	0.918973879648299	0.952958616792609	0.81928969190725	0.919257440995651	0.930861309536396	0.917545253519418	0.876103486346487	0.894187950904985	0.881602328673009	0.914688295434408	0.936151650894686	0.909076485564493	0.886897640818954	0.885588158660867	0.944584344230846	0.903385602302807	0.923101143594937	0.810429039687249	0.9047855417187	0.850081067349295	0.916565823037415	0.718393500564457	0.94035005536402	0.7710504204226	0.912145161254147	0.91035255401455	0.932294965193296	0.936012522603091	0.859073496544764	0.840638078619058	0.924890526602353	0.928002105607265	0.915347794624091	0.867011317321109	0.867830834611936	0.8746071786221	0.903662612638405	0.932299423798635	0.789475799752997	0.91885350732036	0.55402211110155	0.731716440197075
