""	ERBB3	THY1	KLRC2	TNFRSF1A	CAV1	CD9	SMAP1	INSR	MYLK	ITGB1	LPP	LRP6	PTPRA	CANX	ITGB8	APLP2	NOTCH1	TNFRSF21	CELSR2	LRP1	SDC3	NOTCH2	C1QBP	ABCA1	TRAF2	CD44	TNFRSF12A	ITGA3	ADORA1	AR	ACKR3	IGF1R	CD99L2	GRIN2B	LIFR	GPR37L1	CALCRL	RAMP2	LINGO1	GPC1	RAMP1	MRC2	MCFD2	SLC16A1	ITGAV	TYRO3	MCAM	S1PR2	GPC2	AMFR	PTPRZ1	CD47	EPHB2	CD81	SORT1	RXRA	CD63	SLC16A7	NRCAM	TFRC	NCL	HLA.DPB1
LPP	0.766981262128585	0.73827139683401	0.747907868424578	0.887413485859123	0.836456064353154	0.751678371874992	0.900033726946729	0.704230506737282	0.375697728871719	0.936326315008683	1	0.877255638421029	0.941709199303368	0.904051212548053	0.925000692566434	0.921143541027042	0.838596478764672	0.796936228644059	0.90983612642435	0.944153489861796	0.914599445686598	0.864651610626187	0.772119097006304	0.356104299005343	0.78074743141345	0.503940605524027	0.786682725795219	0.840309520974113	0.768252218445281	0.853776760800851	0.779283584169189	0.745084868769798	0.884566241755558	0.878164619545094	0.879649126974046	0.696804495494661	0.823445748245016	0.871684313476558	0.91400039033486	0.908810645771267	0.865004169551437	0.843779704461951	0.8827195266499	0.751729755200912	0.916523284494045	0.814920677370384	0.742806662086813	0.75313941700743	0.69102989324156	0.917393006667844	0.889079240870161	0.876177948011154	0.863106611560687	0.925869405452614	0.887840746335196	0.468533903686395	0.8814335787461	0.827481709508997	0.935469194032719	0.804305184969607	0.812378791678259	0.686506602689194
LRP6	0.867450440074459	0.831842537702991	0.831488314141866	0.808782392357365	0.726692458986096	0.663617437560288	0.894830218221806	0.570278491242138	0.170624485910312	0.887321347691801	0.877255638421029	1	0.867604212613235	0.83614637363749	0.878334575570259	0.87714714182219	0.910732126597661	0.826046025313182	0.892164396025001	0.892846723110275	0.869387287915801	0.786003830201041	0.845517394159608	0.133507692406253	0.76547531847731	0.305099623476481	0.704227761753993	0.742154748794285	0.794507420831114	0.862944414194723	0.791208987167874	0.585093996675598	0.870360720434116	0.831190882152509	0.841265351144669	0.732201370444269	0.817517668903721	0.835762207582837	0.900225258838531	0.820569819498027	0.846121218776113	0.718675168035932	0.847821204907907	0.639557425026122	0.814288735907011	0.845013599200154	0.845866377930839	0.802309730235197	0.75788527677795	0.871967808023729	0.91248056547016	0.886199754515557	0.868946528351765	0.919158999995184	0.908306464921699	0.266668023023372	0.828151059193087	0.704827484413964	0.882259215771369	0.794549449949954	0.874579976127755	0.653687818379297
PTPRA	0.793684659800427	0.786676557105872	0.785850040721789	0.891147269722461	0.805850838276469	0.744281616962567	0.905156971355565	0.65836041655441	0.296162712187387	0.934245374017678	0.941709199303368	0.867604212613235	1	0.883806479372666	0.922683549912258	0.924965134572986	0.834005933811178	0.834677880146538	0.884946518871919	0.928918275797275	0.90854277624271	0.816604349104001	0.802827010016534	0.270492115293865	0.778499984728614	0.468745758826744	0.80927476859297	0.807247977119232	0.811005402502894	0.850021486309863	0.787127958475227	0.675048980157684	0.891474103954012	0.883239902971991	0.857295902036915	0.760552603272856	0.825523299535244	0.898536738021319	0.918162433791068	0.918260506377162	0.911667649162111	0.797176174424379	0.87206782094869	0.675793300271295	0.89051534614836	0.863107710558342	0.766496788922536	0.762103690943805	0.72514994309894	0.891325495862694	0.90849338120676	0.904201322299932	0.839756949603552	0.930498549131764	0.882584393837749	0.370478180539369	0.912964090653078	0.788382521698967	0.94119142125048	0.753243109257883	0.822113615210076	0.673044576051143
CANX	0.74257878400988	0.752643123693989	0.751120405088898	0.874736877527562	0.843298220429147	0.825531832924645	0.922891050655801	0.705691788203135	0.382470310915738	0.905975915058373	0.904051212548053	0.83614637363749	0.883806479372666	1	0.842910288178497	0.916616031481853	0.814470654413282	0.791649021671843	0.80784147113108	0.901912630142068	0.864421216705565	0.804630976255989	0.795955281942515	0.344899515757144	0.779118505161807	0.484648435087489	0.722122997321876	0.733731255652526	0.705811893714738	0.834393838625593	0.727941872328054	0.730263541590423	0.866437748583882	0.811469828585184	0.848031960208012	0.674315499984688	0.75402094385109	0.823475462259516	0.885510272542967	0.860503956683851	0.790809275836299	0.77638482528385	0.943114319813079	0.843152828629062	0.823881362698475	0.738721139857794	0.73502535409677	0.761774210861692	0.684725157497228	0.871276730092099	0.815472810524335	0.870186639715297	0.842534713996353	0.892935462522121	0.827442749298258	0.51100146209738	0.885230155520234	0.77260254821998	0.860351057890032	0.849453643621031	0.844933730516408	0.695691858520263
ITGB8	0.802563110537479	0.773202708411737	0.75821989128422	0.867262334253881	0.778035571391728	0.712299770905375	0.860392999552935	0.586700926110314	0.269746945886553	0.915126964757434	0.925000692566434	0.878334575570259	0.922683549912258	0.842910288178497	1	0.916155957784605	0.834672416209243	0.832724039443848	0.900122744070396	0.920018927243959	0.929990450921315	0.821424410020494	0.771891181724053	0.256154350840589	0.729204411612272	0.476319984312085	0.791783508105109	0.827957358390333	0.803144093275621	0.855517655455995	0.782756140182306	0.677723455206383	0.882272313459322	0.893222205154607	0.871052019607504	0.758617227172299	0.810654368499376	0.879245333253709	0.906831792589773	0.917878022643533	0.919348886641268	0.824592866246067	0.839913776548588	0.62071118621321	0.91629496629873	0.868736860349495	0.753903467739659	0.747743589674609	0.699392220084374	0.892831504516975	0.921869209766536	0.886846565102649	0.811934637376656	0.935449994668721	0.896279625924125	0.334987048178576	0.891086607187123	0.786688991424905	0.944522069822212	0.716087894526672	0.797230938564065	0.633981418647155
APLP2	0.797433486614411	0.834174679537801	0.807150741803416	0.906209005996446	0.797143267354134	0.817856912905809	0.918566432494547	0.583635952195145	0.261998648943272	0.958980185623394	0.921143541027042	0.87714714182219	0.924965134572986	0.916616031481853	0.916155957784605	1	0.88558149575335	0.843183884137044	0.876235508337752	0.907493341982836	0.929733234486081	0.789788145485372	0.843478541790639	0.20614020440455	0.823405199276973	0.450098946000942	0.802789115530088	0.801781535869966	0.807620602247075	0.857833030222098	0.842548153135883	0.635243637664873	0.91381585955741	0.898540584639327	0.89409885923277	0.751474647297621	0.788024048573317	0.876660053176883	0.933138627144014	0.931855426724712	0.895425965191923	0.804352261263295	0.888875945813755	0.700827733262449	0.866076295188925	0.837604596319955	0.80761737806319	0.808355826751185	0.751017187039089	0.900177617765849	0.910087992596669	0.943021319709742	0.872551471895758	0.948510605850359	0.901545580155806	0.352156203266088	0.946576009485126	0.792493174806207	0.933201243608885	0.781812992538883	0.880980029900052	0.702957940012936
NOTCH1	0.858870968284517	0.894070526581068	0.852078220625606	0.777622676864115	0.640170348394758	0.622166166667356	0.897316791646618	0.480960159478282	0.106387090537817	0.88858136561225	0.838596478764672	0.910732126597661	0.834005933811178	0.814470654413282	0.834672416209243	0.88558149575335	1	0.801024383761523	0.874214489763576	0.858263186898448	0.848719119332939	0.706217505582279	0.906066781672044	0.00460089656182361	0.81752012260967	0.258922810535128	0.712163706340304	0.675471373666534	0.809993741147371	0.804369407572849	0.841492184878586	0.472671715863647	0.861223447356628	0.819761832809815	0.849239054500389	0.751123759386357	0.748415369289921	0.84866117372598	0.906752894540339	0.805698049431651	0.844298184251186	0.640889646421433	0.822314930314136	0.568204009477915	0.749192590042217	0.854999487961172	0.89705900554822	0.809778328706378	0.823179160924067	0.85254389606352	0.902096141661109	0.904078482593715	0.892030448769388	0.910293954205721	0.909034829451174	0.142416217938071	0.84604685135597	0.658191539712726	0.846474484620548	0.769733372360963	0.913137575815507	0.688597858613667
TNFRSF21	0.887323696994975	0.844923052181273	0.838195038040405	0.822413308428929	0.675045320926951	0.670492495678896	0.845369652166116	0.416463370553225	0.122551447295011	0.849481537832493	0.796936228644059	0.826046025313182	0.834677880146538	0.791649021671843	0.832724039443848	0.843183884137044	0.801024383761523	1	0.791616701573794	0.83139358324505	0.850792935054997	0.657321007675745	0.83208420558273	0.00362861941140528	0.71488535477276	0.324358917904863	0.773505306575503	0.670714053949488	0.814860457711012	0.799413365337634	0.716188344578491	0.458071797773271	0.852888738040453	0.802235665725592	0.811544323980919	0.844183382453936	0.67458720586171	0.844726575643685	0.849745923212484	0.845722836161784	0.880996394845097	0.637530053686482	0.790231079323997	0.499848462571144	0.737743193216077	0.83998120120121	0.810122094053872	0.774024823246675	0.727408875335143	0.798022614529168	0.874101206727321	0.879724823841647	0.751722713045956	0.883671576902501	0.798260066853707	0.139743659758359	0.886096870861205	0.641954623062385	0.846576880234844	0.674597693990724	0.801231076776426	0.591812254205898
CELSR2	0.796859401368666	0.769319777762278	0.777127840798228	0.820193442265207	0.720147373838321	0.63917495397519	0.862501677413888	0.589611109278544	0.253510165023038	0.900860528408779	0.90983612642435	0.892164396025001	0.884946518871919	0.80784147113108	0.900122744070396	0.876235508337752	0.874214489763576	0.791616701573794	1	0.896720284468581	0.891674358150183	0.802535317039865	0.790255266251075	0.203944533528177	0.768689283334826	0.398190611430667	0.748951794312638	0.793118812731117	0.793979974063794	0.827417057841643	0.798851555378507	0.628711062072204	0.862303561885587	0.866004824887384	0.859154316497487	0.708037635878	0.822373564716824	0.847450936471519	0.897966056689729	0.860511518998661	0.867145159206807	0.766605486364359	0.809035845186507	0.604851690814368	0.858217985464588	0.860437667063777	0.781629744127449	0.741141098274215	0.728187287051982	0.874320717364984	0.907070438584034	0.865847509745846	0.834627097260126	0.911078211071303	0.890960110408862	0.293674387434894	0.839628871520578	0.771382384136795	0.903414466038165	0.75017260452483	0.820643153392597	0.651080563499723
LRP1	0.82254151200079	0.774288614915066	0.785005526804149	0.870821645659682	0.822761004036744	0.736536537669874	0.905593275792209	0.673278833942758	0.314865161980571	0.917783129797193	0.944153489861796	0.892846723110275	0.928918275797275	0.901912630142068	0.920018927243959	0.907493341982836	0.858263186898448	0.83139358324505	0.896720284468581	1	0.928678197719445	0.848390103975403	0.794224892993916	0.288351737886751	0.760909306480467	0.434652729589625	0.76203412951306	0.809085332961067	0.794599335951115	0.863811375758451	0.759461552101258	0.720964135836099	0.88674403649422	0.85513737781334	0.850162148911574	0.756977367721086	0.833672614294633	0.883588671345098	0.92983070734334	0.902341019458259	0.877713878174475	0.811116817234936	0.878383482427275	0.727818735743682	0.899785112061445	0.847266139260345	0.754196033101568	0.766671849929572	0.718112609834035	0.904677323880564	0.917806877865015	0.872545734742488	0.856695317359888	0.938819917733985	0.873291540792768	0.440056256705813	0.873492274340066	0.78868228935438	0.933648280471018	0.798408064637226	0.818400817519983	0.680901218735029
SDC3	0.82062555546187	0.788083676669251	0.779616520827432	0.887372804418658	0.77591927963576	0.757881995188045	0.860806837910977	0.54232390134256	0.227905117282899	0.915070310176007	0.914599445686598	0.869387287915801	0.90854277624271	0.864421216705565	0.929990450921315	0.929733234486081	0.848719119332939	0.850792935054997	0.891674358150183	0.928678197719445	1	0.806273723953138	0.782404352325996	0.169065705893666	0.731930726065562	0.426621744724035	0.813952748267914	0.843480136218689	0.813659625315473	0.849818041942751	0.777922495594793	0.639180716128892	0.90227564494394	0.902975214490638	0.881961946407219	0.770761341823404	0.78882370206565	0.859506963862409	0.929192709406713	0.940369367563176	0.890556009140141	0.815336343491883	0.83603637749317	0.631971084582383	0.887875482730265	0.855813120024402	0.761718050613696	0.778957691874567	0.703338912316602	0.894719098067161	0.931258492547718	0.884053875337627	0.832076481772447	0.951007154478082	0.879721066828608	0.352129889873302	0.906139840993269	0.765978695902255	0.940292119944491	0.738060509592966	0.794112076796061	0.616694205146325
NOTCH2	0.634921762409097	0.557733582988431	0.592436358938979	0.782860034037645	0.783591991564454	0.716934349174915	0.759768798677778	0.694088630728008	0.478818718331411	0.7991083206915	0.864651610626187	0.786003830201041	0.816604349104001	0.804630976255989	0.821424410020494	0.789788145485372	0.706217505582279	0.657321007675745	0.802535317039865	0.848390103975403	0.806273723953138	1	0.60365247150064	0.487791343348142	0.611956943404117	0.547765724323791	0.578806085845432	0.735199037400691	0.604906809065971	0.788875285760831	0.634023769664516	0.776572851165806	0.755605854227627	0.722951294360609	0.786273157851405	0.549629476494252	0.77506712583159	0.721287427892017	0.786071771156123	0.756751730921292	0.722263053025103	0.814223441439826	0.77859563007713	0.722225651997316	0.877030366295565	0.656916197842249	0.574574362531883	0.616097150742175	0.50676510265261	0.814207666257364	0.73688332023544	0.744556772541444	0.715009212459822	0.820295413534817	0.793731946809401	0.561896234760367	0.728177988659972	0.758812005026999	0.833906209734197	0.725224498478607	0.650797942139159	0.574637645097555
C1QBP	0.886250188723226	0.962452575284253	0.912400920207285	0.7825266468406	0.666893935749942	0.646449267397299	0.913849300342332	0.381838698957104	0.0465107775681656	0.87081660845688	0.772119097006304	0.845517394159608	0.802827010016534	0.795955281942515	0.771891181724053	0.843478541790639	0.906066781672044	0.83208420558273	0.790255266251075	0.794224892993916	0.782404352325996	0.60365247150064	1	-0.136130341903934	0.83427288918997	0.202089149657364	0.769400079890411	0.590021500897076	0.837089837033633	0.74906761345987	0.773568298954224	0.359566616880801	0.851645429925213	0.776550710599665	0.794128034608539	0.782115989641512	0.708608479518527	0.880002247883153	0.869012640355913	0.797380729348745	0.829692850578119	0.53050118356194	0.814988167355545	0.531715824960362	0.631041609982116	0.84667994880433	0.912212715920009	0.843984770404746	0.876370367877686	0.782491705711455	0.867974606794428	0.904017603591833	0.86852666304827	0.871400370445385	0.831394324053539	0.05875748280034	0.879312664552704	0.573718976746103	0.7691396750984	0.739923988280765	0.963167254380318	0.704727003830407
ABCA1	-0.14990374663016	-0.229216255375159	-0.158351923667887	0.227581423314163	0.412934191188283	0.330311292192095	0.154629069081334	0.642929772921712	0.719095704264418	0.206335873963766	0.356104299005343	0.133507692406253	0.270492115293865	0.344899515757144	0.256154350840589	0.20614020440455	0.00460089656182361	0.00362861941140528	0.203944533528177	0.288351737886751	0.169065705893666	0.487791343348142	-0.136130341903934	1	0.0700729876354881	0.611139528110105	-9.20896992779556e-05	0.325859121116255	-0.105469724686592	0.246278031356772	0.0444296625371841	0.723247688544561	0.113408126105479	0.137895170014613	0.213821417920628	-0.143929158775753	0.258447602422861	0.0772589073505738	0.123006944048842	0.193464407670864	0.0669857889391396	0.528260993143854	0.302643330898719	0.579056902914726	0.461647002437687	-0.0519550961537697	-0.155397074893755	-0.0349767084800024	-0.202592235117061	0.273691564653652	0.0173215012480121	0.0788482739912411	0.120374735494652	0.152871872613051	0.174398416756613	0.740187430007137	0.104494991890327	0.45917241332243	0.260742832419065	0.311110014239289	-0.0206148012170544	0.189798076590128
TRAF2	0.698354550286611	0.794957487900506	0.776416210284947	0.719799047645185	0.673684361881074	0.649546943801195	0.848547408272819	0.509098257106087	0.174879247234697	0.830822350819662	0.78074743141345	0.76547531847731	0.778499984728614	0.779118505161807	0.729204411612272	0.823405199276973	0.81752012260967	0.71488535477276	0.768689283334826	0.760909306480467	0.731930726065562	0.611956943404117	0.83427288918997	0.0700729876354881	1	0.220881003737051	0.687179612871788	0.60213492281153	0.703659512584623	0.704955771862791	0.77058635591697	0.469625197146168	0.783198771164766	0.729434208486347	0.731158392723107	0.64566839744188	0.696967767058456	0.803493830617291	0.811772149557385	0.765841826339432	0.753089081253306	0.589864026127797	0.748667109277685	0.633451111376283	0.668001922392117	0.735916968658857	0.758539746829117	0.753548450144354	0.762472518698704	0.757785232285672	0.780236958239147	0.815807323157222	0.830244836301936	0.791569667596724	0.773945581364063	0.251581885936644	0.795882925609875	0.629941647455483	0.74492203240997	0.708717026888795	0.859286796597238	0.675120941394097
CD44	0.152252647984872	0.134695513161416	0.135799455722858	0.524212969169979	0.532451611712239	0.503843757214248	0.368403487590836	0.45103483433753	0.58676112493494	0.476687794028196	0.503940605524027	0.305099623476481	0.468745758826744	0.484648435087489	0.476319984312085	0.450098946000942	0.258922810535128	0.324358917904863	0.398190611430667	0.434652729589625	0.426621744724035	0.547765724323791	0.202089149657364	0.611139528110105	0.220881003737051	1	0.357827507540802	0.483253439301827	0.207438174170202	0.441039473579811	0.295116272689178	0.613188771278488	0.391566382742088	0.398737277839181	0.503439358541199	0.162838409158806	0.334962596587505	0.332713592958846	0.324792668165884	0.471880208807337	0.399432273468466	0.592561150099198	0.463114797433684	0.463260230594494	0.591441841639166	0.251413634304586	0.168271767066682	0.227038765832971	0.0761306276077047	0.468873663559014	0.277523048052196	0.413620743630583	0.292532117736947	0.44318724992449	0.409982584375037	0.462783659344457	0.470685009856819	0.59391121214343	0.483938223894502	0.421845806862845	0.244463926641314	0.40827226628343
