""	CD3D	CD3G	CD44	CD247	CD2	PTPRC	IFITM1	CD8A	CXCR4	CD8B	CD69	PTGER4	ITGB2	KLRD1	ITGA4	IL2RG	KLRK1	ITGB1	ICOS	SORL1	CXCR6	CTLA4	TNFRSF1B	SPN	CD47	C1QBP	CD46	CD28	S1PR4	ADGRE5	ITGAL	TNFRSF14	LPP	CD81	HAVCR2	ITGAV	TSPAN5	F2R	LRP1	RACK1	VSIR	CLEC2D	CD96	NOTCH1	ANTXR1	PTGER2	PTPRJ	RAMP1	ERBB3	JMJD6	CD63	HLA.DPB1	SMAP1	CD6	THY1	ATP5F1B	PDGFRA	RPSA	CANX	GPR171	HLA.DPA1	CD74	PTPRA	NCL	PTPRZ1	ROBO1
CD69	0.983909870897563	0.985406815199394	0.986705835102689	0.981913103359796	0.989484725505533	0.991196772267201	0.993040258301441	0.971381024891948	0.978326359180381	0.965789480446757	1	0.919198302425244	0.835300300469118	0.951166912335133	0.98968416995756	0.991374449138557	0.911238884359081	0.646517086823202	0.958619076868708	-0.0912982876177455	0.977645271085152	0.941419580664828	0.438330360546957	0.967049197781287	0.4031918380696	0.111156875172944	-0.0243711880988993	0.915331505662532	0.989363733335941	0.976891128679737	0.961485575715446	0.931647312750758	-0.184048570308909	-0.14352311561829	0.0754288107366457	-0.277454992461577	0.418491640399572	0.858475137906743	-0.423019901751833	0.276129213835902	0.0843351747917053	0.968493319126062	0.985140956747363	-0.440943730119829	-0.118255008197904	0.981839465659875	0.14202352962466	-0.176884586087913	0.0205328421457929	0.300242503612539	-0.217028431745312	0.186086367339609	0.154856328242109	0.958534642053503	-0.371658408118024	-0.173077085044978	-0.297142273273711	0.210102362248847	-0.286409208761216	0.988449958749197	0.193116149020442	0.0217793861800648	-0.0247333801547621	-0.00761426701595435	-0.327383007339439	-0.301386676982463
PTGER4	0.921715635088746	0.922084606519257	0.925791424823657	0.912009974369201	0.914930924076571	0.939892564786633	0.891330865861444	0.887589984557773	0.952833293023004	0.896065430485847	0.919198302425244	1	0.824035129238976	0.872250144554545	0.898972904131506	0.908743279062438	0.879529604763955	0.751372744792628	0.920678178308197	0.0399027781347582	0.943033363290249	0.980090671577025	0.552145874970124	0.948788870029514	0.534748992207907	0.209941451372022	0.0749608726551899	0.886671774578263	0.896666070159388	0.925319405500307	0.93634247721421	0.925737486928211	0.0123278277017856	-0.0206589947154855	0.158483331115716	-0.143107346755782	0.529494462737172	0.822943989952868	-0.320061163964343	0.34439749760845	0.191288622589096	0.953199717608101	0.904645182293462	-0.3341584987614	-0.0323467028828385	0.913440852057825	0.228377541461014	-0.135270313306444	0.13633448408463	0.50612134677756	-0.094909108687412	0.279348068861174	0.260463061047835	0.929544502026386	-0.248302074621622	-0.0627151764507925	-0.265308286012375	0.26588124533257	-0.16847542893387	0.91728995154094	0.282172738695994	0.147684737178678	0.117723104435604	0.113688698723211	-0.24759003532769	-0.190253690565208
ITGB2	0.782704135858962	0.788765289827121	0.798631980619491	0.745991179635704	0.783570322727041	0.883905300563444	0.81095593877308	0.724848321893623	0.903666275622354	0.712525079398047	0.835300300469118	0.824035129238976	1	0.670666115979802	0.862050572959504	0.776137579523293	0.597074899844555	0.801460768116623	0.912424405753571	0.412963411951788	0.855560410372437	0.788102953709212	0.793903633449608	0.860203430731707	0.467316203668328	0.347913739196223	0.212939031680355	0.784220103861892	0.770538294461747	0.761124259829802	0.767663331388827	0.848614042214318	0.166933293442156	0.244343462171482	0.562237067247937	-0.0623203621558692	0.523026428370821	0.639999608538255	-0.148872770063919	0.51918620900432	0.599699067467049	0.827711632498195	0.763534349209279	-0.22282766514581	0.0119066027169698	0.80950056703647	0.551719368032687	-0.141862998708968	-0.00604914570838454	0.448049755852114	0.208823253422003	0.641614226669763	0.228664203991702	0.788356012792582	-0.131058244258681	0.160185358726226	-0.259201399752709	0.39080270057143	0.00796119222288638	0.787290398752827	0.648760544100373	0.529618195325968	0.176793845911786	0.205511292609074	-0.201851062297409	-0.176067228914925
KLRD1	0.968193848480617	0.960902588847902	0.950328019907484	0.988270219420933	0.965456574532929	0.923627761866737	0.951675656184598	0.969056486231718	0.895265700421587	0.974713564325076	0.951166912335133	0.872250144554545	0.670666115979802	1	0.922958424003126	0.965910545661961	0.966732893170598	0.493416099933061	0.840164101879196	-0.303799113743197	0.921511414630511	0.909766153781163	0.209196252858832	0.904100091375118	0.306432820300213	-0.030976637533806	-0.18320621292313	0.879198887523632	0.973544585649603	0.971762564596642	0.963204707747736	0.888049744811075	-0.362695304783333	-0.311621541859711	-0.159039569660676	-0.383337378961294	0.29252351919759	0.849560414815728	-0.526395713872622	0.120800316807751	-0.146221456171093	0.905347831695547	0.97885068943278	-0.541208929356833	-0.172198781055125	0.970627833842753	-0.096269818541	-0.208482239471021	-0.00249011951535906	0.187466987132322	-0.390566166590927	-0.00695195841554808	0.0794118500740114	0.94064160904198	-0.462018426488049	-0.312989091146786	-0.333718042834923	0.0805269862287422	-0.413109703223255	0.964052058536047	0.0096216013520302	-0.173081650939045	-0.147576385443692	-0.133147901509878	-0.393446304890276	-0.370171269631707
ITGA4	0.961927461796304	0.967415709139759	0.971469117254103	0.959188442298623	0.969752718821096	0.988703172654253	0.983648551484813	0.9446912405053	0.975274078216148	0.938518369302401	0.98968416995756	0.898972904131506	0.862050572959504	0.922958424003126	1	0.97335985837228	0.87088142297304	0.658383535832974	0.957858025332142	-0.0390236404311143	0.966269125533132	0.913631364857784	0.472955694383387	0.953849928180852	0.381246428335878	0.117511232462792	0.00760874002714559	0.89862030689579	0.97321899744732	0.954442597062675	0.943584139895405	0.921654976723073	-0.148741239904122	-0.121621621413332	0.130592243579046	-0.273721452789017	0.400364227918802	0.821759855287176	-0.406154795847235	0.282414992058495	0.144089806119539	0.960239620595002	0.965273837257914	-0.410984913261781	-0.153284972111769	0.97208910218288	0.18894746375402	-0.208410209861311	0.0361890131175291	0.26892157921303	-0.179257980095221	0.248588265901849	0.115151627216306	0.93449569475225	-0.372478398931444	-0.16575513050863	-0.316346824379791	0.209325139578467	-0.27825439157255	0.97281289240957	0.255885295767861	0.0817581501802129	-0.0378726022532278	-0.0209938816599328	-0.338526583682352	-0.317489546144929
IL2RG	0.986722646806622	0.993182227496375	0.988196385317153	0.984134515294131	0.995937894255037	0.975602123924633	0.991287935677523	0.990880301739669	0.954093317797547	0.986954237704583	0.991374449138557	0.908743279062438	0.776137579523293	0.965910545661961	0.97335985837228	1	0.948422209602192	0.578502990256522	0.925423138653508	-0.178339964318266	0.961777866402179	0.947221581586197	0.344253352981099	0.956310405256703	0.347645136811997	0.0351109682023977	-0.10528140992776	0.928781793618964	0.991039427985299	0.987106201362589	0.974796929219077	0.9091733668067	-0.268317623556124	-0.232431548501474	-0.0295565202625628	-0.34161894103739	0.355042663450968	0.854197291301723	-0.48682504297602	0.1959173050492	-0.018922300792502	0.959611779219102	0.991810320207165	-0.49947490810414	-0.179029893307068	0.978171006257151	0.0405258555142018	-0.216624596875752	0.0166782720197915	0.262518865845937	-0.308180811410062	0.10621133424705	0.102645836458583	0.954770259449789	-0.427012009699346	-0.254023910523472	-0.336352033418356	0.1391360968301	-0.358296475253883	0.994140332851505	0.105215683842997	-0.0680920762304919	-0.0963926675683981	-0.0817237796134964	-0.377374598662877	-0.350286849237401
KLRK1	0.946068858574039	0.951440185969576	0.935332258313959	0.952045031807739	0.945900278325972	0.887720184572534	0.91579247845965	0.962445030406111	0.853880303345997	0.976870753955509	0.911238884359081	0.879529604763955	0.597074899844555	0.966732893170598	0.87088142297304	0.948422209602192	1	0.451689084308851	0.798601896149415	-0.355712777498542	0.885825816324129	0.929139514086225	0.130896477214904	0.884137164806195	0.288302670292857	-0.0721295836060201	-0.228839163930643	0.888294478757681	0.940303148255194	0.964902558893554	0.962768624079353	0.850064287066104	-0.381772987126162	-0.371338936650925	-0.26039653051924	-0.402158076181884	0.272706748463003	0.834586529663568	-0.553895582152674	0.0572909609075133	-0.235489926835135	0.89462437183736	0.953655037444922	-0.548214566344733	-0.225891601546848	0.933179052654842	-0.177917201550524	-0.23624754217413	0.0706943090033687	0.208690377212946	-0.452668217249298	-0.0681797360949802	0.057486999123669	0.920545484119741	-0.471778741740595	-0.359370673721903	-0.353644318010026	0.0286463863769019	-0.448517556944311	0.949858685597968	-0.0714364536293878	-0.246364243213278	-0.181988674925335	-0.176815668462287	-0.410254664894208	-0.379339945951382
ITGB1	0.6164896966137	0.600309867547923	0.640470648508341	0.585411228768789	0.586086409074828	0.703573565420859	0.605848596706507	0.528723445343844	0.759303342146838	0.524766150572804	0.646517086823202	0.751372744792628	0.801460768116623	0.493416099933061	0.658383535832974	0.578502990256522	0.451689084308851	1	0.749598122379084	0.466114955954784	0.679577009922708	0.665652086973042	0.761397275152512	0.731333708305996	0.874163383307973	0.748194351703093	0.676904873760915	0.595955789168267	0.579156461202959	0.611029447402873	0.604564536146873	0.785772955475259	0.578927805974207	0.598718757369887	0.516777681246908	0.474772233855387	0.880500809846897	0.730608302115296	0.32708866192728	0.824998764401541	0.576095364120157	0.736324908371994	0.570452170896765	0.285437948647764	0.477938204641977	0.625592652641268	0.682223108174305	0.366684452886889	0.487495950051849	0.748331753977859	0.535712585180923	0.599529765214592	0.683234500812024	0.713091612285483	0.368837118399434	0.547052225449441	0.265086519205521	0.768006420573477	0.473939992046332	0.605835810249995	0.609977135120461	0.514741311143214	0.6593413601279	0.658719521440024	0.342746319900607	0.383970554526001
ICOS	0.930122861970443	0.930094807979546	0.945080211362438	0.907747109485297	0.930022333638473	0.972580818533432	0.936143935107011	0.888914208105607	0.976421986074646	0.883287390105345	0.958619076868708	0.920678178308197	0.912424405753571	0.840164101879196	0.957858025332142	0.925423138653508	0.798601896149415	0.749598122379084	1	0.0971164436612348	0.970579002979691	0.921595655211029	0.621390717224424	0.955028632795981	0.489494048420519	0.231776978797326	0.129810691021546	0.849203934446466	0.926239997198052	0.908589067831273	0.882728386916695	0.913000067214087	0.00807277154068585	0.0154871324426159	0.269112502913673	-0.14139271390757	0.532105128540839	0.80666424105084	-0.307263795209419	0.390440556579273	0.279580076066864	0.958512061026338	0.917379479968721	-0.313391784210143	-0.0266480404799061	0.915239965494096	0.351478843241127	-0.122878940171803	0.018366571334973	0.372810695645068	-0.0541910556980085	0.310842201973427	0.235684466695769	0.913342174081078	-0.265097081298481	-0.0344951715732447	-0.232971669594187	0.306778529580996	-0.150392634967923	0.930733775468179	0.317394957577659	0.176048558165621	0.113227932099818	0.126911073568067	-0.232990706348196	-0.204075917002599
SORL1	-0.177929340744652	-0.168502936001737	-0.146533118313821	-0.21503363660396	-0.177672133573724	0.00853179274118135	-0.128311208400111	-0.253053458458773	0.0641344105506114	-0.270978093201092	-0.0912982876177455	0.0399027781347582	0.412963411951788	-0.303799113743197	-0.0390236404311143	-0.178339964318266	-0.355712777498542	0.466114955954784	0.0971164436612348	1	-0.0529454226728527	-0.089705278521791	0.752744677219661	-0.00744514801154652	0.379264331197456	0.531695664139663	0.539743762771818	-0.0571690369948838	-0.195611835427075	-0.201210828583899	-0.144165816087298	0.00811719281613416	0.729318830691435	0.727593096276519	0.867757072276388	0.438167866445623	0.338489849561726	-0.167690219223799	0.546757099759888	0.529401766447932	0.916682945598646	-0.0388016142011565	-0.213089486350724	0.462418200158022	0.224074164869841	-0.122599354856795	0.885120111365728	0.124029314064224	0.132987694593286	0.4808871087522	0.774500337299542	0.810175240617579	0.242170423133354	-0.114671161888542	0.463437622156002	0.605861972980033	0.119693563093413	0.415995552099321	0.574788224703284	-0.164750016603253	0.833601447192118	0.895136790253517	0.480273185716141	0.451706635369044	0.284131130949646	0.308148070009339
CXCR6	0.976854710608389	0.974115411650245	0.980196210519816	0.960020152452595	0.973731002728612	0.983291824180544	0.961679664477319	0.945435457765315	0.979349830348697	0.945728785954724	0.977645271085152	0.943033363290249	0.855560410372437	0.921511414630511	0.966269125533132	0.961777866402179	0.885825816324129	0.679577009922708	0.970579002979691	-0.0529454226728527	1	0.964589103126748	0.499722229329557	0.984661596887099	0.437021793725488	0.160049270449814	0.0124965972053379	0.904888197465527	0.962937163745152	0.961657553156478	0.944354217249386	0.952294519471843	-0.123174524858932	-0.0901034369890522	0.100822626653517	-0.22736403691527	0.478130952184561	0.857185161511705	-0.39682318457506	0.321574130643515	0.144429333008004	0.968734443242632	0.969439273138163	-0.414281547409485	-0.0738705787480732	0.967292886228015	0.203510480132338	-0.150047901467685	0.00917172494598303	0.319880099624639	-0.16548717192251	0.223947307790241	0.194187224752722	0.961920696302473	-0.331996952715971	-0.123357903793507	-0.273427439217546	0.247523956865234	-0.244217840863002	0.966517108261724	0.232815728077983	0.0720429292406088	0.028790020988525	0.0472109675791656	-0.298464225663758	-0.270752745488627
CTLA4	0.957647417831603	0.964070595844556	0.960597031733593	0.938782488831718	0.95466361377765	0.95070889494587	0.922166633887539	0.939772956731846	0.948572918339774	0.948920602298665	0.941419580664828	0.980090671577025	0.788102953709212	0.909766153781163	0.913631364857784	0.947221581586197	0.929139514086225	0.665652086973042	0.921595655211029	-0.089705278521791	0.964589103126748	1	0.44287304930669	0.966986760108689	0.447585119142761	0.124545328296558	-0.0319222674939223	0.92191144012569	0.931008229560759	0.962994948150309	0.961560195302168	0.93023820260685	-0.12946872038694	-0.130740442093399	0.0273965333222083	-0.235261194730027	0.46401671250567	0.846127154307207	-0.41844532807022	0.267865282617283	0.0716421851319221	0.962887272129711	0.947030425121707	-0.433773067993952	-0.0947530052594201	0.937507938692209	0.119998206024547	-0.169004197676929	0.0771381667262258	0.402010490807831	-0.213553057341672	0.178234906032191	0.197665136799742	0.952171655162858	-0.332831309862713	-0.160441734705463	-0.299207602863119	0.201066599272645	-0.266092835513162	0.952490972440934	0.17026042224364	0.0253613563405469	0.0188668808567361	0.0269297883952053	-0.311982606711699	-0.266972919368037
TNFRSF1B	0.345734349307945	0.346838066243305	0.376615471264633	0.319151269449531	0.357561311876628	0.510932794933834	0.382261606492533	0.263459514686165	0.591413128433657	0.237215881393184	0.438330360546957	0.552145874970124	0.793903633449608	0.209196252858832	0.472955694383387	0.344253352981099	0.130896477214904	0.761397275152512	0.621390717224424	0.752744677219661	0.499722229329557	0.44287304930669	1	0.51021311314134	0.558962311232005	0.548319600795148	0.486174781002079	0.415982685877271	0.323184365650468	0.309672715990818	0.338927084367046	0.498952266003943	0.615841969920571	0.593739697368046	0.857460351622826	0.292686102203285	0.581534797469142	0.296924978760919	0.258258944387711	0.640692944408357	0.882489602995509	0.476357620246981	0.308878350154614	0.173463168866722	0.222856470096328	0.372782064550834	0.842694641177767	0.062092542461416	0.064484448241539	0.660947261483324	0.585066030441549	0.793235288711732	0.37261359540988	0.383214584358039	0.239525835268352	0.480657601098004	-0.0074149959453672	0.505577683627978	0.380751073567782	0.338525853260643	0.809544383541106	0.808151037985957	0.487537006869685	0.482901061776326	0.114773583066004	0.168819856587991
SPN	0.97233567458069	0.971208906283584	0.979713746754798	0.942348696570398	0.970094531282987	0.979724846162985	0.958334975647118	0.94806623612395	0.982165901752955	0.942708715232805	0.967049197781287	0.948788870029514	0.860203430731707	0.904100091375118	0.953849928180852	0.956310405256703	0.884137164806195	0.731333708305996	0.955028632795981	-0.00744514801154652	0.984661596887099	0.966986760108689	0.51021311314134	1	0.508267074605166	0.240313322282369	0.0816814560933941	0.938710909101499	0.946218431956971	0.961108167640596	0.954461123070055	0.966695019240151	-0.0547121695578972	-0.0145513956721457	0.104499357380717	-0.155719072422964	0.534646619774342	0.886460618423062	-0.312509552618379	0.394675323411579	0.170028391857854	0.975721437205438	0.957542197233924	-0.341302750613537	-0.0322110424682385	0.963104375735788	0.235002120381267	-0.0941435448777478	0.119645053504419	0.409085425167377	-0.0903362069369084	0.286126343531294	0.260960093134501	0.977664944815213	-0.242574146972233	-0.0456971570373996	-0.22261420205384	0.322518769931799	-0.163870556054255	0.961266428969948	0.286175609539996	0.119488131577277	0.099304125513395	0.110575744773413	-0.231888605972296	-0.196126384823298
