""	PTPRZ1	EGFR	NRCAM	SDC3	LIFR	PDGFRA	NLGN1	LRP1	NRXN1	GRM7	CDH2	RXRA	PTPRA	FGFR1	NOTCH2	PTPRD	PLXNB2	NLGN3	NLGN2	GPC1	APLP1	ADCYAP1R1	NCAM2	APLP2	FGFR2	NCL	ROBO3	CHL1	LAMP1	RPSA	LGR6	ADCY1	NRXN2	CD63	AMFR	ADAM22	BMPR1B	APP	DDR1	CNTN1	GPC2	TMEM67	NOTCH1	ITGB1	MCAM	LRRC4C	S1PR2	ITGAV	TNFRSF19	GPR37L1	PLXNA2	ROBO2	CD81	EPHA4	ZNRF3	ACVR1B	DSCAM	THY1	BMPR2	ITGA6	CD47	GPR37	MTTP	ABCA1	ACTR2	MCFD2	PILRB	C1QBP	SORL1	TFRC	CD74	SCARB1	PTPRC	PLXDC2	CD46	TREM2	RHBDF2	CANX
CDH2	0.992396545679991	0.99852154355014	0.991794092953437	0.975089830982274	0.911945398072768	-0.313828799268513	0.981600336845275	0.942700874719146	0.976759061158919	0.719773052245961	1	0.852764303721188	0.984717419506221	-0.102078998822386	0.989826759873569	0.975462868486131	0.242394696858817	0.928612471734555	0.981167484437133	0.615838022164999	0.6497229691568	0.967854273973225	0.97166786998681	0.971072352684317	0.952770818504812	0.988435563681966	0.99766102962528	0.966351610346134	0.943188667940379	0.965929012793819	0.752248039841669	0.887940205142418	0.988340781496107	0.998747592353344	0.923262925444933	0.978589478622688	0.945812150775443	0.968371883138659	0.988494264369113	0.795561029186919	0.871229935138036	0.966846483511815	0.984053602050311	0.943902271060217	0.916392292122285	0.21314562985074	0.972609797001066	0.963509837304169	0.991063041318636	0.992210129543704	0.953238143922892	0.994744880911932	0.872035333846561	0.992574063989695	0.97012467042676	0.983564511059094	0.48995092565464	0.0309859118076651	0.9597911858256	0.892287383839566	0.978772664562246	0.974491023445173	0.972327018288444	0.539650560654206	0.86281048713343	0.992010449919996	0.977449562385409	0.997140202854778	0.474487902518962	0.902462531372739	0.246014439561739	0.173567404527985	0.227355743488639	0.309296267046373	0.973281138530954	0.235140008903323	0.516187843213356	0.993038810276635
RXRA	0.903815909271538	0.875746034057932	0.908118865582775	0.936351571244155	0.983589984898863	-0.21582645527851	0.837785988980921	0.96023247637786	0.913441399289747	0.908676849349318	0.852764303721188	1	0.921221735401151	0.0499159529009038	0.911499023831471	0.924929300023158	0.626158430708623	0.866162824883951	0.740633496904188	0.821287503334618	0.882625783281838	0.885971664025157	0.941454203819595	0.945657527278135	0.937737263187718	0.896087826374804	0.840294036854986	0.911118745696833	0.972604775869749	0.921647119442825	0.97275329928432	0.9903999287551	0.909867948356749	0.866431286270365	0.982220258688127	0.908509857099187	0.967446974912663	0.952024665438874	0.91358239479411	0.946701603465778	0.943312199008055	0.945276385652672	0.925193397476295	0.955562969092116	0.937801160315469	0.174765464405687	0.716972215636527	0.929262203297018	0.89070428433144	0.902145667254416	0.880229612132638	0.857720700444771	0.984747244931905	0.853578473580372	0.923800197222467	0.873144979055317	0.804008422338432	0.0621906504115122	0.960288715250047	0.959669126020638	0.89539812159973	0.941888537871444	0.929521489819498	0.87943836790164	0.977581818477588	0.854591505940217	0.924618889457073	0.842527581224885	0.810487663315854	0.983109605770013	0.647149015043868	0.585016719635189	0.629171822135614	0.701023280979898	0.81879319269998	0.619134665993742	0.815260985348899	0.898384535436523
PTPRA	0.997271742935001	0.990919865468119	0.994463664245733	0.99856506497703	0.962224838849191	-0.287439643286445	0.974508652225903	0.975605418008336	0.992565858254338	0.812530838835062	0.984717419506221	0.921221735401151	1	-0.0458432322280038	0.99741111221435	0.991625248752675	0.369665649848602	0.948465892769876	0.935554106487105	0.715250935600514	0.746415944813039	0.963941513345926	0.994456556277472	0.992946311657471	0.984399626072267	0.990787709751742	0.976910449020281	0.983328575199801	0.981929316487696	0.977614828548225	0.845086560620477	0.947775533076869	0.990813876568095	0.990110434203473	0.968889404327447	0.99648522716064	0.980547561768361	0.994584648857152	0.997727075566876	0.877777466330961	0.92434389709253	0.995572312027738	0.991156245834087	0.980413052603341	0.962550850882935	0.223398482085487	0.921592442918392	0.986871943751448	0.99339621886563	0.9975840394486	0.971554956458305	0.988551135706444	0.934248267316467	0.979570161315692	0.992553916742761	0.986763293943747	0.604700192874129	0.0598292366202277	0.989316907228289	0.938515611647065	0.99185153983904	0.991108140301916	0.997152797723666	0.657724590661809	0.927080764006296	0.985115959945608	0.997387111370679	0.975311293009177	0.590072718442678	0.954515149993333	0.37393331084687	0.298447470574997	0.348791056500307	0.432804834376826	0.961680525007247	0.361430503176124	0.621928897894465	0.996121625455966
FGFR1	-0.0292993570336814	-0.10866199901044	-0.0763484869247715	-0.0330944739005822	-0.0735896202297796	0.954022813988914	0.0682303598038561	0.0943692955717009	0.0659848872630873	0.428688595579305	-0.102078998822386	0.0499159529009038	-0.0458432322280038	1	-0.0674985319171068	0.0586734564177191	0.384467133940485	0.245161656884632	-0.11761644082618	0.54119734039289	0.440012634284724	-0.18420357645641	0.00647821896803497	0.00956705045889854	0.0754268594963286	-0.0235932478586581	-0.0908979155355613	0.128354985992925	-0.0246965275620633	-0.188424149474806	-0.0296495482596993	-0.0454493066417525	-0.0448300962425145	-0.0845582980098578	-0.0168891154275445	0.00653288215404272	-0.0927969262108812	-0.00457348459609557	-0.0461382767169864	0.307232767406354	0.261126908067519	-0.0287866688527138	-0.0912217440853669	0.0175802080759514	0.18786855609733	0.905030340457233	-0.143867185515864	0.0620023041430622	-0.103056158464217	-0.0303566642609998	0.156069262746655	-0.0629622070497947	-0.0157532781459461	-0.148743077693008	0.00323341587068392	0.0472877377394263	0.524448791033879	0.906185470095248	-0.0191261531193405	-0.128291073033354	0.0202972239560901	-0.0717440139603133	-0.0533938471184306	0.165366392142927	0.0775192403384117	-0.0537350444924211	-0.00798218066032081	-0.143731538081407	0.252506181804287	-0.0103444906268505	0.245627346992845	0.509178267425933	0.240967286976968	0.302282801776689	0.0706017322937018	0.120227214715277	0.244734476698496	-0.0957399229599125
NOTCH2	0.997587214253533	0.9941417503847	0.996118763215613	0.994344586400325	0.956394362815173	-0.304936041585711	0.974237297992353	0.974724772761128	0.990035554827168	0.788987558285655	0.989826759873569	0.911499023831471	0.99741111221435	-0.0674985319171068	1	0.990219962807272	0.35852536656224	0.94211050698025	0.944901395492261	0.687179622472119	0.732619371874181	0.96343996136063	0.989322045433289	0.993256074935088	0.981518026418504	0.995921448964342	0.984374818404776	0.979642713797152	0.979257706705087	0.980006977827938	0.831829599044876	0.939262263235598	0.99092967604655	0.994225713984076	0.966527964318901	0.991272207583986	0.979281414548958	0.989999559978082	0.995677181012525	0.858935814552234	0.920207150615233	0.991965826239461	0.992453058213218	0.9797285741157	0.950819843702098	0.210154326230823	0.930354048096486	0.987482915614013	0.994381985427561	0.997158105962061	0.965797549590093	0.991745712598399	0.931338488631587	0.984095799500876	0.989597818383342	0.986902636588466	0.59059439379438	0.039852336719833	0.98754281572667	0.936400536225239	0.990614605013682	0.990607446361103	0.991812758518826	0.649381012995422	0.924185717261082	0.990035569881532	0.995679793770253	0.981728929775442	0.588020531752535	0.953227123749875	0.373888080822418	0.29319195846805	0.350908098488841	0.431365238997241	0.968104764725693	0.35900985495373	0.622728246582573	0.998755856884275
PTPRD	0.993141430635734	0.980045432754596	0.98698216066284	0.990293126511638	0.951024189345057	-0.183606594482335	0.978837731186703	0.986088173818012	0.997135378288714	0.848758653780378	0.975462868486131	0.924929300023158	0.991625248752675	0.0586734564177191	0.990219962807272	1	0.40076599231056	0.968291176691992	0.926398198995828	0.754055235678979	0.796756379992667	0.946196757298093	0.992134794880939	0.994448759715017	0.99072961113232	0.990701313478535	0.971217461529808	0.994953535708515	0.977449082719503	0.960691827876749	0.835406376233768	0.938849538843834	0.986994880915242	0.981639195061916	0.965845207005892	0.990197823833813	0.969271041357119	0.991478195514185	0.98981238334942	0.897897843268971	0.953352526307036	0.988645993346563	0.98258586678724	0.981756040982044	0.972580401899092	0.316861321942037	0.908585080097179	0.992862012096793	0.982370635223133	0.992594403668557	0.98021084373436	0.980475564011362	0.931255283487479	0.962834521109932	0.986447881105488	0.98982819107289	0.659201845068262	0.142010628563901	0.985657273856556	0.921013067428972	0.989878518100754	0.985117567223407	0.98477033106936	0.673408418582665	0.932689458518489	0.97900574006339	0.993173957753723	0.964043249573405	0.616608657517026	0.952519458247016	0.40380853335614	0.358018026558445	0.374729225850627	0.469798524115876	0.970572804858491	0.378641876279431	0.64807084782785	0.98521198377928
PLXNB2	0.341684287504483	0.270280409329316	0.319457769493322	0.40161009445834	0.516280584174581	0.186735857772263	0.290853581080487	0.531167313216031	0.401945981644591	0.676561504140453	0.242394696858817	0.626158430708623	0.369665649848602	0.384467133940485	0.35852536656224	0.40076599231056	1	0.450974897992622	0.0876607034532512	0.76803577745629	0.730606680779354	0.234663557327959	0.396659971611925	0.450067681749814	0.452859752877756	0.369327291294219	0.228526813248165	0.415548009520061	0.505362016171948	0.334708108249487	0.670892827680068	0.554379653952711	0.32663824097316	0.276603271476793	0.547888762479675	0.372785815479386	0.467232266868101	0.42635455731597	0.340330078749618	0.703573931253448	0.597320212354079	0.434662011724745	0.356667770660921	0.510379445880344	0.545392370678797	0.285534599056992	0.0489931455780432	0.454915002223485	0.311073861697065	0.33392884623362	0.423442341823039	0.28631940036497	0.617851468633522	0.21865194775738	0.450713184640735	0.333872667280265	0.889982830626187	0.384248389802563	0.453798419427979	0.47151403721517	0.387317080600356	0.38009906007556	0.389170034968058	0.868915449588695	0.660739720868941	0.298574830365119	0.412203035469198	0.205965019794119	0.909056856104495	0.580454175864016	0.918185916488688	0.925176741599915	0.930007365510557	0.926178613458723	0.301298560274894	0.841964504194966	0.90997144275901	0.323667304749116
NLGN3	0.95473603721452	0.927806735429968	0.932315048430157	0.946971796092339	0.879281033267112	0.00851997869193464	0.976083267371716	0.959357162745381	0.978388312719206	0.872657043058179	0.928612471734555	0.866162824883951	0.948465892769876	0.245161656884632	0.94211050698025	0.968291176691992	0.450974897992622	1	0.890923687562032	0.83318846939588	0.801233638718649	0.861135096970805	0.949259967079129	0.954009987482396	0.960831179850409	0.955093697249907	0.924186196949347	0.986477340177584	0.923935997551587	0.874057922322413	0.758788651135884	0.869712007400449	0.937710656595996	0.938518072437589	0.910079900925357	0.964802009251418	0.899953755968496	0.94593090319445	0.945491993136691	0.917890441650077	0.949572713626511	0.944048496209513	0.922067613266776	0.941223994018338	0.980292553386732	0.513356866717182	0.871279715320647	0.966993792226422	0.930598335369011	0.954321171887179	0.994522502130392	0.947751204272985	0.870270994122419	0.903408195790713	0.9642573739709	0.973518327106888	0.700384127576963	0.365461725736623	0.933607354450558	0.834839728025715	0.971317348903644	0.920684113809347	0.940494153186155	0.631061733763351	0.895784907244491	0.949284976393576	0.959207412914235	0.904785392954231	0.6012058759311	0.895002986065788	0.385869598147205	0.389950141860446	0.363943147484214	0.456853539536548	0.968205044815135	0.339966117676094	0.641255001294313	0.933723406887069
NLGN2	0.953976781199162	0.970676035363127	0.952074763431085	0.917236709678561	0.816951756749321	-0.290691692554683	0.966330132104007	0.872300014630403	0.931138861809271	0.610124122335994	0.981167484437133	0.740633496904188	0.935554106487105	-0.11761644082618	0.944901395492261	0.926398198995828	0.0876607034532512	0.890923687562032	1	0.511136094752791	0.527788822324691	0.931867595225598	0.915408871434104	0.911246112893735	0.88913919222369	0.949725339642321	0.984375962971358	0.922139943708899	0.862773391131688	0.908314501660621	0.612385237725142	0.783879286155523	0.949955801335032	0.973447296700561	0.833465776235928	0.932263227003625	0.866395423778305	0.906348122410564	0.945739869719338	0.689455522849411	0.786728079174279	0.90184185384409	0.93648959858536	0.86811521131762	0.846456402918986	0.241554634377506	0.998044060601139	0.906355566931548	0.952857615279757	0.954091237308696	0.9143945944796	0.969624837692435	0.762805992218292	0.970536566175739	0.91511917910311	0.953660423363934	0.350832555282927	0.0477787723608542	0.890857811718369	0.799440274854813	0.935929382965348	0.917313670193277	0.914159712001358	0.375055836235717	0.756382416845566	0.966790508140845	0.923937945056288	0.982584152073385	0.316416996356595	0.804781098799746	0.0753714069382275	0.0203465033817523	0.0630194509057567	0.14409089855493	0.959673950215844	0.0630599111999916	0.367815432335192	0.95335458672889
GPC1	0.701576525402723	0.63356042128281	0.67194652549016	0.737578333926201	0.749793606698676	0.299125810681932	0.705089989337951	0.808966085146699	0.762999403966454	0.956679241325162	0.615838022164999	0.821287503334618	0.715250935600514	0.54119734039289	0.687179622472119	0.754055235678979	0.76803577745629	0.83318846939588	0.511136094752791	1	0.907661917021924	0.593540342827654	0.751347864399617	0.75263910612365	0.781349793452632	0.693119504211549	0.60034435589256	0.789788961562342	0.765091926287478	0.623853624116792	0.77672965709814	0.773247551865557	0.69022286378595	0.639690593943864	0.776223144949146	0.742375672555686	0.720786391044746	0.756911182279022	0.704699149127712	0.951951273804009	0.869687853007797	0.746051954608447	0.678568217266503	0.768770818375946	0.875018111894692	0.606811146240229	0.481717823965938	0.768448697211384	0.650595059946077	0.70080666541187	0.803596322020943	0.652719852857468	0.778633331045856	0.593157926995118	0.761810675577002	0.717530768803922	0.918559805169098	0.578322105038731	0.750435879921889	0.695797077120358	0.735546985546495	0.700377040263842	0.728197187183034	0.791040694049209	0.827849824964331	0.654196710124957	0.740076217020584	0.577215654108242	0.78722912638711	0.776881325359096	0.642505649062184	0.714771924957614	0.641077170161723	0.704521507971863	0.680211670590328	0.569899150652218	0.788379639520821	0.661511660451185
