""	CXCR3	CD2	KLRD1	CD3D	CD3G	KLRC1	CD247	CD8A	CD8B	CXCR4	KLRB1	CCR5	KLRC2	CCR1	ITGAL	F2R	ITGB1	ITGA4	TNFRSF1B	CD226	ADGRE5	VSIR	PILRB	TFRC	ITGB2	KLRF1	TNFRSF1A	S1PR4	TRADD	CD53	SIRPG	CD47	FAS	RACK1	TNFRSF14	LAG3	SMAP1	CD69	ADRB2	IGF2R	CD44	CD4	PTGDR	NCR3	RIPK1	ERAP1	SLC16A7	NOTCH2	PTPRC	TSPAN14	CD81	ADCY7	PTPRA	CANX	CD9	LPP	CLEC2D	PTGER4	PTGER2	TSPAN5	CD74	STX4	SORL1	HAVCR2	EGFR	RPSA	MCFD2	APLP2	CD63	LAMP1	LRP10	C1QBP	PTPRZ1
KLRB1	0.769263538589965	0.817245680029036	0.292267772166819	0.919974191618535	0.917135529122507	0.226661219456468	0.300737104387355	0.856131521966005	0.835372840447166	0.923079527177099	1	0.224122134950061	0.0034042012327109	0.0414135793709746	0.878006453424999	0.538284923680386	0.507727075466291	0.792412399109041	0.758689374086071	0.806473918868077	0.801465459051383	0.641228440812939	0.507317413875982	0.511417280186253	0.562355144693794	0.452143315238797	0.331553837311665	0.762330533528145	0.919287917304694	0.719699220058228	0.782946099376312	0.803334936107764	0.795076321007814	0.823052181538376	0.761405997550228	0.865021632320909	0.763986008639852	0.953836206498149	0.770471758706563	0.53163938335749	0.764065639881626	0.755361062157874	0.446483398579481	0.596257422876697	0.73400548676256	0.682723648898603	0.817677824482295	0.376277675490102	0.793088211566768	0.875297602582128	0.332956021180797	0.778472714926928	0.461509780063617	-0.0366595933422392	-0.145848261510258	0.104112962155939	0.893411467822289	0.900670535832638	0.91236042062647	0.675632604662904	0.223465605198058	0.305043867205577	0.601191388610096	0.361920162257951	-0.160408856089494	0.876333282181175	-0.147477491923169	0.0511655757055435	0.261472721144732	0.532993846040302	0.604842522096875	0.408156575979115	-0.120358915218221
CCR5	0.371167929490271	0.526903565341463	0.620661279607155	0.322377676588848	0.266856298347625	0.474656281459227	0.68513948033427	0.273956786947142	0.27490888497116	0.365179056733309	0.224122134950061	1	0.501010430222142	0.671484954409731	0.441490701304053	0.608515990800786	0.519656813391533	0.275855353633767	0.308321541983769	0.125535465253451	0.397328296395533	0.206440611812305	0.511068790036027	0.0292337338773438	0.50777041126487	0.568623695720694	0.496683967132853	0.362608705611766	0.236288873579437	0.572241052506287	0.330498772026463	0.42148407754868	0.487181854943845	-0.01646278529348	0.370279733370302	0.504900858556542	0.172826383394781	0.266515614281734	0.563683110234911	0.520371371383909	0.573353195035802	0.156412666834688	0.56201880292394	0.31989984299567	0.359898547394984	0.562326522971743	0.153697170754858	0.291455749608182	0.618035559095177	0.430375274083892	0.3743829667546	0.259525770548923	0.255977003456052	-0.10503636279699	-0.203443759053903	0.26996273585374	0.321489172586808	0.251231300025088	0.192583800429706	0.243268877451046	0.336543547305537	-0.0752124096232762	0.515870530541838	0.436201766864714	-0.0230727830120913	0.000263487307404337	-0.401219537081681	0.0621073639476826	0.0687241395521336	0.0953114528048483	0.498504958085246	-0.184460625190155	0.0157740532051306
KLRC2	0.37822929428775	0.32223465173875	0.896543721179803	-0.0175805464782038	-0.0622923737323019	0.919775212962347	0.901569842464085	-0.145781089661162	-0.132925153154664	0.239378801017431	0.0034042012327109	0.501010430222142	1	0.776838648499811	0.176149853932278	0.357889396085493	0.688013179837996	0.322031393893136	0.321373483685075	-0.154637936821317	0.516442905872305	0.239629929550219	0.533052475679766	-0.483890613875021	0.625365626947808	0.713001551843726	0.618343492860345	0.480705173055668	-0.0364802018962628	0.517928878512904	-0.160019396870618	0.173515154553806	0.219356710029599	-0.124820121770263	0.248115055918204	0.0298559460736393	-0.0557740273071534	0.0551343828934904	0.584191334878913	0.052093637098924	0.518952920182718	0.20522693060796	0.663790939496753	0.456281821881362	-0.109030689044373	0.272475143021176	0.0466936010972804	0.283491469248192	0.470028837343913	0.144088404172771	0.515567035007608	0.475740831075892	-0.0773836110850921	-0.388176043306248	-0.344670611317259	0.233259624408092	-0.0358122501814639	-0.0512631299973327	-0.157914776792725	-0.169271612255018	0.422296300184515	-0.323864859819978	0.166135597008604	0.618676085819049	-0.216902109343931	-0.0656078669597566	-0.661551585768624	-0.232409996996893	0.104153006266348	-0.185116987461884	0.154977000450311	-0.483768228180317	-0.207349049639844
CCR1	0.38454425474934	0.390675659657991	0.744958785887339	0.0684119041076161	0.0511027941747916	0.740045626327123	0.779646573691764	0.0601959165343191	0.081848299994251	0.279510548196254	0.0414135793709746	0.671484954409731	0.776838648499811	1	0.323313531662523	0.398267885341026	0.733604347975617	0.324998013643629	0.321571402438332	0.0234672908616814	0.459888335974714	0.34785747773163	0.669440274309856	-0.0976460005472272	0.559591192324779	0.582867229791809	0.735655730544561	0.359206293479993	0.0960381511962633	0.47445926741721	0.0824506083434761	0.418620704974559	0.25874917364068	-0.0136112168166783	0.334583587826292	0.137952328132461	0.235383911404676	0.147755548595537	0.523812501119958	0.385510289807874	0.581172565047549	0.199401902832671	0.599723173809334	0.527184890817385	0.230093837255253	0.490102284133427	0.239006751809929	0.615670214921654	0.543633556974716	0.293873418152588	0.682035218814873	0.409970873732022	0.361444029225415	0.0778420318204003	0.0260182937162668	0.556794304758125	0.150908345049268	0.132697356489193	0.00468303600140311	0.192735254700902	0.545054511667759	0.0581223467004822	0.496236231027803	0.700049248666301	0.16037342819039	-0.013477119296012	-0.384115612289287	0.203434261233553	0.445257138716485	0.140532730661897	0.531351078868144	-0.154563335515601	0.203995750787674
ITGAL	0.909527086497878	0.964835614692814	0.463820561667028	0.947366244301659	0.94926725676669	0.398823515720576	0.483434591434721	0.892651106354517	0.873375850742544	0.967204951183258	0.878006453424999	0.441490701304053	0.176149853932278	0.323313531662523	1	0.73048970076914	0.746094334838634	0.896189208730759	0.871961748101572	0.897068000674016	0.870943290857339	0.832254312563769	0.628476161203338	0.597209394966087	0.755407949989645	0.459162020614348	0.497231192013124	0.801279969134707	0.935483655396188	0.877259899513915	0.871225216416368	0.871052130839708	0.860608029701708	0.793061850242586	0.877448413728132	0.914610488932433	0.828620458618177	0.960906086708086	0.789472544803696	0.698484527592805	0.899815221312855	0.81134697447531	0.548952989249408	0.753634581582568	0.817878945350443	0.834884031542424	0.839960096895051	0.518477699043514	0.920713111243508	0.979140675859653	0.571817655477002	0.765246467497548	0.543112132524706	0.0221443604301622	-0.112796807554409	0.311883187781034	0.919317115667128	0.940997076420958	0.904534828983265	0.645278423152644	0.499296361599087	0.378954880464829	0.787614562357603	0.558831351292966	-0.113125819700325	0.83904747137847	-0.253492857562363	0.222044460503478	0.447878074901491	0.611015652321839	0.760220671722618	0.436140381252583	-0.0560103879145979
F2R	0.639192726271116	0.747961471238115	0.58111383689683	0.671825122883593	0.635821511389306	0.488693241852464	0.600252736276365	0.535091884733449	0.482612659235698	0.667895351891256	0.538284923680386	0.608515990800786	0.357889396085493	0.398267885341026	0.73048970076914	1	0.758053402772565	0.653294432416952	0.730265779595531	0.549951001482017	0.724521307046409	0.579810407854192	0.659481087655462	0.285266818868281	0.764794488667437	0.519595750830909	0.666206037392805	0.647687711885148	0.568775321315238	0.838461631767797	0.548068173089726	0.655145007890842	0.633045631230626	0.395862885812934	0.759007218340937	0.716884380036715	0.47622925002563	0.614253287962841	0.686734057881793	0.677773476751528	0.751376311741271	0.681094536023907	0.650027128900854	0.415123868861845	0.542535410612794	0.686078318583482	0.591005030648699	0.432956755854424	0.716628070176574	0.780586104759473	0.68053344127136	0.506518473286831	0.39650959580606	-0.0310454632834908	-0.0530877672671163	0.49078593528112	0.59483824268448	0.582477901673922	0.492690088797992	0.478837250685181	0.542806822945776	0.218582582720419	0.730275207564228	0.678334109712175	-0.000132470434039029	0.441978976727697	-0.391230867837899	0.349223744279103	0.381922913988113	0.558226250859773	0.620992978181933	0.0818988295244246	0.0456216386143536
ITGB1	0.822159098383908	0.804618246222224	0.820684608917831	0.582444080003051	0.555057650273856	0.823261937686671	0.825097078029907	0.473045193619085	0.466797917186823	0.747944643819352	0.507727075466291	0.519656813391533	0.688013179837996	0.733604347975617	0.746094334838634	0.758053402772565	1	0.822282514476299	0.804227261120363	0.542320864248859	0.856906294918733	0.791448056529355	0.811345831084609	0.184615770366925	0.894132430517799	0.661098681105566	0.8195392926737	0.789878839717116	0.580879125594619	0.862915921663752	0.457430279506785	0.713336476170265	0.649471232065833	0.475970547983184	0.76802024369201	0.562289006964314	0.571581253988114	0.638934358551062	0.806160316285516	0.531432781990864	0.889546759813582	0.724972123395302	0.735266587574766	0.796242453351066	0.500000239677675	0.721769843988835	0.657335615817379	0.632011392041363	0.847949174710462	0.737253390054704	0.848010172389561	0.78341268868467	0.414950955794297	-0.050636465748568	-0.111781564503953	0.543138442463925	0.566972017662834	0.592612476831152	0.472745947451415	0.399407387787548	0.734006160801503	0.208772053884147	0.699306990541898	0.841356757138531	-0.07176198613673	0.522274752483189	-0.497804516565357	0.230106347137358	0.550070548138544	0.424650152107771	0.671869455741267	0.0879692502196649	-0.0202957822287692
ITGA4	0.940801371567366	0.90974657396677	0.573981040508901	0.85802729963144	0.827341902062208	0.568018831285895	0.563633592339392	0.729263528485536	0.732039768370526	0.934060619508594	0.792412399109041	0.275855353633767	0.322031393893136	0.324998013643629	0.896189208730759	0.653294432416952	0.822282514476299	1	0.905555840684535	0.838938150966636	0.886073101080199	0.912981344272736	0.655262445521713	0.416661576174362	0.83248962301935	0.521575704547338	0.542755994098551	0.87758874976158	0.847000343334661	0.864523891257128	0.683873979926463	0.766438765664611	0.811243178958625	0.769080983324321	0.860722514403746	0.79032946404812	0.712770943317889	0.886059478730196	0.802679062857846	0.464440950095971	0.87969414669418	0.889164654678597	0.566745087214649	0.811885247937246	0.602582635081474	0.699173329097523	0.812032624437714	0.475165530576128	0.878259274596672	0.880075419413699	0.603058154406869	0.86446502777406	0.341748251641775	-0.122421600931729	-0.244815115614954	0.290572133970607	0.817456474108934	0.834172867051479	0.78351616481358	0.473154658581268	0.621484426270706	0.240963866543965	0.693786802191436	0.615087880392808	-0.258459599593918	0.837497710339485	-0.396086248623617	0.0949705351836763	0.395776443954698	0.490176540385335	0.6153475506207	0.302501699185348	-0.210710227955555
TNFRSF1B	0.915111456068311	0.880902720216774	0.490993311139478	0.867059016736171	0.818411227901861	0.48209234609462	0.512282482907859	0.661128521984796	0.634071735645668	0.89771841742518	0.758689374086071	0.308321541983769	0.321373483685075	0.321571402438332	0.871961748101572	0.730265779595531	0.804227261120363	0.905555840684535	1	0.782306812046362	0.875127518997333	0.873306294313496	0.710173324947894	0.434096026774245	0.893225853401492	0.404958236858571	0.621568158150915	0.890702562171278	0.840962008802593	0.892009928031954	0.620585845135982	0.763715860933307	0.779375861317991	0.775940261834537	0.946059230305518	0.768641974275318	0.724395506305132	0.836136979825639	0.797892282205265	0.456903590701644	0.872548686251918	0.928938097756232	0.459406507906178	0.737868872019606	0.622032372224065	0.663994004694421	0.780558966714216	0.615266642503306	0.816430672890542	0.89313019056038	0.719345982911612	0.818777286575164	0.419774374793433	-0.0194421224248886	-0.106177290679077	0.372527693145111	0.705392452719547	0.782335162359685	0.741259809087067	0.541141442826385	0.619536296119216	0.281214232057216	0.69060148548949	0.633545180412303	-0.121711042962913	0.838082897373135	-0.30976190744522	0.269483154718199	0.511195164153718	0.625674402184323	0.545961917445952	0.351165349544849	-0.081475383871492
CD226	0.821527146133669	0.846885545882256	0.139529780687983	0.917114259069129	0.942519645467337	0.113890171126567	0.141396578223128	0.924146679117029	0.911212564567987	0.85740390881881	0.806473918868077	0.125535465253451	-0.154637936821317	0.0234672908616814	0.897068000674016	0.549951001482017	0.542320864248859	0.838938150966636	0.782306812046362	1	0.671852480335507	0.861787598431619	0.369817814258261	0.789095694522459	0.551173004949437	0.131983825522039	0.27495944058756	0.610290499014451	0.930005760458257	0.658322785495448	0.902346154850489	0.743515476401002	0.767311752736373	0.850050846349754	0.767764235893074	0.844098241488691	0.844448768799625	0.910656132080776	0.515155605782806	0.590483245742848	0.686058550410789	0.769867666029387	0.239140247668288	0.663476643763722	0.824110884570582	0.709879679792151	0.792959368536259	0.38198502519038	0.717577737599403	0.88813527904002	0.422694655309067	0.609377266934949	0.503961922731727	0.146234250843059	0.00490152292016383	0.209310394713316	0.885667921946912	0.955458640992434	0.938800897730457	0.603677894921217	0.407619298028218	0.524730287570895	0.664483733159521	0.360142003338916	-0.0944537492147393	0.881868815075171	-0.019326374420717	0.309914473178323	0.446833418132731	0.623217683584819	0.64888379042809	0.648434498942113	-0.0442149324625082
ADGRE5	0.874616354763094	0.888139640862059	0.719089358093597	0.781091454943446	0.775995384899573	0.694673966555607	0.720043683172686	0.673188062387211	0.641006572303758	0.905159040725481	0.801465459051383	0.397328296395533	0.516442905872305	0.459888335974714	0.870943290857339	0.724521307046409	0.856906294918733	0.886073101080199	0.875127518997333	0.671852480335507	1	0.752641324584607	0.716184315908802	0.25233810941476	0.863130556029486	0.690339952922655	0.65413901991205	0.879398371677434	0.763404430531075	0.928157853869579	0.62176514184995	0.774685882508229	0.770947254421741	0.642120560083484	0.818477824969714	0.744832786404902	0.658844189014064	0.846736203625073	0.899421317417725	0.578680646738427	0.938178949284673	0.817698268684421	0.757261822510421	0.729865046058141	0.587798685275142	0.754606301871591	0.79561408822755	0.521904940368683	0.907073479319309	0.862239417463898	0.65224856896929	0.859961982770963	0.394552942805704	-0.171543134307841	-0.225555106244245	0.329958120456878	0.747400319773693	0.757341554442541	0.683922017808015	0.473983619819198	0.489682609342292	0.212839334478909	0.656105792152836	0.747863860857418	-0.198230480276584	0.72218127407879	-0.455968122155974	0.0421695091474684	0.405840816752783	0.468013891862161	0.627607038797645	0.146027228396891	-0.15356536421858
VSIR	0.905759013669555	0.85258142966797	0.4237805348855	0.779743238141069	0.766001880728185	0.45805658924504	0.419369896887301	0.709619725751062	0.707783332827473	0.825846835162125	0.641228440812939	0.206440611812305	0.239629929550219	0.34785747773163	0.832254312563769	0.579810407854192	0.791448056529355	0.912981344272736	0.873306294313496	0.861787598431619	0.752641324584607	1	0.556539137058593	0.55674098522763	0.780619479986481	0.278133294472976	0.550082575415693	0.737312920563858	0.799898509166399	0.748642550901946	0.677616207738475	0.692927045624165	0.711432799523929	0.745572610635505	0.806694996280598	0.69823708732291	0.735692964359647	0.792896509474346	0.622916295026622	0.459459362966501	0.779488882134453	0.837117655394344	0.358596798902926	0.849035628442972	0.655917314612915	0.658663627201949	0.722957106567292	0.550389860097658	0.767274241219474	0.823005301146216	0.670177796233675	0.759725634255486	0.398599534991666	0.048441733635823	-0.0725027164683236	0.336944546086909	0.705880576455072	0.810010667230779	0.749336593598551	0.446154488665932	0.683120455532696	0.380526104730234	0.682135768766146	0.585907662111251	-0.149783595989923	0.794784221512908	-0.23487363943035	0.299211366325163	0.541976950036404	0.531484142987022	0.58838012491612	0.445606624852951	-0.0996892880154784
