""	PTGER2	CXCR4	CD2	PTGDR	CD44	CLEC2D	GPR171	RPSA	CD69	CD3D	SELL	CD3G	TNFRSF14	PTPRC	ITGA4	CD8B	NCL	KLRD1	SLC16A7	LAG3	CD8A	CD247	ITGB1	CD96	TNFRSF1B	TIGIT	CD6	SIRPG	ADRB2	CCR2	ACTR2	S1PR4	ITGA6	NCR3	SORL1	CD46	CXCR3	CD47	TGFBR3	PTPRA	VSIR	S1PR1	TNFRSF25	NOTCH2	NCSTN	PTPRZ1	LRP10	LAMP1	EGFR	CX3CR1	RYK	CD63	JMJD6	PILRB	APP	TSPAN14	STX4	RACK1	CD74	ATP5F1B	TSPAN5	IL6R	SMAP1	CD81	PTGER4	TNFRSF1A	CANX	HLA.DPB1
SELL	0.911843000453707	0.983590828429188	0.917466386112257	0.715795952734858	0.991216633233503	0.986694066948237	0.955549614486461	0.994790414915591	0.9846246344112	0.915193117027248	1	0.947252230044106	0.976761615470798	0.941459257651656	0.986397128800859	0.905266387377894	0.918405447420569	0.672827250840724	0.938629474643419	0.660459103011126	0.855444680736494	0.818332957346952	0.983492562261015	0.960859621608213	0.812612475651529	0.915528923726148	0.989655946203056	0.974740156858211	0.76476062350234	0.987090204050224	0.749337865362507	0.987414401727036	0.786404912871601	0.552159927325575	0.616498722311407	0.712958925282512	0.966502375189435	0.956767090188998	0.895244369147454	0.938789278392701	0.636084499527518	0.978004124580418	0.975618425552814	0.449252667567083	0.892023414084787	-0.749531534150469	0.601703433570371	0.915311585833021	-0.779481329717154	0.442720427802551	0.82621504692813	0.0777637235821857	0.645004670999653	0.842493175166424	-0.555938822293227	0.913240117041173	0.955809342401705	0.975622922237752	0.777026669241547	0.669449430741605	0.670083604326947	0.965918855714225	0.896477077349845	0.5757256806539	0.935624155369624	0.601324484539458	0.148031940631866	0.728149424299837
CD3G	0.990860962276799	0.988061138174531	0.990364302769574	0.892505961595163	0.909785573314486	0.978010261725992	0.99477627489251	0.962384912742763	0.983735342154457	0.995260169068623	0.947252230044106	1	0.881140201644062	0.982952869026075	0.975191984461036	0.992427644153682	0.92960261725095	0.865600181706979	0.985832116472802	0.861182258059544	0.974507328698029	0.95531133251304	0.936233645198891	0.993056177526157	0.901292535511377	0.992024082670872	0.958137639111633	0.987923422618845	0.879149103791664	0.929017711894199	0.867231935544116	0.983286877346915	0.895340330526659	0.78719605868863	0.692017280908377	0.783642282194612	0.991360938083494	0.920637134300579	0.982933297120748	0.884236158545478	0.786517925873015	0.883258511853501	0.976930795996398	0.526154982269478	0.79624415167121	-0.766441181184458	0.74468353492805	0.896227107257202	-0.795552458918862	0.60045161466878	0.936299350362044	0.115452419040923	0.792533572893656	0.873241814174126	-0.582022981697046	0.971350530234275	0.915657191616391	0.945093205370669	0.76761326188284	0.584492804716786	0.697805288415553	0.955250533661992	0.880839808443815	0.648541116057319	0.982025370603681	0.730531055034964	0.216929457623335	0.777118930529739
TNFRSF14	0.845475088477191	0.941529985585808	0.858443304616168	0.631349380793143	0.995441861344088	0.951374829117978	0.905899827614291	0.968717588988133	0.945661929981508	0.839411883278514	0.976761615470798	0.881140201644062	1	0.898169621964227	0.954277617686416	0.826764522950333	0.898791640680612	0.578380620869722	0.888338022480694	0.559168231410359	0.772888060048071	0.727200169561197	0.982853819073727	0.912031498685725	0.760498455897088	0.851529192411761	0.963516367327133	0.92629091839726	0.709845648490153	0.982768663031756	0.694144118106477	0.948524387481165	0.727346025944681	0.437048986169286	0.607074703026461	0.695792326780686	0.920248033294452	0.95501671291055	0.830142808971303	0.926847513766781	0.563520855137934	0.99035913910182	0.948704956117186	0.454816530395519	0.928940610638713	-0.692782380144743	0.556617462042052	0.917082796109029	-0.720560906815083	0.395294003829777	0.753035758482596	0.0959745659291062	0.56722419720145	0.836775164898887	-0.46313623215986	0.863197398971281	0.936957265518782	0.954456443172594	0.780047836922089	0.697794470803791	0.645316676486312	0.941774277111387	0.858049635154494	0.565927496927113	0.885089201845262	0.563972304455608	0.155288873492583	0.697638303988664
PTPRC	0.981824347822952	0.980948208831483	0.987829203266597	0.893126461381104	0.916337512088862	0.968087957918624	0.985300185320429	0.960160556747887	0.971959154893158	0.975957817792272	0.941459257651656	0.982952869026075	0.898169621964227	1	0.977770206586837	0.9758085744881	0.950898006584678	0.862673355185379	0.981747026765896	0.854306823351145	0.960835966900167	0.935163832736588	0.95717156177481	0.982062639838583	0.947035925734973	0.977960063948334	0.94638010929977	0.978365841280402	0.930019340215094	0.94516809998674	0.916821315039043	0.974448579808614	0.920132188264724	0.770650408095628	0.797556869305124	0.844405938782579	0.981196474641706	0.937953510042834	0.975287938974259	0.896251672331701	0.840384807227738	0.884226692175684	0.978437881878599	0.634448987426497	0.825060940133926	-0.717705764295882	0.798952211169086	0.952144814748354	-0.750908271020527	0.693056085143586	0.942593340727023	0.199659156209538	0.816942905723258	0.922707647351055	-0.493262115859762	0.99009147932413	0.931926913433177	0.957310341043866	0.855287825861947	0.620209713843539	0.699544094826171	0.98357187203883	0.891537593238137	0.748454931583325	0.994139083364265	0.81072908050159	0.316231464594435	0.850299968449674
ITGA4	0.956222168195234	0.995563556581123	0.958442555538285	0.797410490856138	0.969089946799134	0.992924335165514	0.977495147388762	0.993279293399738	0.992177366619784	0.956451538860683	0.986397128800859	0.975191984461036	0.954277617686416	0.977770206586837	1	0.945284770612756	0.940918400854016	0.76350541995476	0.969965594956244	0.751302537452573	0.910857944736096	0.88491969395737	0.98334078387535	0.984829166799097	0.878454633228736	0.953751026184443	0.982851272096594	0.984857302507761	0.841755580570267	0.977327768029354	0.834586782606944	0.99167496880136	0.861349093942346	0.658151718262431	0.70781859360803	0.784308511794433	0.990554646608683	0.960952629376713	0.939828258037151	0.936449016538002	0.731866233831378	0.947321483903512	0.987495505640225	0.546371606902332	0.879637785683685	-0.738328242851676	0.697434813708408	0.944855309676393	-0.775008683606441	0.560071283630866	0.895957079885215	0.135600738514687	0.742608070916294	0.88806760963875	-0.527935779931954	0.960712174921029	0.952949841558427	0.981665302524889	0.81927502933791	0.65038419147319	0.675945822742181	0.986659350486818	0.913977979857587	0.660911404849249	0.970976751285164	0.701864046204472	0.241657551284017	0.786622085086421
CD8B	0.993965127823835	0.964915699139769	0.990428316951063	0.935250902774804	0.860142995575217	0.94982038451447	0.984825197541177	0.925351232570871	0.958267723676917	0.995983586171355	0.905266387377894	0.992427644153682	0.826764522950333	0.9758085744881	0.945284770612756	1	0.910987766807785	0.914497902136928	0.97851113399194	0.911787725477757	0.992807716591796	0.977053424702581	0.898402858871827	0.977174861002034	0.915579774596834	0.994899036916051	0.923391460678194	0.967061153526355	0.907364802661072	0.887595719486146	0.890365488473243	0.958682252156455	0.910811678362172	0.848740109036889	0.710478442771883	0.795364039852526	0.971541709887897	0.886118935456334	0.991806427587493	0.8407438839639	0.826717623163143	0.828805199860539	0.954014539389888	0.54578392612535	0.74479301310634	-0.751731458134156	0.78206472690957	0.871275389117693	-0.78024215139312	0.648331263986291	0.950805139652077	0.119819716372093	0.824547334370046	0.868318597113535	-0.570895327739681	0.968765340396471	0.881741143049636	0.908759267964123	0.750803071851331	0.535449935058265	0.693384905782373	0.930978236592516	0.850123641426681	0.660513164945741	0.975500725618883	0.764678544323176	0.237905210476284	0.780221373500762
NCL	0.922329911370233	0.942911882643774	0.93593030504524	0.814124954653789	0.907510677674199	0.934728454023587	0.943941122705711	0.940228029936843	0.938219964641211	0.916672344845377	0.918405447420569	0.92960261725095	0.898791640680612	0.950898006584678	0.940918400854016	0.910987766807785	1	0.771076231597514	0.931578451480627	0.76645273019688	0.890371043127396	0.860503363441274	0.941587129421593	0.937793077595585	0.885632825769303	0.921356624301844	0.921325506541642	0.943102000723757	0.846506777081235	0.928570663727818	0.850169542472835	0.938928361860789	0.854098838445763	0.675301469877221	0.754526609376132	0.837502798851516	0.940406894865494	0.949654999608437	0.90958439897591	0.89734455417086	0.757366881807553	0.882480779259756	0.95173228375248	0.604985222543365	0.88690368381366	-0.597614335493571	0.793168333468377	0.914697622354506	-0.621593503423642	0.62284931362472	0.913818604773766	0.272604465364016	0.810654639492434	0.915069632368966	-0.403682239795446	0.94372736354248	0.905066121351404	0.947638557603834	0.832083228532471	0.709074849843874	0.679306585861955	0.942223185097428	0.878555617661695	0.734077282525402	0.95100845283257	0.76738586448797	0.355967917256761	0.809644385044733
KLRD1	0.913418639602931	0.791914896985857	0.896573215352296	0.990409321269196	0.615264489284096	0.768480706748801	0.854104150912573	0.714390651022028	0.781430712777566	0.902786548207536	0.672827250840724	0.865600181706979	0.578380620869722	0.862673355185379	0.76350541995476	0.914497902136928	0.771076231597514	1	0.866799159613581	0.995584245729337	0.953274625809326	0.965083798387728	0.70113913030365	0.841071757427624	0.872835851279872	0.908065329741947	0.721958759661761	0.795506230468714	0.912711450329069	0.662110490083816	0.897879452529906	0.776251176471322	0.920616840117836	0.977898046509986	0.745197019337518	0.80950697603455	0.818647409996426	0.708626829989573	0.927570679835321	0.644434475780055	0.871821783403432	0.577594056031492	0.795378486780163	0.643758668606032	0.534972050198421	-0.58501167660249	0.879033296125605	0.726866809279197	-0.612300706437603	0.763499572034667	0.923051222851982	0.155695412670282	0.863710378837913	0.80705596871259	-0.383180083419911	0.883569870515768	0.673201703974128	0.704471798568622	0.629726671719363	0.331822473195197	0.636430210519288	0.771388625858806	0.66123218823232	0.669632173817513	0.853117405528673	0.838369892971704	0.346411346310042	0.704642246967743
SLC16A7	0.984815336915316	0.979367784206774	0.980753957859395	0.89036761285044	0.911008714520334	0.972339562806457	0.987613764256648	0.956656008093631	0.9757185585513	0.981658502339372	0.938629474643419	0.985832116472802	0.888338022480694	0.981747026765896	0.969965594956244	0.97851113399194	0.931578451480627	0.866799159613581	1	0.855684202345288	0.964852300475295	0.947558921960053	0.943600930280299	0.987244823510216	0.901547644996899	0.986353411195953	0.953494746117683	0.971708900867508	0.886175364102938	0.928705879373642	0.87427308771331	0.974982215718302	0.908660320067753	0.779920018471356	0.719649204084329	0.813552214550064	0.982165728769422	0.944507947093808	0.982735850279863	0.902658160871363	0.784377388056418	0.886970219653252	0.97740813554592	0.574443775620985	0.830567706862682	-0.69798466380955	0.77742915826629	0.914482248324399	-0.730621185799171	0.6106224696888	0.937771145367819	0.145297752169489	0.798785018919427	0.897396114086519	-0.504985780345951	0.977081998415624	0.915902427531035	0.940812519103461	0.769421946726379	0.592650678475382	0.726975640006435	0.957353485349405	0.8596582552613	0.665127131997033	0.97114882946961	0.769628432565	0.295089137515263	0.767209359469961
LAG3	0.903989572244528	0.782354426321477	0.896764541449509	0.992829574018029	0.5972694393484	0.753372554150953	0.845806822516177	0.705635072198591	0.768871417669112	0.898871614238811	0.660459103011126	0.861182258059544	0.559168231410359	0.854306823351145	0.751302537452573	0.911787725477757	0.76645273019688	0.995584245729337	0.855684202345288	1	0.952083654630067	0.959658240487655	0.681905742272956	0.83016845890975	0.879319005517497	0.900118181153866	0.703162014826628	0.793921357564797	0.909356617903993	0.653894807851247	0.900838577947996	0.766022840353767	0.898596349485835	0.98553307392513	0.7294521437587	0.774027282692218	0.812554850692435	0.687417490347535	0.91638912888562	0.621772583512211	0.886461873122106	0.554202633604654	0.779303347130233	0.609769202972999	0.500696001086876	-0.601208556707011	0.856407242824708	0.713858969311386	-0.621527747523668	0.773164331051845	0.912625497842627	0.194242007011427	0.862393619123517	0.776319605883119	-0.429752136078349	0.872061040516839	0.668911811490098	0.701762770829252	0.635858996324601	0.349976193837161	0.623550636659105	0.75651012964673	0.665018238986546	0.681736507492087	0.853701488204338	0.835547854994162	0.33686880994676	0.723281650593137
CD8A	0.987764155926602	0.933137709911856	0.983942582345861	0.968687310083166	0.806437772227593	0.914852444634772	0.965559231771389	0.883326556662374	0.925047616858761	0.987706573569531	0.855444680736494	0.974507328698029	0.772888060048071	0.960835966900167	0.910857944736096	0.992807716591796	0.890371043127396	0.953274625809326	0.964852300475295	0.952083654630067	1	0.991059189881504	0.858045106560375	0.957049674790504	0.921200512888619	0.988070244282704	0.881355307912064	0.937477592611769	0.922914640598145	0.842138685835159	0.909268654592819	0.924081694437077	0.924280854121381	0.901836966976382	0.727682646565251	0.804246464912656	0.947609712020963	0.851170705127728	0.990282138227872	0.79638278724478	0.854998096416436	0.771993094206059	0.925569998820192	0.573213898598746	0.695726432301883	-0.725924382643731	0.816629679800071	0.846246944777521	-0.752059624753955	0.692196715644393	0.956775039512264	0.14401505999277	0.847687011003337	0.861324115886973	-0.542392517595526	0.960294661955871	0.838279309132195	0.869910827951653	0.732376143047222	0.497365608562119	0.687441681434622	0.900405392351149	0.813514333939176	0.678037556916823	0.959435125268766	0.798100797561878	0.265899766933212	0.776637896689617
CD247	0.979420172189908	0.906288442232485	0.960530451999515	0.965150482775402	0.76353437873595	0.891780854108119	0.941386884263307	0.849808151606575	0.900747566904871	0.978571706576215	0.818332957346952	0.95531133251304	0.727200169561197	0.935163832736588	0.88491969395737	0.977053424702581	0.860503363441274	0.965083798387728	0.947558921960053	0.959658240487655	0.991059189881504	1	0.821694808716521	0.940257760712392	0.890199143175976	0.975421002540271	0.855634694254479	0.902935296578636	0.900006069330044	0.792197691534002	0.893367705000956	0.892929797662439	0.936553589986219	0.924778400311869	0.715233944452681	0.812149504881139	0.926915136052634	0.822830566031243	0.978379559210712	0.77853007267434	0.835796960166405	0.732582167468245	0.898726597436821	0.585884330258171	0.671177819888952	-0.68853548001715	0.832361703025569	0.805962054657509	-0.719370280841733	0.685557201932348	0.963338476969425	0.118146156167759	0.862173874235898	0.844393369452262	-0.495928401623138	0.94595079183032	0.795405438041922	0.832072194707048	0.681178195772574	0.444066260986106	0.672938101254509	0.870900136603735	0.780924541953645	0.64978105410554	0.92832029260064	0.791050803277125	0.284804901505722	0.730066828699397
ITGB1	0.916304506361732	0.975288043003519	0.92245676524589	0.742778979611796	0.987655228165229	0.979767171285752	0.955318589445206	0.98559835256801	0.976380080467382	0.907327439192812	0.983492562261015	0.936233645198891	0.982853819073727	0.95717156177481	0.98334078387535	0.898402858871827	0.941587129421593	0.70113913030365	0.943600930280299	0.681905742272956	0.858045106560375	0.821694808716521	1	0.959191890408505	0.842395863555821	0.91666071057539	0.981452527407162	0.963651548208514	0.809272486457439	0.985902496529771	0.792279994564573	0.977585488226108	0.83425658254401	0.568482558244201	0.706313401143567	0.791019383910874	0.959486417154017	0.979059073792789	0.903659850512786	0.953158617670164	0.673810806498854	0.976263091291735	0.984105288109373	0.561605950443672	0.922298797390532	-0.690034904393702	0.683150419725662	0.950982146817699	-0.721250650222431	0.519003459860422	0.846832441730918	0.135731104355873	0.673917261435625	0.903003948954082	-0.437337994309627	0.935831659968766	0.958682601039479	0.974263705666271	0.823349671651734	0.684823922719911	0.700014105044299	0.982669987649238	0.88209348307959	0.6518156100386	0.942391570069458	0.678867176129816	0.244622418479905	0.763604366057544
CD96	0.986330632299099	0.992568281820801	0.981064092536543	0.866311651749534	0.934645208953395	0.990757650595051	0.995266853452814	0.973607859332524	0.992474225287421	0.985536210215762	0.960859621608213	0.993056177526157	0.912031498685725	0.982062639838583	0.984829166799097	0.977174861002034	0.937793077595585	0.841071757427624	0.987244823510216	0.83016845890975	0.957049674790504	0.940257760712392	0.959191890408505	1	0.878816176264738	0.987229818257107	0.976324092636411	0.986266685798778	0.85758296614724	0.942810481074642	0.84499935696349	0.9888971949922	0.895015696691451	0.748641643888647	0.688735176519013	0.796868382716759	0.994354452966769	0.945452180468854	0.975214512940054	0.912430547758251	0.746253806530286	0.916520270030812	0.989591351566792	0.535687363448353	0.838439704645007	-0.754090878781069	0.741172180069449	0.905634215683313	-0.783603438796855	0.568070166054318	0.92366484746302	0.0969731776252129	0.767952619554495	0.887260244767638	-0.539186052382375	0.970262688789987	0.923620310689583	0.953040358307416	0.76103734892321	0.599913759385183	0.717975764786061	0.966810179958946	0.875531049890934	0.632723901108094	0.97273804074389	0.714593808694596	0.214263371309177	0.75128408887904
