""	CD3D	CD3G	KLRB1	CD2	CXCR4	CD247	CXCR3	KLRD1	CD69	PTPRC	ADGRE5	FAS	ITGB1	CCR6	CD44	CD226	S1PR4	SDC4	TNFRSF14	SMAP1	ITGB2	IL2RG	ITGA4	SELL	TNFRSF9	NCR3	ERAP1	ICOS	TSPAN14	RACK1	CD4	TSPAN5	PTPRA	PTGER2	LSR	TRADD	CD74	CD47	SLC16A7	HLA.DPA1	TNFRSF1B	IFITM1	CANX	SIGIRR	SPN	SLC16A1	LPP	MCFD2	SORL1	HAVCR2	HLA.DPB1	PTGER4	RPSA	IL2RA	CD63	C1QBP	APLP2	TFRC	FGFR1	CD46	VSIR	LRP10	CD81	CD68	PLAUR	NCL
ADGRE5	0.7066218622586	0.67418830003325	0.850115057198496	0.63168220149951	0.753099111480066	0.743605163305481	0.60138598308582	0.666423201863033	0.841779391537957	0.725953656661045	1	-0.152534198303428	-0.0115875451515829	0.038285693952468	0.559189647843296	0.82321623455781	0.463005990599311	-0.225017297311312	0.408624663184609	-0.191480252955415	-0.0307773167956174	0.218153734221607	0.0217320756712443	0.30257680717902	-0.192000876512228	-0.354837246494308	0.63481391406765	0.348542385415254	0.0448998774038296	0.324882757991696	0.0648879578762606	-0.0606437774603543	-0.466551924576537	0.674269781960248	0.430014575610353	0.504766955060672	-0.0602604138705669	0.340501967298775	0.373742278094724	-0.00817549443527103	0.0523635769881484	0.0950882278096394	-0.237688621717292	0.0535832871866395	0.267638018867039	-0.635645480811754	-0.342383851544928	-0.0888903042575794	-0.246493287716132	-0.301233393269465	0.0557460721475508	0.508935278425691	0.725732571585929	-0.226138690897477	-0.429336988798483	0.209815419249283	-0.472305063868616	-0.432607180513275	-0.247627326087593	-0.21720697592283	-0.121477422061138	0.134054694704203	-0.405448317375058	-0.235008886401821	-0.223574914235066	0.123082871198148
FAS	-0.235096831682689	0.0232435386215771	-0.471184545047594	-0.0248349639670346	-0.317240091612193	-0.293583633426389	-0.15345925241065	-0.390814706286199	-0.261375361692837	0.212551556395368	-0.152534198303428	1	0.772307814096547	0.756846394581261	0.288865598728027	-0.187301142225123	0.291075293779647	0.712266513115587	0.67255153488008	0.844802696620382	0.675542164730613	0.276570478070579	0.91784888494188	-0.22536135885871	0.372071661698924	0.14083162531108	-0.477290245217711	-0.216101918023963	0.634112825343421	0.446818332401777	0.744882100601378	0.688353857885201	0.797365053695712	-0.528336924908797	-0.0488911498257812	0.394310046123592	0.747303940417324	0.649617082488312	0.229523965898866	0.745632414658943	0.779809462795203	0.618957178786648	0.739665939304933	0.599389501386118	0.370784798797923	0.613939080292429	0.734154921134596	0.625899448385209	0.321485172323632	0.634348497937661	0.720757537160732	0.371859197836454	0.0418835383660754	0.773703535127979	0.710346866614655	0.569483223410023	0.742150020056834	0.693017976221802	0.809554920449461	0.649471846460413	0.627893095030979	0.621871517899315	0.72716197188442	0.523813002224861	0.636331318808366	0.748095369132785
ITGB1	-0.326285451253098	-0.0753605958443761	-0.228452969487244	-0.244611837547075	-0.395967458773883	-0.0978353417713202	-0.0210996817375398	-0.495220153995802	-0.354953044712989	0.278972767416137	-0.0115875451515829	0.772307814096547	1	0.486347397029425	0.606556363526742	0.0163317436725918	0.300739348230194	0.876289186555172	0.601386720854572	0.850508182913298	0.661997507799452	0.0420910179672145	0.805486951174833	-0.527221581742292	-0.000531143162035748	-0.135101055180269	-0.135975710325446	-0.408972136919741	0.726921489901641	0.815956749747713	0.828689688149676	0.771760496700374	0.657970566055071	-0.28075058878008	0.327934853300277	0.635544774624351	0.901263226243574	0.85701824449551	0.531771720550898	0.91360752894656	0.666747953456139	0.807950863991028	0.852325602263656	0.316083717444203	0.655305924739661	0.485026133676808	0.849631205714559	0.850868941426846	0.425870029395074	0.672013881430939	0.91292941610851	0.681490639882138	0.435528640116656	0.350926482807083	0.748591498615662	0.872665584120378	0.754411522352725	0.726899848702002	0.804001963183455	0.742891151428209	0.756402650284508	0.797840291590612	0.811754620537287	0.683243220547013	0.782168212498385	0.936871330852089
CCR6	0.23914347798921	0.396525506180546	-0.208642471526741	0.451674741751404	0.135228809433512	0.0341881794112073	0.181986630205696	-0.191308026646387	0.123175797932342	0.543279478653484	0.038285693952468	0.756846394581261	0.486347397029425	1	0.24948398376444	0.0479443117582523	0.554102712281895	0.239219032573722	0.708173085165289	0.498437050145449	0.755483660711492	0.717567438973561	0.781242057549083	0.245075169372451	0.445893204255039	0.230726607470782	-0.180879195377615	0.157331178208458	0.593610737590908	0.300784393475903	0.715682186698462	0.331109063904756	0.370794413568499	-0.225313791130504	0.0520270265548256	0.4811952330624	0.586770447947984	0.58101961975043	0.00221175156828522	0.595159113163121	0.852709985999581	0.407256309066535	0.347959328523663	0.718590938791032	0.514118899023888	0.155228474299885	0.294386766926595	0.329518752466211	0.0757000741442978	0.436867247331949	0.58360910201999	0.294784067566725	0.146580030362045	0.786834167340464	0.269991901191751	0.384201079490589	0.28597608368247	0.317420931368607	0.346770586942713	0.365489526338344	0.45464565773938	0.517403073155169	0.335894471942842	0.259279991436603	0.280221760474959	0.447237515761992
CD44	0.0227387862082931	0.102823441578899	0.311734885874141	0.0154136379164207	0.0724311089977101	0.257442292462403	0.174865322230048	-0.0908087406027757	0.231329048551684	0.57810397201249	0.559189647843296	0.288865598728027	0.606556363526742	0.24948398376444	1	0.447394869962271	0.36163427278513	0.459359133745112	0.648553404880694	0.326961850359909	0.533613040481664	-0.0967312430086569	0.424294180724117	-0.353925122880712	-0.440295161980268	-0.681025519962989	0.416678705147036	-0.29930913684463	0.398688529971235	0.874075938278224	0.663503538661628	0.309526438990857	0.113262282407757	0.43218421434578	0.700539104741543	0.689358545187328	0.655837635833768	0.800000782839596	0.386507369264863	0.687197433298991	0.477705793887813	0.309789215098484	0.556944489848532	-0.108653990375011	0.670073303347703	-0.239160074072176	0.293325334322858	0.682973791030974	0.324354489939707	0.379781784752268	0.715671541861522	0.823983471757356	0.826871856196213	-0.155506347854873	0.370242715886998	0.782471190904888	0.264314476737236	0.274707937962068	0.384521527691978	0.232366413303563	0.517857849857521	0.567860130488772	0.371343091722046	0.585485778349972	0.538850531181095	0.667570199807997
CD226	0.686278505868225	0.73560706310976	0.889695812455594	0.626065994021947	0.722458871786643	0.84179695807364	0.827120705708843	0.696914453845846	0.629848755357748	0.741260562662958	0.82321623455781	-0.187301142225123	0.0163317436725918	0.0479443117582523	0.447394869962271	1	0.537268066549081	-0.195890147952497	0.372036369236542	-0.107363599040388	-0.0065277051925739	0.347875262676541	0.0901781617722898	0.449389700105441	0.128689097959194	-0.131644380271305	0.572432455724123	0.55271592577579	0.321853817966437	0.363200325888167	0.128420047188594	0.062224595899135	-0.467013199100918	0.454417561699741	0.360501751912728	0.55990002094049	0.00632715744854312	0.354602722945614	0.564848333750442	0.0401426285977037	0.133934936052312	0.207664618760238	-0.238692871029664	0.246753109281165	0.155003462182327	-0.490772706710096	-0.309777769360348	-0.102079584744476	-0.283586333651123	-0.14378522152418	0.112784910721159	0.57053189492907	0.730225879905219	-0.0925087023288875	-0.432427071730647	0.275415899422005	-0.436495665937081	-0.369103935704964	-0.216438735834254	-0.256927452403827	0.047297726307572	0.313102116183699	-0.35741838070633	-0.165023970995472	-0.156170934364045	0.13705147769545
S1PR4	0.653296787035174	0.717791432062082	0.441406591417012	0.621361639204871	0.571722124143622	0.64990077226823	0.598070161193825	0.205825033069149	0.428493064692634	0.735165118938971	0.463005990599311	0.291075293779647	0.300739348230194	0.554102712281895	0.36163427278513	0.537268066549081	1	-0.00805327484660486	0.445450380394303	0.242121387057884	0.275676563267047	0.74576586954779	0.436621536050296	0.368462040738411	0.247385663606282	0.2604409991047	0.382792112233158	0.55578434112115	0.387578231320475	0.356907032218597	0.371532070514396	0.208271736664758	-0.120181588674755	0.226000683972903	0.30836091417944	0.578834526524307	0.182551692490359	0.473001867115348	0.463058348020429	0.244570267708846	0.396927929049318	0.419925090773459	-0.0558397295370428	0.523248825340998	0.375493959454477	-0.203533036418898	-0.0144546231839508	0.0401294601126762	-0.258054948139326	-0.0610193858482943	0.271503592490369	0.282578933157901	0.511182817877136	0.327739149839054	-0.139482953844858	0.306224367179202	-0.159207272737802	-0.15347272974641	0.075798407960002	0.127038660660345	0.0907950798971243	0.626181772151163	-0.134338046028668	-0.207582878088632	-0.12386950597584	0.265802273995286
SDC4	-0.604157020222435	-0.350053793550347	-0.421077861534571	-0.534365196478576	-0.676347512593318	-0.305579225995829	-0.258607502776517	-0.601596411153076	-0.60612705246937	-0.0236730050826494	-0.225017297311312	0.712266513115587	0.876289186555172	0.239219032573722	0.459359133745112	-0.195890147952497	-0.00805327484660486	1	0.37754618005957	0.885761185056189	0.509688298825441	-0.254430625253127	0.678777413528834	-0.735701260746528	-0.0509685557176933	-0.138314585825807	-0.317601705684692	-0.615868935868518	0.620748069306175	0.675600739925308	0.642911300221491	0.826735096799832	0.825660350655647	-0.455028681105778	0.135968885423873	0.470846787885056	0.812731429444259	0.689662703080478	0.492281516924032	0.798914226834936	0.528586322227099	0.601932032238918	0.929453488265752	0.0647393503696161	0.387571984322482	0.695556586829644	0.938152727272264	0.884745973797074	0.582184632063196	0.757938185650647	0.777178565152054	0.541102966579333	0.204535699192574	0.255204848022523	0.884892664899781	0.776960682924305	0.925643370822063	0.862568174977593	0.905647271728589	0.774862855882328	0.771695271496869	0.627914420075816	0.924948525712646	0.761373043540631	0.886746912109222	0.890411275161919
TNFRSF14	0.168682399759582	0.321431933357441	0.0624204412337063	0.312182188640374	0.190252002904439	0.0890193635697651	0.176792879084097	0.0605001778154932	0.323949479264682	0.642311245130752	0.408624663184609	0.67255153488008	0.601386720854572	0.708173085165289	0.648553404880694	0.372036369236542	0.445450380394303	0.37754618005957	1	0.482240200545643	0.686235157238029	0.307864789437504	0.806509920404982	0.106991073370198	0.174477782427584	-0.25611720123616	-0.113080204248896	0.0208992229522018	0.572054901040055	0.612389197649153	0.783739443088394	0.3778789908907	0.31890855582736	-0.0527313237551302	0.146077804299342	0.566853705791659	0.71081929955547	0.730745857859476	0.221231203679529	0.722292384861103	0.798114349767495	0.454607114794781	0.507618652713977	0.557508638258646	0.50168131707813	-0.015653443888991	0.324747730784639	0.535274229845585	0.188759897667272	0.458542408160496	0.746543334707027	0.716604945564207	0.491613095277535	0.507677826274906	0.342746374509716	0.616276800268484	0.318921112771999	0.356453051561892	0.468257654290918	0.205813604585345	0.613885982208147	0.666086139041946	0.402911680299285	0.502248408923076	0.491960859121361	0.65306151753708
SMAP1	-0.36274642206745	-0.0931140099402725	-0.414686717468058	-0.224001901846256	-0.461773647805311	-0.156838722295181	-0.0841808827577738	-0.4714656592471	-0.484169978421013	0.173369611976169	-0.191480252955415	0.844802696620382	0.850508182913298	0.498437050145449	0.326961850359909	-0.107363599040388	0.242121387057884	0.885761185056189	0.482240200545643	1	0.574934361378965	0.110602716807052	0.856265005139264	-0.414116573388072	0.308023327591724	0.169070877986556	-0.363223588638148	-0.273971843928432	0.777836377718882	0.535799955676537	0.726048131467248	0.936551333498915	0.882786222948848	-0.568772538482776	0.0076149995959746	0.564762165976433	0.7594609534984	0.693370741860192	0.514222903560594	0.736106675216478	0.700163300540886	0.678668167427402	0.801565772466482	0.402605539334851	0.328264719717592	0.732652584112589	0.916623100563687	0.754390947358001	0.518781152937552	0.759037180236626	0.7163762273896	0.456796681134977	0.0998236079133194	0.581813982983293	0.757249956496762	0.672238885830281	0.867965538852323	0.836188700325165	0.928911306992686	0.816878788277689	0.762801966444334	0.744651994967663	0.856211938161856	0.575267613197168	0.773826892355411	0.857434304021144
ITGB2	-0.107871831847416	0.0731135547435641	-0.315391564247909	0.100854367235472	-0.132355641328339	-0.170718540693051	-0.114911822736962	-0.406272018234815	-0.114474615336442	0.485749521734713	-0.0307773167956174	0.675542164730613	0.661997507799452	0.755483660711492	0.533613040481664	-0.0065277051925739	0.275676563267047	0.509688298825441	0.686235157238029	0.574934361378965	1	0.283972563011587	0.736799307180622	-0.174239499301246	0.106741403191129	-0.141069409613963	0.00309199790563931	-0.221352116223199	0.627949062969858	0.515097897469715	0.890286242882464	0.368868703710818	0.525347911716244	-0.0650103722384493	0.388327226149727	0.488983889222865	0.839464159862058	0.714417055094429	0.00582076108767253	0.824407674440142	0.899092781453926	0.35801963996691	0.639731722520873	0.352440416181924	0.70492750532559	0.1667993561207	0.495969322809627	0.615754989191232	0.547263374443253	0.73008640902036	0.804735656684291	0.471335459681722	0.233872940524666	0.498829151498535	0.505848073259271	0.599619217099437	0.516979491543261	0.592427638677035	0.512802846257613	0.517343399311	0.726382646139829	0.511747267850642	0.634659521031628	0.668819173628656	0.65854619309328	0.656202516561914
IL2RG	0.725583790797007	0.797950753306678	0.237107381006111	0.799686149384144	0.589504524037907	0.522319949265896	0.599293361215424	0.267768228207738	0.376009085591432	0.620496067587065	0.218153734221607	0.276570478070579	0.0420910179672145	0.717567438973561	-0.0967312430086569	0.347875262676541	0.74576586954779	-0.254430625253127	0.307864789437504	0.110602716807052	0.283972563011587	1	0.381515796774961	0.662983248163759	0.61602907406603	0.609997269406828	0.130322150087242	0.693597806844025	0.402209314779307	-0.0592710481923708	0.241961802797501	0.0715883407880553	-0.137109760509664	-0.034244913382472	-0.0242030720316231	0.371165238778928	0.0252735266535582	0.213957594203419	0.155592235664568	0.0483899891359272	0.447634248490835	0.288407134906867	-0.278615654399998	0.751679184310174	0.230359415406523	-0.0892718642416044	-0.14616885236575	-0.259374739856558	-0.332526478956199	-0.0493185003922221	0.0611025535147088	-0.00166461521177164	0.111317998616332	0.599983613782546	-0.336846802258033	-0.0177836599704848	-0.266268159975563	-0.198101594911584	-0.151488966371684	0.0953906597092053	0.00744495759945605	0.307724198600341	-0.24049715491895	-0.372755752148275	-0.293233720869875	0.00741184849030091
ITGA4	-0.070739994036833	0.18059463820229	-0.272012404271661	0.107511117732739	-0.136197431172016	-0.0601034917395215	0.0504061885755759	-0.236090902546199	-0.124380210831591	0.457623552398743	0.0217320756712443	0.91784888494188	0.805486951174833	0.781242057549083	0.424294180724117	0.0901781617722898	0.436621536050296	0.678777413528834	0.806509920404982	0.856265005139264	0.736799307180622	0.381515796774961	1	-0.103382536566507	0.415816974702834	0.142752456426277	-0.354407607976448	-0.0655189383411993	0.809629388952638	0.559223708962835	0.864949472606551	0.730110588082064	0.697771014579422	-0.455635475454834	0.0156010436418211	0.591406116167233	0.818002322153445	0.754726295870358	0.397509717618173	0.805621116481627	0.88973280036826	0.660031597661204	0.695097412802375	0.67029462358351	0.470418148098064	0.479495489345448	0.708780470491212	0.655321893858441	0.376907781947674	0.709573297963182	0.803397715174214	0.588581710409261	0.22705124080579	0.74564204077921	0.585345593603263	0.656500146994132	0.668603300154475	0.696603601551043	0.770393857282134	0.63152397501687	0.783026294678354	0.789252881348653	0.707884885911019	0.548220530618414	0.68195989919719	0.820858667204696
