""	CD3D	CXCR3	CD3G	CCR5	CD2	CD8A	CD8B	CD247	KLRB1	F2R	CXCR4	ITGAL	ITGA4	CD69	ADGRE5	CD44	LAG3	ITGB2	PILRB	SIRPG	CD47	TNFRSF14	ITGB1	TNFRSF1A	IGF2R	S1PR4	PTGER4	PTPRC	IFITM1	CD4	TSPAN5	SMAP1	RACK1	CD81	PTPRA	TSPAN14	CD9	CANX	CD74	NCL	SORL1	C1QBP	CD46	TNFRSF1B	APLP2	PTPRZ1	CD63
LAG3	0.790419947060131	0.850429864036876	0.743208564131358	0.755135327407243	0.696117819328026	0.774529200917333	0.80436435870573	0.79437490766767	0.211265146514672	0.705570494359149	0.758004757504502	0.676073748885698	0.5850922047156	0.767757546541837	0.5867497105448	0.73993425096793	1	0.426594261801546	0.617600894907379	0.561365751451805	0.458488652934984	0.616219620193813	0.488805656455645	0.306672577708683	0.334733577277694	0.5430498399044	0.518207442988972	0.753499429939964	0.524644654939742	0.127792697593772	0.747138526919602	0.250821065130196	0.389481792211027	0.192112532698285	-0.00136720638650719	0.509190473596737	-0.351126587205818	-0.245573692548689	0.191596021048329	0.118321291094375	0.242926085271924	0.0144971980997645	0.359647966435355	0.5192318088844	-0.363423325086727	-0.480730244460921	-0.368771668752118
ITGB2	0.738708193644041	0.523746403575745	0.761147784019788	0.321357570662174	0.781188634281497	0.415543877312695	0.411125889006833	0.70815531881751	0.819658922066629	0.361442778821615	0.808103230094538	0.588192738509459	0.528461274423024	0.778320634546801	0.773479806512114	0.782244174666489	0.426594261801546	1	0.345815046284411	0.493138898391446	0.77521448984021	0.855358238280851	0.72497809505479	0.47644527429894	0.572571783279237	0.847025831094687	0.690042724131138	0.521996456213909	0.703750978516474	0.806572440255388	0.432478533203545	0.615425851198608	0.809944742951093	0.3970820942157	-0.0438538592124626	0.660491488481923	-0.0271630422592533	0.165100392342373	0.783300789928307	0.405395798673528	0.723638125721779	0.286130641597996	0.683689690106606	0.785028144847081	0.208429824056409	-0.278284749225917	-0.00441376388618757
PILRB	0.562860763490288	0.610414097083748	0.489680416800745	0.44809148639019	0.440430130388201	0.404455056211814	0.378173811845177	0.516465186002221	0.190806802684723	0.388938043333096	0.549238853892155	0.477074179055615	0.35613730933567	0.589643884784914	0.388386724467474	0.619138088900713	0.617600894907379	0.345815046284411	1	0.134504644313454	0.513588890171564	0.44847374411888	0.521303402348925	0.394941739780897	0.342102862437232	0.35687956234343	0.287721928451911	0.45101380138067	0.338656346054453	0.116084849257923	0.586459441169528	0.437638939159221	0.44717073743902	0.364831967849952	0.297269430977787	0.397929046746578	-0.00785743609813423	0.1085006367663	0.234850437031159	0.281686541031856	0.235166769653564	0.179027163228641	0.269083501301969	0.314489132277451	-0.0281329271233274	-0.0778590902139274	-0.0178813692576222
SIRPG	0.646326185855282	0.510736604702569	0.657122095512645	0.384887049097617	0.619364223800665	0.854061857727163	0.794871848862916	0.701856612439359	0.349088905660732	0.736590196413317	0.726549190379701	0.663091554427282	0.480708004209138	0.646277950968661	0.737285799278761	0.594213007437826	0.561365751451805	0.493138898391446	0.134504644313454	1	0.401626679440113	0.604237482265485	0.442790913732009	0.297996657692884	0.194917860661969	0.676697666966864	0.56808465616921	0.554013222564926	0.560441025893138	0.288703344322387	0.513833634635294	0.194667647242206	0.415050510621069	0.245543806139808	-0.116281498744502	0.529623674805323	-0.202645987443354	-0.0982884026205056	0.268672826984108	0.106067456051571	0.19504127387962	0.166751487894698	0.563985080047164	0.495047946255812	-0.177237161851048	-0.365938762510435	-0.188931968993851
CD47	0.764927626432376	0.618212971910269	0.74585629030818	0.336494662610408	0.799764978330005	0.363598266189203	0.349514614377607	0.702450439142425	0.824677991251565	0.470222941307311	0.745901784000384	0.579149144053775	0.593618584180763	0.768529084788031	0.796220572285375	0.782916623307109	0.458488652934984	0.77521448984021	0.513588890171564	0.401626679440113	1	0.794905038516222	0.840692493265243	0.610691454544221	0.613224770021999	0.758720710538205	0.693438554903174	0.563079129023993	0.696600203356925	0.767680889169197	0.5429666740913	0.820616533906111	0.934069997577189	0.690754807456525	0.41571832351878	0.708486524425648	0.317961256210414	0.465831798754565	0.508421364337936	0.762176915160889	0.58351528541657	0.660145586150034	0.761738322869838	0.747197702128016	0.300063218815717	0.0431729186752949	0.347113058851046
TNFRSF14	0.878548422521597	0.702488623646761	0.88524469670312	0.552051352578227	0.879975266577677	0.562296871613842	0.639699601850876	0.820692155785728	0.794587636072275	0.494023709424123	0.843292856242914	0.746063486059065	0.735934477952867	0.913918373445478	0.842803854733481	0.81092001450219	0.616219620193813	0.855358238280851	0.44847374411888	0.604237482265485	0.794905038516222	1	0.808523608621642	0.463645137225229	0.630927250221622	0.879653265429794	0.820239273781628	0.75470015322165	0.725362376752968	0.654572840689056	0.592386916078225	0.673955467017374	0.78793917689987	0.405500867456468	0.051214286842779	0.789403528384646	-0.0811110376828272	0.0811746944384054	0.548153515322235	0.481057665292275	0.652050469647734	0.317793626181537	0.731815863930911	0.833746117250729	0.0325079743754348	-0.303540356185271	-0.0371626986184942
ITGB1	0.813511611986133	0.58085474408898	0.766260405816587	0.505739543299013	0.781374786275567	0.436164226638794	0.476722617148241	0.660396040102639	0.767249600583399	0.555630789551525	0.693764224484632	0.78807901451263	0.78847253027128	0.775673486887955	0.809344305928764	0.742582929004188	0.488805656455645	0.72497809505479	0.521303402348925	0.442790913732009	0.840692493265243	0.808523608621642	1	0.530709328606698	0.768774141931892	0.765395930671286	0.820533511031901	0.77432353072212	0.667562700976904	0.65284090785542	0.5042350109315	0.851512308965435	0.796215826665549	0.665310411899814	0.452116832863394	0.870696524074083	0.243699991379944	0.366633669984019	0.481012976793784	0.718411281488027	0.683035586390951	0.544237203824158	0.817729351216434	0.808967339005254	0.300959291483892	-0.0238419569698171	0.266139729755156
TNFRSF1A	0.346072740544318	0.391543861914869	0.270118252596381	0.111975264453145	0.294468952093525	0.166464262335391	0.201312207425518	0.325354001441072	0.348921412319596	0.398481761816938	0.470004639691506	0.241569405382482	0.1651073570058	0.432986080134959	0.336582287177123	0.449143478533566	0.306672577708683	0.47644527429894	0.394941739780897	0.297996657692884	0.610691454544221	0.463645137225229	0.530709328606698	1	0.117972263431043	0.522441606584928	0.223880921690786	0.26140166439579	0.519540522278033	0.26646569813028	0.295030271410733	0.513207599765336	0.64460755979063	0.748905926146881	0.426175812268307	0.353709406108886	0.400235622076326	0.461787427680564	0.594883573447228	0.502734294015471	0.434842020632982	0.613681407468956	0.379831614462203	0.270954392700219	0.538568778248438	0.275031556872146	0.46207600849116
IGF2R	0.665415849694332	0.358074051017393	0.721821220618459	0.504132989912985	0.702841758341046	0.322012584693868	0.423091401780271	0.536093239302092	0.655777495627939	0.313699922754595	0.428969996670034	0.677489000530644	0.83998115541675	0.575474463696396	0.665836827927433	0.48856593223781	0.334733577277694	0.572571783279237	0.342102862437232	0.194917860661969	0.613224770021999	0.630927250221622	0.768774141931892	0.117972263431043	1	0.461734216422967	0.849015915410826	0.722456917036663	0.3913640006311	0.561989965057465	0.470962107539902	0.701432731347169	0.512519175517719	0.348398922455925	0.388623566054238	0.771264257157482	0.172960721963114	0.293326909959549	0.151090251820072	0.64391247235377	0.623902666316213	0.350180391273608	0.710776509411325	0.80527429277857	0.176266881352952	-0.0363222464693236	0.155787559094223
S1PR4	0.832114344985042	0.640664205085303	0.794550278007916	0.40842193806711	0.836138654302054	0.538901754844522	0.57326781951456	0.789425419998739	0.784063041893555	0.552633406176648	0.872052101355711	0.692317889079556	0.586978290066735	0.855175904266064	0.82902076381739	0.826334614404402	0.5430498399044	0.847025831094687	0.35687956234343	0.676697666966864	0.758720710538205	0.879653265429794	0.765395930671286	0.522441606584928	0.461734216422967	1	0.71147855079165	0.615045350284742	0.886915782864858	0.677007032508787	0.511496977343288	0.610819070368618	0.813735336380003	0.423261237523187	-0.0391163692069943	0.7074985420475	-0.069105998854977	0.0850866576878287	0.600061317196225	0.397238446854429	0.523296429527333	0.32392342994275	0.702191591755958	0.766931670800481	0.0323917227713636	-0.315763880736395	-0.0413998508751089
PTGER4	0.853837589418875	0.555032385627225	0.880435464479588	0.592220451406061	0.886825785125565	0.587096173143786	0.664263096784504	0.746285344761997	0.761952233478708	0.519696158884548	0.664270887258394	0.836817556064799	0.948045639016268	0.76593204057821	0.880675911076949	0.668148388992584	0.518207442988972	0.690042724131138	0.287721928451911	0.56808465616921	0.693438554903174	0.820239273781628	0.820533511031901	0.223880921690786	0.849015915410826	0.71147855079165	1	0.850574605606498	0.610216066684289	0.64899652904946	0.554914274786018	0.678476975483345	0.626104684626636	0.348102841474913	0.208757832758344	0.906080916366886	0.00353143375140195	0.15305738394554	0.247710878992088	0.591828174513258	0.637848305249695	0.345678992008529	0.835659404275683	0.927382352088384	0.0375671744564441	-0.243044485528018	0.014205532187289
PTPRC	0.872970609545245	0.702601079479886	0.841783703202528	0.851265347377443	0.808664850732471	0.681714657935204	0.77354470605559	0.759801532178294	0.491899989808133	0.708720325412533	0.685614925288093	0.852682078717183	0.90398299586632	0.766742927495263	0.751155229363231	0.691017071463762	0.753499429939964	0.521996456213909	0.45101380138067	0.554013222564926	0.563079129023993	0.75470015322165	0.77432353072212	0.26140166439579	0.722456917036663	0.615045350284742	0.850574605606498	1	0.524772795357425	0.343338186614663	0.625414556525698	0.545021703018792	0.476265501853526	0.307185564653458	0.193325421213525	0.829168504044078	-0.163347659333686	-0.0725646418029686	0.20724730806841	0.429712079486927	0.561894089868535	0.209660739161685	0.636538143684539	0.777511891074494	-0.128971050074806	-0.368504741529229	-0.160557658552247
IFITM1	0.757952646861259	0.671265456733022	0.684686941669225	0.265411035700371	0.757408309480142	0.466916826339601	0.454299153075421	0.748146415299339	0.704473674320364	0.548809842016231	0.805399540912719	0.615751875012508	0.505309217900754	0.801606870235536	0.763048581629037	0.81026450963916	0.524644654939742	0.703750978516474	0.338656346054453	0.560441025893138	0.696600203356925	0.725362376752968	0.667562700976904	0.519540522278033	0.3913640006311	0.886915782864858	0.610216066684289	0.524772795357425	1	0.619158401001985	0.436390138347832	0.520187339314613	0.735905951575236	0.4078174962457	-0.0275326774827251	0.639315455459833	-0.0462066214100217	0.071611358754328	0.475215389955707	0.360901702230997	0.348159819916673	0.317546489475531	0.568891442978163	0.694302747898366	-0.0370372484786755	-0.269882497884421	-0.0236490473758804
CD4	0.579908551111021	0.300109260979858	0.617757383441491	0.0691937754241197	0.709854308371284	0.126687974179794	0.0789325984852663	0.520089914437775	0.935905751885692	0.17715959586144	0.571275733145568	0.451020812055226	0.483873732405053	0.568064101061584	0.728316961127139	0.609261432475148	0.127792697593772	0.806572440255388	0.116084849257923	0.288703344322387	0.767680889169197	0.654572840689056	0.65284090785542	0.26646569813028	0.561989965057465	0.677007032508787	0.64899652904946	0.343338186614663	0.619158401001985	1	0.172475591973594	0.631905616416181	0.772579716627453	0.34966224635267	0.05966212269589	0.586481435917253	0.129957096597028	0.303896814682848	0.560559997193967	0.539016365910321	0.57392346877623	0.376217559596481	0.688927880663852	0.747261135869049	0.214538095756501	-0.125869727421379	0.159927700543808
TSPAN5	0.717806316481377	0.674906814039607	0.746752279513348	0.621428644194333	0.70731358132518	0.707119789744767	0.739829538180947	0.798117665350485	0.252862535353175	0.65157842597166	0.685347630036048	0.583158569356438	0.54920531444178	0.693145094561363	0.604559051475887	0.652020472293083	0.747138526919602	0.432478533203545	0.586459441169528	0.513833634635294	0.5429666740913	0.592386916078225	0.5042350109315	0.295030271410733	0.470962107539902	0.511496977343288	0.554914274786018	0.625414556525698	0.436390138347832	0.172475591973594	1	0.450360171308094	0.510045209840949	0.396272485284443	0.25920175111478	0.482486674946711	-0.00417581912291493	0.130130726038589	0.070385039373687	0.418845212314572	0.195036562050949	0.323678669174984	0.495988567048519	0.58584411137248	-0.102187601023551	-0.167973480612185	-0.017398669061545
SMAP1	0.631999226859149	0.415581362831057	0.602571030493269	0.360744330563884	0.638757945733435	0.164343365691159	0.251231810906357	0.490146436341212	0.75285549530853	0.345255284182871	0.493505553912761	0.569042605938644	0.628461910250833	0.577244302117465	0.647414941770922	0.557057561395714	0.250821065130196	0.615425851198608	0.437638939159221	0.194667647242206	0.820616533906111	0.673955467017374	0.851512308965435	0.513207599765336	0.701432731347169	0.610819070368618	0.678476975483345	0.545021703018792	0.520187339314613	0.631905616416181	0.450360171308094	1	0.838021553264621	0.767112400859248	0.610524726786559	0.6916616883374	0.506608604664866	0.637892570750006	0.372206434068123	0.870952477364884	0.585160334745596	0.757530702811641	0.727408954030416	0.667635498609986	0.469137318900142	0.246320574343088	0.548780679654119
RACK1	0.732216421763264	0.592105348606882	0.707104211681172	0.242441597142818	0.76343281666181	0.329838607740759	0.312382203022189	0.694729045019971	0.843634479336395	0.419706919235116	0.772027038409104	0.520233997571759	0.492745746744097	0.759806866467662	0.766569071219918	0.797461383286959	0.389481792211027	0.809944742951093	0.44717073743902	0.415050510621069	0.934069997577189	0.78793917689987	0.796215826665549	0.64460755979063	0.512519175517719	0.813735336380003	0.626104684626636	0.476265501853526	0.735905951575236	0.772579716627453	0.510045209840949	0.838021553264621	1	0.710516244882242	0.318378744584292	0.606879790761635	0.284312527713845	0.450649558018803	0.619265435803821	0.714469241776501	0.519666389929244	0.675547714904167	0.686040818379655	0.702649344052284	0.290195170557306	-0.00109330517010341	0.344598883296633
CD81	0.379686225402495	0.317338351332546	0.314774619694063	0.141277231670287	0.347883964202854	0.172486855863667	0.171991586339179	0.325394862408118	0.404076768836817	0.459713811758194	0.380788744022082	0.33498918869404	0.304410957488865	0.370546683746476	0.435118952171801	0.42126010790421	0.192112532698285	0.3970820942157	0.364831967849952	0.245543806139808	0.690754807456525	0.405500867456468	0.665310411899814	0.748905926146881	0.348398922455925	0.423261237523187	0.348102841474913	0.307185564653458	0.4078174962457	0.34966224635267	0.396272485284443	0.767112400859248	0.710516244882242	1	0.760445492516745	0.445209807958766	0.70994859985177	0.741027336226287	0.395208224205201	0.813919404218806	0.344227969650224	0.884346187297377	0.540176619166015	0.366893072738214	0.647114415835121	0.466117392108056	0.761014842078134
PTPRA	0.096874840223736	0.0291439785266702	0.0666285621679629	0.119513467378171	0.0751558319370182	-0.0607502651473734	-0.0074735504896127	-0.00972639830605418	0.116065713585114	0.230957152384735	-0.0619738372950975	0.164655613177708	0.274011237308232	0.0172400713598252	0.133782980483482	0.0157320459796976	-0.00136720638650719	-0.0438538592124626	0.297269430977787	-0.116281498744502	0.41571832351878	0.051214286842779	0.452116832863394	0.426175812268307	0.388623566054238	-0.0391163692069943	0.208757832758344	0.193325421213525	-0.0275326774827251	0.05966212269589	0.25920175111478	0.610524726786559	0.318378744584292	0.760445492516745	1	0.286592658192536	0.76382126701508	0.811007832652034	-0.103877185415799	0.783812119806453	0.174675925599147	0.765813022186782	0.410671221456737	0.143016733274509	0.628442965421833	0.745487839665681	0.799269766646607
