""	CD3D	CD3G	IFITM1	CD8A	CD44	ITGA4	PTPRC	CD8B	CD2	PTGER4	CD69	CD247	CCR5	ITGB1	CXCR6	ITGB2	CXCR4	CXCR3	CD46	SIGIRR	ITGAL	S1PR4	KLRD1	TNFRSF1B	CD47	ADGRE5	CD6	HLA.DPB1	CD81	IL2RG	CD96	F2R	C1QBP	CD82	SIRPG	TSPAN5	PILRB	SPN	IGF2R	TRADD	PDCD2	PTPRJ	CLEC2D	JAML	TNFRSF14	RACK1	TSPAN14	JMJD6	ERAP1	KLRB1	CD74	ATP5F1B	RPSA	STX4	SMAP1	PTPRA	CANX	LAMP1	CD63	APLP2	NCL	PTPRZ1
CCR5	0.426714549563283	0.54674841940417	-0.0663193887682493	0.768946040404119	0.468696096312318	0.377579135067019	0.603427209025374	0.662353943169611	0.391726875972091	-0.0952905304311292	0.00583369310063861	0.391172941302958	1	0.561514802219094	0.568067918753805	0.153505955516896	0.0205047048101271	0.39172423290892	-0.0223576643849763	-0.0334212967759313	0.591756949750149	-0.0603591413236814	0.323970414010578	0.019689960297829	0.124092964263806	0.432603765366052	-0.0335964489983436	-0.236822780436074	-0.345338337734791	0.277110340133511	0.559550398416988	0.637030814928412	-0.475219087497833	-0.234584537447892	0.196007257351057	0.0307420917182079	0.528424315542798	0.202048949645461	0.375666643220595	-0.170574950049498	-0.0869469078489283	0.0779270785417364	0.0381311278603642	0.0724270482306262	-0.0229086690743648	-0.196560049884006	0.180640318421656	0.0273262375228644	0.474256036096257	-0.264217153867229	-0.247974610758371	-0.364266482535512	-0.193332040515223	-0.266150506084149	-0.113870950206096	-0.199520139859381	-0.413559396705372	-0.173452043795715	-0.635042390117407	-0.672723882137179	-0.282943021250604	-0.513692661157652
ITGB1	0.522827657876108	0.665564392918714	0.330285374512238	0.595724968851565	0.6660078337738	0.764466991995716	0.813168401030998	0.595614601051255	0.665751451661312	0.300055839186602	0.447019547171182	0.630921699215686	0.561514802219094	1	0.664752271132227	0.402238778703881	0.435343000544618	0.522952631563608	0.420985143089214	0.226688327628979	0.331323033085153	0.197218798456761	0.618117266202724	0.500638538729533	0.456904917475615	0.469839448814425	0.223379212085612	0.166878154307071	-0.0810557154785383	0.672303190571506	0.618459895480231	0.259560826900699	-0.172687299663672	0.322785452195899	0.687314540662421	0.38281372414296	0.0977469278835378	0.510452130230538	0.257111330960922	0.251745409974772	0.372337507465338	0.311160657606112	0.481482440804141	0.555476399768616	0.263665351700126	0.152231899015733	0.482406788613846	0.343649473769474	0.397784093975013	0.146157145514802	0.161752230814809	0.0332487550500902	0.190863417808627	-0.0514446103701288	0.314720706745187	0.205084255294001	-0.124285408630274	0.204728017668343	-0.30570517233305	-0.3408975936264	0.189780044731852	-0.363763536362015
CXCR6	0.884784637448225	0.941641986826553	0.52564721159837	0.724424579994967	0.894169742072002	0.523016861305375	0.841773435654404	0.793344692451095	0.821440274690977	0.451971816026617	0.669995424071133	0.917302217956542	0.568067918753805	0.664752271132227	1	0.623518247730699	0.688243907250004	0.720401120027442	0.321420157660283	0.504509926577278	0.656540925271555	0.518235986054778	0.568330107557982	0.600050716794297	0.367142488370375	0.800230036526953	0.531459502200421	0.199716120501783	0.135733295198068	0.823260597013532	0.790011167424472	0.159884536907444	-0.103142470606725	0.170581867761881	0.594395940480518	0.555084370232458	-0.175149827791684	0.708208818076379	0.100417704047569	0.51255272742374	0.580997738859574	0.225414852246617	0.563541745231466	0.540941301274186	0.472177624353815	0.431259031938442	0.496343965498194	0.582662299393897	0.382300500469503	0.362797444878006	0.189008900747547	0.177481381122601	0.421426781309104	0.0705633145086022	0.364153245969395	-0.156699490835512	-0.235766352239572	0.149048823419045	-0.412787111909192	-0.453673723821166	0.0464188512832412	-0.587678650462494
ITGB2	0.688213604308577	0.682032544085013	0.61241074659335	0.350211965021236	0.675731372399516	0.346076430240231	0.573289829449848	0.423875013022301	0.652087618421162	0.446948021960983	0.678813950573547	0.650171673260668	0.153505955516896	0.402238778703881	0.623518247730699	1	0.698878803566136	0.624926744448531	0.391271060267705	0.6399842343345	0.56955788003759	0.757678651626487	0.233865358651776	0.795010509518645	0.464105523875331	0.535201076442502	0.725138423670417	0.632741714972326	0.556982033184958	0.743394452702374	0.392793074888019	-0.0535349237868354	0.174597913361698	0.200284821860013	0.435981909713525	0.42244959855592	-0.17007256501763	0.701612406782204	0.123602603831483	0.665890783319349	0.639225817043939	0.205356121965925	0.485222348032679	0.68878826918435	0.730952436004704	0.681036459228088	0.485339523547096	0.586325268323536	0.398282151392133	0.590046530245942	0.651614081020233	0.439739459513735	0.660102691475576	0.28333146359824	0.205803042098312	-0.318053097744951	0.0300821377814017	0.137311560222446	-0.129769307188196	-0.0953766689474084	0.116398395059494	-0.486344229263411
CXCR4	0.802366792238994	0.762756278568932	0.794824146019393	0.251752119475723	0.782482587093037	0.4969083364507	0.735158623091811	0.381884335426839	0.884271411635677	0.898226582124703	0.964016564402907	0.856920501761838	0.0205047048101271	0.435343000544618	0.688243907250004	0.698878803566136	1	0.634780161964087	0.671373702678414	0.914419556628319	0.349004329726733	0.791439766507804	0.588771358430772	0.854346587536343	0.565520767972201	0.646574115053605	0.85608628051942	0.685186301186639	0.477622497070944	0.770038285976703	0.69931994402982	-0.184474833786502	0.368843013657454	0.409881228007562	0.680162385154588	0.74125233571588	-0.47923842194064	0.859360564444897	0.0749301661586325	0.923657566421915	0.665917513656751	0.486989542054123	0.881350864150641	0.733373045704689	0.858924102097793	0.836333435079	0.774728693044268	0.898203565263171	0.279679775242072	0.817230449387612	0.678341262925817	0.586599402234849	0.853714228256164	0.525793688348525	0.601604721374098	-0.0166139745896817	0.249035779717844	0.419399630673996	0.0295094398909769	0.129383438378331	0.537953291765418	-0.401242115036767
CXCR3	0.664927454926368	0.785670997599851	0.575260016475807	0.669784617042784	0.708652119953416	0.593068508724609	0.688484424640874	0.670064460006895	0.793254355758029	0.506399821689662	0.548104680921412	0.794369668460358	0.39172423290892	0.522952631563608	0.720401120027442	0.624926744448531	0.634780161964087	1	0.323749127494193	0.564349422573132	0.48350872932226	0.633766076419833	0.608129419989521	0.525019779443055	0.550835035067572	0.600796796924221	0.619859512957522	0.274301633344906	0.134424563801314	0.76980243346745	0.527953295885085	0.312357911165822	0.0641110943794282	0.466307911940948	0.66772522022265	0.692251601538903	-0.13785648655441	0.659516767549948	-0.107743962265153	0.493965154831637	0.361367647423874	0.0954247814834245	0.655670447292277	0.728724852052225	0.488228938527181	0.404183380874199	0.523875810369105	0.512659145327753	0.378188842334724	0.305188176856838	0.274920703451046	0.334686108322132	0.440499735781768	0.310768988453963	0.366759964960325	-0.00100725070800415	-0.103857893556016	0.173044275728306	-0.268610027932055	-0.334862855517605	0.238928307963233	-0.504238029127579
CD46	0.382398431247497	0.404591730403302	0.403254404675521	-0.127599599553355	0.407784461718789	0.418969011775644	0.495606944359336	-0.0731351101935259	0.581855774591966	0.737502354358378	0.669560335012167	0.520501866391398	-0.0223576643849763	0.420985143089214	0.321420157660283	0.391271060267705	0.671373702678414	0.323749127494193	1	0.66957232906597	0.126292882552556	0.486318705414207	0.42320279801599	0.545075153785858	0.704598341934946	0.241340713564669	0.533681311521867	0.639811220802872	0.275245922970594	0.408223875231536	0.481729908068708	-0.0728383071983882	0.35434564682895	0.517674866415501	0.418439537957992	0.371384207750509	-0.145492794670081	0.667658208667723	0.415590517257907	0.62750097424702	0.298196916370396	0.462592785026435	0.706706697577278	0.445553078641003	0.584752326620422	0.584044304554471	0.82877405263308	0.69843993512719	0.37005120274223	0.683830221954996	0.641408096822278	0.444361402358853	0.628109240502169	0.277301328305673	0.631658602688424	0.330917914628442	0.507209592930795	0.572567570540627	0.196328901332513	0.296470989920876	0.655855369012579	0.0577079408601731
SIGIRR	0.685110499267842	0.640619945904664	0.693385255330424	0.106718232943787	0.629425420542634	0.308700563542563	0.566725717873893	0.215646802216497	0.779594075677379	0.868208440554407	0.903650026892137	0.709916506902371	-0.0334212967759313	0.226688327628979	0.504509926577278	0.6399842343345	0.914419556628319	0.564349422573132	0.66957232906597	1	0.306397532826562	0.827247458516115	0.409877218913453	0.778980977822655	0.547671158903155	0.481620603249416	0.877096882720901	0.772788417244582	0.530738070512454	0.592931006442739	0.592072925151521	-0.151453443176908	0.481172639078007	0.337520695122088	0.474632193888001	0.588759106709558	-0.432114397340188	0.753718450978629	0.18909199188585	0.869134116692308	0.543383150666344	0.42918009821065	0.792433448949736	0.665755722227996	0.898310622788377	0.871519177616322	0.760301285198946	0.871387053389867	0.326556654054267	0.841122741578912	0.764973736592518	0.64768418448903	0.89742613504001	0.562003417633947	0.547341045250687	-0.0913249379368997	0.365640082895556	0.36578254738114	0.0960162718550069	0.223201998794602	0.562454552415252	-0.344435845359389
ITGAL	0.738247659739261	0.685612540944684	0.434474380269	0.644764422059714	0.681309445442879	0.320797547609905	0.553298822434136	0.678875515468095	0.517221125422811	0.0762091924796065	0.359762995380272	0.56917824966626	0.591756949750149	0.331323033085153	0.656540925271555	0.56955788003759	0.349004329726733	0.48350872932226	0.126292882552556	0.306397532826562	1	0.304327926083706	0.0600959964526728	0.447271768409844	0.24336767668829	0.602222526696702	0.295211041241177	0.12279405396306	0.149040185710092	0.540141076425134	0.523025498641623	0.46798662022499	-0.176160127957594	-0.16951462466095	0.261196554279781	0.203254206666384	0.242622899697037	0.528204563955489	0.232238966369461	0.188749619024988	0.262164530966241	0.213159726678934	0.144137836541099	0.320039412812907	0.342697423261826	0.266259956132249	0.287722514773681	0.321854339755579	0.527412492890643	0.134677312705757	0.120490625992987	-0.0783416685572328	0.23486509391105	-0.0441370631622262	0.165377438925947	-0.38203832682574	-0.349012929592433	-0.163375288654518	-0.399159156535979	-0.51851629491227	-0.272131589362017	-0.537812644661639
S1PR4	0.571524880409222	0.608822595563611	0.703827126608811	0.121072079906784	0.568270561096874	0.275886702327666	0.431949734461336	0.200178997560784	0.677039743955948	0.674287825402461	0.780940370783038	0.631165223266209	-0.0603591413236814	0.197218798456761	0.518235986054778	0.757678651626487	0.791439766507804	0.633766076419833	0.486318705414207	0.827247458516115	0.304327926083706	1	0.30096848839758	0.773857217589149	0.602683791945097	0.409020625753081	0.883230495929046	0.738567847657092	0.590976297867226	0.675255005315356	0.352674847831896	-0.111254809573712	0.474739048763836	0.411674675472572	0.446017682340932	0.519139459170157	-0.484589897299781	0.598658129338316	-0.00114484453017327	0.864821338417685	0.624727876295012	0.210969312745335	0.68239763207781	0.76083645055716	0.832619171380568	0.866612374179042	0.508577078266573	0.69085274284741	0.366509722673949	0.811807888670495	0.762034281413517	0.743783490789673	0.863298758318707	0.517020898730582	0.451700752720061	-0.203730894401904	0.21331940998458	0.161287841835239	0.0943773603413826	0.134115223193011	0.376311631716954	-0.352574746248705
KLRD1	0.466809446425793	0.533444798829835	0.413516158018967	0.473302147182943	0.540139350364986	0.752490497071558	0.757333195644985	0.465968731912792	0.737875376191521	0.692741269441871	0.445557302423707	0.670044342262371	0.323970414010578	0.618117266202724	0.568330107557982	0.233865358651776	0.588771358430772	0.608129419989521	0.42320279801599	0.409877218913453	0.0600959964526728	0.30096848839758	1	0.33154708080661	0.38494184047291	0.532808852637055	0.466566559671891	0.0750436828552074	-0.11361451531706	0.579027575959379	0.678950805610653	0.0543435489786763	-0.0915626175167313	0.450451009658425	0.768435156748742	0.761930750834947	-0.145946152418266	0.55675708672173	-0.0157780584439276	0.433905171496875	0.189849401161631	0.464115888604172	0.780648801875756	0.469364503366778	0.348186077778824	0.160110548164532	0.541017559390674	0.525072856470544	0.00482579868335339	0.185677441246072	0.0741374922084847	0.0999878604906053	0.214729741509647	0.469789657222602	0.333881248955365	0.282637702484179	-0.0179885651541009	0.344590612440892	-0.179017280678403	-0.0803029329021721	0.440266849736311	-0.332707881545057
TNFRSF1B	0.746000905113857	0.715201281799077	0.818095956291875	0.259435047440865	0.770836700374001	0.484580706136541	0.650505986423941	0.388196292146114	0.771659075241865	0.630972315583084	0.893947355949767	0.712193006332695	0.019689960297829	0.500638538729533	0.600050716794297	0.795010509518645	0.854346587536343	0.525019779443055	0.545075153785858	0.778980977822655	0.447271768409844	0.773857217589149	0.33154708080661	1	0.533820592797278	0.553139984461537	0.751098675366368	0.737563161276386	0.563375715026462	0.786146737462219	0.521065162437893	-0.0972675202989783	0.313440653284957	0.318890248509987	0.60531140902629	0.541523688827502	-0.365510888379227	0.716498141374635	0.124935408772755	0.818099176913585	0.723419491428952	0.4662231015674	0.659834329329981	0.824593369632036	0.844830212286983	0.823168086931613	0.59415352889347	0.715542172668827	0.408462500881071	0.775543817512595	0.751667938839593	0.537507214200517	0.823360387579331	0.385645699726935	0.511437742942739	-0.137033085758212	0.147581933379193	0.21011404862002	0.0038286885316449	0.074649839471394	0.307820799502588	-0.412682744531305
CD47	0.345948006031735	0.46650261129674	0.587813483926285	0.122337803090749	0.472179118009174	0.590513348100629	0.479860891858858	0.12007497442529	0.590942441582169	0.555645948735077	0.538956653350525	0.505552581039132	0.124092964263806	0.456904917475615	0.367142488370375	0.464105523875331	0.565520767972201	0.550835035067572	0.704598341934946	0.547671158903155	0.24336767668829	0.602683791945097	0.38494184047291	0.533820592797278	1	0.242068895048051	0.493063610867478	0.572839953192657	0.222615648296455	0.498913417318738	0.329635703052536	0.295528816134694	0.343219485672918	0.553972752629992	0.537621426736851	0.450200523935824	-0.0578089680245595	0.523317420255517	0.132581118722836	0.583044278374441	0.257668553255154	0.236408741899627	0.695190734353827	0.673740836350442	0.571498793277893	0.550909355520091	0.709546697565517	0.480417829828891	0.552248074791596	0.548388731030467	0.59867603182086	0.492550271843721	0.578400095137582	0.299504487265782	0.598215185003887	0.303940226155403	0.374759262695287	0.368053262997782	0.168499809548303	0.10363711425851	0.503900958528366	-0.0938396729933877
ADGRE5	0.840968177661587	0.795890785872474	0.552247825941145	0.629446869708748	0.856732233950907	0.469433301319347	0.753339985741712	0.72388139043646	0.721973645507044	0.456618238174352	0.577740253369715	0.819343330606325	0.432603765366052	0.469839448814425	0.800230036526953	0.535201076442502	0.646574115053605	0.600796796924221	0.241340713564669	0.481620603249416	0.602222526696702	0.409020625753081	0.532808852637055	0.553139984461537	0.242068895048051	1	0.496105522925262	0.126923474881636	0.16093184369811	0.73164524362752	0.777554888327881	0.116901994873664	-0.160916746498286	0.0774528051735119	0.510541857867118	0.62408760170014	-0.136546903191737	0.693385705875145	0.00410643534066633	0.461271346222342	0.494789581649395	0.417866124874406	0.541796782168538	0.416200380081717	0.432044972451038	0.346750474935954	0.408553922187798	0.566059118939505	0.171711531649342	0.284378409251976	0.0900809157016437	0.021129549641835	0.354191983025964	0.245060695930503	0.315716815518062	-0.148653847761756	-0.233148699334844	0.0786354571935571	-0.334137515612651	-0.322651094031699	0.0237037018070968	-0.528474621206553
CD6	0.672196786884189	0.642003847587995	0.67463680417068	0.182407327273881	0.608199426865656	0.382363581095649	0.557845485461647	0.264960501199282	0.762875382149104	0.795086017613764	0.804110238600591	0.676595319412419	-0.0335964489983436	0.223379212085612	0.531459502200421	0.725138423670417	0.85608628051942	0.619859512957522	0.533681311521867	0.877096882720901	0.295211041241177	0.883230495929046	0.466566559671891	0.751098675366368	0.493063610867478	0.496105522925262	1	0.675141074867284	0.492317320584607	0.727697509924516	0.517752578443611	-0.204103260852984	0.350906156925653	0.36506134270988	0.529954799417302	0.601502474706305	-0.434939847880449	0.752086404204306	0.116969961636736	0.830987312123874	0.512834642201674	0.443228442272149	0.734732530918856	0.721313977908126	0.895435460656453	0.794275855700267	0.559054325483571	0.713303877488095	0.204898790728176	0.757466452841288	0.690471767693692	0.574652175685728	0.807076595314665	0.667011594892183	0.415499342452782	-0.230084394760055	0.149305722125762	0.169990308656571	-0.0151229501804821	0.125272025927494	0.426640322003489	-0.447310419719122
HLA-DPB1	0.360067935759261	0.360686597176655	0.557850380239153	-0.227083406024833	0.376375536246581	0.164176071150495	0.2959106548195	-0.138149671313208	0.466739319785921	0.607861582232324	0.725069302872704	0.366607712154404	-0.236822780436074	0.166878154307071	0.199716120501783	0.632741714972326	0.685186301186639	0.274301633344906	0.639811220802872	0.772788417244582	0.12279405396306	0.738567847657092	0.0750436828552074	0.737563161276386	0.572839953192657	0.126923474881636	0.675141074867284	1	0.677036697844694	0.384220543273496	0.224993400022801	-0.206406005970002	0.671200319751731	0.201186868769081	0.234066295196777	0.225737834733431	-0.381062095321302	0.517672429027092	0.191500631657023	0.783335975675634	0.610353613696135	0.201560829540312	0.544348296777523	0.632102525477408	0.816870887620918	0.896561263158974	0.656773117840661	0.671818922917845	0.434236194066434	0.859066580343611	0.989553654716725	0.769686036858417	0.91184149598904	0.304128795962132	0.443346657998462	-0.0527073448420639	0.550075063008613	0.28122185350827	0.329695598539731	0.374440900811007	0.530746806575516	-0.163613349107132
