""	LILRB1	FPR1	SIGLEC10	APLP2	C5AR1	P2RY12	ADCY7	CANX	LILRA4	HAVCR2	TLR2	RXRA	CXCR4	TREM2	AXL	TMIGD3	CD4	ADORA3	GPNMB	LRP1	TLR7	LPP	SORL1	CD9	TLR4	TSPAN14	ENG	PILRA	ITGAM	LAIR1	ITGAV	SIRPA	IL6R	CD81	ITGB1	KCNQ3	CD33	ADRB2	TLR1	INSR	PLXDC2	PTPRA	CD47	SORT1	C3AR1	ITGB2	ITGAX	TNFRSF1B	ABCA1	PLAUR	C1QBP	TNFRSF1A	SMAP1	CD46
LRP1	0.511946728546679	0.803543026842818	0.536589011491234	0.882750224330457	0.762468820710777	0.394429302300209	0.744906883318716	0.582986674024882	0.63052672227846	0.816153710810645	0.529987601494161	0.769679788347826	0.856449026366427	0.58917313646179	0.85602263042443	0.8827591235986	0.850421507432877	0.867341470149319	0.697770705929284	1	0.774368239769589	0.68961011430828	0.723770227014465	0.768873282187063	0.866051641997264	0.711430236709079	0.666120266022799	0.738770493500703	0.823909075035336	0.819685364393527	0.829123320762927	0.171695939167037	0.744286027445393	0.863691046558763	0.730178266310699	0.448498726320985	0.554408185932733	0.591151788212646	0.105684055431018	0.622260798475391	0.768445423654809	0.601463781028762	0.67292301634282	0.535850250681298	0.49611277158932	0.719304360396521	0.901506889906226	0.92629643880471	0.877672233037205	0.824443914375033	0.544120727692363	0.603089218653615	0.787421674651119	0.144307500718083
TLR7	0.592050669406633	0.741027872655881	0.636031146470324	0.846543341088185	0.517774065025552	0.570355559936207	0.840918987916977	0.657765862466034	0.656922907784036	0.859131712166052	0.586474202430675	0.770342807153283	0.630457937758839	0.609272513365619	0.833252115186068	0.716395118534043	0.758747127064379	0.895928718592271	0.698362940450127	0.774368239769589	1	0.737012775711284	0.75239119238314	0.69011907125565	0.689899966622674	0.813052487039215	0.788578225244131	0.754469983829438	0.652877039823386	0.822655798836774	0.612805271964473	0.373737712843812	0.847690433151377	0.795255632581309	0.886019814947715	0.528561504723918	0.582884003416629	0.499781230762035	0.253776391993698	0.681202929018863	0.778674189288845	0.776256932446242	0.726195634894893	0.673804951024636	0.624262407204771	0.828421811038965	0.671959312739209	0.751003844612682	0.567431108836121	0.612633001350325	0.563570348405735	0.691975054450543	0.783769984684806	0.357903547549768
LPP	0.746851146251591	0.513960844207282	0.752075543309607	0.842153670918459	0.525402600586316	0.460437077955578	0.886597239748747	0.651527516844447	0.666596871836238	0.87554357188626	0.725452898948476	0.778839981090223	0.556974985349267	0.527418317362778	0.820624242954495	0.727450812882939	0.709556826141065	0.701610539221426	0.607831896340349	0.68961011430828	0.737012775711284	1	0.812559867261985	0.539062176927033	0.691773270281859	0.828332465576985	0.775203286807969	0.808511431473702	0.541483544472907	0.831673964017987	0.555278005014396	0.489041886439808	0.754242613123902	0.774147371465217	0.896816970846279	0.535886202001475	0.58601235450639	0.64585020805258	0.377492039429339	0.645571110262253	0.895414402716924	0.590154329250786	0.759387206742921	0.795853867297535	0.653809097216872	0.690292712828619	0.695653133332042	0.679072156778437	0.655547996094287	0.472811049137647	0.629801564038105	0.61889590676651	0.649112827600132	0.513184264082942
SORL1	0.853079631539103	0.483794404223604	0.716856000106484	0.890798046195709	0.342000600569242	0.719855970294862	0.780815903908937	0.90894850484368	0.884826206089424	0.867028270378615	0.829946073964785	0.724508413382401	0.474276465572845	0.830823086762372	0.902127184950339	0.741988521297942	0.917639052600873	0.763308468608749	0.863866475520143	0.723770227014465	0.75239119238314	0.812559867261985	1	0.697584717402567	0.620757931774699	0.810288141473223	0.803653585219012	0.852108813211387	0.671020705808105	0.877778420154426	0.517500676649688	0.721956775835131	0.847625361105032	0.93055428896654	0.853652166487919	0.758200418318106	0.747376220744229	0.549994627730193	0.507616153169861	0.706646594251916	0.931303937820139	0.682916876854032	0.67990065704508	0.85348711505849	0.709993633712033	0.917437591353478	0.604112508890127	0.77446462982379	0.617896135914955	0.385847538892452	0.787931936254496	0.718729901432691	0.566353890057561	0.624907391452424
CD9	0.418755239022031	0.453094750537866	0.483455595897715	0.718932889701012	0.333178828504694	0.620131067225531	0.620124324371175	0.685110765981291	0.751828510261198	0.660358228682762	0.558675659623993	0.623149845562031	0.460496806521979	0.854246167455817	0.661310798651841	0.758616571739215	0.771718804811261	0.733295573689604	0.769269443824592	0.768873282187063	0.69011907125565	0.539062176927033	0.697584717402567	1	0.543911376729107	0.579330766337782	0.735782181155963	0.715262393671431	0.716780531835731	0.645235887023577	0.500628983368577	0.286178187613655	0.63538482944115	0.832733372937222	0.624509787149261	0.50356667011785	0.52222628639936	0.320846420450782	0.297919320310907	0.291200464362323	0.713669681369362	0.432916464629549	0.318598429372954	0.551258612525583	0.356895917263135	0.821064750345723	0.620125680925004	0.693921252674502	0.535283270052035	0.488961382385113	0.777921510966223	0.624299268832523	0.698424573256843	0.316664963723074
TLR4	0.387822180940026	0.862397973481933	0.574735131046595	0.809109888403134	0.856748854756553	0.157858842701496	0.763699239384724	0.419791304620638	0.485141953124606	0.800838684931516	0.499421387183471	0.742901589309892	0.896687167785907	0.371348006520599	0.77933252807221	0.775545607079279	0.758801387847113	0.816459278760425	0.559484463248047	0.866051641997264	0.689899966622674	0.691773270281859	0.620757931774699	0.543911376729107	1	0.755022535444924	0.512413105513644	0.714561215492108	0.685559996191137	0.718658508708448	0.772854241144061	0.0774375597703487	0.696623253790052	0.729426907001451	0.711010149797608	0.413821040794167	0.429697569226487	0.731482054761328	-0.0306887778682722	0.621421069064837	0.76781635942011	0.51290863474602	0.737394299319606	0.594961707477508	0.492863874704463	0.530704254306325	0.909005761595152	0.880219652124697	0.843006392858874	0.805095203193053	0.312940585802439	0.577106860397076	0.808251173438588	0.00719161087856082
TSPAN14	0.702655316669939	0.608155642503222	0.820883809355395	0.855751063564143	0.496780572846566	0.607087403720183	0.833548592603338	0.720991197721037	0.647185705036198	0.828254555602164	0.705403832897208	0.661138688976676	0.57127440695034	0.583005187987233	0.874912679288306	0.662048845676061	0.79514010924093	0.851317145458233	0.769025452622917	0.711430236709079	0.813052487039215	0.828332465576985	0.810288141473223	0.579330766337782	0.755022535444924	1	0.666759443556513	0.726049907795914	0.660734862146615	0.859663452693255	0.686909856941412	0.513382408388904	0.87080788407374	0.76777739362326	0.876502394221965	0.681761343086575	0.727457792236004	0.786709666380978	0.44094405033793	0.792434118915394	0.869954497354041	0.808430299250329	0.769607276851608	0.851788788414373	0.852424204461003	0.735712535015749	0.731699882418229	0.78502836003575	0.57716733777339	0.579525423422689	0.516829381233632	0.589190680500158	0.752508665598957	0.558546664866276
ENG	0.638369369963572	0.474347625014338	0.523915510380133	0.762710397493014	0.348556828870637	0.52707037500402	0.756437432818504	0.774270971583426	0.734942985975976	0.813348081936789	0.735517824630358	0.815936132200535	0.487562966889553	0.715277222287489	0.728785632511378	0.624673589974589	0.73074792640177	0.752013487164558	0.770888601439088	0.666120266022799	0.788578225244131	0.775203286807969	0.803653585219012	0.735782181155963	0.512413105513644	0.666759443556513	1	0.713014329473199	0.632202167776233	0.70221028411251	0.445758313258821	0.458347211931333	0.807271152664144	0.835201745119147	0.763720223390433	0.488945530936928	0.563175365245519	0.330067497423595	0.319559880699656	0.481773907795513	0.798871488335304	0.549737748908395	0.515108193640446	0.697613891509553	0.420804780347451	0.856186933562402	0.606899887624883	0.650340198420834	0.586366404791028	0.418634952427449	0.731751654830553	0.593355917206626	0.633689362303906	0.500380501280371
PILRA	0.646961706096787	0.603250324697881	0.735043244086981	0.839657237445781	0.466548017672571	0.554084837029642	0.851551966170958	0.686900174276096	0.830281238134833	0.882802449244137	0.652305190372096	0.721529276942225	0.553271846046202	0.727538798688696	0.812882360865478	0.852047411736066	0.833007897330441	0.752064342226033	0.677045171570508	0.738770493500703	0.754469983829438	0.808511431473702	0.852108813211387	0.715262393671431	0.714561215492108	0.726049907795914	0.713014329473199	1	0.611921266548691	0.781218195656148	0.422831455215401	0.493895878078916	0.715378968374741	0.888672492002014	0.852506218614893	0.675578816506782	0.504308241720292	0.490530664593248	0.271259393567683	0.546137423889606	0.903358487668245	0.533702460624444	0.655176979439895	0.816123845861983	0.524970627065108	0.797798189029998	0.632662283640479	0.726839968631777	0.618774255896669	0.399105617560022	0.717363766568878	0.845317272227428	0.67318767216516	0.324726312676952
ITGAM	0.44402039420369	0.635716324884208	0.524280678554533	0.761341559069506	0.629646102385485	0.46058024369	0.56846974314948	0.674282545345721	0.555888807230969	0.645075141093866	0.560123490138341	0.723757486032287	0.693195732914416	0.606099124196149	0.782732711126692	0.74623662350859	0.794648603872845	0.791971625997859	0.725575371162031	0.823909075035336	0.652877039823386	0.541483544472907	0.671020705808105	0.716780531835731	0.685559996191137	0.660734862146615	0.632202167776233	0.611921266548691	1	0.704805371552112	0.672497160247153	0.19901875954221	0.725160865782069	0.821299558216908	0.544970611969013	0.558493126636384	0.659348930791484	0.460038510711669	0.152078661155237	0.590421563327927	0.668793947425669	0.562857314495674	0.403821425529751	0.5788218731694	0.457414456848221	0.716439292066309	0.754584495332377	0.760570309560122	0.728196309472939	0.662687805310204	0.482018180611398	0.382197878393466	0.576026844106467	0.182866993911848
