""	GPR171	CD2	CXCR4	CLEC2D	NCL	PTGER2	CD44	ITGB1	RPSA	CD96	LAG3	TNFRSF14	CD69	ADRB2	DIP2A	SLC16A7	CD47	FAS	PTPRA	CD46	PDCD1	CD3G	CD3D	SORL1	ITGA4	ITGA1	CCR5	PTPRC	ERAP1	S1PR4	PILRB	IL2RG	JAML	TIGIT	SELL	DPP4	LRP10	PTPRJ	TRADD	F2R	CXCR3	ACTR2	HLA.DPB1	CD226	CD8B	CD8A	CD247	KLRD1	SPN	TNFRSF25	CD81	CD74	VSIR	RACK1	LAMP1	JMJD6	IFITM1	STX4	ADCY7	ITGAL	CD63	SMAP1	PTGER4	MCFD2	TSPAN5	TSPAN14	ADGRE5	CD6	KLRB1	ATP5F1B	TFRC	CD82	CXCR6	TNFRSF1B	RIPK1	CANX	LPP	CD4	C1QBP
LAG3	0.69866787269118	0.775493710455422	0.775791984681036	0.712136373749319	0.707882678715265	0.735833450539052	0.774546972583218	0.497815796637441	0.678653198721633	0.741842510451841	1	0.609868013689562	0.751395930000919	0.472677508513337	0.470054840678724	0.5299820599281	0.617555721431789	0.586249363765783	0.627853508143147	0.441106270051233	0.441238692194106	0.832368315137623	0.758301246259802	0.141443127303457	0.66095086483729	0.5004673856369	0.185962527041665	0.771167656445664	0.324097532729538	0.762657560439658	0.263222993811391	0.751428770713755	0.739929183194505	0.150595890593803	0.61697897945154	0.632737057016273	0.422041342695389	0.115209377858587	0.687839307434688	0.399395992063167	0.562641025158084	0.483404196554045	0.353696409320798	0.667740300324931	0.804230588909094	0.755985973850012	0.855883600132799	0.804911368413694	0.59937058323417	0.613397221397301	0.355619249515755	0.0153144834150184	0.173345351285306	0.66412367574448	0.314349399114356	0.622013169939933	0.806435412495893	0.341101702157758	0.159759620513478	0.51583855927397	0.450514582104553	0.68309579129069	0.64396856221362	0.434890395333259	0.598281719828776	0.493437795639939	0.519983460339727	0.676285278630033	0.578885696362585	0.618914178507608	0.41068740771994	0.591407174783545	0.521524299229791	0.470735495574434	0.460607212869155	0.337882403013596	0.294654530017188	0.219700938272108	0.654628882409359
TNFRSF14	0.638312843290321	0.827040532809235	0.839006965409944	0.789979726342285	0.717647777372017	0.74307054015116	0.812659629397478	0.722217025400993	0.656086462559323	0.745774708253984	0.609868013689562	1	0.705021930512727	0.387351183171061	0.643052778739218	0.736266989699279	0.689846246394357	0.845245180627984	0.649486534828655	0.713503346087353	0.578655216025646	0.794492804041062	0.796898663064791	0.29197401091559	0.813086756627808	0.430847610614501	0.238912946295253	0.89010344540606	0.4212358595176	0.811523519798068	0.664916673918126	0.777284942292878	0.837882075454887	0.410285436816871	0.690108850005961	0.577444226028517	0.448603725381044	0.533904005285055	0.687335324346333	0.562350899351584	0.52027234652829	0.635078242458751	0.483323496954071	0.650043652458655	0.731325233592123	0.744896330483593	0.581929561128115	0.760187025349702	0.743478664703716	0.761108886860411	0.366392105392502	0.183310353448721	0.372169806618675	0.669504423959201	0.503148293852648	0.732636544388942	0.668435508032568	0.383906733391881	0.386308852742727	0.628629005446419	0.386309571558846	0.79109127359543	0.736038531244719	0.528773124229852	0.648387193133368	0.624692727255059	0.578805123396132	0.582823503737591	0.513160269734043	0.526431797281584	0.445096464140299	0.699416257580671	0.469448191437813	0.681608106788063	0.44570061624606	0.454341405532048	0.395706263310082	0.448523340985818	0.51738455111498
CD69	0.844070233273854	0.736500395283183	0.891832513418701	0.623898320781173	0.683585458588313	0.923109445967021	0.779159582048102	0.579836699969595	0.882958108907168	0.748105986965355	0.751395930000919	0.705021930512727	1	0.346592499116031	0.401596380839361	0.544334181831737	0.803967785589909	0.74753166787346	0.589913007949006	0.543694230995026	0.385568874463878	0.818028511971198	0.934370008526627	0.255063645438975	0.60959237521109	0.487390345990148	-0.0214282363380484	0.813175060664448	0.671135881147164	0.912872288101033	0.36626979316587	0.944179051005385	0.731497315931242	-0.0106057940388564	0.872740364550829	0.858668079537415	0.347367515186919	0.145964825126795	0.892525189566826	0.126975373267854	0.560989266432494	0.570885987176529	0.450230866687522	0.912423320067753	0.571122952492946	0.601544787889149	0.769130139941615	0.643208707566247	0.704848731138715	0.8668951923267	0.413050025107035	0.114170996915093	0.348896501295832	0.867316406896559	0.379791334500242	0.595153312324141	0.922407738997653	0.462759337031584	0.289586944026625	0.399064915929418	0.488739057479168	0.787313212235989	0.637610444476261	0.346753425470686	0.410995659458057	0.521325987316135	0.515994216605869	0.77732159035591	0.796772339022354	0.641249068441407	0.266272983996198	0.561263597464172	0.445962629086029	0.484384286806693	0.265656571019562	0.326944357973435	0.212894403702838	0.466430689695152	0.669652098750686
ADRB2	0.2889961378319	0.613769351121186	0.437909905370796	0.580327739119424	0.243458811278651	0.285026819608186	0.316380683685123	0.374484528326255	0.214403469875045	0.665956269452323	0.472677508513337	0.387351183171061	0.346592499116031	1	0.546984164565349	0.553264770452376	0.51416216244714	0.427681998805808	0.401526561933232	0.212181249322459	0.0330437316170443	0.618382230145029	0.422403434559725	-0.0495087339509985	0.501799322496309	0.0953558177205664	0.603604336234213	0.516752325688025	0.10090681406449	0.458174695711227	0.352984594160557	0.311921748543638	0.355131270304033	0.422308354518019	0.302282680732103	0.394688564090179	0.236111504317294	0.128532977690588	0.343845880875114	0.365192625661074	0.659645462434456	0.139049493560794	0.0492268525185186	0.377097010357328	0.645704199009403	0.440264575375959	0.672120368391154	0.651651510528252	0.56560097908441	0.161856953842488	0.027934265176647	-0.121343240156527	-0.09158829656425	0.236200439985449	0.153214316197708	0.140078868067304	0.480039138311818	0.0682070315923681	0.0256552266904692	0.536592273866156	0.0540816675658793	0.171899480012821	0.632638335783052	0.201018421922239	0.278331906475381	0.0890608831997534	0.674803591684647	0.300361286365908	0.591059917794334	0.196748655795196	0.22280157637014	0.0784344605318401	0.429821495809849	0.242538484003513	0.153844152834914	0.175889279099229	0.00480438713565855	0.0638782699517922	0.15808267879677
DIP2A	0.352073780503142	0.594032580266536	0.5678921516654	0.800626114628902	0.640566959620957	0.399511604252445	0.684531257162425	0.732943636284958	0.398191919331752	0.547365233353061	0.470054840678724	0.643052778739218	0.401596380839361	0.546984164565349	1	0.708102186446437	0.634262115428325	0.580103156133802	0.74708144423267	0.729182171457501	0.396173040559368	0.593831976091908	0.509925861764287	0.330811165906823	0.738728047963374	0.583573175227233	0.383572106793944	0.708155638433304	0.259123141148719	0.540754216377179	0.862112097235434	0.491817026051867	0.578927490262953	0.456763551534199	0.425192351356284	0.245761484766411	0.685704097710926	0.550368295399017	0.401129399552959	0.746735843242966	0.423634383566122	0.555285866476555	0.247571339231336	0.435261198343875	0.579715133935482	0.506271309925018	0.524445803388634	0.646875018405983	0.53946794885116	0.509172673124606	0.404778515392623	0.155311323946514	0.17311902308386	0.421855408751007	0.58789969235577	0.617884716332102	0.441402977524028	0.454909498687569	0.419639515588474	0.5875580032959	0.41305527492246	0.617255549950708	0.709715816332314	0.691509865202937	0.767634556665697	0.637896000228127	0.631471577311396	0.472636989013183	0.289556756993731	0.495891656999789	0.679212844323106	0.713059061854451	0.207393323173912	0.734362439895549	0.626583741563169	0.615884517349355	0.670466472719355	0.396877442302455	0.447214815108392
SLC16A7	0.457714096050719	0.719063075103772	0.7698787761834	0.797314778878015	0.68714147249469	0.572710259783081	0.704346191658768	0.706734758950455	0.506836752672092	0.663388557062103	0.5299820599281	0.736266989699279	0.544334181831737	0.553264770452376	0.708102186446437	1	0.639611445278802	0.739096449569683	0.707390462870501	0.661072116886463	0.524028639760962	0.701636896913884	0.617498748031702	0.319876877211698	0.814936560872473	0.530400349285642	0.223835088041161	0.778264100542415	0.429024696257846	0.718026465951018	0.563009431487014	0.574416454841351	0.686278293943441	0.487662652760418	0.592334127483176	0.493722733916925	0.491232439941577	0.473859987075068	0.541151943803158	0.669463983623429	0.516274252467195	0.541525736248567	0.35587752698202	0.503004676425035	0.641110626228537	0.550271593977729	0.56650758781843	0.62262086405521	0.797982669275068	0.653566299373644	0.323958717846353	0.136251420975162	0.26617648372149	0.52028425758917	0.532490405157777	0.646556872422738	0.503992701054482	0.278696292921124	0.457442081969419	0.639887825933947	0.359769870717448	0.618284210910688	0.702919259141523	0.56249409452324	0.549934810793855	0.590325493773414	0.558358434292188	0.525015433894274	0.480658443850409	0.495173064684145	0.536359089248055	0.610582124876666	0.24836068785826	0.703128640059559	0.574249010154114	0.461275209628903	0.446027264414022	0.454292794241339	0.448218947062864
CD47	0.751247931586178	0.705153020176474	0.81344912001986	0.632247141471447	0.73993518834766	0.807043791775801	0.760663972992661	0.800798917829302	0.835492677439749	0.742866616032568	0.617555721431789	0.689846246394357	0.803967785589909	0.51416216244714	0.634262115428325	0.639611445278802	1	0.71951067394679	0.782975175779813	0.790552770248416	0.285740827748503	0.782138598438159	0.838893124297605	0.384376547787285	0.641919888628957	0.597680324935484	0.186438630750269	0.765647217741562	0.657394551667741	0.767744238887594	0.573520583354164	0.782021632683973	0.550793096105725	0.0450237591020897	0.782301554298755	0.804258953652027	0.672664412766221	0.322033678020608	0.876697663230263	0.347077431228374	0.688474700671914	0.665583663546532	0.508620198956491	0.841047551517455	0.472743382416423	0.388263082147437	0.721945195314334	0.565851606568818	0.726612969494022	0.749080389372732	0.57558405518327	0.284170423034038	0.361214433110357	0.853601967870632	0.590744608639632	0.553925734485846	0.850504620804374	0.622793734549257	0.400000123295733	0.412704034222668	0.630334125273337	0.756483772598229	0.726998956160783	0.614295366122691	0.444449491661842	0.596731797594635	0.632194369021133	0.713005731383567	0.77785018966539	0.713663537466378	0.5511571837918	0.545065030105613	0.370559437147616	0.615432665647948	0.4223576205924	0.592957860941352	0.475259799132749	0.592798291321934	0.734120676490782
FAS	0.63435078757815	0.818551550948859	0.853393647631876	0.747720303726218	0.717050931258673	0.720810161188959	0.787634478960386	0.738055495595686	0.704169881627269	0.721790503072876	0.586249363765783	0.845245180627984	0.74753166787346	0.427681998805808	0.580103156133802	0.739096449569683	0.71951067394679	1	0.66289555408136	0.671048378190994	0.617010597926523	0.804693222505439	0.792520193771745	0.272560368838743	0.736861388379599	0.50197523879854	0.187405501650002	0.82299900275995	0.463429033650252	0.84804996712745	0.556172743748879	0.783305225846063	0.723541839226726	0.368950456554957	0.730310584983046	0.689386493780783	0.456541529610665	0.523837895315353	0.735761560864228	0.472025639308701	0.583654481363614	0.673683628994307	0.453555971433586	0.680854934169276	0.614525568570778	0.576447840927679	0.652104244250351	0.639125763499355	0.737459338071675	0.73444058417476	0.4027898425412	0.187419942607919	0.345542390197921	0.711155486840461	0.53953554095044	0.689645545244289	0.689829942663854	0.365604131437503	0.382284087997877	0.563131304505255	0.466801774246902	0.7190611160828	0.666958267945869	0.550973695138845	0.504140881578219	0.655174551165758	0.597797303574602	0.592803201244078	0.613254669554804	0.590904495157945	0.428886839663732	0.675905951032545	0.41644695140824	0.667845613720753	0.443669009032819	0.486384695049697	0.399682598674539	0.584888482899554	0.575527285164228
PTPRA	0.509679144210496	0.604635354913823	0.716905076479832	0.635996433390359	0.906375230361423	0.592582329719841	0.848636196658734	0.854239993185583	0.726102459098065	0.51606518481032	0.627853508143147	0.649486534828655	0.589913007949006	0.401526561933232	0.74708144423267	0.707390462870501	0.782975175779813	0.66289555408136	1	0.86602982511467	0.46192642334925	0.637897160563804	0.598825798288114	0.424699762426659	0.688322033222795	0.86177805790714	0.0307091019325213	0.676732043638979	0.435820356181785	0.692496809592517	0.607098514827591	0.628449324810188	0.633071673660443	0.108317462010667	0.546336457314489	0.553723190179922	0.852909117362423	0.506963607851009	0.628937061493699	0.635500849282458	0.439915845388916	0.776564626120728	0.517289794811417	0.618526364573086	0.545192066903635	0.452247818859039	0.56939570742856	0.539922065487859	0.55904531881624	0.649438587302241	0.750292388073576	0.384844587387139	0.41821517918823	0.753816697113965	0.826872662028918	0.767743224621783	0.583612750315005	0.711537049047791	0.450406909285532	0.341388833660653	0.812193833627582	0.782559657901944	0.53587631525815	0.888511520711722	0.705817215247512	0.806333111045064	0.470721346795654	0.517297567569675	0.496088214963317	0.853045974272875	0.89196710447935	0.792214674601102	0.261715055464032	0.808390563016768	0.795322089289383	0.837053772262211	0.758830912665774	0.604694201062906	0.835151734667998
CD46	0.522573109260983	0.546800534893301	0.697742122117274	0.597173892876241	0.835568838655437	0.61410581120044	0.785038618792164	0.925761473367925	0.704536148305888	0.491655280133168	0.441106270051233	0.713503346087353	0.543694230995026	0.212181249322459	0.729182171457501	0.661072116886463	0.790552770248416	0.671048378190994	0.86602982511467	1	0.44331212754208	0.572641915461958	0.612494765030038	0.625417364259508	0.709573212289245	0.774212542532456	0.0551498445489856	0.678939046657734	0.558801823402376	0.601474454022514	0.679663297739977	0.61054129214281	0.549058663613602	0.102048805669404	0.596206719636087	0.53100300510099	0.873102989654643	0.647441185468425	0.660866103581259	0.611409873352763	0.450352849459692	0.849759229997206	0.64093481252251	0.582809472226143	0.344647097810951	0.317951876977498	0.423091254042751	0.39008608482792	0.602030165178519	0.683772632267145	0.750632881282519	0.545498396582889	0.57529863132651	0.743481747895264	0.836589355350098	0.74618459166698	0.531839778022461	0.747394830530947	0.659278007940933	0.33308499728369	0.75824248486973	0.780907850792458	0.585334774971567	0.847534112919582	0.604729440495753	0.849759086235885	0.459630269639779	0.553649467818409	0.411527643697347	0.775660431318302	0.792120088927172	0.772510751010603	0.153178312400811	0.866448275298146	0.716315395839037	0.840196517021207	0.816537618083936	0.757204627409225	0.733065628312098
