""	ITGA4	CD2	CD44	ITGB1	GPR171	NCL	RPSA	ITGA1	CXCR4	NOTCH1	CRTAM	CLEC2D	CD69	DIP2A	PTGDR	SLC16A7	PTGER2	PTPRA	RACK1	LRP10	CD47	CD3D	CD96	CD3G	PTPRJ	PTPRC	PDCD1	CD8A	CD8B	ACTR2	JAML	TIGIT	S1PR4	TNFRSF1B	CD6	CXCR3	CCR5	TFRC	ADRB2	CD46	CD74	KLRD1	CD247	SIRPG	CSF3R	LAG3	VSIR	JMJD6	SORL1	STX4	CD63	ADCY7	TSPAN5	F2R	TNFRSF14	LAMP1	CXCR6	APLP2	CD81	PTGER4	RHBDF2	IFITM1	TSPAN14	HAVCR2	TNFRSF1A	ITGAX	C1QBP	TMIGD3	CANX
CRTAM	0.942758595670092	0.974332142550658	0.932707475536806	0.875332281379787	0.860758582823429	0.795706292630954	0.973272767853091	0.929751398223401	0.959132619918542	0.321076063554929	1	0.805373775086546	0.967696139078646	-0.670520072693661	0.918944368081797	0.86748784520583	0.861692687699626	0.412919686399127	0.967165124146551	0.859814477757931	0.848534250963368	0.930973112000156	0.949955994261766	0.971208871528666	-0.0845132215684809	0.871364088556307	0.74217574851485	0.960318432149296	0.948941825300767	0.40041005808624	0.85295152417232	0.87136844144387	0.90162858007551	0.718113620395647	0.802002925134507	0.907933353008952	0.751421325629566	-0.462307520754494	-0.0995127747444421	0.848679600863003	-0.302269941350795	0.870929472015805	0.920922547743247	0.952940769540458	-0.778776012306118	0.940272091200226	-0.090853694109017	0.42339799391259	-0.844014451746814	0.463156563433772	0.852321414498533	-0.181899186422833	0.925427131304203	0.906902688594571	0.904861692413514	0.469818160556262	0.855429176757538	-0.231388237782459	0.553450104749704	0.85373621621006	-0.807340141998631	0.959826529444876	-0.361811523472695	-0.307022182142274	0.818582871840135	-0.880964372821915	0.895830163037912	-0.588850544581204	-0.297555393905896
CLEC2D	0.906049627733669	0.832096197632942	0.738259827094145	0.965288739372878	0.479409804553232	0.905721541351245	0.793166674535622	0.844490949391766	0.756765544175391	0.255954134637574	0.805373775086546	1	0.861159008481104	-0.340552631574553	0.735205844991343	0.666404104085521	0.872334063803837	0.634764941110193	0.783528231349493	0.717452542538399	0.949141863846324	0.669454957854368	0.822332152463481	0.833948275157547	-0.0314876832706038	0.877157771749809	0.634250073117188	0.83908829511099	0.776939810659368	0.677418690051197	0.944795070048932	0.751918558293637	0.602199329768759	0.62338275522636	0.424990293543185	0.699634338342812	0.585129491802109	-0.447121622179939	0.072821675128425	0.600461231231686	-0.160297347352234	0.941171710048772	0.633127797380078	0.736076538686136	-0.52784058306509	0.900096040032311	-0.0637343445640611	0.378121402346402	-0.603441931622033	0.506655515794531	0.796855304404262	-0.105735150315805	0.917000468594928	0.841716405684845	0.822902121966728	0.437597119292543	0.911462878176582	0.0424369321302764	0.44822584433396	0.962610650308566	-0.52879037937564	0.838745074246396	0.0483504049999435	-0.0112863346493437	0.754919299747204	-0.630116440237055	0.897619793713091	-0.397676250571386	-0.061276624288649
CD69	0.942912412457553	0.985508722461783	0.916645489953976	0.923591080475798	0.831519727091713	0.856237391671403	0.985711503176516	0.934185879702146	0.978820158484688	0.299838550007795	0.967696139078646	0.861159008481104	1	-0.622379355692009	0.915993779297352	0.866079528629762	0.896703188886723	0.457720535871681	0.985323079793983	0.868095064086899	0.900540267596477	0.935837621380156	0.954189486088879	0.987692623432544	-0.0447112913425926	0.885214950161254	0.760565309494885	0.970406542227011	0.954346408134107	0.49658230782595	0.897417646656552	0.890316417468154	0.900114810954145	0.748024762464459	0.690715684887392	0.916359974075746	0.664879474998116	-0.410772889802765	-0.144091732206819	0.843179426383822	-0.241089694551041	0.91901811664243	0.912216276655789	0.944959204086269	-0.731634996629793	0.910548800337722	-0.0117622204675689	0.54437186899783	-0.779987679446533	0.482671838698659	0.918155477484516	-0.25996252446668	0.955287194886606	0.877431996955295	0.916671847305187	0.493729342274611	0.89105738072688	-0.112568125337995	0.613312825267804	0.927654425127842	-0.746315057064409	0.975275841376497	-0.281785105793298	-0.186728768010271	0.82917117287304	-0.831369556763701	0.951039226318232	-0.524773842439767	-0.229740369042628
DIP2A	-0.562949529429114	-0.684393898686108	-0.640310213696085	-0.420546614972625	-0.718980024862114	-0.311916823253311	-0.65668731702331	-0.657455424019244	-0.653372953003025	-0.19207783466833	-0.670520072693661	-0.340552631574553	-0.622379355692009	1	-0.69520480852622	-0.65008094848379	-0.493777297665527	-0.0719708190258487	-0.664010179105768	-0.551220888397658	-0.443349496054899	-0.69928649249315	-0.659580000753253	-0.626259720287873	0.185698772000009	-0.473044832921543	-0.628995007240385	-0.617090776808634	-0.622346330852797	0.0807103748489839	-0.397928440581653	-0.65089591764853	-0.725428041305618	-0.28547169837801	-0.682431097781518	-0.65855073031764	-0.577418666494555	0.56410183499059	0.463893872978002	-0.500340630337232	0.546434284763177	-0.477608863102281	-0.728725839453117	-0.684693133798173	0.841096517403326	-0.544333529017995	0.407397939602632	-0.268716500826404	0.839195642898717	-0.0105074430656078	-0.439370376936687	0.357786141117189	-0.56619161758351	-0.606460751535893	-0.484131077326836	-0.255262298243201	-0.497663174736858	0.51790291008029	-0.243438864333736	-0.403082949386814	0.873822897213093	-0.59675717124761	0.610139750341441	0.647764620210774	-0.362801578860184	0.813459581895931	-0.527250934820395	0.663577245389354	0.573254314301546
PTGDR	0.862373702807413	0.944666510110409	0.877331185258197	0.772015005068473	0.888755866596209	0.722045909191271	0.923403359696822	0.923465833400595	0.933404215578311	0.473536773423978	0.918944368081797	0.735205844991343	0.915993779297352	-0.69520480852622	1	0.967244877791237	0.776538306887704	0.310416667865412	0.934964010375434	0.847670466530192	0.752474925556599	0.933365126082328	0.88622098976935	0.904271059063695	0.0489493516121261	0.850151814498043	0.882990712785349	0.871940746583247	0.863943991912105	0.334038982108989	0.744787655795758	0.948961039079407	0.891245688281019	0.605707320543572	0.825672195751566	0.929629366263558	0.742475879804427	-0.383860155507943	-0.18084279504398	0.817469135798847	-0.266310733041798	0.764979390216587	0.927295419084759	0.968609325881487	-0.782039342840559	0.829244525995046	-0.0917382681197568	0.392715965978603	-0.837849835846991	0.31866961746914	0.858262898317099	-0.252972962678822	0.884745498455063	0.876206024949607	0.755237379384113	0.600997074903829	0.830596218997328	-0.230845021509237	0.627450607531151	0.781516277112925	-0.80843381221595	0.879537879132734	-0.442652409209419	-0.3278437437257	0.691581749033858	-0.895119143596153	0.892633392604675	-0.551189608076957	-0.28819876962641
SLC16A7	0.81968334736775	0.904073852293429	0.819539080928411	0.716984885755054	0.876269073595262	0.67090384594084	0.867815040193953	0.897588813935711	0.904411393824427	0.530220040302165	0.86748784520583	0.666404104085521	0.866079528629762	-0.65008094848379	0.967244877791237	1	0.679272559321999	0.288984084515265	0.883604559470841	0.790533641810419	0.690195169966193	0.880825616522007	0.85076727473025	0.842896687100292	0.0700205431515762	0.81881328095751	0.886019747396579	0.799805829108599	0.794284418722137	0.313847047024654	0.691333321338233	0.877031851531421	0.909351980509366	0.622846803032116	0.818525044853553	0.853833524080707	0.756247368632743	-0.350145374120042	-0.167858619320983	0.79518342205382	-0.253019901109491	0.717921060229653	0.912933677975979	0.923562756005088	-0.744526553450052	0.75262426726413	-0.091976848389269	0.429350288489776	-0.789994040131389	0.329740890479346	0.819878160942073	-0.222113521224673	0.814866017849704	0.801716130773497	0.690627030818416	0.569926760109196	0.782806649739336	-0.20392905897751	0.579479503526714	0.740079382176419	-0.781387651345971	0.827635393765538	-0.468046028823383	-0.332850882514688	0.629327252068371	-0.848478710123699	0.822036146763181	-0.540887320955285	-0.26028388461665
PTGER2	0.855482728448165	0.871721973727811	0.861120476991978	0.895632672199169	0.606369398703908	0.802006419008485	0.878361759105428	0.858993517589506	0.818318174397395	0.179875253913408	0.861692687699626	0.872334063803837	0.896703188886723	-0.493777297665527	0.776538306887704	0.679272559321999	1	0.493757980412341	0.871083710863493	0.850860693970811	0.834186805380453	0.837193062803863	0.821350867564273	0.918226201718895	0.0757678993997569	0.84160361676612	0.664424658911247	0.944989929685785	0.895774902747469	0.605368466074172	0.92118027204347	0.770182758363155	0.67371944662251	0.657424448534208	0.569297594284616	0.852960598625313	0.606548645955111	-0.341804174854509	0.00660146384310553	0.7978892735184	-0.119383428292677	0.82735302682457	0.723606003296353	0.816009880045285	-0.565236674461255	0.889711657253286	0.107595416937423	0.499814053020261	-0.636453773405274	0.422648463830398	0.850696820418565	-0.0489794904308913	0.932590177801413	0.829883417822171	0.842941200050751	0.514929786512896	0.764876913078542	0.000863676439044662	0.58688748230563	0.896346385054792	-0.575123768385388	0.877325359823317	-0.0342973584033789	-0.0457640789004928	0.768958017737587	-0.663533548966841	0.912591255286515	-0.386165474489438	-0.0863672055775196
PTPRA	0.628815498738541	0.479540061571368	0.48992275316018	0.678737505252929	0.150209266469083	0.789261705198945	0.403428374023427	0.541272667065126	0.394660545251932	0.52189719416915	0.412919686399127	0.634764941110193	0.457720535871681	-0.0719708190258487	0.310416667865412	0.288984084515265	0.493757980412341	1	0.388414404456125	0.523553196585883	0.708647939463672	0.220045568063507	0.585300920263611	0.420845405107742	0.287980695575439	0.704307050727687	0.275142135638098	0.455224065254586	0.396525342636598	0.819778702346773	0.519693296050081	0.354243347099221	0.29393102313646	0.647531971916656	0.237930352617882	0.252016853259566	0.5216505746959	-0.0546641830268404	0.352654140313072	0.337599328269542	0.204791733289363	0.660881117110246	0.329685641733409	0.33380634549742	-0.134374788687019	0.578699615646711	0.117950549680106	0.357291773994406	-0.203312336337717	0.595932253643167	0.471945642306139	0.199981509944514	0.610067212660444	0.629370090369542	0.619706353540026	0.559392250215282	0.525169548754345	0.543510600355164	0.261085950709786	0.637634329634874	-0.14371477688252	0.466105270896398	0.416394066912307	0.232137923176191	0.67907276801706	-0.221322458271185	0.50477580599725	-0.0659357537832956	0.519809076760217
RACK1	0.90972968151467	0.980757781826613	0.938940981724687	0.866722530776402	0.897066228133605	0.809550607255362	0.998006469945357	0.908105835634039	0.990162432487633	0.309099481732046	0.967165124146551	0.783528231349493	0.985323079793983	-0.664010179105768	0.934964010375434	0.883604559470841	0.871083710863493	0.388414404456125	1	0.88855319131842	0.839652292158933	0.974890906068189	0.942261275657698	0.987276602547655	-0.0321493374402149	0.858249831799822	0.749116180301995	0.966348567698379	0.969043303030327	0.425723220942546	0.828145214430439	0.910945042136325	0.922086280652589	0.73894952444584	0.755217185288259	0.955050670804976	0.655012641888004	-0.349288352049474	-0.180300886039414	0.881342183161815	-0.217303030806525	0.856566911630959	0.950102247887548	0.966745729500327	-0.749975622102347	0.877130452366541	0.0380350845392684	0.545482420104456	-0.789844639746783	0.452335056679175	0.928896513275228	-0.270881391114399	0.929082759044361	0.858410823805672	0.901950934403936	0.537907979436122	0.830856589429091	-0.135548213608268	0.674178026704526	0.866900162644592	-0.761746679385509	0.971033757420322	-0.35790653431188	-0.211879799062961	0.829482150985102	-0.849321950234389	0.938701760932798	-0.506122594958592	-0.243376042432227
LRP10	0.833347260818456	0.886862041159922	0.882151891920085	0.807560233627299	0.746067507918822	0.798269728180684	0.882230829658678	0.883594279786499	0.868785299146699	0.475998104870918	0.859814477757931	0.717452542538399	0.868095064086899	-0.551220888397658	0.847670466530192	0.790533641810419	0.850860693970811	0.523553196585883	0.88855319131842	1	0.762360472480393	0.860765835357275	0.856053312984923	0.868990434906703	0.276204628582591	0.889303080751326	0.760000637137274	0.870577047569408	0.846060610594964	0.571664612612114	0.749120217420338	0.840682860360459	0.774315018308388	0.711763515665761	0.750892926141047	0.853077775156998	0.731544701054491	-0.255800900516415	0.0674831586900643	0.865190565350374	0.0190689003563684	0.741885044503453	0.822053512886502	0.884794159544659	-0.573892715949205	0.837469463209899	0.183289784270897	0.502246053280099	-0.655500243273883	0.465644401634739	0.87070598685175	-0.0777483430401161	0.885939304853165	0.868154851107957	0.822793412113557	0.710603858133565	0.729542270106165	0.0848119896731222	0.724818949254322	0.798381350256045	-0.621925108801843	0.83512010397256	-0.129465833833669	-0.0369097857155916	0.812189133554206	-0.698466525754715	0.866998333984482	-0.292891472288191	0.00029768261181996
CD47	0.947171752585509	0.887686488665799	0.803031749493513	0.976382151135979	0.596795953127238	0.952369688074382	0.84969744803378	0.862746637128167	0.834047767808103	0.320509120452095	0.848534250963368	0.949141863846324	0.900540267596477	-0.443349496054899	0.752474925556599	0.690195169966193	0.834186805380453	0.708647939463672	0.839652292158933	0.762360472480393	1	0.711204451662426	0.911632681118439	0.868469774719814	-0.0544600446604983	0.899454525362505	0.605990891865046	0.867068890012632	0.830921166378661	0.66609713221334	0.887707483901417	0.78784427236306	0.712659500876029	0.718745798222878	0.486319497282154	0.723989843083521	0.606269297057473	-0.41545914951549	-0.019303786208428	0.629915928300462	-0.176512947031836	0.987208560497854	0.740653408550848	0.77255411916291	-0.59499857723662	0.902760056558282	-0.0653890038255933	0.460438923294393	-0.653394125970766	0.547414187581664	0.822566983639247	-0.215454002155277	0.9342414780639	0.879649902738458	0.908276806851367	0.47536607497712	0.917152647706154	0.0697917519034541	0.464195571002725	0.963963426313743	-0.591899777643243	0.894108132209448	-0.0193227492568021	-0.0480559270951036	0.851713758941727	-0.686708930672902	0.902262877649934	-0.443880577408562	-0.0560340689766618
CD3D	0.816918468679974	0.936807331830309	0.91153174239036	0.753118451432146	0.924746103963931	0.676941204507345	0.968503453222532	0.857083712874796	0.959788237046362	0.271879186446939	0.930973112000156	0.669454957854368	0.935837621380156	-0.69928649249315	0.933365126082328	0.880825616522007	0.837193062803863	0.220045568063507	0.974890906068189	0.860765835357275	0.711204451662426	1	0.868342985819164	0.954169783068044	-0.018688004466115	0.767650246571957	0.759079025485761	0.932236108772388	0.944922614572319	0.292022335115403	0.749354764316791	0.893526071890255	0.908752384995202	0.647886026063563	0.785747857589918	0.975090685048527	0.614904506535879	-0.300714790072112	-0.252560533574844	0.894422850816277	-0.241736841211499	0.733016445885669	0.941684121980628	0.959634834458018	-0.754956973355236	0.799968073921693	0.0496286445511602	0.515541932213937	-0.785987937051763	0.335003204180532	0.885919965384366	-0.285410241569225	0.861824151702102	0.791293778743876	0.810883274576355	0.519501594185327	0.733405931450659	-0.226531023442657	0.679712792894623	0.763471862415423	-0.767349078056954	0.91730973697565	-0.450319928456478	-0.27025498741118	0.728863582399406	-0.848314091554353	0.883144405802715	-0.515619866918521	-0.310876553127685
CD96	0.975170911446506	0.977835169492215	0.942352868011425	0.905146167250489	0.833787113855386	0.861855682148242	0.949081132303958	0.936644960560103	0.947497644861797	0.429182594376521	0.949955994261766	0.822332152463481	0.954189486088879	-0.659580000753253	0.88622098976935	0.85076727473025	0.821350867564273	0.585300920263611	0.942261275657698	0.856053312984923	0.911632681118439	0.868342985819164	1	0.944146034667786	-0.0751319478531679	0.917825876394738	0.709744734529936	0.933399287592536	0.925578897287516	0.485099818261596	0.813606762255962	0.847574127874363	0.907803461968049	0.788537043708698	0.759870301846748	0.845291464264263	0.77134605146738	-0.435021672413413	-0.132800676759561	0.790592272905599	-0.293708386426989	0.926269729961314	0.93118485775813	0.904729390705333	-0.769920401423449	0.911777565008915	-0.0859380636418412	0.482509710596023	-0.819369090267867	0.479204803768766	0.845522245945023	-0.194395610415139	0.945498317668434	0.91464512771613	0.941108015994441	0.524280715827449	0.853042310705074	-0.101375996009726	0.499803856761902	0.889873062926831	-0.786887237210196	0.960109386116848	-0.279556253958273	-0.273165962796035	0.863559147025723	-0.860562713850418	0.891011805625816	-0.588570009357692	-0.199441766083883
