""	DPP4	CXCR3	CD3D	CD3G	CD2	CCR5	KLRD1	F2R	CD247	KLRB1	CD8B	CD8A	CXCR4	ITGAL	ITGA4	ADGRE5	IGF2R	ITGB1	CD226	LAG3	TNFRSF14	TNFRSF25	S1PR4	ITGB2	CD69	CD44	CD4	SMAP1	PTPRA	TSPAN5	PTPRC	SLC16A7	TSPAN14	CANX	TFRC	CD81	SORL1	STX4	CD74	NCL	PTGER4	APLP2	CD63	PTPRZ1	C1QBP
CD8B	0.450777265193938	0.616395450252374	0.697727450491981	0.706899871932085	0.706179935950702	0.551092433666674	0.715498742009077	0.668023660106512	0.707937332684138	0.403741315206911	1	0.875071718278231	0.591152902067381	0.774409942928823	0.431484952262318	0.523455618685505	0.13572980342426	0.508468039172428	0.461766037167589	0.696760287862758	0.597053046119179	0.623087009437086	0.624502085034455	0.0995045453133809	0.591392833270712	0.710006826745177	0.269661750009422	0.481462275635276	0.353670308204412	0.424381878881671	0.757838699976857	0.737137264175299	0.454660249511532	0.00109144304372805	-0.144186078101965	-0.0160753259716763	0.181003013033203	0.101253040605209	-0.0830725758070597	0.143856206342849	0.588485282833262	-0.286060521204082	-0.0912385915279986	-0.293498192134425	-0.03797545717685
CD8A	0.420906118067363	0.539102274429864	0.692519307387402	0.6935788134025	0.671297298578651	0.465334770884989	0.785666057813478	0.571700223886816	0.778089634438597	0.459722566131263	0.875071718278231	1	0.641142556206812	0.84122510971676	0.557497296912562	0.613327777609779	0.163284285670721	0.532030163451496	0.465722912574082	0.667464693182727	0.584751182742055	0.710067206347802	0.643795667273929	0.0705038808399919	0.618675379530708	0.657589512560723	0.223778387982355	0.461381983721754	0.260084171376148	0.343433405329216	0.754599239784004	0.65275353830433	0.438028816044514	-0.0552538642880514	-0.213313794337975	-0.0591721381946825	0.230016646122128	-0.0101386857594737	-0.131295196527774	0.0602141420884517	0.583107221694968	-0.339141490769882	-0.150775447412791	-0.376903931287579	-0.117412580439959
CXCR4	0.636184049789601	0.655932919337975	0.796095038200813	0.781707143260408	0.730581016251548	0.318368021848888	0.663425620056652	0.331988686168003	0.741926778995828	0.857631470039225	0.591152902067381	0.641142556206812	1	0.759531210686458	0.590554473097645	0.818203051960538	0.257790092473862	0.637325355158797	0.737033543960342	0.695806815513218	0.733665824383909	0.743485863715242	0.881199075118856	0.249839935045785	0.949473954013543	0.71155848733557	0.421743316149871	0.706029660831807	0.325729047280343	0.514823446560887	0.715321509432271	0.629438354580392	0.326786745151768	0.160350588778231	-0.00201189453181682	0.178370449929723	0.363378677115769	0.341903949319575	0.076024145426166	0.330275744743282	0.898444151222055	-0.143629740939785	0.131093436995412	-0.249180476122443	0.169640934167091
ITGAL	0.401454840008305	0.483555960369391	0.654996061847213	0.665480607289074	0.64694285195974	0.456391774301987	0.821821412954123	0.611783733173268	0.798148716441823	0.500335523578015	0.774409942928823	0.84122510971676	0.759531210686458	1	0.656714831800316	0.638306254867766	0.227055052750786	0.634268408009796	0.490160523434003	0.659478513887065	0.603011514520805	0.627020096511514	0.7141912106125	0.239224547177454	0.720961241492417	0.711535034091376	0.383344063087913	0.560712795235497	0.373078190852989	0.382428135886957	0.780970330600399	0.735469192223734	0.536774727043328	0.0966695391805898	-0.0461964842030807	0.0904219413542674	0.365277935230839	0.179646887750327	0.0160489481931303	0.180727589768104	0.725219343576482	-0.184769598570113	-0.0352212362841509	-0.251023399488797	-0.0266350415445444
ITGA4	0.398117092016218	0.339187683329578	0.509459161601012	0.530347083761567	0.573421717899973	0.666297184174856	0.655565497955919	0.511657218392479	0.733727319910844	0.409958774617028	0.431484952262318	0.557497296912562	0.590554473097645	0.656714831800316	1	0.698021619759706	0.587628066315838	0.696641000211326	0.564162754738868	0.591046972299256	0.579154656658609	0.514024644394154	0.563266373026425	0.53210094273211	0.584327694361868	0.662350683696708	0.567514132832234	0.539137205312337	0.496577159666068	0.296887629046364	0.774676239669219	0.535869974507042	0.707847400802233	0.293362969824622	0.0568080033779024	0.303105059897326	0.652660409715038	0.395638686086911	0.349332518768062	0.391792149180637	0.58366471384989	0.0778579833163506	0.123244173914617	-0.237327980773168	0.0834173693308684
ADGRE5	0.669053013281833	0.748357171606236	0.863040178436626	0.853355250325389	0.85119067432466	0.563725057643968	0.538663771319246	0.412474570070689	0.766656343560878	0.786307245144897	0.523455618685505	0.613327777609779	0.818203051960538	0.638306254867766	0.698021619759706	1	0.50836651283874	0.661390167695683	0.850853340472602	0.739579446440081	0.807261091265931	0.79346427165915	0.810820285089445	0.205537513798637	0.753718450716747	0.781336926391484	0.448362874171531	0.656869949036525	0.453180079248347	0.559225418818554	0.844629573974418	0.673059949128138	0.47422429862036	0.158569689265269	-0.037761404042386	0.138794849877724	0.451014631710711	0.369095968842386	0.0594001925677687	0.369134097914547	0.765280055617132	-0.168259832739985	0.110248356151691	-0.307925002160128	0.153205631859868
IGF2R	0.329763955930243	0.245093487179098	0.353179726068297	0.391536148599493	0.426053706570955	0.555037087409663	0.155217930128279	0.163624907727176	0.286164457854518	0.239959386325505	0.13572980342426	0.163284285670721	0.257790092473862	0.227055052750786	0.587628066315838	0.50836651283874	1	0.477248241531592	0.545765385509603	0.289163486761352	0.490347350217866	0.239864244720677	0.267866269260122	0.402582336159899	0.222972025998846	0.461620173695195	0.49857635361404	0.336049025417827	0.516577493757457	0.29401022206686	0.482612523048858	0.320734319117192	0.694071741586473	0.342413852877057	0.20384087345599	0.30084194749396	0.595872610121211	0.45465567762656	0.377178598450221	0.416044461878499	0.314313074029111	0.257381034273097	0.215603825118521	0.0574353235318996	0.151500958786724
ITGB1	0.296179086944387	0.484001251319333	0.555801545639859	0.515486163524454	0.490808739770204	0.37222392397177	0.479851844644775	0.476461225088277	0.588511009545246	0.428879370083358	0.508468039172428	0.532030163451496	0.637325355158797	0.634268408009796	0.696641000211326	0.661390167695683	0.477248241531592	1	0.433298467755403	0.472834190236229	0.646653746936647	0.547608520731986	0.509222312161317	0.709537584311298	0.633193350819468	0.818382358205011	0.826647264728073	0.810018480378963	0.745582236223103	0.584154057372013	0.684775882020495	0.726162276450704	0.727560362254609	0.729752161609229	0.457794638070999	0.681160818542501	0.729428466354804	0.669229134431725	0.590792916420146	0.769833049429467	0.726260491374205	0.461235735577685	0.550277620053718	0.13771087058089	0.473714435440787
CD226	0.847965056489573	0.722897216253231	0.875733201473552	0.894651486709597	0.877274889906906	0.550126476401463	0.393818771596107	0.182552182868902	0.681067519021295	0.854931332321834	0.461766037167589	0.465722912574082	0.737033543960342	0.490160523434003	0.564162754738868	0.850853340472602	0.545765385509603	0.433298467755403	1	0.707733341596039	0.78902272334823	0.72804281527653	0.841325760510086	0.097267832331409	0.668087768515164	0.690781273512325	0.328915176976159	0.568849225423045	0.368354537671593	0.528560708761759	0.765623981204127	0.499082465967391	0.310811554031568	0.0153433306269918	-0.16071809340446	0.0455779590067461	0.330279836354816	0.33085156212114	-0.00968513331094609	0.2688969724706	0.59661198089891	-0.2644190639087	0.0407342715086077	-0.395388988308928	0.125847141991279
LAG3	0.687506459634913	0.739205820157252	0.778487301594724	0.808469483023472	0.846892584328646	0.703810333787563	0.519558634284835	0.523081971422382	0.786814937418948	0.639377946366647	0.696760287862758	0.667464693182727	0.695806815513218	0.659478513887065	0.591046972299256	0.739579446440081	0.289163486761352	0.472834190236229	0.707733341596039	1	0.753861195137801	0.624935510809202	0.819239041741093	0.12340213818861	0.599379427599905	0.702985848561316	0.323085133031266	0.523714752919288	0.369513927196793	0.481650787129714	0.827939641566468	0.671930841927562	0.352401129997769	-0.0274136706864581	-0.129792687576956	-0.0214030311975492	0.315045817406187	0.26466616534594	-0.0629620916484781	0.188044023962352	0.543855632340036	-0.315540549930677	-0.0589231035897342	-0.383280576933295	0.00804987672339901
TNFRSF14	0.729935805563435	0.753532361891755	0.878924125580035	0.862463632348492	0.860901417404915	0.538540744282986	0.473821184330258	0.313762886988923	0.704753230623551	0.756204682367588	0.597053046119179	0.584751182742055	0.733665824383909	0.603011514520805	0.579154656658609	0.807261091265931	0.490347350217866	0.646653746936647	0.78902272334823	0.753861195137801	1	0.778496558356983	0.769712609491778	0.332783420323261	0.708853012732176	0.869602316509111	0.566818372010117	0.772465933115685	0.549998172961758	0.587701581805907	0.835259258585932	0.680811335318228	0.501238592433665	0.293203647481591	0.127798153830362	0.265213665937515	0.561719695508236	0.491293136317939	0.205795999929176	0.449345846269613	0.670693753389532	-0.023940780078015	0.23657236888768	-0.163635102198233	0.277308430445685
TNFRSF25	0.705314150066405	0.757200858665025	0.895004551213055	0.840395420465639	0.80614115962969	0.369407872245387	0.605491052732197	0.321923670305543	0.723724478529739	0.778571619973003	0.623087009437086	0.710067206347802	0.743485863715242	0.627020096511514	0.514024644394154	0.79346427165915	0.239864244720677	0.547608520731986	0.72804281527653	0.624935510809202	0.778496558356983	1	0.741368581080622	0.0754337849206391	0.761740450084385	0.765047348777924	0.314103011162737	0.702610387427279	0.355669048624	0.521626346841026	0.789927538147547	0.575244654363426	0.323793182691661	0.0618893048091676	-0.0865114843475992	0.0548815262911875	0.308563060454712	0.227659366929252	-0.0584286983067215	0.239600738545713	0.635386016278103	-0.275047037822546	0.0504995373246805	-0.315624761048479	0.102686616131984
S1PR4	0.80712895224765	0.788469607722982	0.869720626269578	0.895995907792028	0.867462111850784	0.459335771246097	0.561239941074485	0.355953398575831	0.845383705845709	0.883216595995748	0.624502085034455	0.643795667273929	0.881199075118856	0.7141912106125	0.563266373026425	0.810820285089445	0.267866269260122	0.509222312161317	0.841325760510086	0.819239041741093	0.769712609491778	0.741368581080622	1	0.155742868305096	0.790750304492724	0.739534454840899	0.354826594973998	0.636621228501504	0.350662045214387	0.535663163750557	0.791257653546287	0.580025103678975	0.250825857452129	0.0226709966302559	-0.164656316738654	0.0634379021740042	0.292159510346655	0.282346081740379	-0.0178002801143552	0.221419208899476	0.701125023818239	-0.286647556649335	0.0199888269350284	-0.402002866416431	0.0974691555233809
ITGB2	0.0870542656393279	0.115972229577002	0.113621527562157	0.104599373676705	0.106607778891628	0.215312891552391	0.115841448246555	0.0911462886206339	0.220639840133074	0.107635750940938	0.0995045453133809	0.0705038808399919	0.249839935045785	0.239224547177454	0.53210094273211	0.205537513798637	0.402582336159899	0.709537584311298	0.097267832331409	0.12340213818861	0.332783420323261	0.0754337849206391	0.155742868305096	1	0.271176651320543	0.475360727748927	0.895055996177838	0.553188224886902	0.576940428870373	0.204221847149473	0.287683956612123	0.33568092842614	0.572953106237366	0.834122413143681	0.523761206930225	0.839129886817368	0.778921738367194	0.701545025946701	0.941890660889154	0.751935868183311	0.353038035431104	0.761150198918276	0.639583542214696	0.209250568838596	0.502799167427735
CD69	0.592473904149675	0.585240869044977	0.752987452360399	0.727465430558202	0.68849228874225	0.326187881098714	0.713125286716264	0.36830357995898	0.692805187591424	0.801628856356593	0.591392833270712	0.618675379530708	0.949473954013543	0.720961241492417	0.584327694361868	0.753718450716747	0.222972025998846	0.633193350819468	0.668087768515164	0.599379427599905	0.708853012732176	0.761740450084385	0.790750304492724	0.271176651320543	1	0.70408537366822	0.414611756215554	0.722779671788008	0.339634995621507	0.479740667351919	0.690425786199518	0.61165032840584	0.36845998092793	0.193484229994466	0.0694406841338987	0.209765520519042	0.354347052464474	0.380571720709278	0.0887828563378298	0.355072933021128	0.921010299647273	-0.103531892291778	0.157626049603007	-0.183443175450844	0.200444117416266
CD44	0.605530906477017	0.739813513383675	0.846382837559955	0.821724375114608	0.817592689207062	0.571139219790481	0.565667445897272	0.530454559689143	0.780982003455351	0.637909675773324	0.710006826745177	0.657589512560723	0.71155848733557	0.711535034091376	0.662350683696708	0.781336926391484	0.461620173695195	0.818382358205011	0.690781273512325	0.702985848561316	0.869602316509111	0.765047348777924	0.739534454840899	0.475360727748927	0.70408537366822	1	0.679096345672221	0.846627123569147	0.721242600277656	0.661015006941875	0.897346189680447	0.757302038333124	0.614739895804378	0.455694014971474	0.202526708128908	0.433333964944659	0.600154788972329	0.582055204905277	0.312616127272394	0.609494343538018	0.702762712430641	0.11642996187371	0.356865773616752	-0.0827127862083767	0.365650766790286
CD4	0.274044496632184	0.375732967878661	0.376925686968751	0.365002008739809	0.365124743755252	0.325225038920387	0.14332625208319	0.191407087777922	0.367104601271748	0.315574553031747	0.269661750009422	0.223778387982355	0.421743316149871	0.383344063087913	0.567514132832234	0.448362874171531	0.49857635361404	0.826647264728073	0.328915176976159	0.323085133031266	0.566818372010117	0.314103011162737	0.354826594973998	0.895055996177838	0.414611756215554	0.679096345672221	1	0.707314152547717	0.681728443749313	0.396114046566351	0.519703014740853	0.513971130241478	0.654429156605965	0.781881207471411	0.487240132858908	0.755368522727822	0.831750514146302	0.738351538479371	0.825036979770921	0.777852627994041	0.490943612555308	0.61162551696867	0.584738106284539	0.132576425399646	0.478941229600333
SMAP1	0.577777559898209	0.604532717437117	0.702345859886139	0.654138601073623	0.617371641331808	0.30285954053034	0.412883050725105	0.275704452070087	0.563814567627122	0.666967098194402	0.481462275635276	0.461381983721754	0.706029660831807	0.560712795235497	0.539137205312337	0.656869949036525	0.336049025417827	0.810018480378963	0.568849225423045	0.523714752919288	0.772465933115685	0.702610387427279	0.636621228501504	0.553188224886902	0.722779671788008	0.846627123569147	0.707314152547717	1	0.756187180126557	0.697136061415927	0.680498162359385	0.649503168816214	0.498047631093198	0.622683004881363	0.495174786974645	0.642051608442529	0.601036899109265	0.753521031671591	0.427397800976361	0.761940297771631	0.683131863984109	0.330947064937052	0.634602459216831	0.189517633049086	0.645738185628319
PTPRA	0.335872951050344	0.371970224068517	0.4194629517231	0.412602107932434	0.438067716938349	0.446215356286472	0.19793344340846	0.415072825906794	0.37735059143253	0.292497610292378	0.353670308204412	0.260084171376148	0.325729047280343	0.373078190852989	0.496577159666068	0.453180079248347	0.516577493757457	0.745582236223103	0.368354537671593	0.369513927196793	0.549998172961758	0.355669048624	0.350662045214387	0.576940428870373	0.339634995621507	0.721242600277656	0.681728443749313	0.756187180126557	1	0.649383434909726	0.57450415496982	0.59206908063746	0.633329701127846	0.717120680819367	0.652133002101397	0.684522075469028	0.68159736056823	0.756631878655403	0.50201204448153	0.772093862827008	0.40288330376922	0.525036007305535	0.666555108938672	0.452113099626502	0.635851602023312
TSPAN5	0.528142793576464	0.531401437480828	0.625430974162345	0.605256391937055	0.544308637742772	0.283591162503507	0.249981179802918	0.272744073615693	0.44998408497622	0.555641477493852	0.424381878881671	0.343433405329216	0.514823446560887	0.382428135886957	0.296887629046364	0.559225418818554	0.29401022206686	0.584154057372013	0.528560708761759	0.481650787129714	0.587701581805907	0.521626346841026	0.535663163750557	0.204221847149473	0.479740667351919	0.661015006941875	0.396114046566351	0.697136061415927	0.649383434909726	1	0.527293114255762	0.539574066796234	0.305854925526116	0.411931711462014	0.32733555058601	0.447997994644532	0.241542541809429	0.566943772026272	0.135554609904387	0.573399612040468	0.471161132250607	0.190616041662902	0.510617159109508	0.202563547291079	0.583824396421599
PTPRC	0.668589991802342	0.716278898130697	0.860863287291845	0.872755293377458	0.909856506761057	0.756820339074181	0.668069485083186	0.640538350308321	0.865577879043504	0.64278901253167	0.757838699976857	0.754599239784004	0.715321509432271	0.780970330600399	0.774676239669219	0.844629573974418	0.482612523048858	0.684775882020495	0.765623981204127	0.827939641566468	0.835259258585932	0.789927538147547	0.791257653546287	0.287683956612123	0.690425786199518	0.897346189680447	0.519703014740853	0.680498162359385	0.57450415496982	0.527293114255762	1	0.757312733758208	0.632571484729062	0.143635067852842	-0.054262239389347	0.12095733157063	0.530205444117649	0.345214619521854	0.0938008861168192	0.322404007206543	0.658229267187953	-0.192941860932321	0.0227110001999207	-0.32897307811776	0.0562524254455326
SLC16A7	0.395999028221421	0.572709372453665	0.650453528122001	0.639989923183327	0.658870844531277	0.592717447372044	0.59764643572576	0.632686247791734	0.622827836830827	0.443322779678735	0.737137264175299	0.65275353830433	0.629438354580392	0.735469192223734	0.535869974507042	0.673059949128138	0.320734319117192	0.726162276450704	0.499082465967391	0.671930841927562	0.680811335318228	0.575244654363426	0.580025103678975	0.33568092842614	0.61165032840584	0.757302038333124	0.513971130241478	0.649503168816214	0.59206908063746	0.539574066796234	0.757312733758208	1	0.671791792160083	0.330888288645986	0.226109222474196	0.240875597996964	0.505681536759339	0.471121956233523	0.182678028114407	0.415554442241096	0.717231050379147	0.0338177008365147	0.178567887818481	-0.030997190065344	0.169141888037773
TSPAN14	0.190112136686538	0.188738543281349	0.353759789123738	0.377981388909927	0.418431118496871	0.621158406167632	0.486175203518362	0.554346863230934	0.43354516421285	0.129139628587372	0.454660249511532	0.438028816044514	0.326786745151768	0.536774727043328	0.707847400802233	0.47422429862036	0.694071741586473	0.727560362254609	0.310811554031568	0.352401129997769	0.501238592433665	0.323793182691661	0.250825857452129	0.572953106237366	0.36845998092793	0.614739895804378	0.654429156605965	0.498047631093198	0.633329701127846	0.305854925526116	0.632571484729062	0.671791792160083	1	0.472210994561017	0.332310368214894	0.395650065065463	0.699743731598328	0.524665766025018	0.467807916477253	0.462167909776295	0.519407916066256	0.3076450416558	0.227370891686938	0.0849547402366895	0.149415836673773
CANX	-0.0305947954470106	0.0974774233039403	0.0778566685119	0.0216672067776134	-0.0162307190947898	-0.00562220037005978	-0.0346920077473814	0.0550852394177058	0.0493735369201382	0.0627008118421093	0.00109144304372805	-0.0552538642880514	0.160350588778231	0.0966695391805898	0.293362969824622	0.158569689265269	0.342413852877057	0.729752161609229	0.0153433306269918	-0.0274136706864581	0.293203647481591	0.0618893048091676	0.0226709966302559	0.834122413143681	0.193484229994466	0.455694014971474	0.781881207471411	0.622683004881363	0.717120680819367	0.411931711462014	0.143635067852842	0.330888288645986	0.472210994561017	1	0.785817870597627	0.954982356758858	0.669969516593955	0.807818750640096	0.852558494725971	0.904637468432277	0.314778397386932	0.914653292072072	0.88373106835995	0.569415629098118	0.761394012723478
TFRC	-0.145647757091778	-0.0963556408763177	-0.136547740191946	-0.175975847694217	-0.174609861347746	-0.0824014111596828	-0.154699914626367	-0.000565766460370845	-0.19235898672831	-0.0909234859073058	-0.144186078101965	-0.213313794337975	-0.00201189453181682	-0.0461964842030807	0.0568080033779024	-0.037761404042386	0.20384087345599	0.457794638070999	-0.16071809340446	-0.129792687576956	0.127798153830362	-0.0865114843475992	-0.164656316738654	0.523761206930225	0.0694406841338987	0.202526708128908	0.487240132858908	0.495174786974645	0.652133002101397	0.32733555058601	-0.054262239389347	0.226109222474196	0.332310368214894	0.785817870597627	1	0.739906164487181	0.475043951017782	0.722565943462339	0.527381665534924	0.713116283155257	0.165042139478877	0.793889687831433	0.784367513352586	0.845269715950949	0.69477759501694
CD81	0.0429121768705005	0.0840932206432502	0.0905996402884029	0.0500731498373205	-0.00226589073106149	-0.0215939540992786	-0.0289147252940788	-0.0289106076880843	0.0804119574663009	0.110356031151475	-0.0160753259716763	-0.0591721381946825	0.178370449929723	0.0904219413542674	0.303105059897326	0.138794849877724	0.30084194749396	0.681160818542501	0.0455779590067461	-0.0214030311975492	0.265213665937515	0.0548815262911875	0.0634379021740042	0.839129886817368	0.209765520519042	0.433333964944659	0.755368522727822	0.642051608442529	0.684522075469028	0.447997994644532	0.12095733157063	0.240875597996964	0.395650065065463	0.954982356758858	0.739906164487181	1	0.577378028791923	0.807647924290807	0.842137984556195	0.909878633577085	0.285348842915969	0.890618748111294	0.932316827471956	0.523827611831915	0.843796751873919
