""	CD3D	CD3G	CXCR3	CD2	DPP4	KLRD1	CCR5	CD247	CD8A	CD8B	F2R	KLRB1	ITGAL	ITGB1	ADGRE5	FAS	CD53	CXCR4	IGF2R	TNFRSF14	ICOS	TFRC	ITGA4	TRADD	SELL	PILRB	CD44	ADRB2	TNFRSF1B	CD4	LAG3	TNFRSF25	S1PR4	ITGB2	CD226	ACTR2	CD69	RIPK1	SMAP1	VSIR	PTPRA	TSPAN5	PTPRC	SLC16A7	TSPAN14	CANX	CD81	ERAP1	SORL1	LPP	ADCY7	STX4	CD74	PTGER4	MCFD2	CD63	C1QBP
F2R	0.271174675390605	0.468712065605347	0.27724556033328	0.556876872638926	0.0685528812985674	0.541169063430796	0.399027507066859	0.333011523837901	0.522217230431569	0.557463219130093	1	-5.50294571166402e-05	0.654514016673701	0.63751673788674	0.510050193868101	0.472025639308701	0.235733339333611	0.446555306403239	0.636849431075565	0.562350899351584	0.18175654053097	0.658028097035283	0.68829298181688	0.182292081453458	0.147999832626995	0.643839349747707	0.59022196641946	0.365192625661074	0.648852894306291	0.23454678070091	0.399395992063167	0.281032160484716	0.343073871945655	0.149937545997196	0.0781521890622877	0.464988205865001	0.126975373267854	0.659661767841101	0.46027610544789	0.0665411431905989	0.635500849282458	0.708433891589917	0.550383768177978	0.669463983623429	0.523918620455817	0.501543148448943	0.294746111033392	-0.00196872516273916	0.169709674563987	0.582751297071203	0.304203511762345	0.269928773244664	0.137817675026342	0.515509634630226	0.70435761854431	0.313701464846912	0.310050954903512
KLRB1	0.774588151573707	0.748197346521729	0.741142038425497	0.653980368836131	0.907691837459826	0.473401046484485	0.071142922025305	0.771326925472758	0.325013349093695	0.419555542903647	-5.50294571166402e-05	1	0.21730691301354	0.445908221313117	0.448616217263094	0.613254669554804	0.679531445255018	0.689488867523183	0.209370518127456	0.513160269734043	0.695554694384075	0.230770184418682	0.393328104505653	0.806590908160249	0.731301764425979	0.185656737120126	0.494189377294311	0.591059917794334	0.24731353035865	0.344535508551056	0.578885696362585	0.617518935802854	0.759231994422711	-0.0243877591746699	0.877509342785885	0.336064414834535	0.796772339022354	0.0613993223161726	0.456362240287263	0.161587308706887	0.496088214963317	0.0927696664889122	0.608417496373154	0.480658443850409	0.243545699204812	0.222744575395118	0.250251175081973	0.487098124256376	0.0534180346403899	0.0431107467352332	0.135502859959844	0.313375460273954	-0.0216352442675356	0.565199366298782	0.223883988674722	0.334802436482785	0.521055781259848
ITGAL	0.556546947756667	0.710680613027529	0.507066307433412	0.758232116943434	0.202325427014129	0.786900193775516	0.684069298856405	0.590740720570295	0.721468671943149	0.691212159875689	0.654514016673701	0.21730691301354	1	0.457539396298083	0.829768308854515	0.563131304505255	0.382348958583752	0.617683699044294	0.335394575742977	0.628629005446419	0.343651833347816	0.134604989249466	0.681465777437706	0.36713040307143	0.372292748442913	0.559514765963572	0.560684775713863	0.536592273866156	0.390802491587177	0.011895673113403	0.51583855927397	0.357017287692211	0.536514589097039	-0.120574620222035	0.255898338100475	0.234704457988231	0.399064915929418	0.219374260512099	0.455782911422612	-0.127841438387259	0.341388833660653	0.57282395326252	0.736389702119323	0.639887825933947	0.213425183706642	0.0599969754759837	-0.0528115678051126	0.147681494943011	0.0148930476359564	0.0830544766643254	0.113938654447137	0.0319969642210873	-0.160981781249965	0.768881172860736	0.298933533497686	-0.0298860138453899	0.108326009433677
ITGB1	0.664934814554967	0.670525415581768	0.542170317278732	0.626739158651382	0.522466982258909	0.518018775467056	0.220090986309489	0.500014555221541	0.406584695845655	0.48547325893643	0.63751673788674	0.445908221313117	0.457539396298083	1	0.634028512838555	0.738055495595686	0.76277936369622	0.754009087282244	0.709309271462327	0.722217025400993	0.516066935284157	0.716587765785245	0.752364960670956	0.689348130633371	0.598806156320992	0.673891795817239	0.814561327805671	0.374484528326255	0.879565353155722	0.748436498673843	0.497815796637441	0.62339076508158	0.665636034713071	0.557098935049865	0.577827909309724	0.872906187920787	0.579836699969595	0.679974338329584	0.781942706871783	0.581036181863367	0.854239993185583	0.65529899080911	0.737050646961157	0.706734758950455	0.822513422365386	0.832322529139966	0.770555587668692	0.494400509975331	0.609423337126437	0.712506061390298	0.631544302370324	0.758311507500353	0.568870358940792	0.686113505225121	0.829678563109192	0.775970735350186	0.747978537516524
ADGRE5	0.681544994658506	0.786515833764383	0.73950017916899	0.771871324619837	0.380108928154642	0.740691774665687	0.727682736208869	0.710151945868525	0.578161605134454	0.594828973069001	0.510050193868101	0.448616217263094	0.829768308854515	0.634028512838555	1	0.597797303574602	0.583856007523401	0.677915218216577	0.445133006932856	0.578805123396132	0.414463601544586	0.198127020287401	0.654197186571826	0.584703337011555	0.494450528374481	0.606809525520239	0.587289536440365	0.674803591684647	0.483180097338413	0.233346797182933	0.519983460339727	0.389399893620481	0.603936363547943	0.0673952992777823	0.45373305684058	0.400656526106112	0.515994216605869	0.220328812142951	0.504482847028044	0.0474935595739976	0.470721346795654	0.523227201966325	0.763957955013879	0.558358434292188	0.288019406863628	0.276677068558829	0.187451087280161	0.269044161513532	0.193012307982898	0.183551499326701	0.246931269205137	0.320548497520588	0.0478206097743715	0.85631166224075	0.396941135737585	0.196657831710696	0.299489174025457
FAS	0.792520193771745	0.804693222505439	0.583654481363614	0.818551550948859	0.689386493780783	0.639125763499355	0.187405501650002	0.652104244250351	0.576447840927679	0.614525568570778	0.472025639308701	0.613254669554804	0.563131304505255	0.738055495595686	0.597797303574602	1	0.765052644279542	0.853393647631876	0.486936170507453	0.845245180627984	0.782471585693786	0.428886839663732	0.736861388379599	0.735761560864228	0.730310584983046	0.556172743748879	0.787634478960386	0.427681998805808	0.667845613720753	0.584888482899554	0.586249363765783	0.73444058417476	0.84804996712745	0.225779779839403	0.680854934169276	0.673683628994307	0.74753166787346	0.443669009032819	0.7190611160828	0.345542390197921	0.66289555408136	0.504140881578219	0.82299900275995	0.739096449569683	0.655174551165758	0.486384695049697	0.4027898425412	0.463429033650252	0.272560368838743	0.399682598674539	0.382284087997877	0.365604131437503	0.187419942607919	0.666958267945869	0.550973695138845	0.466801774246902	0.575527285164228
CD53	0.886152174893458	0.765220342985697	0.627720221193839	0.700691851892059	0.765210786999626	0.52506158238356	0.109154892892134	0.616998640726213	0.434677360204683	0.417843709267947	0.235733339333611	0.679531445255018	0.382348958583752	0.76277936369622	0.583856007523401	0.765052644279542	1	0.862765291048236	0.390497714840571	0.780752266847036	0.743654533024176	0.323423642258488	0.691139111927627	0.899944845554711	0.850709134914965	0.543413405899333	0.771191061227574	0.277199453843978	0.682909885362882	0.723052087229434	0.551355495529403	0.805028670793664	0.809572250316334	0.471592728360091	0.841658055861637	0.774011431067763	0.834378380878258	0.36886424648412	0.78364307628644	0.610095080266846	0.607990150979791	0.415554376121012	0.823525155417151	0.535578767589822	0.672053151903245	0.539066451257247	0.579347851267027	0.679561437475647	0.541440710337411	0.440040852071931	0.582170589820874	0.64968862891955	0.447082321157181	0.694346922603411	0.463755787467517	0.576295310786636	0.66109490989496
CXCR4	0.92586260304975	0.904808758242154	0.653280439817035	0.878143157715173	0.785694262705226	0.73049727654503	0.178683125788466	0.775065854031448	0.689000704456	0.686828726852597	0.446555306403239	0.689488867523183	0.617683699044294	0.754009087282244	0.677915218216577	0.853393647631876	0.862765291048236	1	0.435613865501975	0.839006965409944	0.782562281494182	0.399735336549936	0.82638989190982	0.88041226959125	0.863994757186438	0.515413425866146	0.902967817495429	0.437909905370796	0.704873990952438	0.566655018122978	0.775791984681036	0.869055796626859	0.936125437601249	0.247333202436564	0.802751339118579	0.706321558952625	0.891832513418701	0.491108620109781	0.83755541710696	0.42785426675207	0.716905076479832	0.566953400814142	0.939878825210124	0.7698787761834	0.664170028248667	0.464727790982669	0.465276972123893	0.651256432054787	0.376095848762938	0.385252861717419	0.438404755104203	0.477914181763843	0.233545130015567	0.758023346420141	0.527683989690861	0.522718264772906	0.665693630558993
IGF2R	0.302844412184778	0.413893833795917	0.269953822972946	0.401417043200581	0.168028330110108	0.465814619273826	0.265613490202268	0.360164130170705	0.312469505256575	0.496085904682968	0.636849431075565	0.209370518127456	0.335394575742977	0.709309271462327	0.445133006932856	0.486936170507453	0.390497714840571	0.435613865501975	1	0.470253775112267	0.221419914458921	0.746127155516122	0.610029794393452	0.265573927197628	0.283747339152936	0.71116554479225	0.615022412562129	0.515080275555315	0.750562648029606	0.5372640552213	0.399509044188458	0.330362384589562	0.406604923197911	0.392809038399815	0.32432846959595	0.645151632857596	0.259240377259802	0.724126338661969	0.523925602565361	0.383405184798762	0.756549643499282	0.686968830123094	0.499813612937296	0.576687810271511	0.709822283710925	0.787220154314571	0.598337669109137	0.174770253775619	0.424827315713251	0.725970725579992	0.433290121703443	0.556818600459188	0.400702160147945	0.439700001464297	0.745610939259687	0.593474734183545	0.517321601314635
TNFRSF14	0.796898663064791	0.794492804041062	0.52027234652829	0.827040532809235	0.577444226028517	0.760187025349702	0.238912946295253	0.581929561128115	0.744896330483593	0.731325233592123	0.562350899351584	0.513160269734043	0.628629005446419	0.722217025400993	0.578805123396132	0.845245180627984	0.780752266847036	0.839006965409944	0.470253775112267	1	0.666509130850162	0.445096464140299	0.813086756627808	0.687335324346333	0.690108850005961	0.664916673918126	0.812659629397478	0.387351183171061	0.681608106788063	0.448523340985818	0.609868013689562	0.761108886860411	0.811523519798068	0.233652598869105	0.650043652458655	0.635078242458751	0.705021930512727	0.44570061624606	0.79109127359543	0.372169806618675	0.649486534828655	0.648387193133368	0.89010344540606	0.736266989699279	0.624692727255059	0.454341405532048	0.366392105392502	0.4212358595176	0.29197401091559	0.395706263310082	0.386308852742727	0.383906733391881	0.183310353448721	0.736038531244719	0.528773124229852	0.386309571558846	0.51738455111498
ICOS	0.769642214236718	0.731582044540633	0.529927838830099	0.722545912884619	0.790342855710143	0.480794167739378	0.026895156410468	0.641390994337096	0.464727875284322	0.449351293725801	0.18175654053097	0.695554694384075	0.343651833347816	0.516066935284157	0.414463601544586	0.782471585693786	0.743654533024176	0.782562281494182	0.221419914458921	0.666509130850162	1	0.29461382121895	0.473192346468442	0.789960618990703	0.698194858788485	0.289362941767199	0.710313945518096	0.220661313406994	0.441120547780732	0.46279646674235	0.598380308705173	0.689302302280056	0.792904484396788	0.0991748911831124	0.762398117585665	0.547901007282493	0.778705730817585	0.283342940554943	0.618149656067141	0.272028201137752	0.559377413553764	0.30504961728397	0.659764839386958	0.439824700692769	0.493323360012982	0.343620703549493	0.359687563643123	0.497726665311585	0.119888375013838	0.24906220376131	0.152175469613248	0.361892579220022	0.120820672845693	0.445911912349073	0.400977188872588	0.440461871778858	0.570103957854404
TFRC	0.280350479667398	0.343128146059091	0.197258928472369	0.319230042357293	0.282631858951202	0.304875998093911	-0.07894977133395	0.284943627736962	0.228586866590314	0.351582360056268	0.658028097035283	0.230770184418682	0.134604989249466	0.716587765785245	0.198127020287401	0.428886839663732	0.323423642258488	0.399735336549936	0.746127155516122	0.445096464140299	0.29461382121895	1	0.472789675790816	0.336509546083864	0.261163428650408	0.537578043435592	0.633042257042504	0.22280157637014	0.6895377427986	0.487595202684375	0.41068740771994	0.410791277430589	0.380817118301621	0.314411222964858	0.344522750699287	0.638835280711959	0.266272983996198	0.7765631318212	0.594764306539309	0.327604795630636	0.89196710447935	0.627926084596752	0.388289473411742	0.536359089248055	0.719871432977256	0.835902778679938	0.703874481658947	0.198883025110816	0.362901144080187	0.81509418136546	0.396619932954229	0.642179815378417	0.364327244577029	0.301955046374527	0.899848647581003	0.763355763715026	0.723595834678666
ITGA4	0.682627595822488	0.745291762589741	0.532033116726675	0.810313577256103	0.506944928854723	0.702547444879307	0.342970616724752	0.644276629601523	0.6964586610496	0.7015831228586	0.68829298181688	0.393328104505653	0.681465777437706	0.752364960670956	0.654197186571826	0.736861388379599	0.691139111927627	0.82638989190982	0.610029794393452	0.813086756627808	0.473192346468442	0.472789675790816	1	0.581621431945415	0.603146889354757	0.606769332382131	0.787696204167333	0.501799322496309	0.813933322808182	0.566136975495881	0.66095086483729	0.666899938618729	0.723875811051683	0.390103570683782	0.504066228695428	0.727287705482975	0.60959237521109	0.676782937024809	0.706357217190284	0.462616204077398	0.688322033222795	0.657201261264454	0.875362490409698	0.814936560872473	0.713302796468237	0.54634662044997	0.439446866640508	0.491565034407787	0.463696817329266	0.507256458460631	0.53468387348205	0.377144699541961	0.344778669858093	0.76324205444326	0.58384158429749	0.42530639638042	0.475097865191426
TRADD	0.940992199903896	0.837219910854625	0.726817998831597	0.743394852661868	0.886920520166065	0.559271475950259	0.0682616001347014	0.758160993382742	0.429274736910995	0.451509166086728	0.182292081453458	0.806590908160249	0.36713040307143	0.689348130633371	0.584703337011555	0.735761560864228	0.899944845554711	0.88041226959125	0.265573927197628	0.687335324346333	0.789960618990703	0.336509546083864	0.581621431945415	1	0.903010675189166	0.38749764833183	0.752835230705267	0.343845880875114	0.532161851123556	0.561216434402671	0.687839307434688	0.812260630078338	0.841525097433539	0.232645403200283	0.905017362253046	0.62666791092304	0.892525189566826	0.297543169874229	0.743475603982014	0.403009297706015	0.628937061493699	0.347094458338339	0.79745828417119	0.541151943803158	0.548314897822021	0.425489853064511	0.485791861384962	0.679571734014695	0.383879138881306	0.355950656481126	0.424738246182519	0.563243358946344	0.232408967515003	0.702124596912895	0.425846518226857	0.555256958232072	0.724316576923379
SELL	0.913099465913442	0.785800568466042	0.628753372734077	0.71509577857921	0.802375510896867	0.532420821886467	0.0222062053990349	0.698839046327371	0.439222234581683	0.456525448982483	0.147999832626995	0.731301764425979	0.372292748442913	0.598806156320992	0.494450528374481	0.730310584983046	0.850709134914965	0.863994757186438	0.283747339152936	0.690108850005961	0.698194858788485	0.261163428650408	0.603146889354757	0.903010675189166	1	0.396916123605466	0.732244964926785	0.302282680732103	0.507621199311846	0.54363266318936	0.61697897945154	0.880217461534115	0.869224149700312	0.169570564017993	0.890310773462071	0.572090597731654	0.872740364550829	0.320748555058689	0.730035710936548	0.403504317852256	0.546336457314489	0.385953512081627	0.81744128677915	0.592334127483176	0.541315255186948	0.327323516972888	0.362346951271773	0.682157950168214	0.327570982981023	0.296169279253683	0.373018752993591	0.412432284660556	0.135858186835326	0.654600126581259	0.352342448688338	0.440989405860072	0.620013594238631
PILRB	0.484194959295491	0.480999048377281	0.283551935006007	0.486592458412594	0.175474878816011	0.558088836977388	0.301783904656919	0.306759457064172	0.409302156106319	0.422399590955727	0.643839349747707	0.185656737120126	0.559514765963572	0.673891795817239	0.606809525520239	0.556172743748879	0.543413405899333	0.515413425866146	0.71116554479225	0.664916673918126	0.289362941767199	0.537578043435592	0.606769332382131	0.38749764833183	0.396916123605466	1	0.625537345892345	0.352984594160557	0.645506505352291	0.374476589273535	0.263222993811391	0.516698621708771	0.471300077288257	0.205974477360914	0.38505438572677	0.50167991046702	0.36626979316587	0.43286083552411	0.616661273083323	0.182869186852476	0.607098514827591	0.670704319272422	0.638044666634595	0.563009431487014	0.559328007614202	0.526818325414602	0.347041463634325	0.284757168112769	0.329169264467756	0.598399585977028	0.453384681715992	0.490826171872794	0.167123584633317	0.599986044388075	0.602263340097275	0.337462659885313	0.350561857668019
CD44	0.807982123294039	0.803882271185122	0.45021171415472	0.762842539557872	0.594860413191523	0.733046548494526	0.0938075142670776	0.656670938976256	0.700728227046531	0.710630523664174	0.59022196641946	0.494189377294311	0.560684775713863	0.814561327805671	0.587289536440365	0.787634478960386	0.771191061227574	0.902967817495429	0.615022412562129	0.812659629397478	0.710313945518096	0.633042257042504	0.787696204167333	0.752835230705267	0.732244964926785	0.625537345892345	1	0.316380683685123	0.792628960292596	0.56580195987014	0.774546972583218	0.826549680754669	0.864905487881983	0.275546972507924	0.717965660673188	0.792331100586448	0.779159582048102	0.673449736343224	0.937785483826002	0.444571775105407	0.848636196658734	0.795538599284988	0.874729804219413	0.704346191658768	0.805681858276707	0.652961691842056	0.635182675150401	0.512409838600896	0.386707361959682	0.6020407059059	0.429982632445309	0.61704275839413	0.306332414617001	0.648929333004421	0.741216396338024	0.700968816163216	0.798104656068739
ADRB2	0.422403434559725	0.618382230145029	0.659645462434456	0.613769351121186	0.394688564090179	0.651651510528252	0.603604336234213	0.672120368391154	0.440264575375959	0.645704199009403	0.365192625661074	0.591059917794334	0.536592273866156	0.374484528326255	0.674803591684647	0.427681998805808	0.277199453843978	0.437909905370796	0.515080275555315	0.387351183171061	0.220661313406994	0.22280157637014	0.501799322496309	0.343845880875114	0.302282680732103	0.352984594160557	0.316380683685123	1	0.242538484003513	0.0638782699517922	0.472677508513337	0.161856953842488	0.458174695711227	-0.0938039281373327	0.377097010357328	0.139049493560794	0.346592499116031	0.153844152834914	0.171899480012821	-0.09158829656425	0.401526561933232	0.278331906475381	0.516752325688025	0.553264770452376	0.0890608831997534	0.175889279099229	0.027934265176647	0.10090681406449	-0.0495087339509985	0.00480438713565855	0.0256552266904692	0.0682070315923681	-0.121343240156527	0.632638335783052	0.201018421922239	0.0540816675658793	0.15808267879677
