""	CD2	CXCR3	CD3D	CD3G	CD8A	KLRB1	CD8B	KLRD1	CD247	F2R	CCR5	KLRK1	ITGB1	ITGA4	CXCR4	ITGAL	ADGRE5	IGF2R	PILRB	TNFRSF14	ITGB2	S1PR4	LAG3	TNFRSF25	CD226	ICOS	ADRB2	FAS	SMAP1	CD44	TRADD	TSPAN5	TFRC	CD69	PTPRA	PTPRC	TSPAN14	CANX	CD81	LPP	TNFRSF1B	PTGER4	CD74	SORL1	VSIR	APLP2	SLC16A7	CD63
CCR5	0.505249084831722	0.424911950219533	0.304254187702	0.389442491521738	0.485120311872273	-0.260037789063605	0.312243903124049	0.230378024230742	0.503112429688652	0.534233043922195	1	0.249074516642655	0.148484393616559	0.203573688586269	-0.090888909797167	0.458535481903858	-0.0046747666259378	0.215186300656364	0.408390124829761	0.0736626027005259	0.234211641329019	0.160248472065351	0.349167253176258	-0.265972682475723	-0.167372955803992	-0.140287455553161	0.175632577316624	0.40641134112913	-0.0455428701325165	0.0942202591479385	-0.20697641607678	0.465481366644218	-0.398548859190694	-0.238034747767941	0.0665804127710804	0.34470956538302	-0.0165381699908851	-0.168000918582738	0.00112796694996993	-0.144066392022275	0.0472483177102104	-0.305142889291111	-0.0959732188546103	-0.0959356866553706	-0.0441352621621556	-0.193504345852123	-0.164608485438834	-0.165211395893972
KLRK1	0.221590872606624	0.0152388375600446	0.0147644857605851	0.15465051522765	0.439659663977483	-0.199179927705785	0.370779446568701	0.630568825693032	0.438385212316435	0.346806428599353	0.249074516642655	1	0.19737232541041	0.354797876756772	0.0420613296418083	0.262171555850913	0.101562018059962	0.00508377676797652	0.269250592484782	0.00179011710563766	0.133219596259824	0.0130008958743633	0.0256601733376656	-0.185795401712439	0.0264003007041792	0.0560881028239047	0.357058707840187	0.159215243116405	0.0350746996657979	0.121344700479658	-0.142549203207359	0.133968222262584	-0.0763825246105914	0.0734509810148579	0.224769917355102	0.366398584004703	0.166207680404631	-0.134673858949691	-0.0799270871949661	0.0188316053783065	0.0586700746379932	0.0497960954191832	-0.0499595392645349	-0.00126391382818552	-0.0668673373920189	-0.119321219759582	-0.00297484979573764	-0.102998633302148
ITGB1	0.585255172597562	0.297795635873942	0.583761121968576	0.624393373164085	0.183094174974207	0.313952659112437	0.373187173081544	-0.19740795345409	0.435758336261718	0.619004465801377	0.148484393616559	0.19737232541041	1	0.656024722659476	0.575237673979482	0.211079528550516	0.713459762007794	0.154175323412311	0.0234264473450016	0.64605217334281	0.545188997696107	0.55664304555757	0.368633121729444	0.474680664070761	0.505727878224797	0.627279307844661	0.253804043094668	0.594215971699993	0.744071807348991	0.804539764547853	0.621777446452562	0.49227990782483	0.516436044001195	0.62155793102591	0.631717671050673	0.705192405592084	0.574399085615205	0.647705354244823	0.710086146343662	0.497829767631377	0.625085074917198	0.611377506250992	0.533882101488547	0.284114601030075	0.580606226808371	0.445635319318203	0.197787061006554	0.654611354673977
ITGA4	0.61556105814824	0.186181152528482	0.490224946980369	0.633966456122452	0.208051421503447	0.225678128943134	0.369299721508965	0.102416945295576	0.541509901038242	0.602609497962261	0.203573688586269	0.354797876756772	0.656024722659476	1	0.546700947213423	0.387040495831821	0.541671003597172	0.113701560462466	0.181500324769494	0.334560514190009	0.309195293352841	0.402245214483839	0.203254324870513	0.395044550801496	0.485891180006892	0.582980021780509	0.369381846726742	0.599434212250153	0.517501057727147	0.702949392435368	0.415404457395664	0.371263891958067	0.368303636668432	0.568775435778393	0.506632715054823	0.81799278311562	0.348063849729895	0.181339314679913	0.252248549769185	0.2278424949755	0.545246353209397	0.50249162342971	0.228107044970398	0.161053971872173	0.204439332831057	0.0337770302277755	-0.0308554477032871	0.204201291774127
CXCR4	0.353184490449634	0.128566329099014	0.572371453782642	0.522918117584379	0.25969253627768	0.307449076266167	0.478107469415433	-0.302679475942754	0.24216868776584	0.21196559342913	-0.090888909797167	0.0420613296418083	0.575237673979482	0.546700947213423	1	0.236405989347613	0.722165883152783	-0.260358367885214	-0.268531940830382	0.469374027730127	0.312982374922075	0.340081379622776	0.248747107297259	0.481436432432098	0.32778328515082	0.763957984918455	0.41393277973607	0.489161270308879	0.531903594792836	0.78396723651002	0.618110872844508	0.267230556174437	0.532120639083631	0.916454548461272	0.28763265290627	0.50919430507592	0.129177534082434	0.203065285655306	0.31323622493102	0.0620559776838303	0.455698637399846	0.863968207132207	0.328036554178775	-0.0271102806836758	0.203955644987896	0.0815124269514877	-0.109691854204635	0.2152083632158
ITGAL	0.307135509052782	0.149667733734057	0.198856887486218	0.277880163513238	0.334774756094275	-0.155862046702216	0.245488257937899	0.387459448309718	0.46755022650201	0.508005897525121	0.458535481903858	0.262171555850913	0.211079528550516	0.387040495831821	0.236405989347613	1	0.139324105963071	0.0824830971116054	0.317692798139087	0.000824972819867663	0.207684642860641	0.0576991134333154	0.201082924988915	-0.0812211161371506	0.0398707056254162	0.0992100886044934	0.632264188220244	0.556834876752124	0.081849691790661	0.192401700268725	-0.0831260755330558	0.228897622742638	-0.036579642045045	0.164445268457545	0.177861534600649	0.443029444312278	-0.0152382837532207	-0.125290623753159	0.0386122342065482	0.0464787652578748	0.297820464115618	-0.00273129827497524	0.0250456967771022	0.0180769815323986	0.0271715744234101	-0.0735798959189998	-0.0932961076994815	-0.11072085140945
ADGRE5	0.434843451348124	0.21322220757264	0.588952756243077	0.573997259814277	0.299929206459481	0.311646485851964	0.49838088209812	-0.39303917522979	0.262973350273008	0.303368392529825	-0.0046747666259378	0.101562018059962	0.713459762007794	0.541671003597172	0.722165883152783	0.139324105963071	1	-0.135993477044102	-0.182275497977276	0.569024126196644	0.329450332792649	0.449398201122277	0.31930422301179	0.512251647994178	0.346149379477997	0.694768395224685	0.153117217435876	0.442276096952191	0.570557294925187	0.749771070219912	0.658379145284645	0.303917580304334	0.530227242253546	0.762800665481532	0.280136874973905	0.517966327793438	0.309620782238279	0.347501858857009	0.387446962669148	0.0872894013292211	0.455428379823131	0.753498520288561	0.370789317183329	0.02140146744463	0.31583619244328	0.123142247765398	-0.0616011435195017	0.301442370686967
IGF2R	0.0224199907808631	0.0717306895628883	-0.173066763124547	-0.0497543935590194	-0.283453649040576	-0.126098593447702	-0.302795463939335	0.19824036442031	0.192517502575064	0.277674964291439	0.215186300656364	0.00508377676797652	0.154175323412311	0.113701560462466	-0.260358367885214	0.0824830971116054	-0.135993477044102	1	0.268055079666777	-0.04773783257045	0.268981372594095	-0.0293941536059713	0.0192415286775797	-0.0818854101753019	0.116072760136369	-0.0980243356016487	0.094138767430996	0.189499555164611	0.0747405085863971	0.0370067857798974	-0.17803171269411	0.237298062575727	0.146826078161359	-0.237904674676498	0.439039236460688	0.18188892988718	0.493361593300671	0.311148844732399	0.340349115006709	0.401533415902554	0.369751195452734	-0.18931257218069	0.271461338998126	0.557829973736633	0.337575802476296	0.443907121155431	0.350063888516043	0.311143516177686
PILRB	0.057981278895518	-0.0834938935056686	-0.186309939325267	-0.0330634919221089	0.00290549792916947	-0.126062140212416	0.0474343972482765	0.482328158115103	0.276809605240257	0.315498950482061	0.408390124829761	0.269250592484782	0.0234264473450016	0.181500324769494	-0.268531940830382	0.317692798139087	-0.182275497977276	0.268055079666777	1	-0.163596717624743	-0.101878117751835	-0.0779402217306226	-0.0996794359107274	-0.226659828177354	-0.0416955945708062	-0.254803878213012	0.0487417496995604	0.164895780828352	-0.0762156798558042	-0.144951595509901	-0.253981394887829	0.0579322292348585	-0.264802668310963	-0.230044108965432	0.0489414814655645	0.175892258083728	0.105788389043626	-0.10761675099943	-0.140055486013387	0.0714863145769977	-0.140502862135338	-0.313986300620665	-0.123716371132752	0.13910753474787	0.0410245582600357	-0.0720328625859802	0.0413298987372327	-0.126369696183259
TNFRSF14	0.587308981780695	0.531895158266374	0.698236547577138	0.651989333082014	0.287521754172968	0.516626579840133	0.442544572118731	-0.390037606949379	0.35232626149179	0.2025980107847	0.0736626027005259	0.00179011710563766	0.64605217334281	0.334560514190009	0.469374027730127	0.000824972819867663	0.569024126196644	-0.04773783257045	-0.163596717624743	1	0.550670600893522	0.705924654773824	0.534348469910951	0.472741337015836	0.343057018669775	0.4983847436377	0.0219596857406441	0.173743889636276	0.490845908872199	0.641187792078262	0.722226334830607	0.379756801117367	0.173425424462063	0.475703149218839	0.301741053139245	0.431311137027523	0.211035535084258	0.397347241982013	0.48724245144799	0.101479146335945	0.438695739258845	0.541459878902637	0.379076044809907	-0.0761888741270039	0.459374911907789	0.121218205164372	-0.150173529206614	0.435573512178374
ITGB2	0.406145046810895	0.494858805060782	0.499501140587244	0.421726293255136	0.313190245002709	0.113897146742549	0.320700421220081	-0.0596121662772323	0.257066170706801	0.364882683125522	0.234211641329019	0.133219596259824	0.545188997696107	0.309195293352841	0.312982374922075	0.207684642860641	0.329450332792649	0.268981372594095	-0.101878117751835	0.550670600893522	1	0.426681146392614	0.577687760266728	0.0744966606466904	0.0785416368325724	0.366985316712245	0.353951359938849	0.292755074873677	0.400933720702204	0.482309768113075	0.334602603224084	0.417872797141911	0.198746838113531	0.248201175491914	0.302754405897077	0.34924116191378	0.369111846232354	0.486407525944643	0.731767383022029	0.369243130488425	0.66412141909904	0.297763261191033	0.660631927763131	0.332005791557122	0.621262304389253	0.431809898606031	-0.0647533431054387	0.604888453363964
S1PR4	0.709034159778968	0.56938095090937	0.810382843438839	0.737114660880772	0.143300585073348	0.59899860590828	0.379154385294325	-0.320425128376391	0.379306870051537	0.235081065829104	0.160248472065351	0.0130008958743633	0.55664304555757	0.402245214483839	0.340081379622776	0.0576991134333154	0.449398201122277	-0.0293941536059713	-0.0779402217306226	0.705924654773824	0.426681146392614	1	0.619246967021571	0.518557883545061	0.422628590921672	0.427494225919107	-0.0580655676070782	0.193413770348428	0.548880301033141	0.577289211795003	0.698728315771811	0.267736051516734	0.00834044763083237	0.340961467500535	0.270602262796918	0.463949533734796	0.126015895387003	0.34416544441255	0.381232127174531	0.0640380406863557	0.333623614615333	0.430438137737321	0.16705277587391	-0.122162278540696	0.369293865768961	-0.0334620102754168	-0.149343097329348	0.262896391972371
LAG3	0.524935031279695	0.798894035735021	0.653979863285368	0.534378335989661	0.462432330608223	-0.000109786014312334	0.412318708143848	-0.214579557237463	0.32561948237006	0.357362859507512	0.349167253176258	0.0256601733376656	0.368633121729444	0.203254324870513	0.248747107297259	0.201082924988915	0.31930422301179	0.0192415286775797	-0.0996794359107274	0.534348469910951	0.577687760266728	0.619246967021571	1	-0.00178553343543524	-0.0761274227238746	0.166299299877023	0.167924023266626	0.280984009831795	0.210482320015829	0.308074119563854	0.257883330141476	0.430832030583847	-0.130661641358772	0.0971325085883944	0.0691312673917337	0.211066247364772	-0.0628473276695986	0.0988189484620466	0.378771285207552	-0.0124899205753007	0.36026415406719	0.17403345376471	0.128169997338843	-0.196796016200224	0.173237381505617	-0.0106852481195407	-0.176561434525141	0.14959878414478
TNFRSF25	0.377628310650354	-0.0366811194211236	0.429718897966743	0.466395296207862	-0.295627681924958	0.806344558608739	-0.0192903426223429	-0.42319367546153	0.051154713754303	-0.00521078875866219	-0.265972682475723	-0.185795401712439	0.474680664070761	0.395044550801496	0.481436432432098	-0.0812211161371506	0.512251647994178	-0.0818854101753019	-0.226659828177354	0.472741337015836	0.0744966606466904	0.518557883545061	-0.00178553343543524	1	0.74731492811263	0.641961958233919	-0.0398715240423773	0.0787864222803861	0.599897487284685	0.624745022522218	0.785205916877631	0.0396612883894757	0.488790370515086	0.609990810930233	0.345419792042401	0.479127689086718	0.248009372435174	0.481219041126032	0.270493314690537	0.199271580132146	0.317459578488973	0.674623269782187	0.209987349252698	0.10221256582145	0.303072020280248	0.0967101018673287	0.0722800660461999	0.308959371045543
CD226	0.362531112020315	-0.00854382373570832	0.316144986153315	0.435037772549838	-0.35797049210571	0.628456707635719	-0.152543660400992	-0.133755396915786	0.163068687784768	0.190255863955631	-0.167372955803992	0.0264003007041792	0.505727878224797	0.485891180006892	0.32778328515082	0.0398707056254162	0.346149379477997	0.116072760136369	-0.0416955945708062	0.343057018669775	0.0785416368325724	0.422628590921672	-0.0761274227238746	0.74731492811263	1	0.568297755497385	0.113102158593566	0.105676682273495	0.616865548804542	0.590254317841594	0.569581527165778	0.00751781943656681	0.442140767174298	0.469953913729045	0.429509612055022	0.583331033075606	0.427419077132372	0.425847567340345	0.261334708407313	0.357299584213401	0.380264306245372	0.541310253063382	0.238963611326044	0.257055422816438	0.328177631343682	0.12292277119311	0.113038025288528	0.298591216838328
ICOS	0.394661849812584	0.0905190143208556	0.542232961787446	0.54058313424558	0.0616577837201155	0.446448506492129	0.287590430020818	-0.310484845789073	0.116823614304829	0.194411701910297	-0.140287455553161	0.0560881028239047	0.627279307844661	0.582980021780509	0.763957984918455	0.0992100886044934	0.694768395224685	-0.0980243356016487	-0.254803878213012	0.4983847436377	0.366985316712245	0.427494225919107	0.166299299877023	0.641961958233919	0.568297755497385	1	0.274831341600438	0.381433830916886	0.572967746519913	0.799873086243736	0.69354576434052	0.197299364285432	0.606582646853233	0.822801640885933	0.342238617502203	0.570858896191611	0.336910517522019	0.343448806930904	0.346700102745734	0.25284167602651	0.570980177816641	0.811313663069704	0.329357829467498	0.100730408694067	0.265532829059676	0.136739693322588	-0.0153876261908966	0.313481345727946
ADRB2	0.145450819029571	0.0560985293623355	0.0893042211431947	0.152188027510023	0.230727855763003	-0.172453456906789	0.0998070078600087	0.394351584074948	0.366627771192267	0.388008998555177	0.175632577316624	0.357058707840187	0.253804043094668	0.369381846726742	0.41393277973607	0.632264188220244	0.153117217435876	0.094138767430996	0.0487417496995604	0.0219596857406441	0.353951359938849	-0.0580655676070782	0.167924023266626	-0.0398715240423773	0.113102158593566	0.274831341600438	1	0.470090168009768	0.109794474616184	0.332777392392153	-0.0646867123185959	0.216934811518454	0.212142852801638	0.295173858315408	0.246764277053467	0.421890749456046	0.0703158156333457	-0.0255911243613417	0.168899996599929	0.199316694502178	0.445845479201512	0.276081307445	0.233338405529266	0.224315274484504	0.140113531938912	0.0951219405027205	-0.0185039670885349	0.0249970393316254
FAS	0.478361579567842	0.126047940368042	0.362769002721289	0.447045797964045	0.307169204162932	-0.121389282751271	0.279539348464805	0.0933892354950026	0.519779155548844	0.714557419712677	0.40641134112913	0.159215243116405	0.594215971699993	0.599434212250153	0.489161270308879	0.556834876752124	0.442276096952191	0.189499555164611	0.164895780828352	0.173743889636276	0.292755074873677	0.193413770348428	0.280984009831795	0.0787864222803861	0.105676682273495	0.381433830916886	0.470090168009768	1	0.36304835179161	0.550996277369846	0.131606123297505	0.53129756206653	0.325554139326277	0.387099238366177	0.474636187188631	0.632268998614514	0.243996848527404	0.178755051569706	0.331669737648601	0.323881669303683	0.510549310542235	0.26239610723927	0.154135655529627	0.190164382213288	0.171847385371496	0.205697722495311	0.171317955792733	0.184585785726038
SMAP1	0.461503247583874	0.21179781814716	0.589900396140641	0.570810987679634	-0.00922531143372521	0.571515972786558	0.273957406900756	-0.324150125533872	0.207166511013877	0.358599628151673	-0.0455428701325165	0.0350746996657979	0.744071807348991	0.517501057727147	0.531903594792836	0.081849691790661	0.570557294925187	0.0747405085863971	-0.0762156798558042	0.490845908872199	0.400933720702204	0.548880301033141	0.210482320015829	0.599897487284685	0.616865548804542	0.572967746519913	0.109794474616184	0.36304835179161	1	0.742030853363422	0.723944485867374	0.341452367021166	0.382724732852978	0.583471444785107	0.484560650442478	0.498405458863947	0.450057180659854	0.696708533218581	0.634408153323644	0.425935378817524	0.394960526854556	0.59457036237697	0.41860309444979	0.243765826673147	0.497633446796153	0.383703963922871	0.247941302805594	0.619769274071476
