""	CD3D	CD3G	KLRD1	CD247	PTPRC	CD44	ITGA4	CD8A	CD8B	KLRK1	PTGER4	CD2	CD69	CXCR4	CXCR6	KLRC1	S1PR4	ADRB2	CD226	ITGB2	SIGIRR	CD47	ICOS	TFRC	TNFRSF1B	PILRB	SORL1	CD46	TNFRSF14	ITGAL	IL2RG	CLEC2D	ITGB1	SPN	C1QBP	ADGRE5	TRADD	F2R	LPP	TSPAN14	CD81	TSPAN5	RACK1	PTGDR	PDCD1	JMJD6	PTGER2	CD63	STX4	HLA.DPB1	CD74	VSIR	LAMP1	ATP5F1B	PTPRA	CANX	RPSA	GPR171	SMAP1	APLP2	PTPRZ1
PTGER4	0.978875310467933	0.97957270609379	0.891463187293928	0.949357109455071	0.970847606307996	0.960199351518123	0.949928490386129	0.880017130194528	0.970637184179168	0.961347177407955	1	0.97939132274109	0.99095870111924	0.983938946157292	0.987323775817938	0.921045153656406	0.996149799585074	0.800120828146616	0.793921004663453	0.758187231647446	0.980769895324216	0.721078703701001	0.784606118979494	0.368985777536557	0.867058030373239	0.384688245321007	0.4976518225426	0.579047708801125	0.914727770142477	0.929194241196635	0.957854198354579	0.922596036231051	0.834356175352999	0.988925083259244	0.797055829598954	0.924268094725535	0.971188211793122	0.440313075643332	0.721628261705403	0.834747943076793	0.260101646319466	0.225800929860328	0.929261754348155	0.962842561785334	0.959950010090345	0.890164813420873	0.91897550126013	0.13250921838115	0.856700942278593	0.5073905989834	0.186204223657829	0.30562301214689	0.395337944891644	0.435712241046554	0.400966569281582	0.56143098909604	0.922664975393916	0.827102994753722	0.663627781928559	0.288811752948056	-0.440817669720224
CD2	0.990756374799765	0.996894146664812	0.944653658249146	0.978034688824281	0.994365837211317	0.933770169028886	0.988366668594945	0.848665574833895	0.995785941658011	0.975338118730383	0.97939132274109	1	0.968746699916369	0.978936462456945	0.968763486707901	0.939810000395439	0.970627523497086	0.784041960550455	0.893913763043667	0.769820792002538	0.970383489278217	0.729404428849602	0.859461318424228	0.411976006759693	0.921144341705798	0.411738751089193	0.491353297507066	0.603692735399563	0.910438058609502	0.952052003482016	0.993957418848133	0.970596634901657	0.861587699689118	0.983245194117584	0.821622546412685	0.933432684503256	0.96510508891476	0.416071545828255	0.751733272602553	0.822345131021723	0.25131931964405	0.176773842519873	0.939240734120345	0.98590762316791	0.989898646868633	0.944255483015761	0.971993817043183	0.156763156453423	0.87905308722285	0.475343025964547	0.180232051785512	0.299275512270452	0.362159677957909	0.483498649853751	0.376209124496454	0.604416590582882	0.929700593296969	0.808423754413981	0.694016132784269	0.32739113635804	-0.444606237532364
CD69	0.966275539942148	0.965862176959387	0.883665543571935	0.934546264725615	0.955324407073547	0.976803634552062	0.935569709903762	0.90215007011378	0.963629324492884	0.970121895894872	0.99095870111924	0.968746699916369	1	0.987858572137992	0.993613882297314	0.935033119413796	0.989362263941148	0.836909086103114	0.7673270488546	0.745419158716964	0.977167737023981	0.714071830708789	0.739934488605306	0.341627569043864	0.839530290701233	0.336384073272826	0.499883997674683	0.552436604573168	0.919376285170635	0.886242325203099	0.941141023505256	0.898808111362245	0.787545725569604	0.977617872155601	0.786102511362461	0.91941616206852	0.973046189380113	0.468792454957847	0.711866653055177	0.838692840775593	0.267806956309329	0.266644388451845	0.915404445015578	0.958505954233266	0.952485212407173	0.880424247443928	0.89300994046605	0.12638517517872	0.842364057923441	0.523716965396031	0.193174945288682	0.294872004959222	0.400011743868942	0.409502575543434	0.400186781746797	0.548480935999104	0.912763859171164	0.836435372941134	0.634303105557562	0.270374979192409	-0.43261265082044
CXCR4	0.986282066016287	0.974341284594905	0.932836325221903	0.96973029639864	0.971922032473357	0.972619795385688	0.948801488995174	0.919395050145542	0.96983541757213	0.984978736354563	0.983938946157292	0.978936462456945	0.987858572137992	1	0.99031882943983	0.968509260126824	0.980978582469725	0.87464736542689	0.82099215128345	0.817880011673683	0.972003261757859	0.750739632994379	0.763954747385216	0.439792809294038	0.855887449240894	0.40373022889882	0.571191965888765	0.616854891735851	0.947049502437546	0.902022080361656	0.957068999689997	0.915949701849033	0.833747785167867	0.985678556663387	0.808572917751114	0.953997995904081	0.983238213166938	0.527580978945231	0.757372133740491	0.877676814793968	0.354313028546485	0.320313001818993	0.957808087176594	0.978202668729932	0.959603747186859	0.904943859451656	0.92217258229622	0.221842098587797	0.855668634211487	0.592684165344744	0.279923634404172	0.393285538411572	0.463490918499622	0.498969031465072	0.440320147214315	0.623260961438868	0.955976945912224	0.883247326079174	0.722760832512303	0.34529049896455	-0.428209792384917
CXCR6	0.973800346412564	0.963636699548855	0.894966356851153	0.946594983828763	0.952654301069221	0.984098424076968	0.929933979857588	0.923015901299475	0.957801697621638	0.972726781678664	0.987323775817938	0.968763486707901	0.993613882297314	0.99031882943983	1	0.949394789175932	0.986810413752756	0.84990955000494	0.780181100768716	0.777185497950506	0.97629177462007	0.710118873825038	0.726034744052092	0.390061905313047	0.82276334377025	0.374247555173345	0.504840991116311	0.569999900162738	0.932024758860213	0.885939887178482	0.939336858179408	0.891471446091199	0.803510970416201	0.976365600048158	0.76743311613315	0.945343297148109	0.972315230776832	0.526515039760122	0.719922947692635	0.846402721865887	0.292505245335237	0.2999137475188	0.927186810645333	0.958890562237706	0.944339038235774	0.871089428318187	0.895253671657933	0.160149683747026	0.819485387673098	0.553247329842845	0.223100245965438	0.348069450553413	0.436452265686996	0.431374991885584	0.405633255323145	0.555454919891965	0.927917921722696	0.875717191766505	0.655818353860671	0.264726741395672	-0.453377007539301
KLRC1	0.953528839734309	0.935248536501337	0.965135323734439	0.958997631981801	0.932301062001088	0.937593007495074	0.914530887422036	0.932229069423217	0.936756716695099	0.981385680107807	0.921045153656406	0.939810000395439	0.935033119413796	0.968509260126824	0.949394789175932	1	0.917841358771845	0.918608731074339	0.842191856069255	0.832749114077599	0.912547074392984	0.739057917474111	0.708670243338541	0.491648182224412	0.790963606258941	0.425054903640809	0.569639297624644	0.629653411154649	0.923502197180901	0.845818506202786	0.921450726428079	0.874673061312114	0.79308781033681	0.933418255975788	0.777513733909033	0.956820880704544	0.935479912074409	0.60557470482157	0.755626896346269	0.865839040143981	0.404623892036357	0.417978812315063	0.935243607764066	0.968975450544711	0.921381809824722	0.896706202797539	0.892805955290129	0.284652214962867	0.79747387513189	0.605685436739467	0.295916958244251	0.428349849737393	0.485188068350303	0.544150789788533	0.451703894032027	0.655206875474935	0.945177256890137	0.916379906940133	0.753976321186467	0.371739849993196	-0.399255184082537
S1PR4	0.976914382304541	0.971402392843355	0.883495033713259	0.945691906259726	0.961193093687326	0.962785277618831	0.933381862784871	0.892298665786307	0.960521677773557	0.956400596259743	0.996149799585074	0.970627523497086	0.989362263941148	0.980978582469725	0.986810413752756	0.917841358771845	1	0.805743875183658	0.769903387093616	0.768597196054988	0.977947803904986	0.686677233864055	0.764384584577638	0.355068797638852	0.846737381388977	0.366063219612513	0.480712011712951	0.559782152312942	0.920208527355799	0.917905362552175	0.945981651183817	0.906184411221046	0.828510109208485	0.98795747120182	0.786325142728824	0.924882327684623	0.9763992354021	0.45913966058104	0.694012309301503	0.817040768117897	0.273653874808589	0.261249182763987	0.931675070919041	0.95498787919582	0.945669298422657	0.869372481397711	0.904778390624681	0.152849287374859	0.83236903185599	0.522469863420247	0.196999813366892	0.320619272628204	0.4152747071193	0.436083623063218	0.400224121630062	0.546736758530791	0.929694443252139	0.83923026095358	0.667148361676176	0.260372710379019	-0.465140018865813
ADRB2	0.824095038722276	0.768525305482242	0.838930849019532	0.825868332816541	0.776240761941903	0.89340421801262	0.734203024629353	0.956978818015665	0.772405069545302	0.885896973800761	0.800120828146616	0.784041960550455	0.836909086103114	0.87464736542689	0.84990955000494	0.918608731074339	0.805743875183658	1	0.643263454970441	0.81998758085088	0.80407668261401	0.730373471295066	0.437704869328325	0.560321862606715	0.563414361714314	0.388367879838503	0.669220768004841	0.639799753737484	0.904171523744446	0.632541839587407	0.745638707542511	0.663215227874509	0.663828391641656	0.817774699603557	0.674952079165849	0.884952325628932	0.855323860176292	0.78430558590363	0.739921717531947	0.879663720821222	0.577480299350838	0.663902440054385	0.844923007176118	0.830887155632951	0.759642873917587	0.728745849470714	0.690524240853448	0.394907153764598	0.65839174546042	0.728910722566318	0.439430579530947	0.58516111076766	0.636087921072482	0.549354385397469	0.573321882169504	0.67366597406137	0.871661342120381	0.931055391216501	0.749333117137079	0.405256785198758	-0.249790971743688
CD226	0.871225908495866	0.887237303869274	0.933898217113085	0.903198799019039	0.904796348990434	0.733886293197193	0.927820903178803	0.662137874058222	0.897577836153379	0.861754578934907	0.793921004663453	0.893913763043667	0.7673270488546	0.82099215128345	0.780181100768716	0.842191856069255	0.769903387093616	0.643263454970441	1	0.708140029543794	0.804004318608006	0.686389180180721	0.887089372191286	0.514657855602339	0.895105206890504	0.491309410456183	0.454610228432199	0.634744247495745	0.776682357262319	0.880027419375779	0.927162576008089	0.929545206007943	0.832942574700967	0.830812020415636	0.769163714090921	0.832549268397225	0.795768921715131	0.330723294356228	0.756646762484979	0.709008876067686	0.247200819338926	0.0639570059309657	0.832200532279055	0.893366619669248	0.904520625103198	0.92843138951142	0.947670816743146	0.226880714136297	0.810279871206266	0.352018942590776	0.167396131379091	0.295183862251138	0.288943954578748	0.575135351641206	0.323945558952277	0.676294237272338	0.815360477595759	0.662059667877834	0.699471409195018	0.442157417635258	-0.337893016010101
ITGB2	0.826353392057272	0.758222430824215	0.822482610479637	0.837956270703419	0.780042751432556	0.782523684015524	0.721074952456416	0.83571061295657	0.737743420501405	0.79610981280172	0.758187231647446	0.769820792002538	0.745419158716964	0.817880011673683	0.777185497950506	0.832749114077599	0.768597196054988	0.81998758085088	0.708140029543794	1	0.784685446928203	0.606390824372473	0.56079915332149	0.571971201539663	0.648746311898163	0.403175300145467	0.72262176288784	0.586491083620925	0.875081584834059	0.72037349341564	0.756135441089935	0.691279328613059	0.797513979810359	0.805588209327088	0.65002499569512	0.86764774464536	0.818940827879706	0.675969323730386	0.642201264647687	0.816592317741679	0.697526292492104	0.463603817066611	0.903551819392447	0.783957967651598	0.722878091366976	0.702051534057788	0.740054239847447	0.66765753685296	0.615635044283449	0.870600632447773	0.684508344558569	0.763279639266396	0.626918883065483	0.632337701289741	0.421140363113414	0.650789208130727	0.904866440500413	0.88876442402188	0.80312773683901	0.440406598353172	-0.466269578812992
SIGIRR	0.967739505591394	0.965149810649709	0.881304634803648	0.934509077699027	0.956847276796648	0.962364105068474	0.938015667680984	0.884355509329201	0.96051258572084	0.956974102424877	0.980769895324216	0.970383489278217	0.977167737023981	0.972003261757859	0.97629177462007	0.912547074392984	0.977947803904986	0.80407668261401	0.804004318608006	0.784685446928203	1	0.686319290362275	0.754287558951748	0.368070822959897	0.850361707979109	0.355149169681188	0.535903499217966	0.560399335617813	0.926331863330222	0.903379645676897	0.951736484828774	0.904191664538401	0.840066354675244	0.974634316604406	0.778670829580243	0.929456271987327	0.962337755387597	0.469385222096237	0.724762302892568	0.841741768197118	0.315486443115107	0.230749076084698	0.925867578946711	0.948677448261433	0.95383005438848	0.885635322146553	0.902076564417784	0.202310191926401	0.843802909656404	0.554123568327909	0.25421798311815	0.348021463666607	0.423488588755867	0.445801256478951	0.391206222005343	0.560929320109561	0.91587559648365	0.826600690356149	0.637302416642868	0.301878252632538	-0.468016628167368
CD47	0.723072298694015	0.720071273496277	0.742866499880671	0.73490896063925	0.749328192272536	0.692873253873762	0.745989161318294	0.662226297895391	0.725663489481336	0.748794841762309	0.721078703701001	0.729404428849602	0.714071830708789	0.750739632994379	0.710118873825038	0.739057917474111	0.686677233864055	0.730373471295066	0.686389180180721	0.606390824372473	0.686319290362275	1	0.610756734785321	0.635032562614074	0.68330148858024	0.587767340749722	0.698156603316262	0.810371766955122	0.726638223066245	0.675257624959623	0.71903713140098	0.718211810785245	0.717102479825386	0.741073427784499	0.802547110471928	0.686191304693426	0.713441930784276	0.422776502609132	0.836214876999857	0.850047935277344	0.452529748489007	0.310417790331819	0.742223378715219	0.745185258398115	0.745266877118912	0.771472173431899	0.718030200774286	0.242827072839237	0.793232660562607	0.444392646454024	0.265403330311559	0.373936476618021	0.447740140279632	0.633972216846184	0.632554574995275	0.802538030151523	0.728062320938157	0.639742823248831	0.740279992740007	0.621723623672342	0.156693373440517
ICOS	0.825750682117949	0.8694842605642	0.814485168882936	0.835975179570658	0.881516639833969	0.629889122737571	0.898144323002764	0.484513664412572	0.868591285015955	0.756149765736946	0.784606118979494	0.859461318424228	0.739934488605306	0.763954747385216	0.726034744052092	0.708670243338541	0.764384584577638	0.437704869328325	0.887089372191286	0.56079915332149	0.754287558951748	0.610756734785321	1	0.298279712217027	0.97107001464219	0.391082502681326	0.321231008005401	0.505261251143707	0.653226360432859	0.913377009526145	0.89450795333528	0.951266179243251	0.801851897451444	0.812897804855231	0.781375900875274	0.682507925761854	0.761207616055358	0.0109335735437933	0.604304093761032	0.570910220836227	0.057671031361709	-0.168099214454063	0.77675063364489	0.829424207459566	0.877010524978957	0.88394698198988	0.935884024909557	0.0616992340591683	0.850991597170243	0.188632584625728	0.0286937181255907	0.0721052728582518	0.0902956202468784	0.46309910124822	0.219004728679336	0.536202971535506	0.742441119379533	0.474208028447275	0.605942464392008	0.361816521437442	-0.341518797496556
TFRC	0.461672606500138	0.387522720422064	0.530350783076835	0.52232173668238	0.43500760192163	0.413118239992475	0.403000285286152	0.491028140548764	0.37551418243968	0.445984986952807	0.368985777536557	0.411976006759693	0.341627569043864	0.439792809294038	0.390061905313047	0.491648182224412	0.355068797638852	0.560321862606715	0.514657855602339	0.571971201539663	0.368070822959897	0.635032562614074	0.298279712217027	1	0.318719052069915	0.808724664028695	0.602109043339453	0.878764838172885	0.570752200547445	0.396901295697969	0.414729484739984	0.385976676035983	0.628854018256023	0.434743967949203	0.35988841213685	0.55022956560431	0.44394302774221	0.62657266706287	0.67411172032628	0.617868273742487	0.520533742530635	0.475034373523679	0.516878150002653	0.437181896902755	0.388113481945172	0.400998113031044	0.440884694460447	0.385792444381243	0.353859151947695	0.472397481244091	0.416814328272358	0.697046540694431	0.754796510227525	0.574522325391629	0.625869908359262	0.690104523232199	0.519356657723885	0.583063358321751	0.677771005880553	0.455710596706165	0.0891276235769059
TNFRSF1B	0.888477794393806	0.925615154377851	0.854113496762025	0.883006917670205	0.939437988344119	0.747388304576611	0.945705888683923	0.602561063499892	0.927138762563155	0.839298686790435	0.867058030373239	0.921144341705798	0.839530290701233	0.855887449240894	0.82276334377025	0.790963606258941	0.846737381388977	0.563414361714314	0.895105206890504	0.648746311898163	0.850361707979109	0.68330148858024	0.97107001464219	0.318719052069915	1	0.376946047553345	0.45663859060611	0.536197100580925	0.760036204042379	0.929859058631987	0.94343701478447	0.975555816504945	0.825627986458688	0.883958944800686	0.825389265323975	0.762034567059305	0.847027820403071	0.117498671749103	0.696886446977947	0.703175416920586	0.160171580105553	-0.0965444285237988	0.845987285983785	0.889016360755041	0.934528703161347	0.927027914295015	0.957650688898784	0.114053381888025	0.904873355862232	0.333906846041894	0.150385878656013	0.163489724457249	0.186027385818537	0.46413389084225	0.278501025509736	0.587943121518526	0.809164250795634	0.56903667684393	0.620929391818369	0.394400345552138	-0.372697019774764
PILRB	0.441772760890759	0.410412567054151	0.476011795257168	0.491025418203493	0.440553297769142	0.358892082467244	0.411948451513831	0.376049666433198	0.391011401967287	0.402519406818757	0.384688245321007	0.411738751089193	0.336384073272826	0.40373022889882	0.374247555173345	0.425054903640809	0.366063219612513	0.388367879838503	0.491309410456183	0.403175300145467	0.355149169681188	0.587767340749722	0.391082502681326	0.808724664028695	0.376946047553345	1	0.467520206301602	0.866019877679384	0.475964014283955	0.459255599101737	0.426917239269866	0.441059500688988	0.56761658377136	0.434095607186152	0.319044427339492	0.477467732533025	0.39970738947264	0.399352064119331	0.607289303958076	0.470356196099476	0.259745344572127	0.303843150674334	0.435750125316196	0.42519451218573	0.398281937334309	0.403907980210603	0.454721346451574	0.0838547591746173	0.401761033996396	0.222811920386675	0.159123921120127	0.394492409733262	0.683134389896426	0.433012249331898	0.64565316460053	0.589797212648552	0.432243447220399	0.438889237209895	0.524740164063083	0.352610256478178	0.175976172976952
SORL1	0.524334697673211	0.48105971126851	0.533063927381325	0.521477245410181	0.525661571569292	0.525144794000261	0.471412655965979	0.560873118903266	0.471863784682896	0.530312121277544	0.4976518225426	0.491353297507066	0.499883997674683	0.571191965888765	0.504840991116311	0.569639297624644	0.480712011712951	0.669220768004841	0.454610228432199	0.72262176288784	0.535903499217966	0.698156603316262	0.321231008005401	0.602109043339453	0.45663859060611	0.467520206301602	1	0.641877140542	0.644317936727507	0.430712185852377	0.480816532687798	0.443449832083623	0.576316203596276	0.536282620498919	0.553887998771636	0.54655185224802	0.543741503573569	0.49133309947831	0.73637992454275	0.794294268256561	0.78795554145726	0.398234775095866	0.646830739284681	0.513526547317159	0.483365788342248	0.521389284685511	0.455813132414865	0.606184907641357	0.56642790485187	0.799185084121513	0.773664829801262	0.742988695346297	0.661281724106347	0.601350336543267	0.562666239066304	0.732592428514107	0.615780009754471	0.592798805043355	0.63855204571878	0.722843511291995	0.0207173084356605
