""	CD69	NCL	PTPRC	F2R	NCSTN	CD63	CXCR4	ERAP1	CD46	RPSA	TFRC	ITGAV	PTPRZ1	FGFR1	CD47	NRCAM	CAV1	CD44	PTPRA	GPC1	ITGB1	JMJD6	IGF2R	DCBLD2	RACK1	ACTR2	ABCA1	CD81	TNFRSF12A	APLP2	CANX	LPP	SMAP1	CD74	RIPK1	LAMP1	C1QBP
TFRC	0.5150486135972	0.866981703481008	0.484836098760898	0.86808584434604	0.875042926639234	0.772549665092743	0.614008916329323	0.634725904290201	0.73272669035073	0.794585582439894	1	0.832767249268897	0.832535305491348	0.837839317545332	0.864160647308707	0.85350606299301	0.505403550858699	0.651593123412598	0.879296101662508	0.562809093148541	0.89816441428985	0.862603980958174	0.85395643281244	0.428658085307175	0.846256569920824	0.922879102034	0.765136813185567	0.759580157214459	0.469939032318452	0.922214878167082	0.923211630169897	0.734607463827866	0.875202544999816	0.448191944086492	0.590247880948746	0.790485880249417	0.815955442023878
ITGAV	0.616198061420003	0.916429458501702	0.633228616227561	0.778206759165311	0.839004774486429	0.878733072817115	0.685920838035975	0.487102416580589	0.863700686132999	0.831131008332594	0.832767249268897	1	0.895233382669976	0.898754800908759	0.967373082381738	0.926552643095851	0.607653182184083	0.802953116923827	0.934878895230795	0.800089604293956	0.949153501972786	0.808668232402292	0.845006200955862	0.695827181903336	0.856858725519729	0.919105978087854	0.837809881425549	0.87568706690134	0.63613592802366	0.928872680631189	0.876687721074502	0.856538190088113	0.857041303459891	0.428967203944525	0.674160756592007	0.897608824291594	0.844158582504349
PTPRZ1	0.636128498036729	0.911220079027825	0.584841379886025	0.827894000988922	0.769858423542808	0.755115824323988	0.725125825214324	0.423024467601476	0.855003757090256	0.77061824837592	0.832535305491348	0.895233382669976	1	0.918633576503997	0.88656680447846	0.987695476609642	0.359449054318916	0.593353750370734	0.962906406635178	0.610650587724316	0.891765826713434	0.797171241758489	0.857497575073847	0.46254292212178	0.787996071898126	0.911045654767436	0.814769289931004	0.739178550280145	0.409142370212615	0.8952138910585	0.830650049982219	0.891936506301247	0.857201716493893	0.405016276316876	0.713870498650409	0.80783207389396	0.776003557369254
FGFR1	0.427409041275923	0.858865244362107	0.408758167109371	0.804015376653853	0.819374473464939	0.750565887430311	0.542462991550839	0.431379008619992	0.896157626487759	0.786733964328184	0.837839317545332	0.898754800908759	0.918633576503997	1	0.902679457289027	0.945189409417596	0.486606030751263	0.62235621316404	0.921468203229601	0.626082541081382	0.864941084141033	0.911076326085809	0.877215901573506	0.521243225986966	0.845137532541464	0.862351194978544	0.807988730810421	0.730186712211684	0.487126648508878	0.904956226707468	0.928300207850819	0.909834038004673	0.888586641671507	0.22438896223955	0.73641111201119	0.749585022336853	0.80666597766111
CD47	0.643867698636036	0.927521574839587	0.66708274130155	0.832128490721101	0.871873375678733	0.901400280554572	0.728907902342102	0.488065055264539	0.858740789654028	0.849087122552333	0.864160647308707	0.967373082381738	0.88656680447846	0.902679457289027	1	0.915322317011429	0.643568256515849	0.831456852627958	0.942774026391303	0.788747834075736	0.970660935128044	0.828266556020194	0.872641494229121	0.700193448292527	0.879669203676348	0.942984778301758	0.864597311722859	0.890982875259662	0.651436658165341	0.951801421465024	0.901880142398174	0.847535269180591	0.876964513384127	0.458699889372709	0.654566600910183	0.915211117432568	0.862669374922298
NRCAM	0.606598699003565	0.919167269120419	0.562538207629207	0.850836343703773	0.797639199884597	0.782557015414633	0.708239065188299	0.472346633858793	0.885695974142242	0.786356903308709	0.85350606299301	0.926552643095851	0.987695476609642	0.945189409417596	0.915322317011429	1	0.430880843127704	0.634261103209973	0.970510609597504	0.664787584241023	0.920906745619667	0.839514104130498	0.870003157664691	0.517300582799825	0.81794712145977	0.919726602173214	0.828881467625684	0.761163789060444	0.464477030289494	0.924233628956486	0.874893777835427	0.91289847164862	0.884987382207238	0.356261921486804	0.737608427497237	0.814695094584496	0.810022692795099
CAV1	0.317499370152956	0.59315542804484	0.323306786510337	0.41358625593676	0.581822743259517	0.828902343314632	0.343432410791815	0.411279710047065	0.386126489728838	0.745236487000191	0.505403550858699	0.607653182184083	0.359449054318916	0.486606030751263	0.643568256515849	0.430880843127704	1	0.829474894324572	0.520571401244609	0.788995872407111	0.621815494098136	0.595920579523974	0.449142407841781	0.811537088048782	0.748275583719793	0.519248350098248	0.392340268878713	0.823515016596841	0.914055636050324	0.622096522213383	0.602255916096486	0.307311959092742	0.561274636199892	0.114631788631113	0.318848657881698	0.653810231288249	0.761823157696623
CD44	0.645364179759261	0.749438168671629	0.73594382582354	0.551832850090872	0.705381172879759	0.918791987799112	0.684555144632727	0.496221963918043	0.634239152003801	0.776427457487083	0.651593123412598	0.802953116923827	0.593353750370734	0.62235621316404	0.831456852627958	0.634261103209973	0.829474894324572	1	0.682647632011326	0.898433728919806	0.804649154621773	0.641696321219347	0.663393234079827	0.863908399862045	0.76342026507867	0.732757180499593	0.681676499131997	0.928839697864255	0.86884934577996	0.739144337729032	0.667992939738176	0.581918270244235	0.61006024171895	0.483265638915017	0.50083128042166	0.893415911140231	0.78160353542272
PTPRA	0.631339293203071	0.951092609820925	0.573006732764244	0.865315023116044	0.830691025793636	0.839258828201723	0.726270833346052	0.505974966654296	0.839226081753008	0.83972208245262	0.879296101662508	0.934878895230795	0.962906406635178	0.921468203229601	0.942774026391303	0.970510609597504	0.520571401244609	0.682647632011326	1	0.664282579041335	0.953963017169078	0.842481180804032	0.897639444271069	0.533160335948546	0.860847011401676	0.956005934103971	0.844341916650594	0.821681880059026	0.515762276358368	0.959965016339572	0.896632835193896	0.862043416551026	0.916891406667281	0.429825761228755	0.697629424479704	0.860371943386646	0.850203901751749
GPC1	0.563636528690667	0.736074500672846	0.638866869407931	0.527543987629887	0.629438576582976	0.894790241939953	0.576200472860448	0.36375762079544	0.594007633002484	0.78706565181625	0.562809093148541	0.800089604293956	0.610650587724316	0.626082541081382	0.788747834075736	0.664787584241023	0.788995872407111	0.898433728919806	0.664282579041335	1	0.743688411783379	0.611774070885389	0.537659694186964	0.951603597549799	0.768656104727556	0.644174712683677	0.552899779062213	0.883932929055043	0.904658032535895	0.696454764884886	0.615573705066648	0.564491226480856	0.596613302068363	0.205690112653539	0.43857103428933	0.776929641666688	0.79730400720607
ITGB1	0.710622541670027	0.943427322117836	0.675857817255068	0.861491602263024	0.85569808913511	0.889604528616298	0.788069654253411	0.595606600849693	0.819378502032336	0.826653397870956	0.89816441428985	0.949153501972786	0.891765826713434	0.864941084141033	0.970660935128044	0.920906745619667	0.621815494098136	0.804649154621773	0.953963017169078	0.743688411783379	1	0.821647419281913	0.886907658988091	0.616431963058378	0.85680649370423	0.964513318723632	0.857337456638178	0.878472283367269	0.594881005619203	0.964088588832878	0.8923424909126	0.833852637997395	0.884742886893755	0.517726375920059	0.652685933373727	0.909860531823299	0.854252774721848
JMJD6	0.305642266174715	0.861514086817342	0.325797869242753	0.73065075926703	0.796762414082734	0.777188461614433	0.46758986342548	0.534522491581422	0.734295832559031	0.845431018953899	0.862603980958174	0.808668232402292	0.797171241758489	0.911076326085809	0.828266556020194	0.839514104130498	0.595920579523974	0.641696321219347	0.842481180804032	0.611774070885389	0.821647419281913	1	0.813511108344279	0.505504163085515	0.903291870322897	0.831909990302225	0.719467671012084	0.750731711710539	0.57633350659803	0.885779236037422	0.952353612431702	0.755822052875436	0.913582412980934	0.1409302430215	0.657805294098208	0.731759150743231	0.874345150502302
IGF2R	0.554380009480139	0.81534251757638	0.53976872300571	0.79193731878689	0.806272615456652	0.717591519984121	0.712656464440643	0.57962436303646	0.878180868746104	0.696098271276319	0.85395643281244	0.845006200955862	0.857497575073847	0.877215901573506	0.872641494229121	0.870003157664691	0.449142407841781	0.663393234079827	0.897639444271069	0.537659694186964	0.886907658988091	0.813511108344279	1	0.413891003896577	0.735967303978352	0.879656336230646	0.91710896318135	0.715287690912388	0.403909110125494	0.899184461539549	0.849951150311072	0.891632732982244	0.837265697348648	0.512460632198358	0.766682472088611	0.805986531919973	0.700253976434941
DCBLD2	0.467689260908932	0.624726474476377	0.571584021783868	0.400782300976063	0.51564917788783	0.83672639617969	0.459491914118384	0.237853830799862	0.472507826145949	0.733437859330013	0.428658085307175	0.695827181903336	0.46254292212178	0.521243225986966	0.700193448292527	0.517300582799825	0.811537088048782	0.863908399862045	0.533160335948546	0.951603597549799	0.616431963058378	0.505504163085515	0.413891003896577	1	0.707852659356708	0.521172484594005	0.421989869243591	0.824460057122868	0.934143665737789	0.571349345990133	0.518653834296273	0.43439677295895	0.486607931600519	0.11555943445278	0.320930640501972	0.688778814307232	0.736692437098321
RACK1	0.429111141305157	0.928117336089542	0.446223818398241	0.717140210722677	0.842925890396031	0.92991695416281	0.522219083483114	0.419048229103425	0.637878728816507	0.983850916079978	0.846256569920824	0.856858725519729	0.787996071898126	0.845137532541464	0.879669203676348	0.81794712145977	0.748275583719793	0.76342026507867	0.860847011401676	0.768656104727556	0.85680649370423	0.903291870322897	0.735967303978352	0.707852659356708	1	0.857989368011186	0.645033244328499	0.907673183337967	0.767286482635963	0.910643889614741	0.912048276472525	0.647123278768461	0.918106617078555	0.22183218716754	0.537448565921567	0.819828635030362	0.981266890116597
ACTR2	0.668853991731377	0.956345069182314	0.676517079762092	0.852559703323759	0.860997847011727	0.847517531405387	0.785624392953453	0.537083432040639	0.803958194770047	0.829802359801689	0.922879102034	0.919105978087854	0.911045654767436	0.862351194978544	0.942984778301758	0.919726602173214	0.519248350098248	0.732757180499593	0.956005934103971	0.644174712683677	0.964513318723632	0.831909990302225	0.879656336230646	0.521172484594005	0.857989368011186	1	0.869581718834705	0.839590035943326	0.516380695642026	0.958556071794536	0.90479663386138	0.815098909093149	0.904199821603886	0.572579069153753	0.653855668007842	0.9080590254466	0.850293499053789
ABCA1	0.564230420754267	0.773444819088048	0.66240753997212	0.727898627200063	0.787865828989023	0.675611340199636	0.764434594137117	0.508242497457147	0.915207991192822	0.603142390742994	0.765136813185567	0.837809881425549	0.814769289931004	0.807988730810421	0.864597311722859	0.828881467625684	0.392340268878713	0.681676499131997	0.844341916650594	0.552899779062213	0.857337456638178	0.719467671012084	0.91710896318135	0.421989869243591	0.645033244328499	0.869581718834705	1	0.692640875978356	0.385787365822945	0.859409703482651	0.777101358318115	0.870548828047783	0.750136562047616	0.622713902150547	0.780179418919343	0.830114149478871	0.611807155111005
CD81	0.638451718622171	0.892855099924956	0.674781829362837	0.631228676095025	0.809947525983219	0.98876327063687	0.68241173668263	0.460583342298256	0.645042864789039	0.918541266659857	0.759580157214459	0.87568706690134	0.739178550280145	0.730186712211684	0.890982875259662	0.761163789060444	0.823515016596841	0.928839697864255	0.821681880059026	0.883932929055043	0.878472283367269	0.750731711710539	0.715287690912388	0.824460057122868	0.907673183337967	0.839590035943326	0.692640875978356	1	0.864268934886708	0.857736714386785	0.774341116530196	0.628099381766364	0.783239687730607	0.453578407549762	0.53558199313939	0.916827667843256	0.907610354866556
TNFRSF12A	0.356909737470764	0.629389048649797	0.459691072814594	0.364714222913298	0.558961317999385	0.868149778860233	0.396369771598451	0.33303854078328	0.391221248136587	0.791058145513739	0.469939032318452	0.63613592802366	0.409142370212615	0.487126648508878	0.651436658165341	0.464477030289494	0.914055636050324	0.86884934577996	0.515762276358368	0.904658032535895	0.594881005619203	0.57633350659803	0.403909110125494	0.934143665737789	0.767286482635963	0.516380695642026	0.385787365822945	0.864268934886708	1	0.591014456760126	0.553856166322445	0.323369989594118	0.52847590637387	0.101385341441723	0.347472997995664	0.697256776810299	0.786053689438787
APLP2	0.546602042762738	0.945890966512249	0.548275174443109	0.851222024724101	0.908791768085545	0.870023226728449	0.688720467356441	0.537308441151529	0.822721002229155	0.87227018027184	0.922214878167082	0.928872680631189	0.8952138910585	0.904956226707468	0.951801421465024	0.924233628956486	0.622096522213383	0.739144337729032	0.959965016339572	0.696454764884886	0.964088588832878	0.885779236037422	0.899184461539549	0.571349345990133	0.910643889614741	0.958556071794536	0.859409703482651	0.857736714386785	0.591014456760126	1	0.942729905709352	0.814119319015386	0.948382188868829	0.430315167672092	0.703085876754524	0.876621466608159	0.885883876319381
CANX	0.380804639567147	0.886974336488879	0.376927544329739	0.836892392354626	0.854321301889921	0.805242034330509	0.517237283376678	0.559296525850343	0.785505685211055	0.848630451433385	0.923211630169897	0.876687721074502	0.830650049982219	0.928300207850819	0.901880142398174	0.874893777835427	0.602255916096486	0.667992939738176	0.896632835193896	0.615573705066648	0.8923424909126	0.952353612431702	0.849951150311072	0.518653834296273	0.912048276472525	0.90479663386138	0.777101358318115	0.774341116530196	0.553856166322445	0.942729905709352	1	0.775921920889653	0.932894316049955	0.259535766968975	0.642962983854881	0.787602935404539	0.879325621431281
LPP	0.573770966039772	0.767838259590036	0.556607939507699	0.744215023708189	0.727852175151541	0.630187050704915	0.692778602877404	0.410166930514055	0.94260961355538	0.592649319631309	0.734607463827866	0.856538190088113	0.891936506301247	0.909834038004673	0.847535269180591	0.91289847164862	0.307311959092742	0.581918270244235	0.862043416551026	0.564491226480856	0.833852637997395	0.755822052875436	0.891632732982244	0.43439677295895	0.647123278768461	0.815098909093149	0.870548828047783	0.628099381766364	0.323369989594118	0.814119319015386	0.775921920889653	1	0.769458553263626	0.394408477346989	0.752425892409982	0.709557716254416	0.621015561487706
SMAP1	0.41233986889083	0.923023755559103	0.41161484276754	0.775583536221163	0.860586448961089	0.803829745312223	0.581547549068112	0.443753624119725	0.73634117662569	0.873562977527934	0.875202544999816	0.857041303459891	0.857201716493893	0.888586641671507	0.876964513384127	0.884987382207238	0.561274636199892	0.61006024171895	0.916891406667281	0.596613302068363	0.884742886893755	0.913582412980934	0.837265697348648	0.486607931600519	0.918106617078555	0.904199821603886	0.750136562047616	0.783239687730607	0.52847590637387	0.948382188868829	0.932894316049955	0.769458553263626	1	0.276951138019652	0.640312612423731	0.783737091977569	0.885988241929695
CD74	0.685969115240066	0.424856626710447	0.741836364707039	0.350335632940393	0.492506020371674	0.386653878760566	0.718984851314344	0.294543842462445	0.413248299791469	0.245781078415043	0.448191944086492	0.428967203944525	0.405016276316876	0.22438896223955	0.458699889372709	0.356261921486804	0.114631788631113	0.483265638915017	0.429825761228755	0.205690112653539	0.517726375920059	0.1409302430215	0.512460632198358	0.11555943445278	0.22183218716754	0.572579069153753	0.622713902150547	0.453578407549762	0.101385341441723	0.430315167672092	0.259535766968975	0.394408477346989	0.276951138019652	1	0.361493979083855	0.601369019037749	0.224371865331245
RIPK1	0.265113417301574	0.611638165493683	0.366245258563753	0.555130636728912	0.682235893609596	0.517101969381649	0.503991696043567	0.446227107525274	0.827154017494293	0.492256566886511	0.590247880948746	0.674160756592007	0.713870498650409	0.73641111201119	0.654566600910183	0.737608427497237	0.318848657881698	0.50083128042166	0.697629424479704	0.43857103428933	0.652685933373727	0.657805294098208	0.766682472088611	0.320930640501972	0.537448565921567	0.653855668007842	0.780179418919343	0.53558199313939	0.347472997995664	0.703085876754524	0.642962983854881	0.752425892409982	0.640312612423731	0.361493979083855	1	0.639169516058237	0.5273517684846
LAMP1	0.691178553675777	0.894340867214163	0.777111741454346	0.69137142707119	0.791683916339378	0.912559386706747	0.800535710910993	0.53417685769996	0.755299250153577	0.829035666939898	0.790485880249417	0.897608824291594	0.80783207389396	0.749585022336853	0.915211117432568	0.814695094584496	0.653810231288249	0.893415911140231	0.860371943386646	0.776929641666688	0.909860531823299	0.731759150743231	0.805986531919973	0.688778814307232	0.819828635030362	0.9080590254466	0.830114149478871	0.916827667843256	0.697256776810299	0.876621466608159	0.787602935404539	0.709557716254416	0.783737091977569	0.601369019037749	0.639169516058237	1	0.82215383989137
C1QBP	0.486242220894756	0.933542228453322	0.487318051140926	0.711088497445844	0.789597710117689	0.941513739492225	0.559453383950651	0.437291032686699	0.605426750792664	0.979743454660987	0.815955442023878	0.844158582504349	0.776003557369254	0.80666597766111	0.862669374922298	0.810022692795099	0.761823157696623	0.78160353542272	0.850203901751749	0.79730400720607	0.854252774721848	0.874345150502302	0.700253976434941	0.736692437098321	0.981266890116597	0.850293499053789	0.611807155111005	0.907610354866556	0.786053689438787	0.885883876319381	0.879325621431281	0.621015561487706	0.885988241929695	0.224371865331245	0.5273517684846	0.82215383989137	1
