""	CD44	CXCR4	ITGA4	PTGDR	CLEC2D	CD3D	CD2	GPR171	CD3G	RPSA	JAML	CD96	TNFRSF14	ITGA1	S1PR4	PTPRC	CD69	CD8B	CD8A	NCL	CD74	CXCR3	CD247	CCR5	CD6	KLRB1	PTPRZ1	ITGB1	SORL1	CD46	CD63	DIP2A	CD47	ACTR2	VSIR	TRADD	PTPRA	TSPAN5	CXCR6	PTGER4	RACK1	STX4	TSPAN14	ITGAL	LAMP1	APLP2	SMAP1	CD81	ATP5F1B	TNFRSF1B	IFITM1	TNFRSF1A	CANX	C1QBP	ITGB2	CD68
JAML	0.881868979546027	0.919928019150499	0.871588933379029	0.748953503042409	0.867242449176236	0.92840248242055	0.897921967513499	0.790030568134702	0.936126824038851	0.729222352845302	1	0.910034363988529	0.826337753973174	0.858462452027349	0.71948223810466	0.949533406789386	0.898072127857549	0.733180778299216	0.650714633042262	0.320576162913928	0.336641340786281	0.516036813242045	0.823545134973867	0.623183338976408	0.837184518031582	0.759088545210752	-0.356789497336312	0.735262358624655	0.316722756833051	0.65630038886598	-0.0621296860793667	0.598333803693348	0.79523375284778	0.732046596373421	0.630209620852573	0.799862722067035	-0.0381470960354643	0.835424236804029	0.745777131302058	0.878258604252893	0.696820378154815	0.437783417082484	0.799713128949935	0.79611649793207	0.480191841337422	0.13454300016231	0.576666377760408	0.192417257266155	0.0512909569332506	0.779959699982874	0.820548984990396	0.378145527770358	-0.0044804090489813	0.249610508064117	0.549841433026369	0.0729670576291401
CD96	0.924487116890619	0.961369497882518	0.879077541085323	0.773486020840884	0.895960802816231	0.970579353800379	0.977162522816113	0.92784425363504	0.921738931079946	0.664187743508949	0.910034363988529	1	0.752217197774572	0.851363774160792	0.695977363586302	0.955254516621346	0.984724002700853	0.771053478963842	0.625145150811052	0.183472583288639	0.143579947967438	0.570041874436121	0.880579558346092	0.770969610939529	0.891665482085904	0.822543451308836	-0.438892818844264	0.664157376587924	0.152191488900155	0.632373429392351	-0.226528336104277	0.651944378915311	0.709570885237414	0.619218168409099	0.538053068840665	0.801203268727864	-0.227616111219132	0.748820645300524	0.793384855931077	0.944387956367583	0.611460368932604	0.339227173350323	0.770583651438734	0.742767797116188	0.388802588662506	-0.00769249131599516	0.401529054419058	0.0491246957800199	-0.181243571175534	0.699826389774554	0.786474607851372	0.29072191584907	-0.181936360881234	0.113644333948013	0.428230368466536	-0.0357674895583849
TNFRSF14	0.864557644976858	0.823358490709687	0.880766430624085	0.72688861971473	0.676359528023683	0.838817730601313	0.753664989092935	0.544587877531234	0.878232332260218	0.600559319430127	0.826337753973174	0.752217197774572	1	0.821314147370032	0.883577608990006	0.836811745000851	0.714738562184489	0.669881342210549	0.68400464146703	0.0822184849035641	0.376490854329121	0.647756383717947	0.811283997884945	0.710291852585788	0.762671552419953	0.550164664320303	-0.420416738820571	0.765903829036837	0.35474662585897	0.594979099074389	-0.118288090791119	0.462634366188551	0.653582165430796	0.593469881781009	0.588840987234395	0.57542412334475	-0.133068273570421	0.634904098069126	0.70767179266882	0.646900943717067	0.581383356546147	0.564809652111879	0.708078870361991	0.810769482680644	0.331459486935027	0.128988897398138	0.37486878884018	0.220057801054208	0.0576425694340078	0.764208526153112	0.883732462667311	0.405454951807195	-0.0627341567393428	0.0719643992417318	0.559269193924089	0.182114013392099
ITGA1	0.896951402915047	0.824772801793939	0.837750864773114	0.940584372682039	0.682896481592511	0.930737351871809	0.907224978835919	0.711761865036259	0.947902814690003	0.382976643858738	0.858462452027349	0.851363774160792	0.821314147370032	1	0.766497810600186	0.890308999336677	0.813049788734674	0.913839345225751	0.875875894927507	-0.0495556373337481	0.0600675528114918	0.515124269597406	0.795571200997201	0.770206838563792	0.680150081533647	0.485944116886727	-0.49241816086306	0.550659977441883	0.0849918243569687	0.579508399886908	-0.382075650352091	0.721580360088686	0.684936761161238	0.45575704409884	0.330528599814666	0.516304051752079	-0.270918940937946	0.711226733227125	0.850039504428896	0.768733425688802	0.33354885476191	0.349032511801005	0.677523537235593	0.941818743871204	0.218159126607495	-0.174536381241805	0.304779647284569	-0.0431050725575947	-0.196990350008322	0.512044212618195	0.81664548106451	0.114834287718641	-0.320551808359255	-0.0969164883693814	0.405205295442184	-0.123145053746674
S1PR4	0.886875881986068	0.782876869671053	0.872199891255675	0.686208224858662	0.664125373282639	0.799118036915533	0.675562063011704	0.485165703584575	0.811596887638779	0.544949940426964	0.71948223810466	0.695977363586302	0.883577608990006	0.766497810600186	1	0.718838728780678	0.617325732887291	0.614960443709252	0.681725709141991	-0.0738652944198436	0.196317448490163	0.797401175630897	0.89075519823753	0.799296195700555	0.756157003943064	0.486547443639889	-0.435105612700111	0.684294997934252	0.103391020598309	0.396125863365013	-0.234720466113331	0.344284817848836	0.521801706286218	0.465154229386762	0.40714630969235	0.50742320218135	-0.213481740413856	0.601165512846873	0.638344902739213	0.500996287022084	0.49218571163909	0.291355088721163	0.585349767387569	0.663620426461452	0.0887736756202106	-0.0501548453729976	0.283053761570269	0.0318132861822439	0.0181156700306755	0.537611329786521	0.942982205082007	0.320250007876252	-0.203991265512962	-0.0692420985387186	0.336712740130577	0.0152973524367727
PTPRC	0.924905609775312	0.959559015310621	0.900819950040186	0.822513603048748	0.853622021149845	0.959450527801529	0.955101028284209	0.873393774451711	0.938978941917186	0.67120186210419	0.949533406789386	0.955254516621346	0.836811745000851	0.890308999336677	0.718838728780678	1	0.951158214474192	0.801356009809934	0.672902861061555	0.246411909614629	0.340419460665229	0.517600177450852	0.845337503944837	0.740536219045208	0.841939701773326	0.745639260701368	-0.408344692852803	0.777566514155779	0.365480814047904	0.745021761924386	-0.104778621058834	0.706747345912235	0.800621213854189	0.733166524765653	0.661707794346979	0.773049470066349	-0.131291416045314	0.806604695378699	0.788384147009285	0.935864633263731	0.634098806734898	0.511084904369651	0.873087380298028	0.833958785288619	0.539668011715355	0.156062757655682	0.512736091531816	0.245299687171506	-0.0562981055175625	0.783554909663398	0.791285693036613	0.407415342235188	-0.0585065281856405	0.168455489825827	0.626360373538036	0.153342519508216
CD69	0.884760888439925	0.952275268622184	0.830007395107607	0.727244449706695	0.869905464709743	0.945350563634048	0.97482069600309	0.933589040899584	0.88284198945084	0.666998303754911	0.898072127857549	0.984724002700853	0.714738562184489	0.813049788734674	0.617325732887291	0.951158214474192	1	0.770263656265141	0.602376406108513	0.248822583627915	0.186265821715896	0.536845449543308	0.841334785749745	0.731491823207016	0.852624768921137	0.817439177319038	-0.412742470950153	0.666248569725867	0.209146872782031	0.674870326312329	-0.174680693772231	0.683405081436674	0.716425146124648	0.64818857563589	0.571120944024275	0.793033436789982	-0.206687451046686	0.745936458603867	0.796672604579706	0.96781680632182	0.625728934048529	0.34311787125445	0.76135908647643	0.719175152958174	0.452906035634069	0.0489115111067723	0.40366726657927	0.102952082812729	-0.165493162869026	0.729160928690831	0.717340242445177	0.32154601667181	-0.147156219507563	0.16633329694133	0.463163636467374	0.0150158134018159
CD8B	0.783003384844482	0.728896086350892	0.655254959796654	0.912255536874646	0.482792364770909	0.831436790700683	0.872356506959623	0.637808905989957	0.798934306530365	0.218601227794854	0.733180778299216	0.771053478963842	0.669881342210549	0.913839345225751	0.614960443709252	0.801356009809934	0.770263656265141	1	0.930580799444208	-0.0601434597280261	-0.0260135271118903	0.445711256336396	0.675009333216354	0.700895466314662	0.467140115184554	0.316606487047422	-0.471803817536856	0.412593616191075	0.0314979697075235	0.574610089760007	-0.401374019608511	0.841572454016581	0.612437203255605	0.358258728438766	0.197440531964768	0.319739911397477	-0.326710794549213	0.646775493127044	0.937377371169842	0.718978052840681	0.199272239166661	0.218394190170948	0.519225396068581	0.90158842374521	0.21430630005582	-0.217876961808565	0.132839631454142	-0.0681416552665233	-0.237779217753985	0.405080709009496	0.625048769450566	0.0368666297815858	-0.405577081219783	-0.101774731690765	0.326824762119611	-0.146062675409697
CD8A	0.727043573208343	0.620869961465578	0.577086386090327	0.823538667566294	0.386202863016526	0.743821525371987	0.735626233811887	0.407432641242239	0.74384922553873	0.127659886118081	0.650714633042262	0.625145150811052	0.68400464146703	0.875875894927507	0.681725709141991	0.672902861061555	0.602376406108513	0.930580799444208	1	-0.16055908313859	-0.0394505123419163	0.555643727720946	0.658296243772827	0.670821110427783	0.378933419198281	0.164574855003592	-0.476812766777798	0.377580408111903	-0.0106180076122914	0.400100965799401	-0.437841976876311	0.718389529025606	0.478171039802688	0.24706813383498	0.106996404414077	0.176369010132486	-0.323496096836567	0.534119608324167	0.899958218585638	0.53594186243747	0.116152645104263	0.141307010659101	0.381079540482008	0.842318640429725	0.0669373443149507	-0.266367420335667	0.0420363673256427	-0.111147307670848	-0.189763782456985	0.32852889635213	0.689652365901375	0.0361694986218929	-0.444931668560274	-0.209214448752178	0.279053869320766	-0.141201446315123
NCL	0.0902704970930624	0.275868514935402	0.130113821709898	-0.126047140361082	0.284071266398617	0.0929907396538478	0.133768972550882	0.244169032914578	0.0820058303365851	0.681703520214114	0.320576162913928	0.183472583288639	0.0822184849035641	-0.0495556373337481	-0.0738652944198436	0.246411909614629	0.248822583627915	-0.0601434597280261	-0.16055908313859	1	0.64064671166172	0.03937586836459	0.0791373609231521	-0.118421279983685	0.232258065440833	0.356507632252307	0.447467815842908	0.490900060983531	0.548788052373961	0.475012324717488	0.826352312590637	0.171042441022184	0.55799255128959	0.749310660536123	0.564027776489355	0.446447762857941	0.714360467399778	0.545650633256308	-0.0068218968607658	0.325808865893829	0.745246113949825	0.354412347172326	0.382549371466954	0.00772553934950043	0.7229507667651	0.718519425619896	0.783273625990385	0.682426494587975	0.751944626583757	0.521515135123651	0.0255873128006372	0.639037452688097	0.784769602890533	0.908915307456213	0.461669384486032	0.441028950163279
CD74	0.215001804130434	0.345353559581355	0.293363774666112	-0.00357334668124221	0.247541632981286	0.128573600339815	0.0968633389598778	0.115999727901399	0.149699375170798	0.610428288424673	0.336641340786281	0.143579947967438	0.376490854329121	0.0600675528114918	0.196317448490163	0.340419460665229	0.186265821715896	-0.0260135271118903	-0.0394505123419163	0.64064671166172	1	0.192191414460965	0.18334100124879	0.0986588708122618	0.2579706581066	0.216112260026379	0.091309061723818	0.745250235160175	0.9419599637786	0.548988618097001	0.749377157286455	0.182774105142057	0.477307553173683	0.790660427496073	0.865741616478427	0.381421636795448	0.398990325522648	0.365563413498099	0.00338354811858715	0.293217818374129	0.663069298807803	0.694717733405121	0.570568624406582	0.141699413029486	0.808022649357909	0.871341343610443	0.667128933239471	0.943215240462229	0.666041182165998	0.700931560039557	0.202964403113864	0.831365382223904	0.647499998612103	0.614521052697684	0.866876310013805	0.897554667139559
CXCR3	0.733327139208984	0.696605208489031	0.651815585912364	0.331356784082822	0.541930801253021	0.617084467591369	0.547974190944251	0.367436059829897	0.560782429324736	0.531924593562343	0.516036813242045	0.570041874436121	0.647756383717947	0.515124269597406	0.797401175630897	0.517600177450852	0.536845449543308	0.445711256336396	0.555643727720946	0.03937586836459	0.192191414460965	1	0.820565679942741	0.798115446545061	0.649821593093673	0.403001929578347	-0.360025529545414	0.604999435606032	0.0598826342493329	0.262976503990861	-0.119742956924476	0.292137438263632	0.2847815003	0.394505778510931	0.35711908647742	0.378906062846793	-0.240245499913743	0.388347327001764	0.588756778789608	0.433238962648208	0.508885960186411	0.0996959732588304	0.352655079757257	0.351485035023711	0.03491910910168	0.0051800694385264	0.140734140725015	0.0487687566865999	0.0854137647136522	0.502181127545316	0.782040448738678	0.446552776190293	-0.226214997164052	0.0218685980315534	0.24491923881155	0.0733174054312191
CD247	0.958340602541143	0.92900796555177	0.887504294130519	0.668341554157328	0.854727861184423	0.916465945969496	0.843756819715816	0.739445178355462	0.867792268512834	0.683865701857214	0.823545134973867	0.880579558346092	0.811283997884945	0.795571200997201	0.89075519823753	0.845337503944837	0.841334785749745	0.675009333216354	0.658296243772827	0.0791373609231521	0.18334100124879	0.820565679942741	1	0.840544975990597	0.896696946933578	0.729271035726303	-0.466780227620228	0.737230555302733	0.115622063606254	0.472074279836868	-0.240194911621127	0.472934104380461	0.596915892694398	0.579738389695574	0.514035024298435	0.729812768926135	-0.265910770023656	0.697781878947777	0.71170801700565	0.750504444866726	0.619289895401426	0.210196950135248	0.661264974603741	0.627254384086239	0.213704263787794	-0.02369435572133	0.328295884936424	0.0341432089899745	-0.097129926754773	0.638923064090958	0.940511824468767	0.368859107184104	-0.217791599496001	0.0120613663416916	0.37310012912982	0.0179351012870224
CCR5	0.883563928976959	0.820169803401618	0.820385963411682	0.691098800505788	0.63039629529941	0.807187731936539	0.783491244486116	0.665539253571716	0.753664303525	0.407969680560141	0.623183338976408	0.770969610939529	0.710291852585788	0.770206838563792	0.799296195700555	0.740536219045208	0.731491823207016	0.700895466314662	0.670821110427783	-0.118421279983685	0.0986588708122618	0.798115446545061	0.840544975990597	1	0.712888509877416	0.442353826192908	-0.484529755424785	0.606356226461452	0.0631392820606892	0.489661479307007	-0.307363833505292	0.585160274345275	0.453546872854436	0.417716665336642	0.367220484716799	0.430124898897124	-0.373257741686327	0.497781833951767	0.719433632517502	0.668665955969015	0.350626107988809	0.290093833435383	0.6190246619546	0.638682243029367	0.140983879779638	-0.091911128303662	0.17506910278096	0.0198223672329327	-0.176577502698566	0.471401580489292	0.766666110126114	0.318406330718789	-0.349838579056846	-0.147697797808755	0.364500117776338	0.0172146301590518
CD6	0.872951432608568	0.910994409011011	0.899045857678138	0.54196428356481	0.957382200427806	0.871943537304454	0.803475542524148	0.817102000474956	0.848518258994743	0.811513789210953	0.837184518031582	0.891665482085904	0.762671552419953	0.680150081533647	0.756157003943064	0.841939701773326	0.852624768921137	0.467140115184554	0.378933419198281	0.232258065440833	0.2579706581066	0.649821593093673	0.896696946933578	0.712888509877416	1	0.911473816977371	-0.356291950226418	0.749612957224697	0.197620773167899	0.486599534731297	-0.0873309057567852	0.316305092968747	0.61032579707945	0.65442717163764	0.631766555584697	0.891886437179102	-0.10413003058937	0.667938104142272	0.529939963032729	0.796535116563904	0.744615319142713	0.354540729393093	0.759378165166255	0.521951944688318	0.344580543046327	0.113127426435126	0.498077680539066	0.1182384839387	-0.0436473586988638	0.744171609908345	0.849732128462589	0.426444535379498	-0.0106960101910665	0.158796016483885	0.415619878343315	0.0639618302511789
KLRB1	0.680206594629041	0.789145507483751	0.698811785289653	0.365631402048099	0.936352028359071	0.744019202241686	0.710337436922835	0.81955154664789	0.702861509568592	0.80382217523727	0.759088545210752	0.822543451308836	0.550164664320303	0.485944116886727	0.486547443639889	0.745639260701368	0.817439177319038	0.316606487047422	0.164574855003592	0.356507632252307	0.216112260026379	0.403001929578347	0.729271035726303	0.442353826192908	0.911473816977371	1	-0.24479884402568	0.627721449084759	0.203607674322413	0.411934751654659	-0.0108108401933544	0.220581707620404	0.547235869774916	0.614181226162732	0.624378306989914	0.952274333349631	-0.024311678502676	0.599143675148042	0.399369235196233	0.78851288125328	0.748165571921724	0.256065775457087	0.672830273692452	0.337991815681247	0.415207385503521	0.168231422407023	0.477718368437449	0.116607644966942	-0.0925948451194837	0.707734874379059	0.639901000344451	0.365558193518823	0.0950237309295064	0.253405146961586	0.347166332148523	0.0597184699597247
PTPRZ1	-0.449446602097936	-0.412300979289143	-0.406638417539704	-0.460882385147954	-0.308514886736901	-0.481777941611956	-0.461384904241747	-0.30409778258319	-0.461227608660428	-0.0879967241638317	-0.356789497336312	-0.438892818844264	-0.420416738820571	-0.49241816086306	-0.435105612700111	-0.408344692852803	-0.412742470950153	-0.471803817536856	-0.476812766777798	0.447467815842908	0.091309061723818	-0.360025529545414	-0.466780227620228	-0.484529755424785	-0.356291950226418	-0.24479884402568	1	-0.11318563036063	0.0917573960878344	0.0771305581875455	0.496634694409231	-0.139753659846836	0.0256352576019492	0.0357753021347627	-0.110091791504438	-0.219247253001816	0.824711015673133	-0.0294740377762986	-0.471324218192071	-0.351325409260762	-0.0390672219832171	-0.0242395453173473	-0.157756259894343	-0.408835533339771	0.144570441987637	0.470650431193382	0.192579281450082	0.221756018050589	0.392023173779856	-0.195890776612756	-0.450352222072827	0.200486418481197	0.727048083754202	0.312980251603548	-0.102592534111938	0.0769055234511713
ITGB1	0.754751824946958	0.811895824460928	0.761893250168746	0.438725936143383	0.721730412786365	0.675777430323845	0.611037134653295	0.579343026993806	0.662412286605482	0.811541899246508	0.735262358624655	0.664157376587924	0.765903829036837	0.550659977441883	0.684294997934252	0.777566514155779	0.666248569725867	0.412593616191075	0.377580408111903	0.490900060983531	0.745250235160175	0.604999435606032	0.737230555302733	0.606356226461452	0.749612957224697	0.627721449084759	-0.11318563036063	1	0.712187690532181	0.706726893723046	0.359855301797197	0.449855768049326	0.72222440835817	0.89624622322833	0.895229706653458	0.715323718242264	0.211678480874035	0.708305013094173	0.450746538994716	0.682755386647859	0.808274052831875	0.655813159974188	0.854472683016491	0.49595542453388	0.722013887693006	0.627820308356853	0.666824831436163	0.670927468039995	0.353668241345477	0.870608305501995	0.713857842573699	0.833033632167527	0.376581340830964	0.395894695976006	0.832402319862411	0.610171812924268
SORL1	0.180341170581798	0.308481652383616	0.223828283700032	0.0446786914150504	0.217892494951754	0.128679689782545	0.122340390861956	0.140609495837328	0.145567123940913	0.476246159591465	0.316722756833051	0.152191488900155	0.35474662585897	0.0849918243569687	0.103391020598309	0.365480814047904	0.209146872782031	0.0314979697075235	-0.0106180076122914	0.548788052373961	0.9419599637786	0.0598826342493329	0.115622063606254	0.0631392820606892	0.197620773167899	0.203607674322413	0.0917573960878344	0.712187690532181	1	0.591130570646076	0.657596736030163	0.287326928990146	0.452758627013093	0.713176349934539	0.863660400043841	0.341961078740869	0.35954940453874	0.298275476053031	0.0527912616889311	0.345807771777642	0.534554037966082	0.778791273249675	0.593260658300276	0.183540927175064	0.858760477749947	0.885371626732309	0.54955452862947	0.93705998489706	0.478642174921766	0.700993231077041	0.12479156789791	0.798000627302443	0.606786174330136	0.498514040534815	0.922259802708858	0.929785569454738
