""	GPR171	PTGER2	CXCR4	CD2	CLEC2D	CD3D	LAG3	RPSA	CD3G	CD96	DIP2A	ITGA4	PTPRC	NCL	CD69	JAML	TIGIT	CD47	SORL1	CD247	SELL	TRADD	CCR5	DPP4	TNFRSF14	CD8A	KLRD1	ITGB1	PILRB	S1PR4	CD44	CD46	HLA.DPB1	ACTR2	CD8B	RACK1	F2R	CCR6	TNFRSF25	PTPRA	IL2RG	CD226	IFITM1	VSIR	CD4	SPN	LAMP1	JMJD6	LRP10	ATP5F1B	PLSCR1	ADGRE5	CD74	CD63	PTPRZ1	STX4	SLC16A1	PTGER4	CD81	SMAP1	CD6	TFRC	TSPAN14	TNFRSF1B	APLP2	CANX	LPP
DIP2A	0.102328998840953	0.148430102219184	0.331450972225625	0.377763636135824	0.356080098106174	0.178072864373552	0.731687458974255	-0.105372376687692	0.375818727158829	0.370488914749074	1	0.758530431789687	0.39585093104919	0.0619346588823722	0.362999059653211	0.103389559208666	0.719789901849636	0.338655655165784	0.297301021404718	0.338245131742113	-0.0880723086602301	-0.026548031635598	0.273329155556519	-0.00118699955308389	0.249908023161005	0.715686529375776	0.549975798299713	0.450742602177296	0.314519428600887	0.0872623743781322	0.120696728544697	0.487396562861562	0.244915546734597	0.303727235721762	0.749692138743542	-0.0366952209451642	0.765775914871078	-0.0970404613514959	0.034088728937044	0.285702085926554	0.308312257343848	0.372278139105882	0.122525395218017	0.24680739394965	0.110743459420619	0.361278631336844	0.230384487266325	0.427628095991661	0.174650562030753	-0.0596931176844622	0.144446970749183	0.582306323746922	0.25546529076003	-0.103172736297532	0.0635620891755454	0.148884135318464	0.0445942336297435	0.152131412125376	0.0999496390666748	-0.196079727066273	0.341363804119262	-0.0558218289324647	0.444859857903531	0.556345435003702	0.0387095684641437	0.0349793318692589	0.0952984735379664
ITGA4	0.544348557161168	0.555488100660843	0.635780720480926	0.753991177466882	0.778594065045	0.656967321482978	0.648595837401043	0.220202864924405	0.775943791047177	0.73816323641791	0.758530431789687	1	0.806748590547885	-0.0658293684378549	0.668721119528239	0.519726719620204	0.569879116218311	0.62898710330083	0.627849050768888	0.711871768991595	0.42012967718593	0.42972729384086	0.550425303832047	0.492707843924732	0.634873104448677	0.497642613614064	0.390858156358635	0.640608990808409	0.199681607464306	0.562812909054219	0.30713695943311	0.447163787458379	0.522228969623642	0.423702277552091	0.53035578742851	0.288820405912461	0.690573097717482	0.394454763543711	0.52049529782757	0.12606626571354	0.763551983714702	0.660641048575177	0.572707013333486	0.567310929450934	0.521805765080691	0.804976668711241	0.138921868893694	0.0847266911590076	0.224357528915867	0.00777963512273883	-0.00217863254399406	0.843568884300857	0.356624261824598	-0.301366573660709	-0.264477094815201	-0.0160994012307191	-0.295250687762032	0.625378390650788	-0.00711792502515363	0.0143514701452799	0.691864160907124	-0.409902611364846	0.598977355223965	0.847262723322024	-0.0621731151511659	-0.0833439947499531	-0.00109882843244443
PTPRC	0.920490970287511	0.926049323301768	0.835404061774253	0.966952173964032	0.968963575128642	0.907006349065763	0.549801036138612	0.613175275054516	0.954999809893608	0.958555597721498	0.39585093104919	0.806748590547885	1	0.0340265955956718	0.787665553959742	0.831221023479112	0.163903199442867	0.88575766345005	0.743312269330534	0.967902864021842	0.746344489149742	0.842381267241102	0.690816071194988	0.807103364656623	0.759235254633063	0.20050930647646	0.0418470486716932	0.675281943337457	-0.0901021219277171	0.906260531840929	0.468961736115848	0.458604697521288	0.501554871832086	0.373955777229874	0.206908222184493	0.673722533334939	0.423515908752386	0.78327038609953	0.878309728112059	0.184079480200583	0.931606035140853	0.912112513164024	0.871999548567559	0.58799903397643	0.692586569218661	0.816619158324247	0.0294756060861093	-0.126830441558694	0.259350214550434	0.247442703081559	-0.126655841170164	0.776785901236941	0.170208244135273	-0.25762967753659	-0.303160452746878	-0.106659750805796	-0.286278266363921	0.901442234604946	0.0760751909502819	0.31057106310311	0.891394692334172	-0.421395726702902	0.559017622518616	0.703524329409285	-0.145760600633201	-0.0561700615628428	-0.0950667497344044
NCL	0.113002150560757	0.115704371702138	0.0721984412135057	0.0732300953218166	-0.0188649986392163	0.149082489082382	-0.066425825334476	0.617858202665757	0.110368693212369	-0.0192704306149041	0.0619346588823722	-0.0658293684378549	0.0340265955956718	1	0.148300315235644	-0.0185998866481327	-0.262926570853539	0.388367782407877	0.250104087008093	0.0730363431650886	0.0947899196091589	0.233678922718595	0.0387926863859382	0.118779303963883	0.300753169739582	-0.353033676082127	-0.317887922610746	0.489091555445796	-0.1139309660111	0.135145958048676	0.611079069166284	0.655988141587806	0.165787612409672	0.276864735719044	-0.256520499802468	0.589382822673665	0.0447916852169339	0.114349630766618	0.153729764595246	0.704763936772034	0.0182986071879728	-0.00676257825634629	0.188265120961738	0.160850558232784	0.295477240701448	-0.0117858927693769	0.452424913815814	0.701791909648989	0.692463758933885	0.893784635486071	0.377477585083681	0.12457956881172	0.141496738870005	0.720229605855085	0.553140617283123	0.614583425602312	0.728413984353529	0.235590229764258	0.719931378687917	0.723728291296017	0.103794173474842	0.816874530763628	0.235838785361952	0.0978029674094544	0.487850605014541	0.663000958132127	0.446564441005962
CD69	0.761909443987431	0.796283308771758	0.919524669111065	0.78829672563009	0.715088269508768	0.686611839143317	0.602572818595909	0.512847295136074	0.825287865245731	0.770487704383685	0.362999059653211	0.668721119528239	0.787665553959742	0.148300315235644	1	0.742665547564782	0.0460026347260694	0.761832411590689	0.526488714223776	0.781560431703336	0.408674214344008	0.579802675363613	0.453898830936033	0.453276587706424	0.620905569684372	0.208106979260746	0.237160086860552	0.595736252663034	-0.289328610687217	0.688051241261448	0.363476619480138	0.359421693254949	0.39815757380525	0.224443981824273	0.348907355395593	0.526189732374385	0.603932014812061	0.431694744211954	0.744021592913631	0.0652601119907123	0.655725734413615	0.653479130555645	0.690612226314738	0.348888135627657	0.415688356926412	0.526523536063282	0.0189908458470136	0.16188107324849	0.181676370391472	0.207973634736643	-0.205007668987316	0.759423193769378	0.00837274019448335	-0.263524396307	-0.252240171620793	-0.186658438338043	-0.256846814872419	0.800608095349676	0.0145964328036348	0.277435702560518	0.798781845595148	-0.342136211831186	0.420708623609719	0.573522994111591	-0.236653963995862	-0.154066174595755	-0.21506673326287
JAML	0.835118708706132	0.866112531608308	0.89602343913558	0.766367968829696	0.81586271843733	0.666913760475786	0.363411366350929	0.560754346046808	0.734520888540259	0.839492610718764	0.103389559208666	0.519726719620204	0.831221023479112	-0.0185998866481327	0.742665547564782	1	-0.187066712345715	0.743565639938455	0.663812936465841	0.770699439555983	0.614803602657246	0.761116863061726	0.623675019039243	0.614705075635021	0.638814081705603	0.135322956555402	0.115407332751796	0.545180585314702	-0.0330823405474513	0.736468215482858	0.414250212533597	0.303702126565377	0.552203629235568	0.429668863394551	0.0882166229571345	0.609765480662508	0.249417065261656	0.662048096412175	0.836660903688518	0.0171883975139096	0.672769341620356	0.799080954553986	0.671123919043005	0.52410715394178	0.514644077116409	0.531672860464237	-0.0376332846877202	-0.198140671634602	0.0578389989393206	0.217749076020292	-0.0708664390682116	0.52906493691434	0.194333573603372	-0.202307022040338	-0.294449449892705	-0.164841016632134	-0.343518695223882	0.750816184894902	0.117496106272886	0.283503737867969	0.673347189618678	-0.436606668638809	0.510409879327542	0.531028783549759	-0.160681545838569	-0.106532799878758	-0.16918915142826
TIGIT	-0.131954727051203	-0.129579379295444	-0.0441669921358693	0.2007819224326	0.164119542174034	0.0576989594738445	0.613312314781643	-0.403258902719635	0.20767438740455	0.1844789029511	0.719789901849636	0.569879116218311	0.163903199442867	-0.262926570853539	0.0460026347260694	-0.187066712345715	1	-0.0575655506821361	-0.0314873169326123	0.133821538223514	-0.190957425800072	-0.252859111635903	0.0960919300504215	-0.0505728933656239	-0.0892349008161745	0.72021778028279	0.500258004212966	0.0378370954594131	0.293561168345398	-0.0716130069658289	-0.238935881279849	0.110308824011637	-0.0137061520162752	-0.0696707642818317	0.736047253343983	-0.359413117406541	0.575816829151898	-0.203557564258818	-0.244839178555498	0.0143710039445211	0.235220108905807	0.125657661364107	0.00289521611297318	-0.0614341600353868	-0.126230793742097	0.339752255296138	-0.0412486429973827	0.208227851997996	-0.0727145555243851	-0.349308464549632	-0.0721921496258271	0.476820933209981	-0.00757090671569206	-0.335275033457393	-0.15052224154553	-0.0549624117843649	-0.125365518977839	-0.10296874068458	-0.293481868284929	-0.483024719848605	0.133195094851603	-0.243451881621291	0.0288560203698969	0.336379508862326	-0.186934979392455	-0.209498456339309	-0.147024344758403
CD47	0.882901359186765	0.898288362842285	0.796266795272407	0.879144870570372	0.850399919185283	0.839427631339324	0.449236737027136	0.80717918566176	0.865953207331363	0.828134021915054	0.338655655165784	0.62898710330083	0.88575766345005	0.388367782407877	0.761832411590689	0.743565639938455	-0.0575655506821361	1	0.788642856377684	0.888754745209054	0.686050756073257	0.867433562425859	0.6800495952512	0.77911102835879	0.809784650241743	-0.0336497792472853	-0.17530734060874	0.828496380936761	-0.194781226183178	0.858127609204926	0.693574747590685	0.717106880582213	0.474062718473	0.491678119184513	0.0119149153851753	0.861199916171447	0.358717764765457	0.749102418235106	0.861834789508056	0.502120721270633	0.80241305770735	0.824408975515393	0.855284471505933	0.615980280943436	0.763361687476784	0.673862526748883	0.260463316543796	0.152104422150388	0.553008588018499	0.564865301660725	0.111138420572181	0.690060356883733	0.205918557317403	0.124489545945207	0.0614406375003001	0.174908738649467	0.0835580378259717	0.905111850203505	0.437195116326261	0.602275938213445	0.827257754621065	-0.0394482049071076	0.642108197760642	0.609165870965855	0.134366692672238	0.285385916897417	0.196978656024146
SORL1	0.640546744215233	0.652638667987761	0.634976002500392	0.678244601527875	0.749618560446927	0.629987504305583	0.247916255176287	0.551458160188063	0.662421352450033	0.589853809874885	0.297301021404718	0.627849050768888	0.743312269330534	0.250104087008093	0.526488714223776	0.663812936465841	-0.0314873169326123	0.788642856377684	1	0.646059639145329	0.507680532217894	0.656591712759848	0.77159016925631	0.650420804429182	0.749712377310493	-0.0800825110737607	-0.107594538906902	0.864604025307606	0.00464807825033404	0.6494671583433	0.680000903388685	0.636396493984529	0.736412903715371	0.718188358884831	-0.0764086245291754	0.614860624534361	0.260062500563674	0.558538837745463	0.614028371462849	0.33510155767236	0.636933057765215	0.67737112323458	0.714705232246645	0.740533086568522	0.802383247383688	0.720533297860479	0.46721430073696	0.0921467666518052	0.505326123133071	0.421979549595001	0.44783824801584	0.617229284753074	0.603014738102927	0.156625945252932	-0.0292196177086199	0.153892551581149	-0.0690466188129627	0.717497770694618	0.439363836984309	0.436145521620365	0.659476438986661	-0.116634772647849	0.866089257469047	0.783580623470627	0.376447531458514	0.385263428438947	0.285625382318967
CD247	0.95149013475504	0.955588428801582	0.801282176197759	0.980693470888349	0.939888065333474	0.921655363411398	0.565223970234982	0.654849580059231	0.958108199866799	0.943736268394488	0.338245131742113	0.711871768991595	0.967902864021842	0.0730363431650886	0.781560431703336	0.770699439555983	0.133821538223514	0.888754745209054	0.646059639145329	1	0.74245950632675	0.869784127978388	0.6443334311157	0.815678436895052	0.676261873986332	0.125469032597745	-0.0937412224340234	0.585440653549711	-0.258197494217054	0.941282464154063	0.400052468266647	0.43131445190936	0.364349452693554	0.226127338408321	0.161110431364996	0.710385246257043	0.363864267416031	0.80748478065137	0.878382481408913	0.210970110663908	0.92268401733125	0.917779089165101	0.911486477398582	0.480955780199116	0.638477101022003	0.748106176670894	-0.058155674859756	-0.129253526334487	0.247982184662243	0.267696454891492	-0.240771410545445	0.725648017529306	0.00762265001606035	-0.278823141286447	-0.28596380144961	-0.175528879790032	-0.220015975785953	0.91039485855626	0.032258265713812	0.336151067549582	0.927771713076149	-0.372952034928894	0.422114629028218	0.553158739137468	-0.237625409476896	-0.0921635482923894	-0.157440951429733
SELL	0.788777947961594	0.74930479753923	0.43250404715555	0.710688657000501	0.730187627285488	0.884263865509476	0.00553988531548364	0.757504188531777	0.716546767602037	0.707541620666943	-0.0880723086602301	0.42012967718593	0.746344489149742	0.0947899196091589	0.408674214344008	0.614803602657246	-0.190957425800072	0.686050756073257	0.507680532217894	0.74245950632675	1	0.909205701787982	0.380945459224229	0.891717422786152	0.721419585236582	-0.287489038665193	-0.419025626805029	0.432300112794698	-0.107719835274252	0.856804448004783	0.46032291247925	0.321648086984231	0.378459996629073	0.243658885468612	-0.33593601051178	0.794379191858403	-0.112823206100845	0.970547922024415	0.8753120413678	0.238095629995231	0.838555880526846	0.643276567938212	0.753089294775338	0.586993625041501	0.755806809502862	0.662062589631931	-0.0931598154488565	-0.387718459111163	0.378063051221358	0.41023377281717	-0.197067861414723	0.390002384144351	0.138360750668997	-0.0466166325165193	-0.142671950407632	0.0828782047793782	-0.105139079773468	0.803783360802108	0.184260587911499	0.591199985433246	0.586388417087446	-0.19842032192807	0.287756931167386	0.40561426690005	-0.0366780943474333	0.058286653335858	0.13240533759104
TRADD	0.925410673621187	0.913604071841409	0.651968743629716	0.837435987040082	0.826552547008102	0.902301560905556	0.175268589283599	0.867883780692918	0.810545316740558	0.813816505574339	-0.026548031635598	0.42972729384086	0.842381267241102	0.233678922718595	0.579802675363613	0.761116863061726	-0.252859111635903	0.867433562425859	0.656591712759848	0.869784127978388	0.909205701787982	1	0.573737158705879	0.91205054775648	0.758079227946015	-0.253191336228851	-0.427400912321384	0.582848023482453	-0.256855639772846	0.938306301943994	0.576199121369924	0.451868702140237	0.415502898877257	0.331156979337172	-0.274259498658166	0.90562667530716	-0.0290880691391394	0.961359601527806	0.939261246156518	0.302280761555801	0.837776418821535	0.797689969028415	0.871273038295194	0.609659578959846	0.788389769863584	0.640761062284274	0.0269163859230336	-0.244587143709695	0.392721054421885	0.512532063624436	-0.0944243994318954	0.475427272532814	0.119236970135738	0.0186584159052666	-0.129034135127383	0.0337700480079179	-0.0669189379270253	0.900736828182578	0.283180666395697	0.629905614551085	0.743813592657826	-0.157044471410891	0.415136941088949	0.425969010539492	-0.00377061576901532	0.151772887259665	0.0680030510576309
CCR5	0.606337740969864	0.638909763995725	0.645261658587792	0.690932945151333	0.784783137646505	0.527891818941496	0.33576502106408	0.373122923641879	0.628611638895326	0.636182434889103	0.273329155556519	0.550425303832047	0.690816071194988	0.0387926863859382	0.453898830936033	0.623675019039243	0.0960919300504215	0.6800495952512	0.77159016925631	0.6443334311157	0.380945459224229	0.573737158705879	1	0.676880601016056	0.472377532727891	0.0813504071631202	-0.039402266488301	0.591103884093939	0.00238261673894014	0.551798643950079	0.390094255625545	0.451235894665163	0.403848967959222	0.495739190862609	0.00543102295496679	0.461227555027171	0.248953775617345	0.50066130368535	0.540935861386141	0.187217698811711	0.609917339958375	0.753270365413109	0.665912192205118	0.521739134229897	0.522285501298881	0.716067318388817	0.14514245350505	-0.0292409341350402	0.178766538436477	0.163888462043275	0.273549099992244	0.607906551280787	0.280331680786608	-0.0835324775261788	-0.165743499090612	-0.110836568829318	-0.116605352656717	0.603839560891262	0.135506981688996	0.130808043774949	0.623241107834963	-0.266417966382684	0.592993271537274	0.503806945697125	0.0465449967011985	0.102058499149122	-0.0102174964962742
