""	NCL	CD3D	CXCR4	RPSA	GPR171	CD44	CD3G	CLEC2D	CD69	CD2	ITGA4	PTGER2	ITGB1	CD8A	SELL	CD8B	PTPRC	KLRB1	PDCD1	SORL1	FAS	ACTR2	CRTAM	LRP10	CD96	S1PR4	CXCR3	IL2RG	RACK1	TNFRSF14	JAML	TIGIT	KLRD1	CD47	PTPRA	TRADD	CD226	DIP2A	TGFBR2	KLRC1	CD247	CD6	CD46	CD74	PTGER4	JMJD6	PILRB	SPN	TSPAN14	LAMP1	STX4	PLAUR	IFITM1	CD63	TNFRSF1B	SIGIRR	HAVCR2	APLP2	SMAP1	CD81	ITGB2	C1QBP	GPNMB	RHBDF2	CANX	TFRC	TREM2	LPP	TMIGD3	CD68
ITGA4	0.515949445146337	0.569012608037401	0.608473885654464	0.351670109998978	0.0133554135976844	0.70724799419844	0.634219889481454	0.236617966368782	0.275402928311151	0.533173451527401	1	0.449791947233786	0.426872440075337	0.504672701434151	-0.247561609435992	0.612274212112146	0.705280451304988	0.080298087991244	0.4005750674225	-0.0766280481760474	0.0641795684564078	0.476757861789186	0.414630261669219	0.306707091138661	0.506473229920167	0.509634328771248	0.406213020963937	0.587868282091485	0.418393515637633	0.270993264323181	0.549064987784975	0.305920529444383	0.260637933774319	0.246244032595543	0.217723957144965	0.269688557899234	-0.121081889693383	0.565071464336246	0.126764390125849	0.312098667138466	0.335606809468611	0.269953955305063	0.218393785597227	0.32614704029136	0.216169980706987	0.390472204586291	0.262627211747011	0.677051810908871	0.272948075235237	0.148939072262174	0.129623444825469	0.0603520017589529	0.398992085059054	0.229167852089828	0.402024931752532	0.485800084610213	0.164701840912596	0.142317144816717	0.359522894362892	0.12578046167209	0.359541667422395	0.3381269480025	-0.00119723240992354	0.0645442306008339	0.285589246717459	-0.0454603014663539	-0.0733559831691909	0.21624081239661	-0.0374592261122513	0.0749527341854056
PTGER2	0.166730527365059	0.59263111147986	0.237436765605454	0.333017722300399	0.219984880895303	0.570374713697461	0.576706448536391	0.202928455382778	0.0172094484017355	0.556773883671221	0.449791947233786	1	0.0697951002368919	0.466025459415855	-0.0813417425632168	0.285145756005789	0.47495592981953	0.240612943347608	0.330596942611514	-0.176448292844687	0.440669915020098	0.191689851921954	0.149136375962202	0.181023622182365	0.479654990056246	0.495671372189742	0.259748094602575	0.626631432249819	0.256911277877072	0.174745819159813	0.30143009965314	0.338518314628182	0.177717448605934	0.336435878771269	-0.140705429714745	0.452282976930214	-0.165709887300317	-0.0223221117920918	0.0414125665827296	0.0254975058665396	0.537454460638985	0.344416925514589	0.0731305526800113	0.0670907790100009	-0.00325979198068169	0.124302237147959	0.183443859459158	0.476499821366784	0.0999613129119325	0.000236033267391341	-0.0636057208288097	-0.0335795294670023	0.387255694354306	-0.0156404022001573	0.0379562015996143	0.133934218927941	0.0386233080790065	-0.0890829223888034	0.0247793045398577	-0.0315682525316564	0.239000971598485	0.200262428756125	-0.11311709120878	-0.148250928843221	-0.0127290008997403	-0.150988923130469	-0.176473352901791	0.050341555837954	-0.178717102998703	-0.0807228615543944
ITGB1	0.863738548702037	-0.00447938692489927	0.184441344463917	0.597025874236571	-0.0824395257870427	0.335985443400988	0.260458339809637	0.178204840029568	-0.120174156424349	0.147725445642274	0.426872440075337	0.0697951002368919	1	-0.134224503603738	0.141018530387328	0.115953617401361	0.331216345321117	0.0933141907661888	-0.111633251817136	0.54484279119465	0.368879917174351	0.876652870520703	-0.145778706286504	0.773596726355663	0.0165676426483031	0.373001700645383	0.41101800934753	0.434233728059582	0.783945122916184	0.690199081107911	0.36954844723474	0.165563008612622	-0.145833308980467	0.564770727420054	0.762498657581802	0.547420805885679	-0.0860003644102924	0.666415218514936	0.833796066027435	-0.186869404449446	-0.0103007609710638	0.149095925579205	0.802000421819734	0.778446488205924	0.350890898451453	0.377517583019686	0.399058746545139	0.650307722137017	0.784942676938294	0.81660347759757	0.675173055827945	0.547945463292633	0.808438250774416	0.827859373829857	0.729535739974161	0.793799887530945	0.526676914948237	0.799749443928345	0.833887722765433	0.764743677586061	0.592523950126623	0.751406178179204	0.446823432474624	0.57740802257861	0.880007434253316	0.508322032885431	0.403397388454973	0.783810192051485	0.517094985145528	0.561968313766162
CD8A	-0.188727644969475	0.540194766714071	0.35459002385695	-0.316563441840162	-0.391087592410696	0.632975796409419	0.461310426971453	0.0288227891678702	-0.0635521639888449	0.439270988827118	0.504672701434151	0.466025459415855	-0.134224503603738	1	-0.574736999627308	0.752747354702585	0.478427541377069	-0.401681187792647	0.604678271857859	-0.327618706635471	0.060281902196658	-0.112857590958186	0.747611298926912	-0.0967001241829382	0.416469190642383	0.10089574850191	0.309296272355362	0.327105175279267	-0.277698500487209	-0.135825811065703	0.229359373126188	0.231884731723958	0.52337386572311	-0.263176070337049	-0.131691109593545	-0.0575445040418982	-0.452452182118468	0.151396415194345	-0.279795654868553	0.455811664624133	0.444866659634154	-0.0378646543316309	-0.0244544140464936	-0.163089490856701	-0.116540712007458	0.492217491524304	0.474155134189083	0.302124570927706	-0.095595242441685	-0.158169156614597	-0.147234495210888	-0.133229113747124	0.00794692025937421	-0.168597031856788	0.140060022701888	0.120343256915944	0.0133347972250789	-0.24666474044088	-0.287963857235636	-0.109297432930255	0.258102615767592	-0.295473627904414	-0.144792090328651	-0.123385435737364	-0.263855020756206	-0.184389213873044	-0.171633232652189	-0.216195912755424	-0.171487435530437	-0.120726461220519
SELL	0.143386422516322	0.0210112806909633	-0.183058948930672	0.462194789557882	0.438450990103785	-0.209381151964373	0.0759899630840424	0.0973771517015689	0.105642992831166	0.0604576683407336	-0.247561609435992	-0.0813417425632168	0.141018530387328	-0.574736999627308	1	-0.433718293363497	-0.0611026049538992	0.505953056409779	-0.358363395911835	0.187022437005583	0.332933789526337	0.131522694666109	-0.498241525322864	0.155629286292891	0.0855266673661939	0.0999166511441933	0.0168945947473279	0.139378761267187	0.344276389970029	0.296993923044897	0.101809904965143	0.230249198521834	-0.374778270466492	0.530681742673342	0.0530902642648021	0.269461008969349	0.224405756054193	-0.168142075872362	0.265732288177669	-0.277185947234942	-0.19878872155025	0.449563187439337	0.132674848982355	0.108180823598568	0.265688106356472	-0.512998531622508	-0.288597837229138	0.0771082803941636	0.175638010397941	0.0184908166713483	0.00588230708013413	-0.0379637070336391	0.146379018032211	0.0112930109189149	-0.164720865141413	0.0118771614794233	-0.195145760727729	0.0207299799095064	0.16162253063751	-0.108629319759829	-0.167033442451636	0.342493756215278	-0.157700708489463	-0.0663197178047685	0.103323028165084	-0.0713742642014974	-0.116808987105094	0.00822411353258543	-0.0970344086683614	-0.0735319519454958
CD8B	0.0294384928019985	0.604461027991937	0.436759313509591	-0.209794469251554	-0.480239308530116	0.581627401541834	0.540177204041236	0.0636634868092642	-0.047066605324797	0.649743557834234	0.612274212112146	0.285145756005789	0.115953617401361	0.752747354702585	-0.433718293363497	1	0.620037229426699	-0.293832512890441	0.53723536644129	-0.18584270665222	-0.0329762390994124	0.11116080835216	0.749441596139501	0.076624189379079	0.473604026282496	0.0762084289450311	0.505695866327467	0.48468664550761	-0.118884985370067	0.0898043323627015	0.242924454236307	0.342763133058733	0.457023239903158	-0.111012063554029	0.123842127595994	-0.0476107268246775	-0.388475662719161	0.448271625425611	-0.0716558727424121	0.530510419658453	0.349670270366292	0.0198758933446539	0.145647558941573	0.00509525383048992	-0.0480125475130811	0.473085641394022	0.383633796550376	0.474424792221073	0.0770797946521967	-0.0646480243104711	0.0128106689275162	-0.0708681494555017	0.165013837059288	-0.0545732965965155	0.355962264072618	0.461063196670958	0.107962151071105	-0.103521658714255	0.0253354436714375	0.012223831720515	0.277039043461758	-0.177856052277845	-0.0725290753140875	0.0394108153968866	-0.0315875098435052	-0.0958170293208221	-0.117292872213608	-0.0564395838514693	-0.0648135002362958	-0.0687714687157258
PTPRC	0.377496509413632	0.722970379178208	0.695182342752978	0.237384554557962	0.0870482784889756	0.732179132445038	0.859647517700554	0.510051695731777	0.398732956115818	0.800755947647188	0.705280451304988	0.47495592981953	0.331216345321117	0.478427541377069	-0.0611026049538992	0.620037229426699	1	0.220699414270617	0.375432575053662	0.120811651276809	0.107986576411279	0.409778479101272	0.252391049741967	0.412021594407091	0.623980523186036	0.48290060407985	0.427830186525501	0.626963409827631	0.309014721654493	0.375778146649546	0.440200637970689	0.195747116495811	0.061424016016603	0.319945265202711	0.167983182445059	0.222838201195534	-0.0665818206026064	0.610318385286783	0.262109990700196	0.174891210830029	0.321627778850619	0.583791246096903	0.448486161539859	0.318124051178139	0.364404619328261	0.477937410984734	0.344865347866803	0.718282049566145	0.306837458399893	0.0841746652473834	0.174984667935384	0.101013817715408	0.393872463790557	0.0484966410367477	0.5039460919887	0.537456405737249	0.254389022520537	0.0267512559480133	0.282598049038057	0.131934925778375	0.406319130718963	0.119247101765174	0.0317106063839529	0.159633266858013	0.185209533608525	0.0218067778586474	-0.0143581790483319	0.107339310500485	0.104907233064163	0.0940171156923687
KLRB1	0.321637708389066	0.13798399919403	0.320948458701424	0.665764799470991	0.757920195251332	0.108879216103038	0.258320020672662	0.394239364888376	0.511461827083577	0.198664693604355	0.080298087991244	0.240612943347608	0.0933141907661888	-0.401681187792647	0.505953056409779	-0.293832512890441	0.220699414270617	1	-0.307554417542893	0.0539471867693137	0.230329784304304	0.212620345163747	-0.389954054479128	0.209892734154739	0.396514520068062	0.394427910534142	0.0182410275321091	0.365203475115189	0.510562971349598	0.415088969736763	0.157299775942597	0.0132250759276683	-0.115753001239822	0.641175515062879	-0.0624432145731044	0.410281938782379	0.432832135683478	0.0686901415582182	0.237235860043527	-0.118802201981402	0.269295663018888	0.609327442778242	0.086776371575813	0.159563456617862	0.357282860884286	-0.232456576136421	-0.178010414716114	0.194909841726624	0.0726242736274673	-0.0309139764660399	0.00602435734914318	-0.054242598461894	0.279477861271149	-0.0685728673255734	-0.0861462033020306	0.0532874192362586	-0.157973202166271	-0.0691531173270067	0.283770331604735	-0.134546534150856	-0.107920856054094	0.40826187398984	-0.149085524991667	-0.136848040302862	0.138005471259274	-0.126483312484285	-0.198614920151823	0.105882806721739	-0.163428249619029	-0.147872865015702
PDCD1	0.00836290526000455	0.707499464428056	0.133694188821141	-0.219149258264588	-0.299154228560149	0.404651212940482	0.444790053305911	0.0476511887809869	0.0587337616228954	0.503963669591695	0.4005750674225	0.330596942611514	-0.111633251817136	0.604678271857859	-0.358363395911835	0.53723536644129	0.375432575053662	-0.307554417542893	1	-0.2927603795516	-0.0491746756010368	-0.0476433568296166	0.324761516563365	0.0421824724077154	0.391046324763141	0.157193612972692	0.131321732372626	0.1985565542287	-0.201865904887356	-0.189617250421308	0.10786152606655	0.350519103979337	0.135827752123761	-0.250134384483027	0.000764626782773221	-0.116420036454979	-0.0969605101977184	0.129732278173288	-0.312729400823412	0.230526590480311	-0.0256081247268382	-0.0293489896929749	-0.150734905216551	-0.22249079217937	-0.249924847550444	0.102161555361421	0.113752740995858	0.141228218999631	-0.0461610050028429	-0.122003799439193	-0.220661783781579	-0.189344732873311	-0.0577499259617793	-0.0620480090693116	0.0220578138066783	-0.00714325005306444	-0.039831834666966	-0.125022962808355	-0.0580875792318471	-0.14374960194431	0.0127305414921436	-0.186162796680461	-0.174897695640972	-0.134853033805082	-0.131625591582073	-0.194483305610553	-0.186720152160839	-0.125555030485972	-0.173090395948639	-0.146190350205032
SORL1	0.414051482162749	-0.324226433796969	0.012254299492911	0.261051717366153	-0.0911538744031262	-0.0207040170165998	-0.100810267612386	0.0593126962979902	-0.119806918822496	-0.207394341517195	-0.0766280481760474	-0.176448292844687	0.54484279119465	-0.327618706635471	0.187022437005583	-0.18584270665222	0.120811651276809	0.0539471867693137	-0.2927603795516	1	0.195102899987624	0.631139958034266	-0.337166954306015	0.592795555243754	-0.236487991058888	-0.0320548214735943	0.0589988915962573	-0.0336409450611493	0.463292295013	0.450330156843342	0.100453979147862	-0.138558541852291	-0.284566667834618	0.344442533123693	0.443482115407592	0.36652404708511	0.00743088295472	0.458294413518358	0.732789399216839	-0.337484779323802	-0.257996257465327	0.000667560067965032	0.609864861347189	0.780602769630876	0.466127245757018	0.364398157303683	0.179562430655319	0.312672712790166	0.760704376085896	0.736964669457108	0.797961290612981	0.80006439274697	0.319188002756154	0.512018936195458	0.589705099118446	0.429636141129542	0.836590191636743	0.64084683374015	0.533000537391101	0.79961952126461	0.714032093822074	0.368777526815383	0.809632329954883	0.901234996551955	0.559281055594732	0.821816822759707	0.870787371194463	0.540462076398355	0.913535750314798	0.86572741935954
FAS	0.401887629049361	0.161494361617886	-0.178015856152822	0.536161295218503	0.0723749867521376	0.249919498069166	0.225878026977274	-0.118445215369117	-0.370770022248835	0.170104720525667	0.0641795684564078	0.440669915020098	0.368879917174351	0.060281902196658	0.332933789526337	-0.0329762390994124	0.107986576411279	0.230329784304304	-0.0491746756010368	0.195102899987624	1	0.424272205207116	-0.0764239507676908	0.429144664987896	0.344018422411354	0.269628730203822	0.312370837534399	0.547937944618105	0.489398494469726	0.493454051212956	0.223781463488592	0.454767102900793	0.00768373943666989	0.613011987638954	0.322916009462013	0.700209751993701	-0.340496411341794	0.0315367487050831	0.423754385380457	-0.162984281373678	0.348633814905216	0.246872939483248	0.382769670981702	0.328115474589259	0.00353877729043505	0.0783561650135481	0.3957190687114	0.378187198098383	0.35662344707733	0.448915517104875	0.268464847957128	0.169556761259428	0.53474471031767	0.424633167411579	0.076851320985845	0.34865613802124	0.13363452479415	0.353976315365685	0.333773908761537	0.31401499832336	0.408278153792131	0.565379166553753	0.0859220674986163	0.140827843314701	0.375395645645722	0.0840755329069536	0.0692010503754965	0.310465566892022	0.0563375748136235	0.169969161456623
ACTR2	0.845401374153218	0.100206310406773	0.229788193856828	0.670590231043059	-0.00315620129009918	0.435458327958526	0.293002369598772	0.143452739643547	-0.0679086807094058	0.195094031758872	0.476757861789186	0.191689851921954	0.876652870520703	-0.112857590958186	0.131522694666109	0.11116080835216	0.409778479101272	0.212620345163747	-0.0476433568296166	0.631139958034266	0.424272205207116	1	-0.177149206109297	0.814327829077669	0.200063077108545	0.377456277736167	0.343178442457949	0.493957414687464	0.84848260952296	0.736144134279851	0.479440277924579	0.246321042201595	-0.0996639758888003	0.653498646123323	0.67240151870237	0.690168747904744	-0.0546558657730654	0.680028049839003	0.81793276442284	-0.173227106905443	0.0770338049239588	0.198637088165053	0.725493363783584	0.885406583512386	0.399268994566151	0.435342814025175	0.369264158352817	0.72620758154707	0.822739097930131	0.846219781299528	0.691195431424001	0.615809507989318	0.761695148228076	0.775094754251005	0.706148830507091	0.742079979192941	0.638184787923531	0.769709113226739	0.860766228918842	0.75938059141968	0.717045633418706	0.774117414143325	0.519447283162532	0.676092509950846	0.84477176421869	0.547280405363057	0.49731667922097	0.756830421826562	0.589546790148689	0.652733111954635
