""	CD3D	CD44	CD2	CD3G	CD8A	CD8B	ADGRE5	CD69	KLRD1	CD247	KLRB1	F2R	CXCR4	PTPRC	ITGAL	ITGB1	PILRB	EPOR	S1PR4	KLRK1	PTPRA	ITGA4	ICOS	ACTR2	ADCY7	IFITM1	ADRB2	APLP2	IL6R	TNFRSF1B	LPP	SORL1	ITGB2	C1QBP	CD4	ITGAX	PTGER4	CD46	VSIR
EPOR	0.859781103712341	0.855830755251503	0.698498138125573	0.847625922669748	0.531815188472268	0.76113515303401	0.905883812815068	0.809235082561888	0.898277144982215	0.924464113487095	0.844697875562093	0.877723815455024	0.88675141784955	0.907657590859272	0.850443783071267	0.863998564563117	0.809670240072745	1	0.814257224448539	0.933403872915707	0.727557272196819	0.241893916008072	0.538389844777417	0.391679711351765	0.814957265806914	0.852044333895381	0.869875965757468	0.915332413383167	0.624743852335965	0.857848428065623	0.752046318018748	0.847664890265059	0.821467677178918	0.735430682951545	0.810967166390374	0.532758851754145	0.813620877752853	0.864866887441814	0.807872461184129
S1PR4	0.913027363546086	0.937617385892424	0.710820548900755	0.831296904865685	0.180940917779705	0.748079881223643	0.902452052429078	0.868795735205473	0.906794368743134	0.781501644044163	0.819702933165551	0.817949756819509	0.896227152649435	0.776768973967726	0.800068812096327	0.920920674661645	0.606976768768848	0.814257224448539	1	0.794065512008641	0.662433891607763	0.332188441226649	0.638319786005925	0.308784520109329	0.801608513625199	0.879717818320979	0.655358555085922	0.902259467544069	0.353712285647357	0.691431450935631	0.384169947523839	0.686423405377107	0.864197562605211	0.734260541898625	0.582685755299623	0.129706946231502	0.862080238188419	0.797232553363888	0.526046625877663
KLRK1	0.815143525551058	0.819360110970514	0.530815926760893	0.926765418635275	0.399779814609102	0.843273879707688	0.901133040455329	0.7443142009921	0.823180824650754	0.886085068580079	0.882165151637811	0.857605841778322	0.797925634431158	0.759200902551911	0.74377864310156	0.805896374494424	0.646381020686481	0.933403872915707	0.794065512008641	1	0.565100227653064	0.0115222909927754	0.493045353872238	0.275819476824876	0.617154935991163	0.728580009976352	0.853156966795694	0.792052751184354	0.561946052810146	0.72097534860546	0.599995575555555	0.748102771658092	0.724650931602615	0.794691279941875	0.687914549639394	0.382026714583047	0.68476339223001	0.783911233626198	0.704337046217194
PTPRA	0.79992420267286	0.561950362966494	0.568838956575456	0.381191049316677	0.464843198977161	0.206064559078366	0.696287240492082	0.473283268024653	0.754590095869333	0.6576728039151	0.365791269064984	0.776862108342558	0.725606896608933	0.796323198026123	0.823886168101684	0.56411301415131	0.936307806848384	0.727557272196819	0.662433891607763	0.565100227653064	1	0.196770045795148	0.116087682649431	-0.02016886826167	0.862345083112635	0.720507456914797	0.35745649753678	0.742655742785057	0.18849703475099	0.595932770216243	0.708946278741692	0.501681099974606	0.491366579485834	0.167245036844608	0.448409174657595	0.206150586800166	0.659982064094913	0.531954922037201	0.34059060845792
ITGA4	0.299562181140571	0.471510591022464	0.820735012152506	0.153047754124154	0.412292531492253	0.224055919703971	0.233531941232481	0.60674329906161	0.416699354500019	0.275260563399728	0.322009621579222	0.115798400721888	0.495993826764536	0.498939615960321	0.356525235972003	0.513749016894056	0.262657107997117	0.241893916008072	0.332188441226649	0.0115222909927754	0.196770045795148	1	0.694115571389773	0.72248689768889	0.575397108315578	0.588459704300745	0.335694133684015	0.519434443745877	0.424858477932976	0.588042497787759	0.306572876176363	0.507730391664648	0.632854201501421	0.283438642489691	0.520924604028066	0.498838480503492	0.668119155439044	0.561281010638193	0.492773437502802
ICOS	0.475595489023683	0.820076801696287	0.769520237749926	0.711615260929091	0.162593187976413	0.813288993014627	0.533880452030424	0.901426038676311	0.593217008267342	0.517172177488527	0.815232286131281	0.335547910739131	0.702401595395163	0.631481338179837	0.442751032347428	0.814704855201694	0.225721876280222	0.538389844777417	0.638319786005925	0.493045353872238	0.116087682649431	0.694115571389773	1	0.862110781920137	0.523871661572123	0.678809343254316	0.77451443468488	0.717158530393463	0.746254219251104	0.756239914917622	0.235209653121288	0.78011642281066	0.87205673638246	0.849599108315762	0.749889966450271	0.570411973925384	0.786681252365686	0.801671921739166	0.731418050790606
ACTR2	0.26198245614589	0.590411102420147	0.698666757447322	0.506674185246645	0.334665249995799	0.628798230610827	0.347434283934048	0.727092757423558	0.437428355909545	0.443763372345947	0.643463754034945	0.204488688673924	0.542842675532058	0.553027299749312	0.376501523212159	0.631385315107003	0.211029529282717	0.391679711351765	0.308784520109329	0.275819476824876	-0.02016886826167	0.72248689768889	0.862110781920137	1	0.43099815723479	0.550269849569808	0.690915470409295	0.518637689654369	0.859522094275044	0.746191702461386	0.345094580410912	0.789572274358045	0.686424546497213	0.675163575426318	0.781918181009288	0.787791321914587	0.652997287658119	0.731193891162295	0.784226169213966
ADCY7	0.873104805424058	0.812499615354942	0.865741051982783	0.584734459103094	0.543027952351242	0.478140338656987	0.820552356810424	0.790401013199032	0.921152710053208	0.817108173573677	0.636681906492027	0.818807230261294	0.90918870803324	0.936005535698286	0.929042792132475	0.837286825563465	0.888435577174198	0.814957265806914	0.801608513625199	0.617154935991163	0.862345083112635	0.575397108315578	0.523871661572123	0.43099815723479	1	0.951006138817955	0.593150876457368	0.922092047302058	0.466937434049647	0.837524598445326	0.712214148776987	0.781142783574413	0.811334736124744	0.468610643114898	0.732661125027379	0.436070993934141	0.922740130816381	0.825806583523223	0.64541239995086
IFITM1	0.922692868064857	0.922822551627697	0.915570168985303	0.759554669219496	0.541156508188218	0.677593251567808	0.912913570712783	0.912715199257391	0.978782344437045	0.897791361711502	0.809673328014317	0.86069854209109	0.968802683770438	0.924354394594418	0.937944854390546	0.949162770916914	0.784950806112139	0.852044333895381	0.879717818320979	0.728580009976352	0.720507456914797	0.588459704300745	0.678809343254316	0.550269849569808	0.951006138817955	1	0.717944756332769	0.942994856747586	0.55830632980232	0.88541985700433	0.664305602359557	0.862434000338547	0.906170474135817	0.666808399826426	0.781017985680182	0.446772508631855	0.978039528330947	0.936696107668271	0.728841230037437
ADRB2	0.630193193254629	0.833148207275047	0.678450635541235	0.887203900393878	0.448248233409477	0.910085619339904	0.744407199457858	0.856124801839526	0.725910050394445	0.793954097425314	0.925068424895471	0.631253688421023	0.785930738553221	0.79921678513012	0.62988988346438	0.835671667917875	0.534135605671875	0.869875965757468	0.655358555085922	0.853156966795694	0.35745649753678	0.335694133684015	0.77451443468488	0.690915470409295	0.593150876457368	0.717944756332769	1	0.804089263704551	0.873483748360358	0.880866621509017	0.613987441220903	0.912251863804863	0.834208210788768	0.908549937395405	0.898081988920103	0.74244983313462	0.752471950209785	0.880150102433731	0.929027568480087
APLP2	0.86745542685497	0.944248913539969	0.849592887158966	0.792023066601729	0.4137099070894	0.733999019714152	0.871496052133394	0.918871093372069	0.928448306105615	0.850053316373301	0.834421126211154	0.802346966739937	0.945562149941295	0.94850744069749	0.855596326366082	0.940328824925392	0.776986781000868	0.915332413383167	0.902259467544069	0.792052751184354	0.742655742785057	0.519434443745877	0.717158530393463	0.518637689654369	0.922092047302058	0.942994856747586	0.804089263704551	1	0.602485075476845	0.885693748385634	0.622789041566216	0.859109112340262	0.943175753319265	0.728053239516921	0.83263910317998	0.495696797043964	0.944954293905287	0.898352092071404	0.772307576335688
IL6R	0.383429136109117	0.634371401173423	0.625219478881028	0.662109357425848	0.457073732580289	0.733013933804079	0.49661002691319	0.717147326080262	0.520094784354717	0.597994749257251	0.744475559837056	0.397726954398069	0.630865059481899	0.707791776466796	0.496100078852203	0.651448230072473	0.450927266707873	0.624743852335965	0.353712285647357	0.561946052810146	0.18849703475099	0.424858477932976	0.746254219251104	0.859522094275044	0.466937434049647	0.55830632980232	0.873483748360358	0.602485075476845	1	0.851333064062455	0.594907553303458	0.88996489628205	0.649610540478346	0.742843394057103	0.884363622626039	0.916774366803942	0.644429116368026	0.773289158514357	0.880849628052372
TNFRSF1B	0.764083763460566	0.852913458498318	0.896594155662578	0.752478770762123	0.634692109093456	0.732858006381978	0.786270256984067	0.899157552039726	0.848316409517109	0.831877201160368	0.828055159041382	0.709878292827323	0.919369934515487	0.949610602302277	0.826793788625548	0.885307445699519	0.757517671112344	0.857848428065623	0.691431450935631	0.72097534860546	0.595932770216243	0.588042497787759	0.756239914917622	0.746191702461386	0.837524598445326	0.88541985700433	0.880866621509017	0.885693748385634	0.851333064062455	1	0.794820033284207	0.973794658960463	0.856476613378541	0.737151623972743	0.90969769817736	0.781722395048182	0.921789509545087	0.956254573062118	0.883732392257497
LPP	0.663523938047302	0.48193086212241	0.668008813330666	0.434367052484613	0.896878493559436	0.329052119496304	0.636080545158902	0.502274955991566	0.673322145353172	0.730710820359391	0.47019230788416	0.680495178464613	0.697657248551074	0.800030040278719	0.764199362278393	0.538253674826956	0.864921526499416	0.752046318018748	0.384169947523839	0.599995575555555	0.708946278741692	0.306572876176363	0.235209653121288	0.345094580410912	0.712214148776987	0.664305602359557	0.613987441220903	0.622789041566216	0.594907553303458	0.794820033284207	1	0.712322856762338	0.460321036038718	0.30514638641989	0.647545121902739	0.689445494216865	0.629784900304525	0.685332060730899	0.655528668389569
SORL1	0.731617428180996	0.872668857935054	0.828459996181065	0.824966551349448	0.543383694033526	0.815467807106947	0.804583603197903	0.906373856965041	0.839834648420676	0.85693677299635	0.889495933416946	0.725020452318089	0.893964424821087	0.911953084429166	0.813056083860034	0.89920758542048	0.694591516761007	0.847664890265059	0.686423405377107	0.748102771658092	0.501681099974606	0.507730391664648	0.78011642281066	0.789572274358045	0.781142783574413	0.862434000338547	0.912251863804863	0.859109112340262	0.88996489628205	0.973794658960463	0.712322856762338	1	0.862017232097461	0.815411380684526	0.944773039986708	0.770009058671481	0.890914360954465	0.963444370821119	0.918620287780076
ITGB2	0.758132483639253	0.954890920816851	0.86040594181145	0.820578600384266	0.332684606593603	0.824467504931504	0.801117166102866	0.969879536057592	0.86254450983533	0.795534305967273	0.889898317283987	0.677402675759832	0.884791505335384	0.842742697590448	0.733906008375891	0.958768814730675	0.558709162738569	0.821467677178918	0.864197562605211	0.724650931602615	0.491366579485834	0.632854201501421	0.87205673638246	0.686424546497213	0.811334736124744	0.906170474135817	0.834208210788768	0.943175753319265	0.649610540478346	0.856476613378541	0.460321036038718	0.862017232097461	1	0.837036599888604	0.84741687746058	0.512000942741761	0.929663554580995	0.918185634676343	0.822938412831893
C1QBP	0.601315150549537	0.869119383553296	0.590218629345699	0.944390835035599	0.149435815781996	0.990923240582494	0.727858100985257	0.879692843215657	0.680898953123365	0.698914919148968	0.961411111463702	0.565649268347364	0.73603026026038	0.636373381267024	0.533187359986846	0.859535947918013	0.289707132268887	0.735430682951545	0.734260541898625	0.794691279941875	0.167245036844608	0.283438642489691	0.849599108315762	0.675163575426318	0.468610643114898	0.666808399826426	0.908549937395405	0.728053239516921	0.742843394057103	0.737151623972743	0.30514638641989	0.815411380684526	0.837036599888604	1	0.750420166655859	0.484293360392253	0.712034657073908	0.828609836627757	0.777923476152703
CD4	0.583790572731198	0.797026881036717	0.753576076798552	0.737584976280738	0.501652024756524	0.752104192786154	0.692104794778897	0.828275127882708	0.745071785138249	0.797606919665152	0.818814664091101	0.628332160767323	0.775348193663972	0.870274462107732	0.703166763506238	0.806356058442925	0.657923968440711	0.810967166390374	0.582685755299623	0.687914549639394	0.448409174657595	0.520924604028066	0.749889966450271	0.781918181009288	0.732661125027379	0.781017985680182	0.898081988920103	0.83263910317998	0.884363622626039	0.90969769817736	0.647545121902739	0.944773039986708	0.84741687746058	0.750420166655859	1	0.830536370533934	0.806325200722745	0.873422686570264	0.970103516068415
ITGAX	0.226958447592714	0.419582391668503	0.588137359270691	0.396061268170215	0.618696423605948	0.467285017471708	0.306467744513339	0.531869154769825	0.378362903802333	0.482768642914122	0.509150627739841	0.254479523447084	0.479832030987996	0.646109940992858	0.39359448976167	0.456261928706294	0.476648114715471	0.532758851754145	0.129706946231502	0.382026714583047	0.206150586800166	0.498838480503492	0.570411973925384	0.787791321914587	0.436070993934141	0.446772508631855	0.74244983313462	0.495696797043964	0.916774366803942	0.781722395048182	0.689445494216865	0.770009058671481	0.512000942741761	0.484293360392253	0.830536370533934	1	0.521048752840434	0.63560318713554	0.8469960570469
PTGER4	0.87119358047998	0.93842899669294	0.950474191957459	0.7549385374938	0.491447800131711	0.710307108888466	0.854288964282407	0.954862759062769	0.934619923687984	0.828966098407599	0.824796512563242	0.767243790393933	0.971224675550443	0.929366859441122	0.879604545728501	0.957774608581833	0.729850662598435	0.813620877752853	0.862080238188419	0.68476339223001	0.659982064094913	0.668119155439044	0.786681252365686	0.652997287658119	0.922740130816381	0.978039528330947	0.752471950209785	0.944954293905287	0.644429116368026	0.921789509545087	0.629784900304525	0.890914360954465	0.929663554580995	0.712034657073908	0.806325200722745	0.521048752840434	1	0.94799274105657	0.743672898150807
CD46	0.835242684274058	0.929037156881927	0.896525190686918	0.859645960271993	0.563814217907603	0.83225933890615	0.878389991277299	0.957655807860337	0.916304707598148	0.900935938492317	0.920148674193453	0.785309818022079	0.948524162162859	0.903035693960758	0.856836578763192	0.963123989446465	0.67846993244218	0.864866887441814	0.797232553363888	0.783911233626198	0.531954922037201	0.561281010638193	0.801671921739166	0.731193891162295	0.825806583523223	0.936696107668271	0.880150102433731	0.898352092071404	0.773289158514357	0.956254573062118	0.685332060730899	0.963444370821119	0.918185634676343	0.828609836627757	0.873422686570264	0.63560318713554	0.94799274105657	1	0.863870607275579
VSIR	0.536516218921808	0.747426802374138	0.719133652245223	0.742358122803012	0.562512810935677	0.771930914382549	0.661445009205958	0.798112483318972	0.697485058627134	0.791034821380213	0.820926207313552	0.586434323516236	0.72083379775495	0.797655712239113	0.633687462482973	0.774454793355906	0.568531424214421	0.807872461184129	0.526046625877663	0.704337046217194	0.34059060845792	0.492773437502802	0.731418050790606	0.784226169213966	0.64541239995086	0.728841230037437	0.929027568480087	0.772307576335688	0.880849628052372	0.883732392257497	0.655528668389569	0.918620287780076	0.822938412831893	0.777923476152703	0.970103516068415	0.8469960570469	0.743672898150807	0.863870607275579	1
