""	FPR1	SIGLEC10	LILRB1	PILRA	CXCR4	KCNQ3	C5AR1	HAVCR2	APLP2	TFRC	TLR4	TREM1	TLR2	TNFRSF1A	CANX	INSR	CD81	SIRPA	ENG	ITGAM	LILRA4	PLXNB2	UNC5B	ADCY7	ADRB2	CD4	ITGB2	P2RY12	TLR7	LPP	C5AR2	RXRA	CD44	LRP1	PTPRC	ITGAX	C3AR1	ITGB1	CD69	ITGAV	SORT1	TREM2	SORL1	ABCA1	PTPRA	PTGER4	CD46	C1QBP
TLR4	0.532633149308303	0.573174341271065	0.436002008063072	0.537582658937162	0.470731177345513	0.334604347248525	0.517490773631007	0.346197113187108	0.535226369368987	0.319889453685573	1	0.238853347042069	0.270897259423153	0.436896071904501	0.555138802432299	0.255626310357766	0.589414678634322	0.497310203391827	0.376864685853326	0.41436711238393	0.624378214031717	0.383880860530259	0.421900204633036	0.148995210449461	0.540581684444637	0.501124823763233	0.528618459178322	0.39727833315492	0.550485333127068	0.388584923007858	0.15199097842658	0.430866327312505	0.388841904864715	0.519664252454843	0.523645500794808	0.41615097461845	0.524038691086615	0.523737434995592	0.312281633176884	0.373198848708508	0.488886761835963	0.611633345994679	0.555835614800983	0.612031854672222	0.479951748996892	0.449502508214255	0.228367336482151	0.556135127052802
TREM1	0.492243325817577	0.40026596866474	0.410428661428592	0.395522434276149	0.670746521847859	0.562523479172398	0.595760162972372	0.582165377947488	0.601080319721048	0.499786723317367	0.238853347042069	1	0.429671732310233	0.482172523348289	0.397475858197683	0.445905346966043	0.498845651771879	0.380374501644171	0.39941375318408	0.316763830364753	0.386685916737423	0.372150349542609	0.592418850574274	0.474618007068378	0.270316383982955	0.367557962402336	0.463346082504418	0.491056328506796	0.548373110259897	0.541233932416143	0.45668216955737	0.297405869110552	0.465233291737984	0.616878162943958	0.458548190629162	0.57181248048015	0.445713847893657	0.524627852505394	0.49001764796465	0.688844815375697	0.48451887888533	0.442953073154826	0.611379357359787	0.404747323371203	0.317269355194089	0.535226851210026	0.440975519534899	0.315298449283103
TLR2	0.460745654312556	0.45180379074751	0.451109992586476	0.480641920498812	0.547886150789335	0.39149877725806	0.578908225397638	0.635296508393384	0.616640529324139	0.385568317912329	0.270897259423153	0.429671732310233	1	0.402511433211608	0.376625099185089	0.500632792062963	0.48878115368167	0.346362914423988	0.308459017394128	0.505804791155412	0.352866929033508	0.37357887621132	0.575606198924661	0.545121663396068	0.408577803800295	0.40597645432772	0.422746908967396	0.447102265078037	0.59557239211234	0.616223134006222	0.298508087667435	0.358527486246539	0.44954804203957	0.52937256020317	0.642095978379018	0.481194374852551	0.556083340549198	0.512129445596567	0.698134320828233	0.477844288700174	0.473260993571356	0.402619396447906	0.60349542882626	0.496639005868027	0.42291806928421	0.527454039746871	0.293936488963975	0.352826407636481
TNFRSF1A	0.716587712698125	0.591370714115921	0.678619781853211	0.689720542058152	0.753532294920723	0.54339055833719	0.670263476752978	0.520609253530774	0.658575556900232	0.494312263813413	0.436896071904501	0.482172523348289	0.402511433211608	1	0.698316608220701	0.449521077961408	0.736667096596939	0.627434527590502	0.490557078493728	0.477420496268637	0.631245777478333	0.484362909897858	0.538078802190595	0.454222934768486	0.502877630638002	0.650874484721151	0.686481724051817	0.586711889514907	0.590717466341319	0.538736501383156	0.440996283688821	0.615994444902247	0.459582719224155	0.670799673896544	0.649136281440715	0.517498359203652	0.569716269056324	0.671698065711571	0.527001808358962	0.558997156181906	0.719637009948877	0.653016014036249	0.802216592049211	0.625900849014133	0.578997289157178	0.549652846676098	0.431966914522209	0.595945803607345
CANX	0.737300935575492	0.615794926736632	0.725957564745838	0.824260215012706	0.722094800771608	0.512935495319705	0.746193514011215	0.570145226299413	0.739841319670291	0.547178253749632	0.555138802432299	0.397475858197683	0.376625099185089	0.698316608220701	1	0.477662529891841	0.91559601772491	0.659472603958294	0.365528780806516	0.52382939245334	0.881092014117713	0.492695378366658	0.636936373348895	0.376697535119365	0.495535921739009	0.746780686628192	0.88577983531466	0.689772292908391	0.638923003518173	0.541326828937257	0.404927360044583	0.682497158164707	0.58794207352049	0.738935029484962	0.694593528278356	0.712074660110055	0.679766437600696	0.834281213451554	0.378508355164036	0.593192757089599	0.796132718522543	0.896914132676545	0.795488834778779	0.760513154630788	0.680689035751889	0.649407740802071	0.433695485241178	0.826320286342057
INSR	0.494953650056118	0.365131687468329	0.519578670507968	0.419116594047147	0.642193636421769	0.443821627314331	0.689405466286084	0.526633080334978	0.626741402365189	0.56031451839061	0.255626310357766	0.445905346966043	0.500632792062963	0.449521077961408	0.477662529891841	1	0.554214929226326	0.38136839999333	0.40678998857045	0.349760688196631	0.409017181426174	0.419747846797979	0.548076640017519	0.513169655781966	0.279555702050081	0.465372592735015	0.486009641239654	0.423246501327689	0.537618100670327	0.648849155568471	0.465415497952683	0.40652648637294	0.481588622750103	0.525567273832141	0.64492563334985	0.5823456744315	0.599969504994722	0.52276166893601	0.453498706388616	0.550953857678236	0.494278546229921	0.476173459043721	0.620203075428672	0.47404338754114	0.393478889762164	0.571211181684301	0.554575382345567	0.375683836233429
CD81	0.775012559050458	0.651783540848671	0.753428332409427	0.847259053657225	0.786800272496847	0.547862048601369	0.840996163862221	0.658337041585255	0.847349546602136	0.684100492285585	0.589414678634322	0.498845651771879	0.48878115368167	0.736667096596939	0.91559601772491	0.554214929226326	1	0.702117708037761	0.379412163531268	0.495509937299499	0.8714707138842	0.614113845060945	0.746229325302401	0.43440740619835	0.532530281604587	0.730750215964676	0.907162729358957	0.741654523688316	0.751586551603289	0.642678342771168	0.433604601084705	0.695963635777346	0.708529831428409	0.843282408042473	0.754567586669992	0.802991511162981	0.734674959970081	0.858830525170854	0.519975475509573	0.718065042390688	0.784732346353903	0.927171700972862	0.867036647384769	0.809723777018903	0.729690731031787	0.763333757395693	0.49701490555329	0.849680308122356
SIRPA	0.558623893457532	0.569145158556046	0.504472364885192	0.662878043486781	0.615184220995234	0.45777227476692	0.640449484325774	0.479007211598078	0.650931297019641	0.443794123235984	0.497310203391827	0.380374501644171	0.346362914423988	0.627434527590502	0.659472603958294	0.38136839999333	0.702117708037761	1	0.364464532986379	0.517352645838361	0.67769645693268	0.44832551381112	0.599972543605314	0.341613103668346	0.432007575588203	0.577582035882037	0.735798750432537	0.609010692524775	0.54202949413137	0.453071927780969	0.297404922179755	0.579509980889053	0.587135936533582	0.606917421939789	0.584982565426765	0.545046641405739	0.538744510625426	0.608104868177733	0.457681337065567	0.535974941926572	0.635697421334477	0.73496859799358	0.718693688035294	0.659101409953095	0.453296137113744	0.547973012790359	0.360742152450009	0.577765553535924
ENG	0.52998264226364	0.494723239144114	0.38489012877974	0.379542124797949	0.603134256332329	0.408198684373874	0.474766329075732	0.362366458488857	0.448705928694111	0.337900617522361	0.376864685853326	0.39941375318408	0.308459017394128	0.490557078493728	0.365528780806516	0.40678998857045	0.379412163531268	0.364464532986379	1	0.47385101442923	0.278295392032878	0.343568022605437	0.315861599977903	0.388994371122612	0.36426704784636	0.335521862783908	0.334289676159046	0.413664524998358	0.384005326675119	0.496832192298572	0.387833970276932	0.407694557369246	0.225849362567488	0.394320369728459	0.495955690871567	0.289486868057062	0.425555742947059	0.379323660722823	0.407219763767867	0.420983279671097	0.503437549058225	0.265559214915641	0.554418758089268	0.363896009972296	0.329123110993939	0.302497752024732	0.386887953836233	0.22415812559289
ITGAM	0.482723333195085	0.590420306675999	0.394864132448671	0.503695860141694	0.528924897960407	0.339869401884263	0.46293186439531	0.428397338919882	0.527972208685205	0.246899804753996	0.41436711238393	0.316763830364753	0.505804791155412	0.477420496268637	0.52382939245334	0.349760688196631	0.495509937299499	0.517352645838361	0.47385101442923	1	0.502202399438797	0.436818950326905	0.410553505134521	0.456252948060645	0.492053490805259	0.479262638964163	0.526812004253146	0.47285680919575	0.52118313682836	0.519027499570353	0.288483523194254	0.399400924321226	0.36052583582501	0.470536379834212	0.593369714916156	0.35311374253242	0.512200722556511	0.475257754630261	0.52137942861625	0.296680413082632	0.606441259762518	0.455207793354049	0.599759885890689	0.507812107969842	0.289238045663072	0.310107629259368	0.336939761181588	0.376414835506167
LILRA4	0.699044137964876	0.600353417417657	0.622149941981098	0.807359971411299	0.666038201591069	0.461650340215965	0.692802666315611	0.527883079982742	0.714631298352626	0.490415549699822	0.624378214031717	0.386685916737423	0.352866929033508	0.631245777478333	0.881092014117713	0.409017181426174	0.8714707138842	0.67769645693268	0.278295392032878	0.502202399438797	1	0.498014528517621	0.616600776267956	0.311275356540761	0.508253134840946	0.707396526651431	0.874791169070942	0.677043760339884	0.653530474756933	0.495887687771861	0.372235793502002	0.635020396612886	0.595045650439292	0.701726118598299	0.663388287052621	0.689357099565894	0.63397232420769	0.779969354631617	0.349771897431227	0.571193651771479	0.743048538792052	0.899646162606884	0.773739473198063	0.761981262498577	0.607509532244578	0.607981697207871	0.408115818419739	0.778552714616991
PLXNB2	0.466314750814857	0.463038251330292	0.364833176871703	0.480809244220753	0.581328472686987	0.383450441438562	0.504127319340598	0.524780275971338	0.577698020082877	0.564498870547338	0.383880860530259	0.372150349542609	0.37357887621132	0.484362909897858	0.492695378366658	0.419747846797979	0.614113845060945	0.44832551381112	0.343568022605437	0.436818950326905	0.498014528517621	1	0.514769801437403	0.400467371712931	0.367369760680533	0.428495802987821	0.522531026288954	0.510102617575777	0.530396275470332	0.504725806237391	0.407698966401011	0.481247602646553	0.429655571647949	0.53916643347318	0.510866338568483	0.508434552897985	0.50802308522081	0.521245035813697	0.468350251141754	0.522405814622362	0.495428567799531	0.52682139959315	0.577739363687452	0.57523176421531	0.502034585165438	0.520581166367221	0.439105238492565	0.499097974711977
UNC5B	0.629138020777515	0.4818746568881	0.597797823541695	0.638650194324946	0.73755038529394	0.551174431989117	0.782927791994043	0.736957809238894	0.803914653301	0.633092787934271	0.421900204633036	0.592418850574274	0.575606198924661	0.538078802190595	0.636936373348895	0.548076640017519	0.746229325302401	0.599972543605314	0.315861599977903	0.410553505134521	0.616600776267956	0.514769801437403	1	0.502904647634003	0.364718734095346	0.538121555658353	0.692514695345508	0.658923448878973	0.636035518225834	0.654263081795613	0.47257308139521	0.464737700619657	0.698747166600639	0.724174478085879	0.644350778110095	0.714815411738383	0.649349081777228	0.712403816097996	0.634554601396958	0.759241528291166	0.603746972476317	0.729727301158806	0.747438601885827	0.700327949257722	0.59465164181986	0.747428634515449	0.463779645431429	0.592577222032994
ADCY7	0.465713867176026	0.450040849909761	0.457927914568249	0.359284834087356	0.634815751669815	0.430411630511282	0.488826130601439	0.632899949460927	0.527217765737537	0.390115146911895	0.148995210449461	0.474618007068378	0.545121663396068	0.454222934768486	0.376697535119365	0.513169655781966	0.43440740619835	0.341613103668346	0.388994371122612	0.456252948060645	0.311275356540761	0.400467371712931	0.502904647634003	1	0.402233876205671	0.450450423998345	0.385107544016794	0.500099258699238	0.538128391828023	0.584982985562751	0.386468220909694	0.377823346447887	0.322480250561362	0.486688705801734	0.602232701687408	0.479708292354066	0.451678475502038	0.481308558683666	0.599618226200932	0.474979784242816	0.406703184911645	0.296566353633695	0.583702321594797	0.419138456437513	0.33010941912834	0.455558078543893	0.371040359095976	0.249328969780432
ADRB2	0.509019808957318	0.547661309004702	0.577632479187964	0.560713526941266	0.515508000733331	0.416234050702942	0.438912357827019	0.309216517545573	0.46311425699244	0.251599547917932	0.540581684444637	0.270316383982955	0.408577803800295	0.502877630638002	0.495535921739009	0.279555702050081	0.532530281604587	0.432007575588203	0.36426704784636	0.492053490805259	0.508253134840946	0.367369760680533	0.364718734095346	0.402233876205671	1	0.448151442480836	0.525560096884941	0.423828513430624	0.56494068809235	0.440412235576827	0.151330436972822	0.495117439480225	0.36119423470229	0.500171424276794	0.64475076002038	0.324395079318163	0.428371210334824	0.48944361406448	0.448804405846265	0.304151786216226	0.455572938856654	0.475189920204814	0.607759321157316	0.572516618735816	0.369414576478907	0.296255971419602	0.28119278867313	0.364630252057517
CD4	0.659298638081289	0.471172917118108	0.671232874349462	0.679036431274841	0.623453795442848	0.465203870611455	0.627129322259313	0.528200863581129	0.613344910792659	0.435084357971118	0.501124823763233	0.367557962402336	0.40597645432772	0.650874484721151	0.746780686628192	0.465372592735015	0.730750215964676	0.577582035882037	0.335521862783908	0.479262638964163	0.707396526651431	0.428495802987821	0.538121555658353	0.450450423998345	0.448151442480836	1	0.676629785825175	0.575278869627203	0.587381393443929	0.43901969962775	0.325226959282819	0.52054643795035	0.422758097743436	0.610874551710935	0.653299471385515	0.561999948996247	0.700652651634417	0.704809907474588	0.410943900460226	0.459104658632018	0.684483984792142	0.691367983618618	0.774188149363516	0.596175006733043	0.5060408206947	0.52615127580493	0.393262983298131	0.597867801527226
ITGB2	0.768692605359163	0.602983216871596	0.683952731574506	0.861544847656123	0.731446134449771	0.542958176915884	0.771170703650197	0.56100603951813	0.776264156441065	0.556299869993872	0.528618459178322	0.463346082504418	0.422746908967396	0.686481724051817	0.88577983531466	0.486009641239654	0.907162729358957	0.735798750432537	0.334289676159046	0.526812004253146	0.874791169070942	0.522531026288954	0.692514695345508	0.385107544016794	0.525560096884941	0.676629785825175	1	0.694492157728459	0.684686800193208	0.591228647014279	0.392244275724096	0.65848393496814	0.705623767025522	0.809766209286504	0.727526035165519	0.741605918855427	0.678864124099035	0.823136881815191	0.46141714388159	0.658578442103945	0.767391245889037	0.921023308897811	0.79923417507981	0.751497979263148	0.601535978617213	0.667234042563083	0.504054658922677	0.767431249977825
P2RY12	0.623195577692296	0.630765850518935	0.587895545551136	0.673598267680196	0.692803291492561	0.404128107548735	0.681703679040764	0.595476209716712	0.676942280080444	0.507434674669251	0.39727833315492	0.491056328506796	0.447102265078037	0.586711889514907	0.689772292908391	0.423246501327689	0.741654523688316	0.609010692524775	0.413664524998358	0.47285680919575	0.677043760339884	0.510102617575777	0.658923448878973	0.500099258699238	0.423828513430624	0.575278869627203	0.694492157728459	1	0.526681060801399	0.539005175864264	0.35407380002347	0.502352550794042	0.471751384646499	0.609414937950299	0.545722949664968	0.599013956586456	0.482365468468256	0.623512252023904	0.436912194481117	0.602429307444811	0.687279468154633	0.675604746021508	0.736799832466543	0.606668705502674	0.552178666992004	0.595731015647529	0.336019616776609	0.601947409488735
TLR7	0.638460032693267	0.628030652324066	0.615494349096846	0.631710039487462	0.755525680648742	0.604348850704238	0.728794893884735	0.711114256790405	0.760803291273956	0.554112776143339	0.550485333127068	0.548373110259897	0.59557239211234	0.590717466341319	0.638923003518173	0.537618100670327	0.751586551603289	0.54202949413137	0.384005326675119	0.52118313682836	0.653530474756933	0.530396275470332	0.636035518225834	0.538128391828023	0.56494068809235	0.587381393443929	0.684686800193208	0.526681060801399	1	0.726371454210497	0.401276236153829	0.550085027587462	0.611176324115837	0.785626491693605	0.801389753739113	0.718061397513431	0.684488848634046	0.723570391267137	0.693764745439234	0.685930018704253	0.545612278877626	0.672060005963027	0.760148441287421	0.73783797505583	0.60106481061515	0.682178795912965	0.454683621725626	0.580513236249905
LPP	0.604581517424549	0.659941396087796	0.55610427689676	0.528349264120532	0.760050051539464	0.604925366856316	0.680577286551597	0.694415304751529	0.721620387873139	0.630964375424716	0.388584923007858	0.541233932416143	0.616223134006222	0.538736501383156	0.541326828937257	0.648849155568471	0.642678342771168	0.453071927780969	0.496832192298572	0.519027499570353	0.495887687771861	0.504725806237391	0.654263081795613	0.584982985562751	0.440412235576827	0.43901969962775	0.591228647014279	0.539005175864264	0.726371454210497	1	0.472964711105671	0.459973832320608	0.504393304380078	0.671110722978786	0.75348092995093	0.628797142095981	0.618365857485263	0.597816001436894	0.713544250314722	0.608650815627507	0.55176535743456	0.528101520000965	0.69909179699535	0.630708293785923	0.575164203234871	0.664776575007013	0.499073391941669	0.475088497149447
C5AR2	0.508019375243572	0.278847852741136	0.345780641265486	0.338497762364867	0.602775559228204	0.409040030578514	0.531216367733521	0.535597577982803	0.460482479682386	0.44709183815492	0.15199097842658	0.45668216955737	0.298508087667435	0.440996283688821	0.404927360044583	0.465415497952683	0.433604601084705	0.297404922179755	0.387833970276932	0.288483523194254	0.372235793502002	0.407698966401011	0.47257308139521	0.386468220909694	0.151330436972822	0.325226959282819	0.392244275724096	0.35407380002347	0.401276236153829	0.472964711105671	1	0.387995831401463	0.282193017362948	0.412692281551127	0.42159273452167	0.487955931550957	0.386064510146714	0.439876755867718	0.329919187967692	0.540100267051573	0.477874305509041	0.375575162804624	0.511890904106874	0.406431062671523	0.356198932538777	0.46693335749598	0.387271232411938	0.25489917567915
RXRA	0.60672812933051	0.432340179022362	0.555452398836265	0.618448458940268	0.600647549413894	0.419863433837707	0.585590545229447	0.473513063767934	0.654261549557275	0.458855754770446	0.430866327312505	0.297405869110552	0.358527486246539	0.615994444902247	0.682497158164707	0.40652648637294	0.695963635777346	0.579509980889053	0.407694557369246	0.399400924321226	0.635020396612886	0.481247602646553	0.464737700619657	0.377823346447887	0.495117439480225	0.52054643795035	0.65848393496814	0.502352550794042	0.550085027587462	0.459973832320608	0.387995831401463	1	0.485476266501762	0.565194644272619	0.645532665923544	0.508576755103563	0.520118905261259	0.652902028042543	0.351566796618925	0.51662484440084	0.594236221839462	0.634042871668849	0.665365984573717	0.677507998530329	0.504458422385989	0.454383115971303	0.368974095270791	0.629762710587769
CD44	0.538409159832583	0.369623612482282	0.457078905057249	0.609785215621405	0.539240972097846	0.429535805010303	0.719575160776691	0.557693279549526	0.724862825581325	0.617074076198671	0.388841904864715	0.465233291737984	0.44954804203957	0.459582719224155	0.58794207352049	0.481588622750103	0.708529831428409	0.587135936533582	0.225849362567488	0.36052583582501	0.595045650439292	0.429655571647949	0.698747166600639	0.322480250561362	0.36119423470229	0.422758097743436	0.705623767025522	0.471751384646499	0.611176324115837	0.504393304380078	0.282193017362948	0.485476266501762	1	0.760999280206166	0.627448210011127	0.633441072222352	0.582591071217397	0.682171144572613	0.494391869196693	0.67378966714353	0.514926453721721	0.68051865142375	0.592506687907086	0.634756931318539	0.434952429742669	0.631043776361386	0.642711520306136	0.575623490444692
LRP1	0.763988757413613	0.582718582062333	0.644948780751952	0.711089963086181	0.763797137050684	0.640887652111687	0.7875683426557	0.644351835341821	0.824185559565567	0.674963252541557	0.519664252454843	0.616878162943958	0.52937256020317	0.670799673896544	0.738935029484962	0.525567273832141	0.843282408042473	0.606917421939789	0.394320369728459	0.470536379834212	0.701726118598299	0.53916643347318	0.724174478085879	0.486688705801734	0.500171424276794	0.610874551710935	0.809766209286504	0.609414937950299	0.785626491693605	0.671110722978786	0.412692281551127	0.565194644272619	0.760999280206166	1	0.721457709695092	0.756662400623171	0.709055952875298	0.816577149275704	0.597233514826538	0.760009305594761	0.649812120811799	0.772853435691083	0.781756887174001	0.724030417814328	0.59494152534794	0.692757034918567	0.582511964635051	0.682287869270589
PTPRC	0.696226629830601	0.622908468422559	0.69225926953668	0.66925888146259	0.781848263102436	0.619410832500717	0.759816857546209	0.666732840324647	0.7836945928949	0.559537295042538	0.523645500794808	0.458548190629162	0.642095978379018	0.649136281440715	0.694593528278356	0.64492563334985	0.754567586669992	0.584982565426765	0.495955690871567	0.593369714916156	0.663388287052621	0.510866338568483	0.644350778110095	0.602232701687408	0.64475076002038	0.653299471385515	0.727526035165519	0.545722949664968	0.801389753739113	0.75348092995093	0.42159273452167	0.645532665923544	0.627448210011127	0.721457709695092	1	0.684162673391531	0.771606093000619	0.771920579766109	0.680244348585623	0.618835412613433	0.625633107781253	0.679880015793371	0.824089031425063	0.744668687008067	0.555337312769575	0.615949022167477	0.534584610204559	0.581775973679901
