""	EGFR	ERBB2	CHRM3	TNFRSF1A	F2R	CD9	PTPRA	ITGB8	LRP6	CANX	CADM1	APLP2	SDC4	INSR	SMAP1	EDNRB	ACKR3	LPP	MET	IGF2R	CXADR	NECTIN2	AR	CD99L2	ADGRE5	ITGA3	TNFRSF21	PILRB	PLXNB1	SIRPA	CAV1	PODXL	KCND2	ITGB1	NOTCH1	LRP1	KCNJ10	PLXNB2	NOTCH2	THY1	CNR1	SDC2	ADORA1	CELSR2	MTTP	IGF1R	PDGFRB	LRP4	ERAP1	TNFRSF10B	AMFR	FGFR2	RXRA	NOTCH3	SDC3	GPR37L1	GPR37	NGFR	TNFRSF19	ITGAV	SLC16A1	MCFD2	CD81	SLC16A7	SORT1	MCAM	C1QBP	TFRC	ABCA1	CD63	SCARB1	CD44	ITGB2	NRP1	CD46	CD74	CXCR4	SORL1	TREM2
CADM1	0.732505507167739	0.756283207067326	0.814020850341515	0.918155961990993	0.874790792753221	0.859346182721339	0.956987301449105	0.900036489764777	0.905625262583683	0.942670075337837	1	0.949688394233796	0.641142566489589	0.841679864684046	0.918578196965198	0.451734924594501	0.790661436814521	0.864265056565088	0.726505204467016	0.779216401132287	0.948623925974636	0.875029493330638	0.88740724929617	0.883050497224163	0.902686332613986	0.742028903594083	0.93615464539707	0.918627352804294	0.714745176976961	0.870307886056725	0.618866481616948	0.738981772396245	0.438975483290921	0.787099697997256	0.84897011518515	0.902155933100464	0.379351644661617	0.854541644209607	0.89523858030324	0.72897520440897	0.892945656519921	0.874784630195389	0.765323821188418	0.84479192222609	0.858404652566254	0.874653791387721	0.676521166726701	0.706585926738946	0.84821317028162	0.825745006676088	0.857466888443941	0.672015437192559	0.800012947303286	0.720498076815379	0.780274799610678	0.735408873377443	0.914816437051868	0.351246870349275	0.708367343284834	0.913592418309858	0.790865865548792	0.907559794241016	0.855447946248597	0.923590530049512	0.907664589541592	0.72172182158837	0.915436081346741	0.338427254685173	0.911904937612847	0.907254712258634	0.701853474288844	0.777905658418489	0.336487399850101	0.755034154142349	0.872907927715462	0.309306978013513	0.344659804984233	0.501084383224972	0.204315291557816
APLP2	0.596843994801192	0.759639044066141	0.788460706727213	0.973672347964306	0.928891096420901	0.885283492532861	0.956158385517504	0.840275925732607	0.888687794399377	0.977250447894261	0.949688394233796	1	0.762559138556648	0.865953586806091	0.956590334722057	0.349568711286337	0.729135637252556	0.912480100848833	0.789777783893637	0.82175234710063	0.964452903171237	0.952389705476514	0.819149161047785	0.913032404913475	0.915152012276826	0.852805704364265	0.946264478713647	0.882074941921989	0.659763199895505	0.902806087174587	0.770421744895208	0.820643535192862	0.288905190646604	0.88257731141643	0.838792084273537	0.876342740838002	0.229402680017229	0.888529823130339	0.910199729295256	0.801443566342993	0.90439832540574	0.896590702661782	0.739329602813363	0.833809637689978	0.805962229532238	0.912290752885678	0.720015770622062	0.561916363414587	0.841802499703631	0.912059545052902	0.93435213101948	0.541551322203126	0.818272582750919	0.780361557316653	0.770266170198967	0.588453170784389	0.912826880862743	0.20626600539522	0.694018006706259	0.947994619039611	0.811206611529066	0.954973687729409	0.916127315801546	0.903451256286367	0.946413762522209	0.763074529030634	0.952630135845965	0.413800099920553	0.957918959027215	0.976694369465216	0.818729998546667	0.874462924280396	0.433122493733992	0.886112801429578	0.933252778378884	0.408527090559224	0.453412984679381	0.586414316224907	0.304651615724645
SDC4	0.254768981493782	0.690358449619529	0.494835884228701	0.783566591509587	0.643630035510731	0.759862857996918	0.706003234213775	0.580274655535335	0.583392731050875	0.801323267214433	0.641142566489589	0.762559138556648	1	0.57146880226287	0.741670458307492	0.266392497808673	0.587923996529937	0.652039586884849	0.786942694833615	0.482959993061665	0.658735220278952	0.737464891194736	0.510548656030254	0.803915141347118	0.693687850714084	0.859563647432906	0.722116682091425	0.60297713297341	0.435861775816809	0.573517090538867	0.814047967337501	0.617024677502047	0.19244688419074	0.655793645343175	0.654333816233459	0.558687184429277	0.0419466265907586	0.594073474282138	0.612386468430003	0.557221791297936	0.708884603802452	0.680701349709595	0.644406984148618	0.617530262915796	0.58533861843862	0.698209178660398	0.440072592892009	0.316402837930271	0.577009221763965	0.737003875594302	0.791487491653308	0.259229069320668	0.467804033809809	0.521577860793413	0.724331021282656	0.252626432146341	0.583020484036773	0.177456538093204	0.501745270156359	0.723617201393533	0.798461537136455	0.670682187989125	0.660756239246601	0.654862616812736	0.644519716311402	0.458137304031845	0.747333705928981	0.286219228759404	0.734773074182717	0.785941375106757	0.747634053291619	0.843726228530873	0.28260233128921	0.80984085867013	0.718706403751445	0.301822864233675	0.436264230600359	0.397195853973773	0.18494962662253
INSR	0.614458906274706	0.57952862204106	0.703610272593026	0.817554114724608	0.933069278733937	0.720590722457978	0.833166359965704	0.698985730473388	0.864144186276674	0.843308194041351	0.841679864684046	0.865953586806091	0.57146880226287	1	0.85610163241125	0.248603787963441	0.57127981901322	0.912500445964771	0.658786782577293	0.852431113986128	0.852687044265822	0.883400647688619	0.73523777125019	0.745795781547197	0.828994999670943	0.672345318840385	0.804453026764399	0.789736512367582	0.595671286435861	0.827235597901878	0.734682639498855	0.866621785088998	0.218563530168958	0.899878741868582	0.724114681587337	0.772612007866857	0.237028087652519	0.849786634592408	0.883976962968493	0.878101240942066	0.748691405542133	0.869737431123101	0.52831790604214	0.706092573319256	0.67125158538886	0.840553255334235	0.836581352286222	0.498612203560121	0.790402098386153	0.807153155705414	0.839178536318644	0.562213905314028	0.899721651647943	0.883767667459025	0.54438963025018	0.520405054107146	0.858289772827526	0.0766259542864154	0.645376725506117	0.835124099707239	0.691109389405029	0.916340488684735	0.8369349257753	0.78559500837666	0.895003525579087	0.899328859744387	0.817851399276082	0.406826541394967	0.83676807289027	0.839886460922605	0.730545480582263	0.672500729791725	0.368954554118042	0.827730470347841	0.872653923173231	0.367016835980173	0.420076329035379	0.502756637684356	0.21540708501326
SMAP1	0.660058765117006	0.734789385250181	0.705198624905144	0.943749609141613	0.889651445223103	0.921618451775195	0.938876450575058	0.828680149812265	0.850024317500826	0.964663854075605	0.918578196965198	0.956590334722057	0.741670458307492	0.85610163241125	1	0.443872794625914	0.765882397449123	0.869087956228746	0.751195741093742	0.726086366474148	0.926116161722894	0.907669764660495	0.84133827378366	0.854139552123468	0.935448332616891	0.80175875879571	0.9477063474599	0.841321599643096	0.637264931690338	0.824839825406808	0.757295920931966	0.78995703789694	0.411113215233423	0.840092793871453	0.841008310860241	0.834488727217314	0.309845139804824	0.813342482734547	0.881178464654543	0.78684273969312	0.79860807189601	0.880806490850282	0.7617814787744	0.803951563770839	0.77497079451998	0.85326256352515	0.66405658045015	0.615979574827713	0.8111386185438	0.844619895154053	0.879764594845468	0.515609369383261	0.758661155777169	0.763814343212219	0.732495535777332	0.613272426435148	0.841076811770622	0.264453999592076	0.631503656690518	0.93776862335111	0.840853503980018	0.906616053960877	0.860456852916159	0.892083111401639	0.875243998323693	0.743721888049609	0.950000821693968	0.382530876761872	0.924356401036175	0.951831705622721	0.736288996675118	0.826338785140106	0.378017965735964	0.845271577639846	0.873186303082232	0.388924985416908	0.471436471897911	0.518863611117593	0.259908553420455
EDNRB	0.611612969558343	0.430832310426903	0.275624807500361	0.36440681315181	0.244888987286701	0.538168302672523	0.476182368514789	0.628818875276384	0.338812537914326	0.405108653434883	0.451734924594501	0.349568711286337	0.266392497808673	0.248603787963441	0.443872794625914	1	0.544137972697455	0.207335881028939	0.354598097896754	0.116596980424833	0.33287498749509	0.256509058055212	0.523849257883606	0.373334262126438	0.449331151088978	0.27390030789871	0.500995227688939	0.404589604063368	0.690124525533035	0.2038657421849	0.0682218106233625	0.175691442931338	0.655480744544592	0.110042732912013	0.473207406405579	0.496720410525968	0.754376922508571	0.193793949539542	0.393698300637328	0.145699436413975	0.281148849336616	0.274493299599167	0.588072459672841	0.482251223465926	0.429920238605605	0.212002645363641	0.088100440172936	0.634636033889943	0.383428803541669	0.173951703559651	0.239210067903619	0.422166015284905	0.164867411765457	0.137196996055984	0.516571604456956	0.714405216192031	0.312136179390229	0.627827148573151	0.523122103627863	0.39274526746362	0.472366741300495	0.219745981228598	0.298560444130836	0.376399899914396	0.257593349671383	0.135124674056975	0.370544442255052	-0.0136938472007484	0.381236533222321	0.319843415902437	0.13928238228542	0.225910901137016	-0.137597338876473	0.10878134752909	0.212253587553755	-0.136807802606364	-0.106440208535076	-0.0361066318746064	-0.140006610202376
ACKR3	0.546676422714176	0.779671799229758	0.695379401892334	0.782999100367213	0.608981395601627	0.725877041333065	0.838582537630096	0.853240025899716	0.634010991935568	0.784910182607964	0.790661436814521	0.729135637252556	0.587923996529937	0.57127981901322	0.765882397449123	0.544137972697455	1	0.638391603249137	0.727317639737411	0.421184837164457	0.758763325955723	0.621370941260582	0.837482655319698	0.775793974159798	0.699647988368979	0.6506164595512	0.853295200639652	0.787138334148215	0.682869097650394	0.652066568845698	0.454524750308383	0.482036194247387	0.535214402837075	0.498665246905966	0.783048203528752	0.80824558040478	0.52033046048054	0.676296103835299	0.644998813864278	0.431355105134175	0.695828463745178	0.716239967095264	0.863420860597582	0.776772260851809	0.773956806954016	0.672877753634312	0.431501545611955	0.768399028881459	0.712012175494977	0.619939966885735	0.671132255391535	0.688750546361477	0.512820636907518	0.472808641330446	0.788469228893754	0.68618437628151	0.692062113873894	0.324949928182385	0.558442530758824	0.810231176426954	0.721549864092498	0.650545362604995	0.659481983214247	0.842360763756208	0.639366853052395	0.472714068914209	0.732025398723845	0.292011023254413	0.767981903178478	0.715060808852235	0.539917755480103	0.680914299017333	0.182851730029094	0.561993241406724	0.640554591600418	0.210127510087134	0.277738700864171	0.329239698477488	0.0847589247658589
LPP	0.514849379587476	0.677691876345604	0.786599206739706	0.899535889376478	0.955912964969783	0.717221579602745	0.896797294035287	0.72359938055212	0.878163032239912	0.89449406165796	0.864265056565088	0.912480100848833	0.652039586884849	0.912500445964771	0.869087956228746	0.207335881028939	0.638391603249137	1	0.765923765118933	0.888596101721601	0.910868749842621	0.91556758759584	0.747658781078779	0.849677891757502	0.807256676212279	0.771599371886004	0.87067198543956	0.852009371192521	0.648543533547425	0.888590027255982	0.81683734820639	0.880889129900793	0.203339672681422	0.953427869827512	0.78496917264533	0.847617284061885	0.226677408978171	0.93052961972678	0.901232469610473	0.888088069845582	0.842703584155428	0.938321359000019	0.610683547091695	0.759700440675418	0.780507710935232	0.913922387171964	0.891168430986091	0.480461242862911	0.87363186803478	0.903790629780151	0.898444251720161	0.589000751990158	0.883445621913963	0.930038250920519	0.600823370165346	0.469498057011736	0.916545698693933	0.00616600193192526	0.724911942787794	0.903109260584612	0.686752935168773	0.953036725895847	0.926566594924432	0.861355219792575	0.948138690710464	0.882997126286714	0.849205408714851	0.504768440921818	0.908491298849215	0.88222361165561	0.829590955425401	0.813735774089289	0.462739712315953	0.889906808738475	0.950352857302713	0.462510856519006	0.474815279931089	0.608885842489422	0.319164029061089
MET	0.345946997245281	0.75582667674446	0.794430276122466	0.838346095697355	0.720993605902575	0.719730334163699	0.833181716059758	0.774426365027018	0.725814711603839	0.828406831225768	0.726505204467016	0.789777783893637	0.786942694833615	0.658786782577293	0.751195741093742	0.354598097896754	0.727317639737411	0.765923765118933	1	0.597430787624382	0.796325909460255	0.714270271635622	0.677319681704724	0.825055937669909	0.684476381527744	0.807707973720301	0.812377947760569	0.727902057101442	0.633066194890377	0.72691885099621	0.718978076037477	0.630356305598492	0.205038074890758	0.673626720364404	0.691017661089328	0.757038340471334	0.315025021445064	0.805200923407869	0.699790436638621	0.575562982789886	0.738326434405375	0.717500460130784	0.708489757290258	0.669891643483641	0.666562122766901	0.77098126434913	0.580345921478182	0.514975540551197	0.73975796760971	0.78150359618545	0.828662525722961	0.538449272058174	0.560182547472932	0.598270377903164	0.688329877898657	0.401481941371824	0.749076165185552	0.0568022723947502	0.644301707152212	0.818823374212271	0.753551099396799	0.767749226876582	0.733156481507579	0.800287961440084	0.752862183142432	0.562210651860938	0.735563926938372	0.381068034041485	0.801606545355342	0.786563904894793	0.815322617717638	0.786845211194765	0.254267538492997	0.765807621034189	0.760321631600432	0.259491901534872	0.357537383295278	0.402431706783434	0.133554994654555
IGF2R	0.471838337730557	0.456554548924508	0.760291411185244	0.769446966733152	0.873786291610753	0.589541720733362	0.771809146468156	0.618127253845992	0.843916452862601	0.766115732799668	0.779216401132287	0.82175234710063	0.482959993061665	0.852431113986128	0.726086366474148	0.116596980424833	0.421184837164457	0.888596101721601	0.597430787624382	1	0.815697751574099	0.836187821956266	0.586699164649537	0.728561151359851	0.705036339999497	0.601832456030013	0.697948797939812	0.743247111536038	0.579755633858905	0.877240458920019	0.653178735412754	0.761743285068757	0.0259949817822895	0.87737431966576	0.630606323029753	0.791282690190496	0.103677136194364	0.862413649030457	0.855093285436613	0.800832563492467	0.793970854269465	0.773751904317986	0.391429259030396	0.649006154409002	0.638448684939826	0.839580246796615	0.859841950732026	0.348220642818578	0.784560491410673	0.807725787714222	0.775995854977702	0.530487601889835	0.866422298412173	0.826744989305588	0.466421838909739	0.395808933176036	0.856402780667518	-0.0936458642367188	0.724951901361675	0.771333996455379	0.550850340617578	0.878155088248524	0.866076013246989	0.690413685651675	0.914948517564228	0.782997137623213	0.71648798236394	0.527190429733478	0.82318639244615	0.755874302192126	0.800775675999441	0.65397218202197	0.564722852483716	0.774087567372133	0.858149809120335	0.490127384896347	0.440117868941341	0.660439525818658	0.427869841388457
