Cellname,NefMES,NefAC,NefOPC,NefNPC,VerPN,VerNL,VerCL,VerMES
P3142_026,0.180282300904143,0.392528809408605,0.368891032143273,0.219666689402724,0.130929055526749,0.13327697234645,0.0538301517055396,0.0267065829367498
P3142_027,0.185568396175278,0.361887645775114,0.339366779187522,0.212550303526362,0.123805241108424,0.132912406855088,0.0566449544725983,0.0246451763276395
P3142_028,0.172489755209124,0.399539839437538,0.377712556329714,0.219234704317577,0.133308248941179,0.131121007457879,0.053494369082815,0.0271154253967587
P3142_029,0.188664599640077,0.341269292675942,0.320701065899529,0.21184548575586,0.119551601194874,0.130945010324118,0.0568994147413818,0.0238198494924813
P3142_030,0.188851065675072,0.363526844345259,0.351297869863811,0.217074778891845,0.125564972399521,0.132906121243168,0.0529644621313277,0.0263913539372102
P3142_031,0.168478567247024,0.412209066940525,0.388479638159536,0.222854284609963,0.134872964378634,0.130501874683755,0.0529198660017471,0.0282387869223906
P3142_032,0.186791266451291,0.342750496203182,0.318672364767115,0.212181979401132,0.119920984164713,0.132139276588924,0.058006448075677,0.0236631902321041
P3142_033,0.181062856399471,0.254895377657526,0.252905864941716,0.197890093899916,0.106517659259123,0.11854978361781,0.0641397275438813,0.0152150530444435
P3142_034,0.180802671234362,0.25529036526479,0.253795500274374,0.197858263419958,0.106744795371012,0.118229217409888,0.0639875760429592,0.0151023347961233
P3142_035,0.181448797727716,0.276007465265777,0.262733425345461,0.196444080667531,0.109341947680688,0.122534861575111,0.061498062691665,0.0156181640680971
P3142_036,0.172945079248065,0.386939734765822,0.372025541679831,0.216406338812723,0.132794324809229,0.131498144173081,0.0530772641061493,0.0275452831234036
P3142_037,0.185529368400512,0.354195262123651,0.339915526215142,0.212718550348998,0.12345650687603,0.132620125900807,0.0556428532079045,0.0243299473280999
P3142_038,0.183274430302899,0.372157323563973,0.354947869032376,0.215274083168497,0.127767504393592,0.132560412587566,0.0547588005215124,0.0257608959381311
P3142_039,0.186570109060948,0.354906239816726,0.335417463458437,0.213641634267785,0.122827867536055,0.131897280530003,0.0564167272212152,0.0244789646733368
P3142_040,0.169133366579216,0.406471871945018,0.384596837221677,0.222863379032808,0.135026682757387,0.130344734385754,0.0526968853538441,0.0280611123953774
P3142_041,0.184028967281715,0.330417008166369,0.307032276302443,0.206757156173976,0.117970825628295,0.131674141306842,0.058444539466263,0.0209388474845681
P3142_042,0.176873875241213,0.376650307596599,0.363810964963334,0.212873155537367,0.129238153360467,0.133490683151732,0.0551627889894779,0.0253291277327011
P3142_043,0.186253550443399,0.322161767174555,0.299723963616409,0.207302821544688,0.116502470965581,0.130127880774513,0.0597981631641216,0.0213973623929893
P3142_044,0.172372671884825,0.396528058932151,0.372457887822805,0.219512084214356,0.131121777076231,0.131177577965159,0.0536622603941773,0.0272644427419956
