Cellname,NefMES,NefAC,NefOPC,NefNPC,VerPN,VerNL,VerCL,VerMES,OXPHOS,GLYC,FAO,G2M,KEGG_CC,WP_CC,BIOCARTA_CC,PD-L1
GBM_2_wk1_S36_comb_batch_1,0.14186688760011,0.160496112550907,0.149821610601427,0.101295284355394,0.0382957733951111,0.0617422516585729,0.022275147100028,0.0115173834007473,0.228468113083498,0.0982177490149644,0.0899105032083756,0.0946166955278854,0.114258919553971,0.116875372689326,0.0688377836085816,0.0102798400913764
GBM_2_wk1_S72_comb_batch_1,0.146644573322287,0.273324694557571,0.249413863404689,0.0801312631913725,0.0449182899514025,0.0703101559114094,0.0292705706547119,0.0233164966225961,0.228270874424721,0.0729232590898883,0.0827676460655184,0.0589799620681125,0.091741039223365,0.094790868046682,0.12790039615167,0.0174937629625177
GBM_2_wk1_S84_comb_batch_1,0.197155481911074,0.220134518079724,0.193756371049949,0.0919709717523925,0.0457673305355425,0.0571526998344205,0.0289063229662837,0.027207051294951,0.221842355175689,0.0899087438499071,0.107607227288078,0.0351900717407438,0.0933487231279758,0.0964519976147883,0.18547100890055,0
GBM_6_wk5_batch_1.6,0.299143882905275,0.134332963100086,0.0577471967380224,0.0376731141758464,0.0105685337473417,0.0669985664595997,0.0289530213878771,0.0784282159123686,0.194353130250566,0.100619942973413,0.0655437352245863,0.0182306698551442,0.049869118041099,0.0515269614106823,0.118691156042599,0.00724398088310439
GBM_6_wk5_batch_1.7,0.189519469759735,0.127020856472911,0.0390417940876657,0.0231879029693237,0.0194875029312115,0.022814406525387,0.0299897263472495,0.119238792854795,0.159704872525385,0.100892146254823,0.0771361026680176,0.0205533107940958,0.0325246820702022,0.0336059289547662,0.0226886865256984,0
GBM_9_wk8_batch_1.2,0.127216238608119,0.207454029371838,0.276095820591233,0.0924624859051089,0.0720714164422774,0.0540522519919544,0.030652843933875,0.0174337096438801,0.210577836218862,0.0890581085954991,0.107303275920297,0.0775748330172343,0.13013995094503,0.129908850839083,0.172094459021454,0
GBM_3_wk2_batch_1.2,0.162524164595416,0.23664075033938,0.100101936799184,0.0368057362592882,0.0174983221340837,0.0262371231400091,0.0314000186793686,0.0562386385741788,0.161450799912338,0.0950601909506019,0.108502195204323,0.0338981886149364,0.0339468639858194,0.0350753897265525,0.0365282708236868,0
GBM_6_wk5_batch_1.8,0.146244131455399,0.261785758361101,0.222069317023445,0.131349929164137,0.0793003905586687,0.0536299687732672,0.019361165592603,0.0311781002019064,0.180692526846373,0.0840767885456859,0.0730580884836204,0.0464940490915588,0.0814044561700023,0.0801814464605162,0.0909605391778567,0.0219423487330548
GBM_6_wk5_batch_1.9,0.189077602872135,0.321794397136863,0.079841997961264,0.0491369589730245,0.0200292716849008,0.056941558225077,0.0364994863173625,0.0546891245581202,0.244612462561181,0.0828654839434089,0.0757683215130024,0.0297957725186224,0.0616484943421893,0.0636979299769997,0.146215979832279,0.0351979320087769
GBM_2_wk1_S11_comb_batch_1,0.0489643744821872,0.0688942367024559,0.130555555555556,0.0288258594269523,0.00252286345001577,0.0396946225565915,0.0318576632109835,0.0136035256474755,0.267287603185039,0.0454919734057394,0.0450861195542047,0.0309639647068525,0.0178906362718222,0.0184853905784138,0.0194474455934558,0.0208903183143467
