Name,BIOCARTA_CC,FAO,G2M,GLYC,KEGG_CC,NefAC,NefMES,NefNPC,NefOPC,OXPHOS,VerCL,VerMES,VerNL,VerPN,WP_CC
GSM4426566,1.0683088331812358,0.9241988081892816,1.137325720990233,1.0093442479011794,1.0973753916016618,1.4722279415181396,1.3647979334924105,1.0970104289104468,1.1081322276000114,1.224068132233068,1.1826385601468457,0.9348650296222968,0.7027993765979111,0.8250831719470466,1.1033881311153608
GSM4426567,1.0638545500838144,0.9595177988132936,1.1914951969736882,1.0100228215187599,1.129783456334307,1.4698622967436827,1.3456441590370938,1.2549023782477182,1.189085350100554,1.2501208672766964,1.0803073750914258,0.8946517943687061,0.837975629215492,1.014076748252834,1.134031501583493
GSM4426568,1.1906896259312802,0.9425551664219382,1.1936948551101636,1.0418406289462137,1.148684267240872,1.4093726524199628,1.4061633690197488,1.2417768766329909,1.2737883481051846,1.2621079532443549,1.0032807615667523,0.9785332182570139,0.8481877369905132,1.0587323921021587,1.1526172985145426
GSM4426569,1.064224444120683,0.9053578899777728,1.1503659018539139,1.0150781553520087,1.086786052229157,1.4636343946957784,1.3889719425444353,1.0867822421943043,1.1319407117837486,1.1970655958599286,1.150152177211001,0.9817830292322756,0.7861471472638902,0.8794689477110179,1.0911842557251152
GSM4426570,1.1786107997205577,0.9872721714089117,1.2468162752884044,1.0471011310986824,1.177831848734528,1.443735838579408,1.3418577393718663,1.212144983441711,1.322226770574005,1.289737781669091,1.0686616978189443,0.929529874151958,0.859484081355512,1.1026099621775873,1.1815280197193203
GSM4426571,1.1921103199759158,0.9515251959477294,1.190805171094463,1.00874815533404,1.1603863791242264,1.3374212843591229,1.3125792415905404,1.1564695915100358,1.2477371000336188,1.262953930605456,0.9471086685876471,0.8724234713181287,0.8008748994146274,1.0569160958714754,1.1667388654593691
GSM4426572,0.9385581502763545,0.9856636041956479,0.9517988719169046,1.0056018054645242,0.9586038772198983,1.427133836347673,1.3903118625343172,0.9159932192945744,1.1703168466145932,1.263082459211089,1.0619064689643218,1.1213480842165422,0.9141368967762832,0.7634448841248812,0.9703328672039674
GSM4426573,1.0137296102845528,1.0166807570856216,0.9307608323484001,0.952714189450495,0.9427369146500695,1.4539965447611114,1.2047552830036374,1.1769419121131872,1.417115273711327,1.3099283329176417,1.0166328206521082,0.785678157722681,0.9970573832138514,1.0862896839559197,0.9577176005061675
GSM4426574,0.9080123145230324,0.9641591977973545,0.8967457724621829,0.9675236313432632,0.9262821921718264,1.461202694849847,1.3362505412207852,0.9455496468164345,1.216319299211825,1.2344123367093045,0.9931365275914663,1.0341676731390148,0.9503092608074739,0.8222482310310858,0.9350645594189683
GSM4426575,0.8690818183470261,0.8823363032155827,1.013582416020649,0.8817349628273599,0.9838311660416319,1.33517574097025,0.9803330120185516,1.2107021828945974,1.2583010949311535,1.2085613186895257,0.900852040059125,0.5855649344427987,0.839564100752098,1.0983459357611283,0.9882458118834122
GSM4426576,0.9072471647477495,0.954059491051002,0.9369155181331247,0.9264417572179742,0.9320951136223441,1.4709176564151716,1.1573529603659298,1.2219818037158823,1.291323566506735,1.2502157321693825,0.998166654905971,0.7486015999105452,1.0240435163972605,1.0198117490424303,0.9411500550839896
GSM4426577,0.9899429384242467,0.967349640013996,1.0180243949088683,1.0126126306324457,1.016320689453226,1.4425510235842969,1.399997798965091,0.9671232527806407,1.1743968041802166,1.2462216748067159,1.0364844650334388,1.1055765601427578,0.8663901046688359,0.7814669078147697,1.023107723953393
