""	TFCP2L1	MEOX2	ZNF385A	SLC2A4RG	ZFHX4	ARNTL	DMRTA2	MAF	ZFP92	OTX1	ZNF729	ZNF32	PAX2	ZBTB18	HES6	ZNF706	GTF2B	SOHLH2	LHX3	ASCL1	SALL4	ZNF521	ZNF600	ZFHX3	RREB1	TBPL1	GTF3A	THAP3	ZFP42
ZNF729	-0.2585705715653	-0.168062930973739	-0.218607138514029	-0.22126325038388	0.0502146749764673	-0.206843223012729	-0.297008096800957	-0.134567070771478	-0.0147323644198722	-0.0411161604201032	1	0.171923358639088	0.187541433367007	0.176923254326332	0.212626585679022	0.0421894321370161	0.150579177155798	-0.0290505501090225	0.207970542022056	0.190480409281368	-0.197425738176724	-0.0313585305212396	-0.214668628835565	0.0492479438532603	-0.0691475780208587	0.312665525566384	0.00927984874509103	0.0733944454799285	0.0286328338127134
ZNF32	-0.346239947240186	-0.0420674031057456	-0.253028498848932	-0.274474386453429	-0.372729770824555	0.00457373855802053	-0.305991047929605	-0.359574013348722	-0.344758730563953	-0.218091131643797	0.171923358639088	1	0.0234873163435285	0.178458851619128	0.443379070718914	0.395775550955356	0.612967678507093	0.202394226694937	0.0546664110298639	0.310715005404217	-0.299452250535842	-0.0984617827199394	-0.132926643095731	-0.518888208357525	-0.56305835943845	0.52001270143685	0.506683520496333	0.48755320253296	0.0563034471727524
PAX2	-0.130685304579682	-0.0817865835101708	0.0557044965480189	-0.15093893079727	0.12354357716138	0.0344784421701552	-0.0823399879782671	0.0258084388366474	0.0927093539180351	0.143411251632595	0.187541433367007	0.0234873163435285	1	0.262267295427758	0.107824691309295	0.157152209218324	-0.0542104266485008	0.0400577855021884	0.360908125117913	0.168412096596786	-0.0737469481800574	0.036864311764398	-0.0763099560698277	0.0990954987823307	-0.019361826522864	0.142377653727914	-0.074825659317649	-0.0619312130466647	0.0576115453562487
ZBTB18	-0.155466808336539	-0.230324680479479	0.104917532257375	-0.219650588357423	0.110086040021739	-0.0113787776088324	-0.256729013623512	-0.00192597749158835	0.245290542492179	0.000190521669091986	0.176923254326332	0.178458851619128	0.262267295427758	1	0.672532532165778	0.260407545142006	0.0423751686909582	0.123325146586299	0.360282492674674	0.643468225035265	-0.149980764650924	0.141575833073809	-0.21389097526273	0.0715701977700549	-0.0620672809765451	0.25213695568542	-0.203270619988886	0.243438914027149	0.0682272317217998
HES6	-0.26940358204945	-0.185815914656115	0.0673969992855442	-0.239037377641807	-0.111397707634907	0.0115595288255445	-0.202103064832286	-0.320282606969914	0.0298715993866723	-0.126045960910106	0.212626585679022	0.443379070718914	0.107824691309295	0.672532532165778	1	0.261582428050635	0.221116138763198	0.206512433394241	0.346229575392406	0.814549251653324	-0.280488028285123	0.0937622510854233	-0.28543914607263	-0.246697471740858	-0.370997978761732	0.311968051001154	0.107308822002797	0.492189226983226	0.160415716639458
ZNF706	0.0230054774946416	0.0106191339818394	0.0915541551407234	-0.0280078895463511	-0.0709582867715757	0.0944999114563297	-0.126231520325352	0.00791763606719549	-0.156614918457365	-0.11279859844446	0.0421894321370161	0.395775550955356	0.157152209218324	0.260407545142006	0.261582428050635	1	0.171429094839431	0.161869216405406	0.0740659458050373	0.279972643059092	-0.122618938575119	0.0493267627823475	-0.0235526163127973	-0.0844548362887758	-0.0913758465080208	0.120823639328045	0.158412564652146	0.156382777340148	-0.0650850778065616
GTF2B	-0.241856119588913	0.0601229841048846	-0.279164147751907	-0.161331452543646	-0.310351060386783	0.118236942861854	-0.0819279315587961	-0.283057626663247	-0.259407465396245	-0.139883207774287	0.150579177155798	0.612967678507093	-0.0542104266485008	0.0423751686909582	0.221116138763198	0.171429094839431	1	0.158168692591974	-0.12040411306506	0.115042042977266	-0.1729947911896	-0.0184207473085777	0.0962317035191529	-0.452772304011604	-0.391943136644256	0.4600252807445	0.490755430169577	0.469292444477012	0.0324335139898517
SOHLH2	-0.00621272760360572	0.124754061722178	-0.00802268677571968	0.0172141528548895	0.0349620116195048	0.266546409820984	0.0900985951446442	-0.0581031090508241	0.112237077928016	0.119198463610167	-0.0290505501090225	0.202394226694937	0.0400577855021884	0.123325146586299	0.206512433394241	0.161869216405406	0.158168692591974	1	0.123945173483431	0.272709064330084	0.0955699966905757	0.175440246311297	0.123027150609244	-0.0250512180898744	-0.0219674329479175	0.193571591702122	0.288900993280076	0.15825418324113	-0.0785857222868926
LHX3	-0.0841755797510046	-0.155404270186237	0.0599885588774928	-0.0726234602159903	0.117170449441776	-0.0585509672175011	-0.122033791440472	-0.237573339024572	0.162272998706726	0.0349151464246426	0.207970542022056	0.0546664110298639	0.360908125117913	0.360282492674674	0.346229575392406	0.0740659458050373	-0.12040411306506	0.123945173483431	1	0.296627157452505	-0.0402464490684491	0.0363704572566586	-0.170395598364857	0.0217614805740484	-0.0628282612118254	0.194714755322862	-0.0739570558835571	0.0191426034997706	0.208941498737345
ASCL1	-0.176416851387082	-0.035890108145407	0.0776827205500699	-0.174186772186296	0.0608923980679161	0.165605974560488	-0.06820305200872	-0.187613656487198	0.108186997018234	0.0169503220854338	0.190480409281368	0.310715005404217	0.168412096596786	0.643468225035265	0.814549251653324	0.279972643059092	0.115042042977266	0.272709064330084	0.296627157452505	1	-0.080525888337272	0.243133591025946	-0.280109427763631	-0.109749030446238	-0.258387528166047	0.246028053077351	0.074358363712972	0.390406751302203	0.129396731013584
SALL4	0.330013861664255	0.449121585725539	-0.118559363951124	0.531737104683044	0.348330799152423	0.382629563815561	0.423686958433327	0.213668700117855	0.261041555096534	0.341164465998968	-0.197425738176724	-0.299452250535842	-0.0737469481800574	-0.149980764650924	-0.280488028285123	-0.122618938575119	-0.1729947911896	0.0955699966905757	-0.0402464490684491	-0.080525888337272	1	0.296330628171543	0.262222385061156	0.27911546651251	0.419600515385226	-0.185180842813613	-0.138390703525259	-0.12793400138006	-0.112892036426781
ZNF521	0.300541643004134	0.608854367034886	0.231846410317475	0.43405328497017	0.563151177630816	0.545098039215686	0.421500845744713	0.128918362735938	0.391877426174453	0.421061437742543	-0.0313585305212396	-0.0984617827199394	0.036864311764398	0.141575833073809	0.0937622510854233	0.0493267627823475	-0.0184207473085777	0.175440246311297	0.0363704572566586	0.243133591025946	0.296330628171543	1	0.167457453239782	0.427592911372697	0.435506622455896	-0.263983488132095	-0.124871001031992	0.0546735791794139	-0.124513905830948
ZNF600	0.325888337272	0.247090577121537	0.122465055782512	0.217803994846148	0.195525186094369	0.318255262241926	0.315392553782647	0.192278991945579	0.125932380684302	0.224647031128962	-0.214668628835565	-0.132926643095731	-0.0763099560698277	-0.21389097526273	-0.28543914607263	-0.0235526163127973	0.0962317035191529	0.123027150609244	-0.170395598364857	-0.280109427763631	0.262222385061156	0.167457453239782	1	0.206599988153499	0.391491258602476	-0.161619677456782	0.010699739254157	-0.131099590256532	-0.0972930872746198
ZFHX3	0.295412396976379	0.209717948545754	0.245511596480036	0.259554020526316	0.636568313926093	0.0657885978887635	0.135283819275567	0.540553941752986	0.416672366036316	0.329611237854236	0.0492479438532603	-0.518888208357525	0.0990954987823307	0.0715701977700549	-0.246697471740858	-0.0844548362887758	-0.452772304011604	-0.0250512180898744	0.0217614805740484	-0.109749030446238	0.27911546651251	0.427592911372697	0.206599988153499	1	0.810407124045024	-0.302039131441078	-0.435533756837031	-0.379028205145499	-0.122668943741779
RREB1	0.422990821990584	0.282820696014314	0.205148967092287	0.50131472084318	0.540801533942758	0.197283846581298	0.341559956277746	0.523676577451286	0.427419487802113	0.297853761184807	-0.0691475780208587	-0.56305835943845	-0.019361826522864	-0.0620672809765451	-0.370997978761732	-0.0913758465080208	-0.391943136644256	-0.0219674329479175	-0.0628282612118254	-0.258387528166047	0.419600515385226	0.435506622455896	0.391491258602476	0.810407124045024	1	-0.457971067592406	-0.450743461507929	-0.401877125811396	-0.100278692596216
TBPL1	-0.421356733288146	-0.274327831412852	-0.420118343195266	-0.415179438327807	-0.205564206373923	-0.204912036443353	-0.397558637282381	-0.339698707262413	-0.231100342023078	-0.107374837339092	0.312665525566384	0.52001270143685	0.142377653727914	0.25213695568542	0.311968051001154	0.120823639328045	0.4600252807445	0.193571591702122	0.194714755322862	0.246028053077351	-0.185180842813613	-0.263983488132095	-0.161619677456782	-0.302039131441078	-0.457971067592406	1	0.404024157155855	0.2620049950843	-0.0467614376555404
GTF3A	-0.311904543816904	0.070748224546748	-0.247596192011529	-0.131825037707391	-0.377282747418494	-0.0122092561721045	-0.0639456280799458	-0.315614828927523	-0.405801384823926	-0.213474645046568	0.00927984874509103	0.506683520496333	-0.074825659317649	-0.203270619988886	0.107308822002797	0.158412564652146	0.490755430169577	0.288900993280076	-0.0739570558835571	0.074358363712972	-0.138390703525259	-0.124871001031992	0.010699739254157	-0.435533756837031	-0.450743461507929	0.404024157155855	1	0.364234463639084	0.0575111077522746
THAP3	-0.224687196585268	0.0370234671258725	-0.203190014716569	-0.0671942648127454	-0.16578184060918	0.138051184347922	-0.0137041175859942	-0.332341644225426	-0.193544368649695	-0.22748043031033	0.0733944454799285	0.48755320253296	-0.0619312130466647	0.243438914027149	0.492189226983226	0.156382777340148	0.469292444477012	0.15825418324113	0.0191426034997706	0.390406751302203	-0.12793400138006	0.0546735791794139	-0.131099590256532	-0.379028205145499	-0.401877125811396	0.2620049950843	0.364234463639084	1	0.0267865825763454
ZFP42	-0.0847542903934084	-0.111214730066333	0.0362540451442042	-0.113943148412661	-0.0878889896137113	-0.107800479785956	-0.0811760368244539	-0.0430974550948297	0.054942998897789	-0.191990194276094	0.0286328338127134	0.0563034471727524	0.0576115453562487	0.0682272317217998	0.160415716639458	-0.0650850778065616	0.0324335139898517	-0.0785857222868926	0.208941498737345	0.129396731013584	-0.112892036426781	-0.124513905830948	-0.0972930872746198	-0.122668943741779	-0.100278692596216	-0.0467614376555404	0.0575111077522746	0.0267865825763454	1
