""	CEBPB	PLSCR1	FOSL2	TGIF1	BHLHE40	CEBPD	SP100	EPAS1	ATF3	RUNX1	SOX4	NFIB	TCF4	SOX2	TSC22D1	ZNF428	NFIX	SOX11	ZBTB20	NFIA	SPI1	NR4A2	IRF8	ETS2	CREM	KLF6	ZNF331
TCF4	0.00414922949984161	-0.0841258177262042	0.0741360827783074	0.0782261427978156	0.027100790724931	0.00835752567707079	-0.136855717516308	0.0769585756015234	-0.00773783363892302	0.0808747212212082	0.660453535285005	0.650514909015183	1	0.607867585473816	0.568931632048487	0.593419329279053	0.562842566440498	0.578336473644443	0.533360848712297	0.5335817934384	-0.172602616595917	-0.146265592712088	-0.134978590305227	-0.10731837703661	-0.055795701545724	-0.106427301127065	-0.0723108456560902
SOX2	0.0339913536938259	-0.0946540367671736	0.111556601266942	0.122465010162033	0.0687399750352721	0.0550550785342496	-0.165235751093287	0.158787406781804	-0.0141117124723763	0.115074648606763	0.645400325048877	0.644780726518292	0.607867585473816	1	0.645518509509638	0.626753543040415	0.57852364291698	0.517422678650257	0.587454698582266	0.545006331226905	-0.291256535566152	-0.255031433793002	-0.245776321273814	-0.186331579102057	-0.0732424356592234	-0.123811667304506	-0.133727516203734
TSC22D1	-0.00466978515970434	-0.126172951396248	0.0915192666703663	0.094554621230283	0.0331218651758926	-0.0324365511015842	-0.171554567272816	0.13202060433435	-0.0210609651734269	0.100165920760059	0.648704677928898	0.613729334113473	0.568931632048487	0.645518509509638	1	0.581545429419264	0.533120052491058	0.523741550964797	0.534616322052275	0.487027670796343	-0.288061885171862	-0.246154289631335	-0.242506480455721	-0.169900673563115	-0.113151970321477	-0.143423535868608	-0.157823737835628
ZNF428	0.0578355185360498	-0.0604976454715166	0.114757280670553	0.122670305965299	0.0839164333753648	0.0402615759521103	-0.121568064865396	0.12538429910498	0.0161268827097862	0.117019345275357	0.625371508140601	0.607655737004041	0.593419329279053	0.626753543040415	0.581545429419264	1	0.550739973761817	0.527674432447502	0.510443580404087	0.524956763279469	-0.170880963021165	-0.159026424134947	-0.150856709675026	-0.107776881395479	-0.0247543146927761	-0.095322493649522	-0.071118514803086
NFIX	-0.00913047916132126	-0.116589678829597	0.0910198112402082	0.0761519037120469	0.0462470830428686	-0.01426701567532	-0.165174472400277	0.110969604417837	-0.0382751557537126	0.101008088559296	0.602061705183026	0.575508709035609	0.562842566440498	0.57852364291698	0.533120052491058	0.550739973761817	1	0.523311368723722	0.527109968937826	0.495814522557942	-0.256079070362584	-0.225859135971769	-0.218846286876132	-0.171838617261065	-0.074598195843784	-0.154049284904206	-0.143741323359917
SOX11	-0.0581475049044676	-0.130311327879551	0.042899933614931	0.0515071181146473	-0.0183050608715461	-0.094987466505508	-0.164439776389672	0.0361598380677766	-0.0368372488960932	0.0217682104886193	0.659085754712471	0.63235041327354	0.578336473644443	0.517422678650257	0.523741550964797	0.527674432447502	0.523311368723722	1	0.468843957799646	0.485873304772883	-0.218072777341395	-0.169572659697578	-0.185414201589735	-0.114069128432717	-0.107056964587463	-0.139347333513086	-0.088977723046151
ZBTB20	0.00222541117451438	-0.106613355755898	0.0661723717135367	0.0697335979732547	0.0312339347055573	0.032687081107551	-0.137212722658897	0.0963338635736123	-0.00374881361982474	0.0729217479925407	0.569772256030227	0.557417299105223	0.533360848712297	0.587454698582266	0.534616322052275	0.510443580404087	0.527109968937826	0.468843957799646	1	0.467131829269879	-0.231496492552536	-0.190951993077074	-0.191170806176162	-0.145289709026281	-0.0764240594564383	-0.100596870787441	-0.10954266998795
NFIA	-0.0374393543696816	-0.0807568134367666	0.0282673308700042	0.0618159338192814	-0.00261071170449552	0.00563609817339283	-0.133751188697524	0.0641188214609212	0.00010189165927683	0.0198605105470516	0.52381037090748	0.570938741065614	0.5335817934384	0.545006331226905	0.487027670796343	0.524956763279469	0.495814522557942	0.485873304772883	0.467131829269879	1	-0.207990277359418	-0.164118897278752	-0.170494845949494	-0.138702120460269	-0.101694435650509	-0.105019031618868	-0.0960046320723232
SPI1	0.478758492710216	0.368668116550757	0.150677083353456	0.163335574581113	0.17499429931194	0.426095216936839	0.337094397382376	-0.022670062108314	0.28399906411127	0.179346135732378	-0.230309450549813	-0.269689310900852	-0.172602616595917	-0.291256535566152	-0.288061885171862	-0.170880963021165	-0.256079070362584	-0.218072777341395	-0.231496492552536	-0.207990277359418	1	0.488329228474567	0.540330501881356	0.497531889652553	0.334645672064456	0.355885468297418	0.405390898827466
NR4A2	0.390734320082473	0.292593760300978	0.156849304233359	0.197642341874903	0.180208341397069	0.355820591502797	0.291992795694356	-0.0502396337737896	0.36948716769106	0.118403225793425	-0.188886789187076	-0.205648051763386	-0.146265592712088	-0.255031433793002	-0.246154289631335	-0.159026424134947	-0.225859135971769	-0.169572659697578	-0.190951993077074	-0.164118897278752	0.488329228474567	1	0.460396338986966	0.406981937819413	0.381153437238435	0.402790415564532	0.491802291841017
IRF8	0.400302041741701	0.303238625228692	0.122453973879461	0.162234756187498	0.163189534394246	0.367003294942532	0.288867974897508	-0.0302725109613381	0.275753925802827	0.139456000330404	-0.199633318533853	-0.225604798347334	-0.134978590305227	-0.245776321273814	-0.242506480455721	-0.150856709675026	-0.218846286876132	-0.185414201589735	-0.191170806176162	-0.170494845949494	0.540330501881356	0.460396338986966	1	0.419990455435031	0.286806368561459	0.334797049941828	0.386634950373783
ETS2	0.424261197065513	0.300975208505351	0.203405898234201	0.18823943752718	0.159922122156015	0.333232029327099	0.274102337048168	0.025770571000317	0.279006078082567	0.190167888329504	-0.128631125238952	-0.158982111172276	-0.10731837703661	-0.186331579102057	-0.169900673563115	-0.107776881395479	-0.171838617261065	-0.114069128432717	-0.145289709026281	-0.138702120460269	0.497531889652553	0.406981937819413	0.419990455435031	1	0.283547940252586	0.311151683600745	0.329232913377644
CREM	0.388296310438308	0.332886168084404	0.27466018364917	0.300838598980531	0.251612216156416	0.283806527710377	0.255869146836562	0.0669326659492309	0.233695915478323	0.258132853025444	-0.115832931174975	-0.146684219367957	-0.055795701545724	-0.0732424356592234	-0.113151970321477	-0.0247543146927761	-0.074598195843784	-0.107056964587463	-0.0764240594564383	-0.101694435650509	0.334645672064456	0.381153437238435	0.286806368561459	0.283547940252586	1	0.284655324450667	0.387119774822118
KLF6	0.374654781748831	0.266295218064691	0.16330479646445	0.205270396892113	0.170091561666983	0.367231416692421	0.245838278982862	0.0565235220424705	0.365417691100986	0.14720524754985	-0.152117688038311	-0.156372895601345	-0.106427301127065	-0.123811667304506	-0.143423535868608	-0.095322493649522	-0.154049284904206	-0.139347333513086	-0.100596870787441	-0.105019031618868	0.355885468297418	0.402790415564532	0.334797049941828	0.311151683600745	0.284655324450667	1	0.335290208760222
ZNF331	0.382114742372557	0.281053647203043	0.187881480100649	0.241570699326098	0.207626828742174	0.319288109482073	0.264132333945374	-0.00306293396972703	0.298845508332004	0.153085105478551	-0.131986042062199	-0.123589419958258	-0.0723108456560902	-0.133727516203734	-0.157823737835628	-0.071118514803086	-0.143741323359917	-0.088977723046151	-0.10954266998795	-0.0960046320723232	0.405390898827466	0.491802291841017	0.386634950373783	0.329232913377644	0.387119774822118	0.335290208760222	1
