""	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
PSMD1	-0.108795931527438	0.0739749393058992	0.151075950378016	0.178762465805359	0.169388044077299	0.0521752312380298	0.0105932756670975	-0.174044113378243
PSMD10	-0.0159374030549689	0.141840918677118	0.149571187446607	0.0733754158182394	0.087405524412942	0.0788647962005851	0.0577710083677863	-0.103862978368224
PSMD11	-0.0934674621148855	0.107261073632449	0.163558592813553	0.178440521606134	0.175158983791783	0.0314692722498194	0.0473470484594525	-0.188108457057741
PSMD12	0.0219298422017675	0.0729124937730078	0.048203045334686	0.0588713508656464	0.0441372862429121	-0.0336343297109459	0.0242089389866727	-0.0720407324888569
PSMD13	-0.00805354359144447	0.0989484525391851	0.0901360802404279	0.0784222118749758	0.072064197663611	0.0135107141206041	0.0530718233571109	-0.0793958351160014
PSMD14	-0.102270101231977	0.125541832716794	0.161598784129943	0.174072583262208	0.151072169025689	0.0187592751695438	0.0622427848482216	-0.192909431318983
PSMD2	-0.0734813682048443	0.134659537307368	0.175410892198501	0.172853491980788	0.173505897610975	0.0128991767634732	0.0600475178336257	-0.167758706676862
PSMD3	-0.0216374575249212	0.0862643715874529	0.113373638824536	0.115485166590254	0.116213205850552	0.017909400560806	0.0253779314585077	-0.125191360531531
PSMD4	-0.0455108323938758	0.120081033850974	0.150031466258761	0.127134512177911	0.121085729541044	0.0466217314564375	0.0481208611726494	-0.12543480170587
PSMD5	-0.00128663367026585	0.0349725164136562	0.0484672839865247	0.0530439051953406	0.0582353573157537	0.00333093940246893	0.0147261895853559	-0.0705601001907943
PSMD6	-0.0725766821340645	0.0594049092503778	0.107867311529166	0.131177370559658	0.124896565201518	0.0157841894987098	0.00238364764294333	-0.146017480364974
PSMD6-AS2	0.0247633545539575	0.0132991467629759	-0.00839047709079037	-0.00732490814126401	-0.00667876750192192	-0.0116601103273297	0.0069089544176172	0.00538869770968298
PSMD7	-0.0226568199837557	0.0668200875848185	0.0896093736285061	0.0892840794656226	0.0796146075981831	0.0591789289038454	0.0148891352999315	-0.0920726565819814
PSMD8	0.0576808417207731	0.229427245082283	0.136867624749286	0.0120693489598017	0.00839523166128359	-0.0165907600502682	0.19460961327667	-0.0537322317764617
PSMD9	0.0848828301736892	0.100957761830587	0.0396002135829903	-0.0180343845869545	-0.029567092672812	-0.00964624866008165	0.0602685974305137	0.0270695994172498
PSME1	0.29384514076934	0.192560693094117	-0.0741563870898331	-0.315058106893195	-0.321124797273886	-0.0591735943256652	0.168586067502377	0.307129595117272
PSME2	0.212044556207599	0.172990735397635	-0.0568923400987243	-0.195909503417236	-0.207648085879811	-0.0674696909648795	0.144981344606928	0.191211102717753
PSME3	-0.0382281186402026	0.144950616169419	0.157246183752738	0.120207747800323	0.121310302464825	-0.0151242749271341	0.055508913651427	-0.128554185475893
PSME4	0.0524205249103919	0.0580479263861476	0.0287573926533092	0.0242309856555912	0.0141071281660144	-0.0181298892158036	0.0466287156365684	-0.00866215819133534
PSMF1	0.0892218328064296	0.194826450884567	0.0772095139251543	-0.0210392615197989	-0.0253221069702498	-0.029771418252387	0.182173258738091	0.0021598921068766
PSMG1	0.0441353264212982	0.109389667789709	0.0478184304068548	-0.0169636997243201	-0.0215041626898293	-0.0217668498733167	0.0474436429022226	-0.0181372243551567
PSMG2	-0.00013016755705342	0.049355298530693	0.0419378566256614	0.0147846613583172	0.0192339213789281	-0.00915006450474105	0.00645272282091717	-0.051004284812164
PSMG3	-0.0297426711240973	0.139040820961249	0.115494711550059	0.0874216004348973	0.0835475519530688	-0.0279665711335869	0.0908531635020858	-0.118686335645845
PSMG3-AS1	0.062678952913931	0.125812763845988	0.0304438127079119	0.0150374667422037	-0.00313878012665666	0.0281400979723221	0.113078491798963	0.00502159161994631
PSMG4	-0.0439277660106416	0.0699066641250101	0.0885341019272829	0.0629311473334076	0.0745570383053566	-0.0122470265482961	0.0151064452018642	-0.103537854341456
PSORS1C1	0.110945984690651	0.13044943995111	-0.000830092813988916	-0.0748465301403411	-0.0763849539968862	-0.0387419248336723	0.14181125613681	0.0768281364210036
PSORS1C2	0.033850917189615	0.0605131321517219	0.0167114504803437	-0.0289270307169042	-0.0242099210956447	-0.0272986822462462	0.0638419694765973	0.0188185802653668
PSORS1C3	0.0559856497976944	-0.0304260101953939	-0.0635208512265964	-0.0638560190921309	-0.0667393873766632	-0.0265501022696646	-0.0259910190749231	0.0568032052730271
PSPC1	-0.138222610598615	0.0337472510165395	0.118295014916584	0.202343444804443	0.202188770718409	0.00445290961502602	-0.00448233746660493	-0.190471275281539
PSPH	-0.000979331718595435	0.110869966038054	0.0948247987913337	0.146335516186304	0.112289440358986	-0.0120934959011848	0.0822992999795347	-0.113730798491697
PSPN	0.0549337757800288	0.0440995644936242	-0.0224318871377213	-0.0442238261042761	-0.0399702481305607	-0.028253004309867	0.0562463414052115	0.0258473328710208
PSRC1	0.11752208358968	0.308348376903234	0.113194492515143	-0.0180106208972789	-0.0295152225804989	-0.0274246800377396	0.248744997302063	0.0351721368584318
