""	PC1	PC2
ESPN	-0.000306577751932921	0.00494404496031529
TNFRSF25	-0.00294790170917846	0.00172581790655105
PLEKHG5	-0.0038905198686512	0.00742871504300894
NOL9	-0.00958847453779009	-0.0030030087639123
TAS1R1	-0.00183063326662061	0.0100100356592562
ZBTB48	-0.0085582531504091	-0.000450959430177526
KLHL21	-0.00697361800241553	0.00981425169236232
PHF13	-0.0091131556577763	-0.0034079000558207
THAP3	-0.00917139756404532	-0.00644359161095026
DNAJC11	-0.00985132860797257	-0.000318792788183087
CAMTA1-DT	-0.000921149960277212	-0.00143489933042726
CAMTA1	-0.00965730894176914	0.00186464760111301
AL365194.1	-0.00156154540945625	-0.00280696964460836
AL359881.3	-0.00238288532518754	0.0022251767768468
AL359881.2	0.000713344642922591	-0.00415905399200907
AL359881.1	-2.8245282885208e-05	0.00238868771248337
VAMP3	-0.00945076829425176	0.00835260606061661
PER3	-0.00885634568681942	-0.00716828538885491
Z98884.1	-0.00202435798761861	-0.00480722138664029
UTS2	0.000197725850491654	0.00091915517553775
TNFRSF9	-0.00152982280111422	0.00120071431239755
PARK7	-0.00943272802183272	-0.00294808428582635
AL034417.4	-0.00447355033435895	-0.00907263594473623
AL034417.3	-0.00320764579625783	-0.00375147080576265
ERRFI1	-0.00768865671707455	0.00983688991322191
AL034417.2	-0.00394727360371899	0.010711947502181
AL358876.2	-0.000284931308920488	0.00269556793944003
SLC45A1	-0.00439489061548106	0.0129937663554241
RERE	-0.00912838451393077	-0.00447167313226539
AL096855.1	-0.000853783986105215	-0.000560436804447239
AL357552.2	-0.00120055681305597	-0.00467511550513093
ENO1	-0.00912575320936804	0.000956348057068002
ENO1-AS1	-0.00404670147521518	-0.000372756216028102
CA6	-0.00125922398725872	0.00665961858503048
SLC2A5	-0.00141542689094852	0.00819831488253747
GPR157	-0.00767978995263934	0.00464812601794335
MIR34AHG	-0.0061716669072295	0.00758710419272641
LINC01759	-0.0058159034625955	-0.00345488470135478
H6PD	-0.00891379250296816	0.00839799868925356
SPSB1	-0.00744683372580056	-0.00062235053640922
BX323043.1	-0.00205983816440475	-0.00263502915456027
AL928921.2	-0.00817088748828019	0.00172347464444979
SLC25A33	-0.00947740839389365	-0.00499515381535735
TMEM201	-0.00879809942819275	-0.00526436260580725
PIK3CD	-0.00101186700067506	0.00647890021219354
PIK3CD-AS1	-0.000145208772283359	0.00127901575689538
PIK3CD-AS2	-0.00613549240709152	-0.00348593193360376
CLSTN1	-0.0089220401536026	0.0112740905717905
CTNNBIP1	-0.00932684605795858	-0.00535324479908474
AL357140.1	-0.00284335431433863	0.010614944035853
LZIC	-0.00972635308999341	-0.0048038986649801
NMNAT1	-0.00888938127128067	0.00701539961610607
RBP7	-0.0052757943039245	-0.00597459892736209
UBE4B	-0.00942959808502565	-0.00340971809804621
KIF1B	-0.00923042466923614	0.00841559786807204
AL139424.3	-0.00381955608848798	0.00179630970914439
AL139424.2	-0.00743068853898235	0.00475823774759762
PGD	-0.00928297049290897	-0.00628291378488774
AL139424.1	-0.0032943533697866	-0.00584771102959086
CENPS-CORT	-0.00638055830217045	-0.0130846816659157
CENPS	-0.00794237087139893	-0.0106144562147871
CORT	-0.00370631140388649	-0.00587667509836377
DFFA	-0.0100256542864794	0.000257386582693323
AL354956.1	0.000764563471600081	0.000617261943336219
PEX14	-0.0094530795346156	-0.00054388456602316
CASZ1	-0.00773620952340182	0.00524326802431287
AL139423.1	-6.16956571198075e-06	0.000986229575649594
C1orf127	-0.00114558159545291	0.0015719612015651
TARDBP	-0.00975392018316001	-0.00582626041493633
AL109811.4	-0.00209051858280793	0.00868968214206819
MASP2	-0.00369228476486057	-0.00268340460852986
AL109811.3	-0.00250247514084656	-0.00108945697669948
SRM	-0.00859510354410709	-0.0069193523679674
EXOSC10	-0.00970724574888957	-0.00630499566206552
AL109811.1	-0.00354989990006281	0.00292246551831025
AL109811.2	-0.00615017977397769	0.00240756828568688
MTOR	-0.00933732132169252	-0.0047004656428101
ANGPTL7	-0.000411565094064651	0.0010717962743453
UBIAD1	-0.009606537814442	-0.00178166836854857
DISP3	-0.00304290913207549	0.00742370793429343
AL031731.1	-0.0020533024028708	0.00668352995825191
FBXO2	-0.00152965586114615	0.00735955243027317
FBXO44	-0.00891503759172302	0.00444214792503703
FBXO6	-0.00724368091632349	0.0138079841524984
MAD2L2	-0.00773209868581166	-0.0138691274907038
DRAXIN	-0.00851591325723176	-0.0127623236522654
AGTRAP	-0.00881950270151236	0.00691923552604496
C1orf167	-0.00235152838750014	0.00320967019659118
AL953897.1	-0.000164655599259448	0.00189573836102664
MTHFR	-0.00903101539546609	-0.0040291605082318
CLCN6	-0.00818469781958233	0.00143125634779575
NPPA-AS1	-0.00102394229129522	0.000545942412872854
NPPA	-0.00104906148047228	-0.0130410617277574
NPPB	-0.00207242475401876	-0.00474749311882651
KIAA2013	-0.00985373464035336	0.00252260565655246
PLOD1	-0.00706937130884028	0.0160737539541869
MFN2	-0.00970611185099423	0.00135561287162043
MIIP	-0.00924805345750381	-0.00325398054041523
TNFRSF8	-0.000379549023493169	0.00359996943475147
TNFRSF1B	-0.00114002297496519	0.00407849440420766
VPS13D	-0.00933425088737122	0.00627107476741761
AC243836.1	0.00039333453273236	0.000349180056128556
DHRS3	-0.00529927218870224	0.021115807854159
AC254633.1	0.000190838757782888	0.00216734514615906
PDPN	-0.00845608917802618	0.0101956479834023
PRDM2	-0.00950985578711396	-0.00420466180032221
KAZN	-0.00622723675547649	0.0189675976836749
AL357873.1	-0.00194141680442918	0.00888967208316019
TMEM51-AS1	-0.00325921779493327	0.00590745438025836
TMEM51	-0.00799939889241924	-0.00461925414541684
FHAD1	-0.00381707735579708	0.00909877169901076
AL031283.2	8.10933680350547e-05	0.00612609745010255
AL031283.1	-0.000695720395447924	0.00666490816132534
EFHD2	-0.00671330902046501	0.0179367691943789
CTRC	0.000581882884961253	0.00033472150866893
CELA2A	0.000330700060168583	0.000127050750648289
CASP9	-0.0082722921624548	-0.00042358991837834
DNAJC16	-0.00948499372849084	0.00529705512845968
AL121992.3	-0.000142147182270581	0.000687069053089852
AGMAT	-0.00311349597278756	0.00413517945090199
AL121992.1	-0.00478706399788641	0.000685141359005614
DDI2	-0.00938147438024416	-0.00359856833575749
AL121992.2	0.00238689204827971	0.00151312036366848
