""	PC1	PC2
CAMTA1-DT	-0.00103485750290265	-0.00416559610687827
CAMTA1	-0.00872097686548344	-0.00575996366392709
CAMTA1-IT1	-0.00435838646901283	0.00288601835073535
Z97987.1	-0.00214102735999866	-0.00259084123781094
AL365194.1	-0.00189400062271381	-0.00460499796643465
AL359881.3	-0.00143323722266015	-0.00238502810048953
AL359881.2	-0.000391717077246027	-0.0014030987093645
AL359881.1	-0.00157280665001978	-0.00475639480234883
VAMP3	-0.00830725598740496	0.00192390688284078
Z98884.2	-0.00150796728009321	0.00400528021144168
PER3	-0.00831412505178322	6.48852962598116e-06
Z98884.1	-0.00058658572337071	-0.00311579097244534
UTS2	0.00045666261075996	0.00149213845896504
TNFRSF9	0.000996133251213482	0.00619705963886282
PARK7	-0.00877385302880168	-0.00581758261709371
AL034417.4	-0.00448103901752825	-0.0047017091203145
AL034417.3	-0.00529966578155251	0.0120953806038511
ERRFI1	-0.00877607517096064	-0.000378364248922956
AL034417.2	-0.00323911444057085	-0.00921714557402412
AL358876.2	-0.00126890999442444	-0.00164603872252268
SLC45A1	-0.00387574693765357	-0.00344141286064053
RERE	-0.0088650284151252	-0.000155446774151207
RERE-AS1	-0.00361829579512619	0.00199120346790677
AL357552.2	0.000204294722535204	-0.00219090821057571
ENO1	-0.00863705947480288	-0.00592562018550928
ENO1-AS1	-0.000690984453052031	0.00293894281629223
SLC2A5	-0.00624273579489019	0.0173216200629503
GPR157	-0.00640821248303315	0.00209213529429746
MIR34AHG	-0.00783421289123091	0.00203473470282797
LNCTAM34A	-0.00686107960441203	0.00419835758306504
H6PD	-0.00862348924213166	0.00156454254970864
SPSB1	-0.00585680406500753	0.00476904244366026
BX323043.1	-0.00404816550065688	-0.00165722567946969
LINC02606	-0.00753531106693942	-0.00617070409546678
SLC25A33	-0.00884237729646315	-0.00226690201109476
TMEM201	-0.00861608151841483	-0.00304708474045715
PIK3CD	-0.0034993286566758	0.0110729961823278
PIK3CD-AS1	0.00104428779441879	0.00322992428770725
PIK3CD-AS2	-0.00521764352665011	-0.00470170237636025
CLSTN1	-0.00898461718938211	0.00110608836483276
CTNNBIP1	-0.00873126544880406	-0.00348995631425537
AL357140.1	0.000456385125352887	-0.00142560841375912
LZIC	-0.00887751539330814	-0.00444558324282091
AL357140.2	-0.00376158796259586	0.00453117156220569
NMNAT1	-0.00819605118858703	-0.00190652190361451
RBP7	-0.00408420953620125	0.0108900545974956
UBE4B	-0.00873800726045077	0.00143217347316506
KIF1B	-0.00889497939079137	-0.00101419880085216
AL139424.3	-0.00492983001048832	0.00529609290899976
AL139424.2	-0.00532212459101827	0.000916767654223793
PGD	-0.00883279745276804	-0.00472854213190937
AL139424.1	-0.00548241411278888	-0.00102480492771128
CENPS	-0.0080314950686023	-0.00794259466683144
CORT	-0.00754238470755384	-0.00660325399580815
DFFA	-0.00898797765329162	-0.00172255791200035
AL354956.1	-0.00138367574901892	0.00194485020675889
PEX14	-0.00817012001838695	-0.00597505846049125
AL139423.2	-0.00186400042067071	-0.003200878336388
CASZ1	-0.00572838936643524	0.00370257718301666
AL139423.1	0.000981445530399167	0.000684090035775398
C1orf127	-0.0014750586306927	-0.00252599073314656
TARDBP	-0.00886075329452912	-0.00502713337112979
MASP2	-0.00257353829820792	-0.00239559885778754
AL109811.2	-0.00637475280320233	0.00212465085108254
SRM	-0.00833637772630282	-0.00709792385112351
EXOSC10	-0.0089162506813612	-0.0016189932077443
AL109811.1	-0.00373535215086034	-0.00638277304691243
EXOSC10-AS1	-0.00506787920353182	-0.00773744218302218
MTOR	-0.00893138258026794	-0.000883713951913266
ANGPTL7	-0.00127539098772692	-0.00206962451698569
UBIAD1	-0.008809293585328	-9.67171419947795e-05
DISP3	-0.00499117135797247	0.00790678303593983
AL031731.1	0.00119496222254664	0.0032058059309371
FBXO2	-0.00239552847485678	0.00381653105824417
FBXO44	-0.00733968573454933	0.00261587027252276
FBXO6	-0.00545840826288515	0.00228387826366742
MAD2L2	-0.00823867725642855	-0.00740023012806504
DRAXIN	-0.00792435278406038	-0.00687420918763517
